Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
39,"BM Gardner, CE Kefalidis, E Lu, D Patel…","Evidence for single metal two electron oxidative addition and reductive elimination at uranium",2017,"… Communications","nature.com","https://www.nature.com/articles/s41467-017-01363-0","https://scholar.google.com/scholar?cites=13035957975602820900&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 00:12:10","HTML","","","",,,,,39,4.88,8,5,8,"… In order to probe this aspect, since in situ probing of this reaction by NMR or optical spectroscopies were not practicable, we modelled the reaction computationally since DFT reaction …","https://www.nature.com/articles/s41467-017-01363-0","https://scholar.google.com/scholar?q=related:JPe5GrYG6bQJ:scholar.google.com/&scioq=source:%22nature+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
53,"VV Welborn, WL Li, T Head-Gordon","Interplay of water and a supramolecular capsule for catalysis of reductive elimination reaction from gold",2020,"Nature communications","nature.com","https://www.nature.com/articles/s41467-019-14251-6","https://scholar.google.com/scholar?cites=8311345594181575965&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 00:12:10","HTML","","","",,,,,53,10.60,18,3,5,"… All calculations presented in this paper (geometry optimization, molecular dynamics, metadynamics, and energy calculations) were performed with Density Functional Theory (DFT) …","https://www.nature.com/articles/s41467-019-14251-6","https://scholar.google.com/scholar?q=related:HWWzUsjUV3MJ:scholar.google.com/&scioq=source:%22nature+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"Z Liu, Z Wang, H Mu, Y Zhou, J Zhou, Z Dong","Synthesis and redox catalysis of Carbodiphosphorane ligated stannylene",2024,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-024-54321-y","https://scholar.google.com/scholar?cites=11526743216910765137&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 00:12:10","HTML","","","",,,,,7,7.00,1,6,1,"… 1A), carbene analogues face challenges in the subsequent reductive elimination from the … To further elucidate the electronic situation of CDPSn 1, density functional theory (DFT) …","https://www.nature.com/articles/s41467-024-54321-y","https://scholar.google.com/scholar?q=related:UQwcbeI3958J:scholar.google.com/&scioq=source:%22nature+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"S Sun, S Sun, W Zi","Palladium-catalyzed enantioselective β-hydride elimination for the construction of remote stereocenters",2025,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-025-57437-x","",4,"2025-05-06 00:12:10","HTML","","","",,,,,0,0.00,0,3,1,"… Finally, Int F undergoes a rapid reductive elimination through a five-membered transition state TS G, … DFT calculations indicated that the β-hydride elimination is both a rate-limiting and …","https://www.nature.com/articles/s41467-025-57437-x","https://scholar.google.com/scholar?q=related:SJGJ9nbUcVsJ:scholar.google.com/&scioq=source:%22nature+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Zeng, Y He, Y Li, L Wang, Q Hu, Y Li, Z Wei…","Photoredox cobalt-catalyzed asymmetric desymmetric reductive coupling of cyclobutenes with alkynes",2025,"… Communications","nature.com","https://www.nature.com/articles/s41467-025-58315-2","",5,"2025-05-06 00:12:10","HTML","","","",,,,,0,0.00,0,8,1,"… -hydride elimination and the direct reductive elimination of the … density functional theory (DFT) calculations were performed to distinguish between the two proposed catalytic cycles. DFT …","https://www.nature.com/articles/s41467-025-58315-2","https://scholar.google.com/scholar?q=related:Ta_G6YIZTO8J:scholar.google.com/&scioq=source:%22nature+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"X Fang, L Xi, M Wang, J Xiao, Y Zhao, MC Willis…","Asymmetric reductive arylation and alkenylation to access S-chirogenic sulfinamides",2025,"… Communications","nature.com","https://www.nature.com/articles/s41467-025-57471-9","",6,"2025-05-06 00:12:10","HTML","","","",,,,,0,0.00,0,7,1,"… nickel or cobalt complex under reductive conditions, and eliminating the need for preformed … Our detailed mechanistic investigations and density functional theory calculations provide …","https://www.nature.com/articles/s41467-025-57471-9","https://scholar.google.com/scholar?q=related:JvAwbM71zXsJ:scholar.google.com/&scioq=source:%22nature+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"H Zhao, Y Wu, C Ci, Z Tan, J Yang, H Jiang…","Intermolecular diastereoselective annulation of azaarenes into fused N-heterocycles by Ru (II) reductive catalysis",2022,"… Communications","nature.com","https://www.nature.com/articles/s41467-022-29985-z","https://scholar.google.com/scholar?cites=7490692989123780179&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 00:12:10","HTML","","","",,,,,30,10.00,4,7,3,"… Derivatization of azaarenes can create molecules of biological importance, but reductive … The present work opens a door to further develop valuable reductive functionalization of …","https://www.nature.com/articles/s41467-022-29985-z","https://scholar.google.com/scholar?q=related:U147EpZJ9GcJ:scholar.google.com/&scioq=source:%22nature+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"KG Pearce, HY Liu, SE Neale, HM Goff…","Alkali metal reduction of alkali metal cations",2023,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-43925-5","https://scholar.google.com/scholar?cites=16283863026631275064&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 00:12:10","HTML","","","",,,,,14,7.00,3,5,2,"… A theoretical analysis combining density functional theory (DFT) with elemental thermochemistry is used to rationalise these observations, where consideration of the relevant …","https://www.nature.com/articles/s41467-023-43925-5","https://scholar.google.com/scholar?q=related:OHJ5qSXn--EJ:scholar.google.com/&scioq=source:%22nature+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"Y Min, SC Mei, XQ Pan, JJ Chen, HQ Yu…","Mimicking reductive dehalogenases for efficient electrocatalytic water dechlorination",2023,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-40906-6","https://scholar.google.com/scholar?cites=8926008703470151059&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 00:12:10","HTML","","","",,,,,17,8.50,3,6,2,"… , density functional theory (DFT) calculations and molecular dynamics (MD) simulations. To demonstrate the universality of our concept, nitrogen-doped graphene and cobalt …","https://www.nature.com/articles/s41467-023-40906-6","https://scholar.google.com/scholar?q=related:kyVisJ-N33sJ:scholar.google.com/&scioq=source:%22nature+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
71,"Y Li, Q Shao, H He, C Zhu, XS Xue, J Xie","Highly selective synthesis of all-carbon tetrasubstituted alkenes by deoxygenative alkenylation of carboxylic acids",2022,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-021-27507-x","https://scholar.google.com/scholar?cites=15828677683357769438&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 00:12:10","HTML","","","",,,,,71,23.67,12,6,3,"… as the active species and DFT calculations were conducted to … Our DFT results provide a strategy for this type of reaction by … The final reductive elimination TS-2 has a low barrier of 2.3 …","https://www.nature.com/articles/s41467-021-27507-x","https://scholar.google.com/scholar?q=related:3l6xNH3CqtsJ:scholar.google.com/&scioq=source:%22nature+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"S Chen, YN Wang, J Xie, W Li, M Ye, X Ma…","Chemo-, regio-and stereoselective access to polysubstituted 1, 3-dienes via Nickel-catalyzed four-component reactions",2024,"… Communications","nature.com","https://www.nature.com/articles/s41467-024-49870-1","https://scholar.google.com/scholar?cites=885434670986505327&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-06 00:12:10","HTML","","","",,,,,10,10.00,1,7,1,"… VI which followingly undergoes reductive elimination to access … (III) species VI, further reductive elimination renders the desired … reaction and density functional theory (DFT) calculations …","https://www.nature.com/articles/s41467-024-49870-1","https://scholar.google.com/scholar?q=related:byz3WySySQwJ:scholar.google.com/&scioq=source:%22nature+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"Q Zhao, L Yu, YD Zhang, YQ Guo, M Chen…","C(alkyl)–C(vinyl) bond cleavage enabled by Retro-Pallada-Diels-Alder reaction",2023,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-38067-7","https://scholar.google.com/scholar?cites=4923099798695639609&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-06 00:12:10","HTML","","","",,,,,11,5.50,2,6,2,"… ’ Int-C and a Pd-carbene; and (4) reductive hydrolysis of Int-C gives the final product 2a. Detailed processes were explored by carrying on DFT calculations (Fig. 5b). The N- t Bu-1A, …","https://www.nature.com/articles/s41467-023-38067-7","https://scholar.google.com/scholar?q=related:OfoM5y5dUkQJ:scholar.google.com/&scioq=source:%22nature+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"S Li, J Tang, Y Shi, M Yan, Y Fu, Z Su, J Xu…","C3 Selective chalcogenation and fluorination of pyridine using classic Zincke imine intermediates",2024,"… Communications","nature.com","https://www.nature.com/articles/s41467-024-51452-0","https://scholar.google.com/scholar?cites=4112062179918761510&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-06 00:12:10","HTML","","","",,,,,7,7.00,1,8,1,"… Radical inhibition and trapping experiments, as well as DFT theoretical calculations, indicated that the thiolation and selenylation proceeds through a radical addition-elimination …","https://www.nature.com/articles/s41467-024-51452-0","https://scholar.google.com/scholar?q=related:Jk5gGMT6EDkJ:scholar.google.com/&scioq=source:%22nature+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
