Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"K Zhao, H Wang, T Li, S Liu, E Benassi, X Li…","Identification of a potent palladium-aryldiphosphine catalytic system for high-performance carbonylation of alkenes",2024,"… Communications","nature.com","https://www.nature.com/articles/s41467-024-46286-9","https://scholar.google.com/scholar?cites=2756051236740197772&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 02:20:57","","","","",,,,,11,11.00,2,7,1,"… to enhance the catalytic performance of carbonylation reactions of alkenes. Herein, an … is reported for palladium-catalyzed regioselective carbonylation of alkenes. Compared with the …","https://www.nature.com/articles/s41467-024-46286-9.pdf","https://scholar.google.com/scholar?q=related:jO2sZP91PyYJ:scholar.google.com/&scioq=source:%22nature+communications%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
29,"S Liu, T Li, F Shi, H Ma, B Wang, X Dai, X Cui","Constructing multiple active sites in iron oxide catalysts for improving carbonylation reactions",2023,"Nature communications","nature.com","https://www.nature.com/articles/s41467-023-40640-z","https://scholar.google.com/scholar?cites=1233497755764149900&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 02:20:57","","","","",,,,,29,14.50,4,7,2,"… DFT calculations Spin-polarized density functional theory method were performed in this … 500 eV and dispersion correction was considered by using DFT-D3 method with Becke-Jonson …","https://www.nature.com/articles/s41467-023-40640-z.pdf","https://scholar.google.com/scholar?q=related:jE6Qa6xDHhEJ:scholar.google.com/&scioq=source:%22nature+communications%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
59,"GM Cao, XL Hu, LL Liao, SS Yan, L Song…","Visible-light photoredox-catalyzed umpolung carboxylation of carbonyl compounds with CO2",2021,"… communications","nature.com","https://www.nature.com/articles/s41467-021-23447-8","https://scholar.google.com/scholar?cites=8242810327852927823&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 02:20:57","","","","",,,,,59,14.75,10,6,4,"Photoredox-mediated umpolung strategy provides an alternative pattern for functionalization of carbonyl compounds. However, general approaches towards carboxylation of carbonyl …","https://www.nature.com/articles/s41467-021-23447-8.pdf","https://scholar.google.com/scholar?q=related:T0uYJlJYZHIJ:scholar.google.com/&scioq=source:%22nature+communications%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"B Zhang, H Yuan, Y Liu, Z Deng, M Douthwaite…","Ambient-pressure alkoxycarbonylation for sustainable synthesis of ester",2024,"… Communications","nature.com","https://www.nature.com/articles/s41467-024-52163-2","https://scholar.google.com/scholar?cites=5497166307852709256&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 02:20:57","","","","",,,,,4,4.00,1,6,1,"… carbonylation efficiency, there is clearly a need to identify a suitable catalyst that can selectively drive styrene toward carbonylation… investigated using density functional theory (DFT) …","https://www.nature.com/articles/s41467-024-52163-2.pdf","https://scholar.google.com/scholar?q=related:iG3OuqHbSUwJ:scholar.google.com/&scioq=source:%22nature+communications%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"S Monticelli, A Talbot, P Gotico, F Caillé…","Unlocking full and fast conversion in photocatalytic carbon dioxide reduction for applications in radio-carbonylation",2023,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-40136-w","https://scholar.google.com/scholar?cites=7126776469721035202&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 02:20:57","","","","",,,,,19,9.50,4,5,2,"… picture and to understand the origin of the beneficial effect of phenol, we combined thermodynamic data (redox potentials) obtained from electrochemical experiments and DFT …","https://www.nature.com/articles/s41467-023-40136-w.pdf","https://scholar.google.com/scholar?q=related:wrFVn3Bl52IJ:scholar.google.com/&scioq=source:%22nature+communications%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"W Chen, KA Tarach, X Yi, Z Liu, X Tang…","Charge-separation driven mechanism via acylium ion intermediate migration during catalytic carbonylation in mordenite zeolite",2022,"… Communications","nature.com","https://www.nature.com/articles/s41467-022-34708-5","https://scholar.google.com/scholar?cites=543480020386526415&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 02:20:57","","","","",,,,,22,7.33,4,6,3,"… The synergistic effect of different channels appears to account for the high carbonylation activity in mordenite that has thus far not been fully explained, and this paradigm may …","https://www.nature.com/articles/s41467-022-34708-5.pdf","https://scholar.google.com/scholar?q=related:zzSp9TLUigcJ:scholar.google.com/&scioq=source:%22nature+communications%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
94,"SC Ren, FL Zhang, AQ Xu, Y Yang, M Zheng…","Regioselective radical α-borylation of α, β-unsaturated carbonyl compounds for direct synthesis of α-borylcarbonyl molecules",2019,"… Communications","nature.com","https://www.nature.com/articles/s41467-019-09825-3","https://scholar.google.com/scholar?cites=9372441288784148132&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 02:20:57","","","","",,,,,94,15.67,16,6,6,"… 4, the Density Functional Theory (DFT) studies revealed that the energy barriers of α- and β-additions are comparable (+6.4 kcal mol −1 for α-addition and +7.7 kcal mol −1 for β-addition…","https://www.nature.com/articles/s41467-019-09825-3.pdf","https://scholar.google.com/scholar?q=related:pPYu4LGZEYIJ:scholar.google.com/&scioq=source:%22nature+communications%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Y Li, H Liu, J Mao, M Gao, Y Zhang, Q Zhao…","MoS2-confined Rh-Zn atomic pair boosts photo-driven methane carbonylation to acetic acid",2025,"… Communications","nature.com","https://www.nature.com/articles/s41467-024-54061-z","",8,"2025-05-06 02:20:57","","","","",,,,,0,0.00,0,7,1,"… Direct carbonylation of CH 4 to CH 3 COOH provides a … Herein, we report that highly efficient photo-driven carbonylation … photocatalytic CH 4 carbonylation processes. Mechanistic …","https://www.nature.com/articles/s41467-024-54061-z.pdf","https://scholar.google.com/scholar?q=related:tQti6Ld33dgJ:scholar.google.com/&scioq=source:%22nature+communications%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"D Cao, M Ataya, Z Chen, H Zeng, Y Peng…","Light-driven transition-metal-free direct decarbonylation of unstrained diaryl ketones via a dual C–C bond cleavage",2022,"… Communications","nature.com","https://www.nature.com/articles/s41467-022-29327-z","https://scholar.google.com/scholar?cites=18292671149202532390&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 02:20:57","","","","",,,,,20,6.67,3,6,3,"… Density functional theory (DFT) calculations were carried out to gain insights into the mechanism of the transformation. The unsubstituted benzophenone 1 was chosen as a model for …","https://www.nature.com/articles/s41467-022-29327-z.pdf","https://scholar.google.com/scholar?q=related:JuhA0X2f3P0J:scholar.google.com/&scioq=source:%22nature+communications%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"H Zhong, DT Egger, VCM Gasser, P Finkelstein…","Skeletal metalation of lactams through a carbonyl-to-nickel-exchange logic",2023,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-40979-3","https://scholar.google.com/scholar?cites=9352732445659741408&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 02:20:57","","","","",,,,,31,15.50,6,5,2,"… Density functional theory (DFT) studies were carried out to probe the energy landscape of … The DFT studies suggest a reversible carbonyl-to-nickel exchange scenario and formation of (…","https://www.nature.com/articles/s41467-023-40979-3.pdf","https://scholar.google.com/scholar?q=related:4LzRPpuUy4EJ:scholar.google.com/&scioq=source:%22nature+communications%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
