Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"J Shi, G Wang, D Tian, X Hai, R Meng, Y Xu…","Defying the oxidative-addition prerequisite in cross-coupling through artful single-atom catalysts",2025,"… Communications","nature.com","https://www.nature.com/articles/s41467-025-58579-8","https://scholar.google.com/scholar?cites=1318973817508587397&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 01:24:52","HTML","","","",,,,,1,1.00,0,7,1,"… We first conducted Density Functional Theory (DFT) calculations to gain theoretical insights into the superior catalytic performance of Pd 1 ASAC in Suzuki couplings (Fig. 4). Typically, …","https://www.nature.com/articles/s41467-025-58579-8","https://scholar.google.com/scholar?q=related:heej5LLvTRIJ:scholar.google.com/&scioq=source:%22nature+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
275,"A Zeineddine, L Estévez, S Mallet-Ladeira…","Rational development of catalytic Au (I)/Au (III) arylation involving mild oxidative addition of aryl halides",2017,"… Communications","nature.com","https://www.nature.com/articles/s41467-017-00672-8","https://scholar.google.com/scholar?cites=4911268587725871361&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 01:24:52","HTML","","","",,,,,275,34.38,69,4,8,"… crucial role in this transformation, as substantiated by density functional theory calculations. … of stoichiometric oxidative addition to gold. b This work: mild oxidative addition of aryl …","https://www.nature.com/articles/s41467-017-00672-8","https://scholar.google.com/scholar?q=related:AVnvb8JUKEQJ:scholar.google.com/&scioq=source:%22nature+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
39,"BM Gardner, CE Kefalidis, E Lu, D Patel…","Evidence for single metal two electron oxidative addition and reductive elimination at uranium",2017,"… Communications","nature.com","https://www.nature.com/articles/s41467-017-01363-0","https://scholar.google.com/scholar?cites=13035957975602820900&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 01:24:52","HTML","","","",,,,,39,4.88,8,5,8,"… In order to probe this aspect, since in situ probing of this reaction by NMR or optical spectroscopies were not practicable, we modelled the reaction computationally since DFT reaction …","https://www.nature.com/articles/s41467-017-01363-0","https://scholar.google.com/scholar?q=related:JPe5GrYG6bQJ:scholar.google.com/&scioq=source:%22nature+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"Y Tian, P Hou, H Zhang, Y Xie, G Chen, Q Li…","Theoretical insights on potential-dependent oxidation behaviors and antioxidant strategies of MXenes",2024,"… Communications","nature.com","https://www.nature.com/articles/s41467-024-54455-z","https://scholar.google.com/scholar?cites=17759181579071882711&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 01:24:52","HTML","","","",,,,,10,10.00,1,7,1,"… All calculations were carried out using density functional theory (DFT) implemented through the Vienna ab initio Simulation Package 54,55 . The Perdew-Burke-Ernzerhof (PBE) …","https://www.nature.com/articles/s41467-024-54455-z","https://scholar.google.com/scholar?q=related:14U90o1JdfYJ:scholar.google.com/&scioq=source:%22nature+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
80,"Q Zhu, Z Pan, Z Zhao, G Cao, L Luo, C Ni…","Defect-driven selective metal oxidation at atomic scale",2021,"… Communications","nature.com","https://www.nature.com/articles/s41467-020-20876-9","https://scholar.google.com/scholar?cites=7658724585953713756&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 01:24:52","HTML","","","",,,,,80,20.00,11,7,4,"… In conclusion, the in situ atomic-scale observations and DFT calculations in this work have revealed a site-selective preferential oxidation behaviour in nanotwinned metals at planar …","https://www.nature.com/articles/s41467-020-20876-9","https://scholar.google.com/scholar?q=related:XF5S6m5BSWoJ:scholar.google.com/&scioq=source:%22nature+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
405,"S Hao, M Liu, J Pan, X Liu, X Tan, N Xu, Y He…","Dopants fixation of Ruthenium for boosting acidic oxygen evolution stability and activity",2020,"… communications","nature.com","https://www.nature.com/articles/s41467-020-19212-y","https://scholar.google.com/scholar?cites=16755071687471017383&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 01:24:52","HTML","","","",,,,,405,81.00,51,8,5,"… In light of the reacted ways toward acidic OER, we carried out DFT … Density of states (DOS) from DFT was established to … Further, the DFT results also reveal ΔG for formation of V O at the …","https://www.nature.com/articles/s41467-020-19212-y","https://scholar.google.com/scholar?q=related:py3qde34hegJ:scholar.google.com/&scioq=source:%22nature+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
171,"Z He, J Hwang, Z Gong, M Zhou, N Zhang…","Promoting biomass electrooxidation via modulating proton and oxygen anion deintercalation in hydroxide",2022,"… Communications","nature.com","https://www.nature.com/articles/s41467-022-31484-0","https://scholar.google.com/scholar?cites=7825149034776998915&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 01:24:52","HTML","","","",,,,,171,57.00,29,6,3,"… Combining density functional theory calculations and advanced spectroscopy techniques, we find that doping Co into Ni-hydroxide promotes the deintercalation of proton and oxygen …","https://www.nature.com/articles/s41467-022-31484-0","https://scholar.google.com/scholar?q=related:A7RfdJaDmGwJ:scholar.google.com/&scioq=source:%22nature+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"K Lee, Y Cho, JC Kim, C Choi, J Kim, JK Lee…","Catalyst-free selective oxidation of C(sp3)-H bonds in toluene on water",2024,"… Communications","nature.com","https://www.nature.com/articles/s41467-024-50352-7","https://scholar.google.com/scholar?cites=4752103657836558854&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 01:24:52","HTML","","","",,,,,5,5.00,1,7,1,"… To investigate the interfacial behavior of toluene at the oil–water interface, we employed density functional theory (DFT) calculations (Fig. 3c–e). We theoretically examined enthalpy …","https://www.nature.com/articles/s41467-024-50352-7","https://scholar.google.com/scholar?q=related:BrouXRnd8kEJ:scholar.google.com/&scioq=source:%22nature+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"P Ran, A Qiu, T Liu, F Wang, B Tian, B Xiang…","Universal high-efficiency electrocatalytic olefin epoxidation via a surface-confined radical promotion",2024,"… Communications","nature.com","https://www.nature.com/articles/s41467-024-53049-z","https://scholar.google.com/scholar?cites=7667164003753800327&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 01:24:52","HTML","","","",,,,,5,5.00,1,7,1,"… to perform spin-polarization density functional theory (DFT) calculations by using the Vienna … TS are the free energy, total energy from DFT calculations, zero point energy, and entropic …","https://www.nature.com/articles/s41467-024-53049-z","https://scholar.google.com/scholar?q=related:hzJo_gk9Z2oJ:scholar.google.com/&scioq=source:%22nature+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
123,"W Zhu, X Song, F Liao, H Huang, Q Shao…","Stable and oxidative charged Ru enhance the acidic oxygen evolution reaction activity in two-dimensional ruthenium-iridium oxide",2023,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-41036-9","https://scholar.google.com/scholar?cites=1479704556457176025&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 01:24:52","HTML","","","",,,,,123,61.50,21,6,2,"… We used density functional theory (DFT) simulations to rationalize the observed OER activity and understand the effect of Ru on the OER performance in Ru 0.5 Ir 0.5 O 2 catalyst. …","https://www.nature.com/articles/s41467-023-41036-9","https://scholar.google.com/scholar?q=related:2SsoTHT3iBQJ:scholar.google.com/&scioq=source:%22nature+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
71,"Y Li, Q Shao, H He, C Zhu, XS Xue, J Xie","Highly selective synthesis of all-carbon tetrasubstituted alkenes by deoxygenative alkenylation of carboxylic acids",2022,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-021-27507-x","https://scholar.google.com/scholar?cites=15828677683357769438&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-06 01:24:52","HTML","","","",,,,,71,23.67,12,6,3,"… DFT results provide a strategy for this type of reaction by comparing the Ni(0) oxidative addition … In our case, the Ni(0) oxidative addition barrier is low enough that the higher barrier is …","https://www.nature.com/articles/s41467-021-27507-x","https://scholar.google.com/scholar?q=related:3l6xNH3CqtsJ:scholar.google.com/&scioq=source:%22nature+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
