Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
54,"T Niwa, Y Uetake, M Isoda, T Takimoto, M Nakaoka, ...","Lewis acid-mediated Suzuki–Miyaura cross-coupling reaction",2021,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-021-00719-6","https://scholar.google.com/scholar?cites=6010333318033573893&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 02:27:04","HTML","","","",,,,,54,13.50,9,6,4,"… of the transmetalation-active intermediate enables base-independent transmetalation under heating … We performed DFT calculations for each step of the zinc-mediated SMC reaction to …","https://www.nature.com/articles/s41929-021-00719-6","https://scholar.google.com/scholar?q=related:BQgWA0_-aFMJ:scholar.google.com/&scioq=source:nature+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"S Maiti, P Ghosh, D Raja, S Ghosh, S Chatterjee, ...","Light-induced Pd catalyst enables C(sp2)–C(sp2) cross-electrophile coupling bypassing the demand for transmetalation",2024,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-024-01109-4","https://scholar.google.com/scholar?cites=11885890768870402635&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 02:27:04","","","","",,,,,18,18.00,3,6,1,"… Bypassing the traditional transmetalation step, this technology enables a general strategy for the cross-electrophile coupling of (hetero)aryl halides and pseudohalides. …","","https://scholar.google.com/scholar?q=related:S2qdHa4q86QJ:scholar.google.com/&scioq=source:nature+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
61,"W Huang, M Hu, X Wan, Q Shen","Facilitating the transmetalation step with aryl-zincates in nickel-catalyzed enantioselective arylation of secondary benzylic halides",2019,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-019-10851-4","https://scholar.google.com/scholar?cites=5791083629852240775&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 02:27:04","HTML","","","",,,,,61,10.17,15,4,6,"… metal species if the subsequent transmetalation step is too slow 29,30 . … transmetalation step. Herein, we report the use of lithium aryl zincate [Ph 2 ZnBr]Li facilitates the transmetalation …","https://www.nature.com/articles/s41467-019-10851-4","https://scholar.google.com/scholar?q=related:hyvs_eAPXlAJ:scholar.google.com/&scioq=source:nature+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"S Dutta, S Shandilya, S Yang, MP Gogoi, ...","Cationic-palladium catalyzed regio- and stereoselective syn-1,2-dicarbofunctionalization of unsymmetrical internal alkynes",2022,"Nature …","nature.com","https://www.nature.com/articles/s41467-022-28949-7","https://scholar.google.com/scholar?cites=8090359082406268504&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 02:27:04","HTML","","","",,,,,26,8.67,5,5,3,"… productivity; density functional theory (DFT) studies rationalize the selectivity of the reaction. … Like normal Suzuki reactions, transmetalation of 1 C with aryl boronic acid followed by …","https://www.nature.com/articles/s41467-022-28949-7","https://scholar.google.com/scholar?q=related:WE4ujLi6RnAJ:scholar.google.com/&scioq=source:nature+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
88,"L Guo, W Srimontree, C Zhu, B Maity, X Liu, ...","Nickel-catalyzed Suzuki–Miyaura cross-couplings of aldehydes",2019,"Nature …","nature.com","https://www.nature.com/articles/s41467-019-09766-x","https://scholar.google.com/scholar?cites=15790157343151792161&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 02:27:04","HTML","","","",,,,,88,14.67,15,6,6,"… through hydride abstraction and simultaneously promote transmetalation to allow base-free … for the transmetalation of the boronate). This hypothesis was corroborated by DFT studies (…","https://www.nature.com/articles/s41467-019-09766-x","https://scholar.google.com/scholar?q=related:IaAWmnHoIdsJ:scholar.google.com/&scioq=source:nature+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Y Cho, YH Chang, KP Quirion, ZH Strong, ZJ Dubey, ...","Aryl halide cross-coupling via formate-mediated transfer hydrogenation",2025,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-024-01729-0","https://scholar.google.com/scholar?cites=4793271825181959962&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 02:27:04","","","","",,,,,1,1.00,0,6,1,"… At this stage, DFT calculations were used to discriminate … This result is consistent with previous DFT calculations by … Our DFT calculations indicate that the dimeric oxidative …","","https://scholar.google.com/scholar?q=related:GufbQ1QfhUIJ:scholar.google.com/&scioq=source:nature+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"DM Wang, HM Shan, LQ She, YQ He, Y Wu, ...","Ligand-enabled Ni-catalysed dicarbofunctionalisation of alkenes with diverse native functional groups",2024,"Nature …","nature.com","https://www.nature.com/articles/s41467-024-54170-9","https://scholar.google.com/scholar?cites=4927351370737784982&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 02:27:04","HTML","","","",,,,,2,2.00,0,6,1,"… reaction mechanism, density functional theory (DFT) studies … , generated through twice of transmetalation, could undergo … show that the second transmetalation step to provide the aryl-…","https://www.nature.com/articles/s41467-024-54170-9","https://scholar.google.com/scholar?q=related:lhhcKPd3YUQJ:scholar.google.com/&scioq=source:nature+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"H Wei, Y Luo, J Ren, Q Yuan, W Zhang","Ni (II)-catalyzed asymmetric alkenylation and arylation of aryl ketones with organoborons via 1, 5-metalate shift",2024,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-024-53005-x","https://scholar.google.com/scholar?cites=4380401675759168951&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 02:27:04","HTML","","","",,,,,3,3.00,1,5,1,"… species is formed through transmetalation between the transition … , followed by transmetalation and reductive elimination to … The results of DFT calculations indicated that the proposed …","https://www.nature.com/articles/s41467-024-53005-x","https://scholar.google.com/scholar?q=related:t60moR1QyjwJ:scholar.google.com/&scioq=source:nature+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"X Luo, D Yang, X He, S Wang, D Zhang, J Xu, ...","Valve turning towards on-cycle in cobalt-catalyzed Negishi-type cross-coupling",2023,"Nature …","nature.com","https://www.nature.com/articles/s41467-023-40269-y","https://scholar.google.com/scholar?cites=7794582642384218206&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 02:27:04","HTML","","","",,,,,5,2.50,1,7,2,"… In combination with DFT and in situ IR, it is further clarified that the transmetalation process might be the rate-determining step. Our mechanistic insights guide us to develop an efficient …","https://www.nature.com/articles/s41467-023-40269-y","https://scholar.google.com/scholar?q=related:Xqi8o53rK2wJ:scholar.google.com/&scioq=source:nature+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
46,"CS Day, RJ Somerville, R Martin","Deciphering the dichotomy exerted by Zn(ii) in the catalytic sp2 C–O bond functionalization of aryl esters at the molecular level",2021,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-020-00560-3","https://scholar.google.com/scholar?cites=3083305808173262417&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 02:27:04","","","","",,,,,46,11.50,15,3,4,"… transmetalation predominantly occurred via 4a or 5a. Therefore, we investigated whether transmetalation … ), thus confirming the viability of transmetalation in the absence of halogenated …","https://recercat.cat/bitstream/handle/2072/529771/Nature%20Catalysis_2021_4_124.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:UeYQ5ksayioJ:scholar.google.com/&scioq=source:nature+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
