Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
69,"Y Yu, P Chakraborty, J Song, L Zhu, C Li…","Easy access to medium-sized lactones through metal carbene migratory insertion enabled 1, 4-palladium shift",2020,"Nature …","nature.com","https://www.nature.com/articles/s41467-019-14101-5","https://scholar.google.com/scholar?cites=14713173680660373165&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 22:27:38","HTML","","","",,,,,69,13.80,12,6,5,"… Here, we report a palladium carbene migratory insertion-enabled medium-… From a mechanistic viewpoint, the migratory insertion of … This migration process was further supported by DFT …","https://www.nature.com/articles/s41467-019-14101-5","https://scholar.google.com/scholar?q=related:rV5jQoKxL8wJ:scholar.google.com/&scioq=source:nature+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"Z Ruan, B Li, J Lu, L Gao, S Sun, Y Zhang…","Real-space imaging of a phenyl group migration reaction on metal surfaces",2023,"Nature …","nature.com","https://www.nature.com/articles/s41467-023-36696-6","https://scholar.google.com/scholar?cites=5267811059909806078&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 22:27:38","HTML","","","",,,,,13,6.50,2,7,2,"… To probe the feasibility of these proposed reaction pathways, we then performed DFT … Figure 3a shows a detailed step-by-step migration of phenyl groups migration. The reaction …","https://www.nature.com/articles/s41467-023-36696-6","https://scholar.google.com/scholar?q=related:_kfMuT8GG0kJ:scholar.google.com/&scioq=source:nature+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Y Mi, S Liu, L Hu, Y Wang, R Luo, Y Yu, Z Zhang…","Three-component diels-alder reaction through palladium carbene migratory insertion enabled dearomative C(sp3)-H bond activation",2024,"Nature …","nature.com","https://www.nature.com/articles/s41467-024-55190-1","",3,"2025-05-05 22:27:38","HTML","","","",,,,,0,0.00,0,8,1,"… Source data for the DFT calculation are provided with this paper. The X-ray crystallographic coordinates for structures reported in this study have been deposited at the Cambridge …","https://www.nature.com/articles/s41467-024-55190-1","https://scholar.google.com/scholar?q=related:QQnMBrnR4xwJ:scholar.google.com/&scioq=source:nature+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"D Zhao, B Xu, C Zhu","Migratory allylic arylation of 1, n-enols enabled by nickel catalysis",2023,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-023-38865-z","https://scholar.google.com/scholar?cites=3854251718188113507&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 22:27:38","HTML","","","",,,,,2,1.00,1,3,2,"… Olefin migration has been observed to preferentially occur with … DFT studies suggest that π-allyl metal species migration consists of the sequential β-H elimination and migratory insertion…","https://www.nature.com/articles/s41467-023-38865-z","https://scholar.google.com/scholar?q=related:Y56KWYQNfTUJ:scholar.google.com/&scioq=source:nature+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
147,"A Sood, AD Poletayev, DA Cogswell…","Electrochemical ion insertion from the atomic to the device scale",2021,"Nature Reviews …","nature.com","https://www.nature.com/articles/s41578-021-00314-y","https://scholar.google.com/scholar?cites=4211082673748601833&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 22:27:38","","","","",,,,,147,36.75,37,4,4,"… ion-insertion compounds. In this Review, we present a unified framework for understanding insertion … We illustrate similarities in the operating principles of various ion-insertion devices, …","https://arxiv.org/pdf/2011.12991","https://scholar.google.com/scholar?q=related:6WuWaGHFcDoJ:scholar.google.com/&scioq=source:nature+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
178,"Y Zhao, I Yavuz, M Wang, MH Weber, M Xu, JH Lee…","Suppressing ion migration in metal halide perovskite via interstitial doping with a trace amount of multivalent cations",2022,"Nature Materials","nature.com","https://www.nature.com/articles/s41563-022-01390-3","https://scholar.google.com/scholar?cites=5292478430395987899&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 22:27:38","","","","",,,,,178,59.33,25,7,3,"… 17), which is consistent with the large energy barrier of the interstitial Nd 3+ migration confirmed by DFT simulations (Supplementary Figs. 25 and 26). Through Nd 3+ doping, …","https://www.osti.gov/servlets/purl/1900597","https://scholar.google.com/scholar?q=related:u3creRepckkJ:scholar.google.com/&scioq=source:nature+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
100,"SF McWilliams, DLJ Broere, CJV Halliday, SM Bhutto…","Coupling dinitrogen and hydrocarbons through aryl migration",2020,"Nature","nature.com","https://www.nature.com/articles/s41586-020-2565-5","https://scholar.google.com/scholar?cites=6668608497853490763&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 22:27:38","","","","",,,,,100,20.00,20,5,5,"… 23–25) support this difference, and density functional theory (DFT) studies indicate that the molecules have high-spin electronic configurations (spin states are S = 1 for 3-K and S = 2 for …","https://pmc.ncbi.nlm.nih.gov/articles/PMC7430000/pdf/nihms-1596214.pdf","https://scholar.google.com/scholar?q=related:S2a11Bioi1wJ:scholar.google.com/&scioq=source:nature+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
138,"J Zhao, S Ji, C Guo, H Li, J Dong, P Guo, D Wang…","A heterogeneous iridium single-atom-site catalyst for highly regioselective carbenoid O–H bond insertion",2021,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-021-00637-7","https://scholar.google.com/scholar?cites=9781346388209730986&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 22:27:38","","","","",,,,,138,34.50,17,8,4,"… insertion of a nucleophilic hydroxyl group difficult 3 . Notably, a selective O–H insertion of glycosides has been reported by Tang and co-workers; however, density-functional theory (DFT…","https://escholarship.org/content/qt4t9775r9/qt4t9775r9.pdf","https://scholar.google.com/scholar?q=related:qoVKXrdSvocJ:scholar.google.com/&scioq=source:nature+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"R Devi, B Singh, P Canepa…","Effect of exchange-correlation functionals on the estimation of migration barriers in battery materials",2022,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-022-00837-0","https://scholar.google.com/scholar?cites=16193506043563820078&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 22:27:38","HTML","","","",,,,,31,10.33,8,4,3,"… computationally intensive density functional theory 14,15 (DFT)-… Our work focuses on DFT-NEB calculations, which usually is … All density functional theory calculations in this work were …","https://www.nature.com/articles/s41524-022-00837-0","https://scholar.google.com/scholar?q=related:LkTDIvPjuuAJ:scholar.google.com/&scioq=source:nature+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"JX Shen, HH Li, A Rutt, MK Horton…","Topological graph-based analysis of solid-state ion migration",2023,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-023-01051-2","https://scholar.google.com/scholar?cites=6626988824170374332&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 22:27:38","HTML","","","",,,,,7,3.50,1,5,2,"… , for each candidate site, a working ion is inserted and the structure is allowed to relax using density-functional theory calculations. An inserted structure is considered “topotactic” if the …","https://www.nature.com/articles/s41524-023-01051-2","https://scholar.google.com/scholar?q=related:vKQoaznL91sJ:scholar.google.com/&scioq=source:nature+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
