Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"WZBM Tackett, JGCF Jiao¹","Bimetallic Electrocatalysts for CO2 Reduction",2020,"Electrocatalysis","books.google.com","https://books.google.com/books?hl=en&lr=&id=ei3YDwAAQBAJ&oi=fnd&pg=PA105&dq=source:nature+co2rr+dft&ots=PKA7-T5WR6&sig=U9JRFkdI0iuBJ0lBP8njee6hQp4","",412,"2025-05-06 02:02:36","","","","",,,,,0,0.00,0,2,5,"… Density functional theory (DFT) calculations revealed that the larger Au composition in … could also enhance CO2RR selectivity and activity. In general, the final CO2RR products are …","","https://scholar.google.com/scholar?q=related:4nOunTN6QH0J:scholar.google.com/&scioq=source:nature+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"H Sabet-Sarvestani, M Izadyar…","Theoretical Approaches to CO2",2021,"… Dioxide Utilization to …","books.google.com","https://books.google.com/books?hl=en&lr=&id=L_5REAAAQBAJ&oi=fnd&pg=PA152&dq=source:nature+co2rr+dft&ots=dNYdYh9dX-&sig=8plqawo8_rYUAIRx2MLJrtsodpE","",419,"2025-05-06 02:02:36","","","","",,,,,0,0.00,0,3,4,"… In this chapter, a comprehensive discussion by the DFT calculations is represented about the … of CO2RR are extracted from petrochemical sources, their manufacture via CO2RR could …","","https://scholar.google.com/scholar?q=related:GkrmPbEaHc8J:scholar.google.com/&scioq=source:nature+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"J Fan, Q Xu, Q Li, J Wang","for Electrocatalysis",2021,"Core-Shell and Yolk-Shell …","books.google.com","https://books.google.com/books?hl=en&lr=&id=zeAuEAAAQBAJ&oi=fnd&pg=PA303&dq=source:nature+co2rr+dft&ots=iujIKklUwp&sig=jyOmr1P5TIYg7VEZRtYkxMqLSK0","https://scholar.google.com/scholar?cites=6257769529296203214&as_sdt=2005&sciodt=0,5&hl=en",433,"2025-05-06 02:02:36","","","","",,,,,1,0.25,0,4,4,"… dioxide electroreduction reaction (CO2RR) helps lower the … improve the energy efficiency of CO2RR. The wide application of … Density functional theory (DFT) simulations suggested that …","","https://scholar.google.com/scholar?q=related:zq32VzsQ2FYJ:scholar.google.com/&scioq=source:nature+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"P Hess","Bonding, Structure, and Performance of Two-Dimensional Materials: An Introduction Based on the Periodic Table",2025,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=KxJVEQAAQBAJ&oi=fnd&pg=PR5&dq=source:nature+co2rr+dft&ots=SPuJvNyY9v&sig=nC6NzxuIx-xuvx2ObT-u8LWVymE","",451,"2025-05-06 02:02:36","BOOK","","","",,,,,0,0.00,0,1,1,"This book presents a wealth of results obtained by first-principles calculations, molecular dynamics simulations, and tight-binding modeling on two-dimensional covalent bonding and …","","https://scholar.google.com/scholar?q=related:JJytbQe2w38J:scholar.google.com/&scioq=source:nature+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Liu, M Dupuis","Highlights, Challenges, and Prospects",2022,"… Topics in Bioactivity, Environment and Energy …","books.google.com","https://books.google.com/books?hl=en&lr=&id=xHGHEAAAQBAJ&oi=fnd&pg=PA3&dq=source:nature+co2rr+dft&ots=y1FWZAJgNl&sig=CY8Vgyd_zeNMCDOnNHGeZ8OvsXQ","",453,"2025-05-06 02:02:36","","","","",,,,,0,0.00,0,2,3,"… have emerged also recently that afford the characterization of exciton structures and lifetimes, based on non-adiabatic molecular dynamics combined with density functional theory and …","","https://scholar.google.com/scholar?q=related:8izudzpe5m4J:scholar.google.com/&scioq=source:nature+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"Y Yao","Controllable Synthesis and Atomic Scale Regulation of Noble Metal Catalysts",2022,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=Td9mEAAAQBAJ&oi=fnd&pg=PR5&dq=source:nature+co2rr+dft&ots=z__HLxzn3T&sig=ZGvfkX-GEdRDOFBZUJ8R192xv78","https://scholar.google.com/scholar?cites=5987385236312846539&as_sdt=2005&sciodt=0,5&hl=en",455,"2025-05-06 02:02:36","BOOK","","","",,,,,2,0.67,2,1,3,"This book introduces readers to the preparation of metal nanocrystals and its applications. In this book, an important point highlighted is how to design noble metal nanocrystals at the …","","https://scholar.google.com/scholar?q=related:y3DYXyZ3F1MJ:scholar.google.com/&scioq=source:nature+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"TN Gemeda, LH Chang, YT Liang…","A Reduction Recent Review in Generating on Photocatalytic Sustainable CO2 Carbon-Based Fuels",2022,"Photocatalytic …","books.google.com","https://books.google.com/books?hl=en&lr=&id=IfaVEAAAQBAJ&oi=fnd&pg=PA204&dq=source:nature+co2rr+dft&ots=cvylc7TKeX&sig=a1z7vhYbreL3VYe7CN8Mr3z1Tjs","",456,"2025-05-06 02:02:36","","","","",,,,,0,0.00,0,4,3,"… active site when it is excited and facilitates CO2RR which requires multi-electron transfer. … be clarified using density functional theory (DFT) computations. STM and DFT working together …","","https://scholar.google.com/scholar?q=related:NfLId98TAv0J:scholar.google.com/&scioq=source:nature+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
402,"Y Xie, P Ou, X Wang, Z Xu, YC Li, Z Wang, JE Huang…","High carbon utilization in CO2 reduction to multi-carbon products in acidic media",2022,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-022-00788-1","https://scholar.google.com/scholar?cites=15434100721319965030&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 02:02:36","","","","",,,,,402,134.00,50,8,3,"… In light of 1D transport simulations and DFT calculations, we sought to prepare Pd–Cu catalysts and evaluate their CO 2 RR activity in the electrolyte at pH ~2.0. Pd was introduced onto …","https://utoronto.scholaris.ca/bitstreams/836c61d9-ad15-4880-a9c1-889473639893/download","https://scholar.google.com/scholar?q=related:ZnHgKdXwMNYJ:scholar.google.com/&scioq=source:nature+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
148,"S Kong, X Lv, X Wang, Z Liu, Z Li, B Jia, D Sun…","Delocalization state-induced selective bond breaking for efficient methanol electrosynthesis from CO2",2023,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-022-00887-z","https://scholar.google.com/scholar?cites=15709237593675365947&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 02:02:36","","","","",,,,,148,74.00,19,8,2,"… of the CO 2 RR, DFT calculations were conducted to investigate the CO 2 RR selectivity on … Moreover, the free-energy diagrams illustrate how the CO 2 RR pathways proceed via the *…","https://www.researchgate.net/profile/Zhengzheng-Liu-3/publication/366206178_Delocalization_state-induced_selective_bond_breaking_for_efficient_methanol_electrosynthesis_from_CO2/links/64217dfea1b72772e42f496c/Delocalization-state-induced-selective-bond-breaking-for-efficient-methanol-electrosynthesis-from-CO2.pdf","https://scholar.google.com/scholar?q=related:O347P1xsAtoJ:scholar.google.com/&scioq=source:nature+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
42,"Z Chen, Z Liu, X Xu","Accurate descriptions of molecule-surface interactions in electrocatalytic CO2 reduction on the copper surfaces",2023,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-023-36695-7","https://scholar.google.com/scholar?cites=14775849502140520175&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 02:02:36","HTML","","","",,,,,42,21.00,14,3,2,"… Density functional theory (DFT) has been the method of … equilibrium and onset potentials for CO 2 RR to CO on Au, Ag, … GGA scheme to study the electrocatalytic CO 2 RR to CO on Cu(…","https://www.nature.com/articles/s41467-023-36695-7","https://scholar.google.com/scholar?q=related:79a3HdZcDs0J:scholar.google.com/&scioq=source:nature+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
74,"X Qin, HA Hansen, K Honkala, MM Melander","Cation-induced changes in the inner- and outer-sphere mechanisms of electrocatalytic CO2 reduction",2023,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-023-43300-4","https://scholar.google.com/scholar?cites=12209174496489458696&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 02:02:36","HTML","","","",,,,,74,37.00,19,4,2,"… CO 2 RR via constrained density functional theory molecular dynamics (cDFT-MD) and slow-growth DFT-MD (SG-DFT-… outer-sphere pathways of CO 2 RR, offering substantial insights …","https://www.nature.com/articles/s41467-023-43300-4","https://scholar.google.com/scholar?q=related:CEwDgISzb6kJ:scholar.google.com/&scioq=source:nature+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
1021,"Y Zhou, F Che, M Liu, C Zou, Z Liang, P De Luna…","Dopant-induced electron localization drives CO2 reduction to C2 hydrocarbons",2018,"Nature …","nature.com","https://www.nature.com/articles/s41557-018-0092-x","https://scholar.google.com/scholar?cites=9634843958932822686&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 02:02:36","","","","",,,,,1021,145.86,146,7,7,"… Density functional theory (DFT) studies establish boron doping as a promising … CO 2 RR using in situ XANES. The oxidation state of copper increases with boron content under CO 2 RR …","https://repository.uantwerpen.be/docman/irua/48ef5f/153693_2019_03_01.pdf","https://scholar.google.com/scholar?q=related:nlqCdojXtYUJ:scholar.google.com/&scioq=source:nature+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
203,"X Su, Z Jiang, J Zhou, H Liu, D Zhou, H Shang…","Complementary Operando Spectroscopy identification of in-situ generated metastable charge-asymmetry Cu2-CuN3 clusters for CO2 reduction to ethanol",2022,"Nature …","nature.com","https://www.nature.com/articles/s41467-022-29035-8","https://scholar.google.com/scholar?cites=8500435028987851769&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 02:02:36","HTML","","","",,,,,203,67.67,29,7,3,"… Herein, we synthesized high-performance CO 2 RR catalyst comprising of CuO … DFT calculations were performed within the frame of plane-wave-based density functional theory (DFT) …","https://www.nature.com/articles/s41467-022-29035-8","https://scholar.google.com/scholar?q=related:-bMbI5-c93UJ:scholar.google.com/&scioq=source:nature+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
61,"DH Mok, H Li, G Zhang, C Lee, K Jiang…","Data-driven discovery of electrocatalysts for CO2 reduction using active motifs-based machine learning",2023,"Nature …","nature.com","https://www.nature.com/articles/s41467-023-43118-0","https://scholar.google.com/scholar?cites=7645419196904935215&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 02:02:36","HTML","","","",,,,,61,30.50,10,6,2,"… Here, by merging pre-developed ML model and a CO 2 RR selectivity map, we establish … selectivity of CO 2 RR for 465 binary combinations without performing any DFT calculations and …","https://www.nature.com/articles/s41467-023-43118-0","https://scholar.google.com/scholar?q=related:L494nkD8GWoJ:scholar.google.com/&scioq=source:nature+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
