Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"H Sabet-Sarvestani, M Izadyar…","Theoretical Approaches to CO2",2021,"… Dioxide Utilization to …","books.google.com","https://books.google.com/books?hl=en&lr=&id=L_5REAAAQBAJ&oi=fnd&pg=PA152&dq=source:nature+carbonylation+dft&ots=dNYdYh9kZZ&sig=9uC29jkBn9l4FOIbdPB5099znnM","",225,"2025-05-06 02:19:47","","","","",,,,,0,0.00,0,3,4,"… techniques, density functional theory (DFT) modeling is a … DFT-based approaches are valuable strategies to overcome … In this chapter, a comprehensive discussion by the DFT …","","https://scholar.google.com/scholar?q=related:GkrmPbEaHc8J:scholar.google.com/&scioq=source:nature+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"Y Lan, CX Cui, S Liu, CX Li, R Bai","Computational Advances of Rh-Catalyzed C–H Functionalization: From Elementary Reaction to Mechanism",2021,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=WHggEAAAQBAJ&oi=fnd&pg=PR5&dq=source:nature+carbonylation+dft&ots=ToGeaenwkN&sig=3uX_qsMmAqn0upR6enXsqvtznDM","https://scholar.google.com/scholar?cites=1365268359195515288&as_sdt=2005&sciodt=0,5&hl=en",263,"2025-05-06 02:19:47","BOOK","","","",,,,,2,0.50,0,5,4,"This book offers a comprehensive overview of recent theoretical studies on rhodium-catalyzed CH functionalization, a topic that has attracted considerable attention over the years. It …","","https://scholar.google.com/scholar?q=related:mNnt1FZo8hIJ:scholar.google.com/&scioq=source:nature+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"PR Selvakannan, L Hoang, VV Kumar…","Selective Hydrogenation of 1, 3-Butadiene to",2021,"Catalysis for Clean …","books.google.com","https://books.google.com/books?hl=en&lr=&id=lhwnEAAAQBAJ&oi=fnd&pg=PA205&dq=source:nature+carbonylation+dft&ots=Y4j7xpcUjv&sig=qylYFTY26zW0kC7W0mx6IE3IYn4","",278,"2025-05-06 02:19:47","","","","",,,,,0,0.00,0,4,4,"… Finally, a brief overview of the theoretical investigations for 1, 3-butadiene hydrogenation using density functional theory (DFT) calculations has also been discussed for a variety of …","","https://scholar.google.com/scholar?q=related:OKZpgYGhFqAJ:scholar.google.com/&scioq=source:nature+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"VK Tiwari, A Kumar, S Rajkhowa, G Tripathi, AK Singh","Green Chemistry: Introduction, Application and Scope",2022,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=Qw-HEAAAQBAJ&oi=fnd&pg=PR5&dq=source:nature+carbonylation+dft&ots=RogUW5uuPA&sig=yKDmsemE5nJYPdMRo0-nfi4ZNl8","https://scholar.google.com/scholar?cites=2414434024005577099&as_sdt=2005&sciodt=0,5&hl=en",285,"2025-05-06 02:19:47","BOOK","","","",,,,,2,0.67,0,5,3,"… metal-catalyzed hydrogenation and carbonylation steps through the formation of alcohol (22) (Scheme 15). Out of which the catalytic hydrogenation and carbonylation steps were highly …","","https://scholar.google.com/scholar?q=related:iyl43vPKgSEJ:scholar.google.com/&scioq=source:nature+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"OH CH3O, H OO","3.7. 2 Sequential C–H Activation and Inner-Sphere Carbene Insertion",2021,"Computational Advances of Rh-Catalyzed C …","books.google.com","https://books.google.com/books?hl=en&lr=&id=WHggEAAAQBAJ&oi=fnd&pg=PA80&dq=source:nature+carbonylation+dft&ots=ToGeaenwnE&sig=O-Lw5J3352eCw99C2rV_ONlnFEM","",293,"2025-05-06 02:19:47","","","","",,,,,0,0.00,0,2,4,"… In 2015, Xie and co-workers [193] reported a DFT study on the mechanism of dirhodium-… a novel carbonylation at a CH bond in the piperazine ring. Organometallics 16: 3615–3622 …","","https://scholar.google.com/scholar?q=related:3COkgfdb95kJ:scholar.google.com/&scioq=source:nature+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"A Imayoshi","Discrimination of Mobile Supramolecular Chirality: Acylative Molecular Transformations by Organocatalysis",2021,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=k_FPEAAAQBAJ&oi=fnd&pg=PR5&dq=source:nature+carbonylation+dft&ots=cKGxDI85QJ&sig=_xahlqdBJU1lpM5MTqHT39vfyqI","https://scholar.google.com/scholar?cites=17073097605316732785&as_sdt=2005&sciodt=0,5&hl=en",297,"2025-05-06 02:19:47","BOOK","","","",,,,,1,0.25,1,1,4,"… Makoto Sato for their substantial contributions to DFT calculations and useful discussions. I … Triflation of 1,7-dihydroxynaphthalene followed by carbonylation gave dimethyl ester 34. …","https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/215486/7/dykkk00048.pdf","https://scholar.google.com/scholar?q=related:ced5nNDT7-wJ:scholar.google.com/&scioq=source:nature+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"M Fioroni","Organometallic/Metallorganic Chemistry: Its Role in Prebiotic",2022,"Prebiotic Chemistry and the Origin of Life","books.google.com","https://books.google.com/books?hl=en&lr=&id=_JpXEAAAQBAJ&oi=fnd&pg=PA1&dq=source:nature+carbonylation+dft&ots=MKOHopZBAH&sig=qRH_LiwRquxITIHj67uk7qpW9BI","",298,"2025-05-06 02:19:47","","","","",,,,,0,0.00,0,1,3,"Without transition metals (TM) Life would not exist, at least not in the form we know. In fact, first row TM share an important ubiquitous presence in all Phyla where 30% of all proteins are …","","https://scholar.google.com/scholar?q=related:5tdWEGygVskJ:scholar.google.com/&scioq=source:nature+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"GK Mahato","Azobenzenes: Photoswitching and Their Chemical Sensor Application",2024,"… From Nature to Lab: Exploring Colour From Nature …","books.google.com","https://books.google.com/books?hl=en&lr=&id=31UsEQAAQBAJ&oi=fnd&pg=PA83&dq=source:nature+carbonylation+dft&ots=JxmTGXyWa7&sig=Lz_l3fceanJa1qsFcYDYG9VwBOk","",311,"2025-05-06 02:19:47","","","","",,,,,0,0.00,0,1,1,"… 1H NMR titrations and density functional theory (DFT) calculations confirmed that, in addition to the polyether residues, the sucrose ring oxygen and azobenzene nitrogen atoms also …","","https://scholar.google.com/scholar?q=related:7MEfSoDx9vQJ:scholar.google.com/&scioq=source:nature+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"SF Siyuan Fang…","Photocatalytic CO2 reduction",2025,"nature reviews …","catalysis.eprints.iitm.ac.in","http://catalysis.eprints.iitm.ac.in/4420/","",295,"2025-05-06 02:19:47","","","","",,,,,0,0.00,0,2,1,"… density functional theory (DFT), is most widely used to explore the photocatalytic CO2 reduction mechanism. DFT … Furthermore, DFT can predict the interactions between the catalyst and …","http://catalysis.eprints.iitm.ac.in/4420/1/s43586-023-00243-w.pdf","https://scholar.google.com/scholar?q=related:ZF4AtqAIL2UJ:scholar.google.com/&scioq=source:nature+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"G Chandra, U Rani, B Mahto…","Azobenzenes: Photoswitching and Their Chemical Sensor Application",2024,"… Colour From Nature to …","intechopen.com","https://www.intechopen.com/chapters/1183758","",314,"2025-05-06 02:19:47","HTML","","","",,,,,0,0.00,0,4,1,"… H NMR titrations and density functional theory (DFT) calculations confirmed that, in addition to the polyether residues, the sucrose ring oxygen and azobenzene nitrogen atoms also …","https://www.intechopen.com/chapters/1183758","https://scholar.google.com/scholar?q=related:M_8Jvp5ecloJ:scholar.google.com/&scioq=source:nature+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
