Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
50,"CF Liu, H Wang, RT Martin, H Zhao, O Gutierrez…","Olefin functionalization/isomerization enables stereoselective alkene synthesis",2021,"Nature …","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00658-2&casa_token=iJ5MzoMGU1EAAAAA:pVgo-qK1LP1qncCCeFSfN3u83K2rVBzpQcxm7EvWwilxbhxRJY0myLP2loa-McgMreoPykPcKl7e70qt","https://scholar.google.com/scholar?cites=13822411865091468549&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 01:47:28","HTML","","","",,,,,50,12.50,8,6,4,"… olefin metathesis relies on the use of trisubstituted substrates through stereoretentive processes, which for 1,1-disubstituted olefins … Taken together, these DFT results reveal the crucial …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00658-2&casa_token=iJ5MzoMGU1EAAAAA:pVgo-qK1LP1qncCCeFSfN3u83K2rVBzpQcxm7EvWwilxbhxRJY0myLP2loa-McgMreoPykPcKl7e70qt","https://scholar.google.com/scholar?q=related:Be3rZVsS078J:scholar.google.com/&scioq=source:nature+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"TZH Gani, ZJ Berkson, R Zhu, JH Kang, JR Di Iorio…","Promoting active site renewal in heterogeneous olefin metathesis catalysts",2023,"Nature","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41586-023-05897-w&casa_token=O6tTmrbw03cAAAAA:FFU_nF-Aqp9k3sYpvGzNc_oo0174xBZ30qzVUFDvBKDhDBIRQhL4sIXQcB31nB0iPKhbbCCYEkvZLh2U","https://scholar.google.com/scholar?cites=6393283334271567193&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 01:47:28","HTML","","","",,,,,25,12.50,4,6,2,"As an atom-efficient strategy for the large-scale interconversion of olefins, heterogeneously catalysed olefin metathesis sees commercial applications in the petrochemical, polymer and …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41586-023-05897-w&casa_token=O6tTmrbw03cAAAAA:FFU_nF-Aqp9k3sYpvGzNc_oo0174xBZ30qzVUFDvBKDhDBIRQhL4sIXQcB31nB0iPKhbbCCYEkvZLh2U","https://scholar.google.com/scholar?q=related:WYWux1GBuVgJ:scholar.google.com/&scioq=source:nature+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
182,"D Sathe, J Zhou, H Chen, HW Su, W Xie, TG Hsu…","Olefin metathesis-based chemically recyclable polymers enabled by fused-ring monomers",2021,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-021-00748-5&casa_token=srNlG_fzOi0AAAAA:Ng2_WqLFiLuu7Wcy-B3QvRHY0ZeN6lb_RD_nhhOSkiWBoJPL0rlJsZGWZLb20Eix3WGC2DrCxDkrQpaZ","https://scholar.google.com/scholar?cites=6290879280260506069&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 01:47:28","HTML","","","",,,,,182,45.50,26,7,4,"… is the one that is based on olefin metathesis 15 . Since … density functional theory at the B3LYP/6-31G(d,p) level, which provided reasonable predictions for the RSEs of cyclic olefins 22 . …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-021-00748-5&casa_token=srNlG_fzOi0AAAAA:Ng2_WqLFiLuu7Wcy-B3QvRHY0ZeN6lb_RD_nhhOSkiWBoJPL0rlJsZGWZLb20Eix3WGC2DrCxDkrQpaZ","https://scholar.google.com/scholar?q=related:1eHK-F-xTVcJ:scholar.google.com/&scioq=source:nature+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"S Takebayashi, MA Iron, M Feller…","Iron-catalysed ring-opening metathesis polymerization of olefins and mechanistic studies",2022,"Nature …","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-022-00793-4&casa_token=N3iez3Nb2kgAAAAA:GVWW2BRTS5d7HbiZakYBd-JhWWXUSiOrIp6UyaKnhUjTW_DdzTCZBU606gKVVh80rCLbn9jJq1dZEt3H","https://scholar.google.com/scholar?cites=15042535428019677574&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 01:47:28","HTML","","","",,,,,28,9.33,7,4,3,"… To the best of our knowledge, the exclusive trans-selective olefin metathesis from cis-olefins … , was reported 45,46 , and density functional theory (DFT) calculation suggested a possible …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-022-00793-4&casa_token=N3iez3Nb2kgAAAAA:GVWW2BRTS5d7HbiZakYBd-JhWWXUSiOrIp6UyaKnhUjTW_DdzTCZBU606gKVVh80rCLbn9jJq1dZEt3H","https://scholar.google.com/scholar?q=related:hmlX5EXSwdAJ:scholar.google.com/&scioq=source:nature+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"QH Wu, M Duan, Y Chen, P Yu, YB Wang, JK Cheng…","Organocatalytic olefin C–H functionalization for enantioselective synthesis of atropisomeric 1, 3-dienes",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01097-x&casa_token=cou_QLDepG0AAAAA:ZA9aHnqwVioL-wrSgNP479rtw4LaDlRPRJy9nSVJbdN-_bq5VPfzfn4fRmZ1kHfqhvzu6wpYQLrtmjGy","https://scholar.google.com/scholar?cites=12424706757584724646&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 01:47:28","HTML","","","",,,,,13,13.00,2,7,1,"… To investigate the detailed reaction mechanism, density functional theory (DFT) calculations were performed on the reaction of substrate 1a to form product 2a stereoselectively. The …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01097-x&casa_token=cou_QLDepG0AAAAA:ZA9aHnqwVioL-wrSgNP479rtw4LaDlRPRJy9nSVJbdN-_bq5VPfzfn4fRmZ1kHfqhvzu6wpYQLrtmjGy","https://scholar.google.com/scholar?q=related:pqI7lPdsbawJ:scholar.google.com/&scioq=source:nature+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
148,"MJ Koh, TT Nguyen, JK Lam, S Torker, J Hyvl…","Molybdenum chloride catalysts for Z-selective olefin metathesis reactions",2017,"Nature","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nature21043&casa_token=MCXGWpO11-sAAAAA:kEx0soVTsX5qkS8koUEie6dJIZ6por96QsmPMDVA9oPJ67MkqoeJe_q3mrFQ6qvV09cAX1vdc2SopG-I","https://scholar.google.com/scholar?cites=10224841574568832158&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 01:47:28","HTML","","","",,,,,148,18.50,25,6,8,"… The origins of the activity and selectivity levels observed, which contradict previously proposed principles 5 , are elucidated with the aid of density functional theory calculations. …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nature21043&casa_token=MCXGWpO11-sAAAAA:kEx0soVTsX5qkS8koUEie6dJIZ6por96QsmPMDVA9oPJ67MkqoeJe_q3mrFQ6qvV09cAX1vdc2SopG-I","https://scholar.google.com/scholar?q=related:nizSED3v5Y0J:scholar.google.com/&scioq=source:nature+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"J Zhu, R Zhang, G Dong","Orthogonal cross-coupling through intermolecular metathesis of unstrained C (aryl)–C (aryl) single bonds",2021,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-021-00757-4&casa_token=_gwYRiIHkLwAAAAA:rcPXpCYjM6wVXXzTzl4qKyAIQhi7TNyhBspVsRyxDtQnHyQBlturo3Mzs1OxYaChY-Y47S--XmeUSwmI","https://scholar.google.com/scholar?cites=15424019726061282453&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 01:47:28","HTML","","","",,,,,13,3.25,4,3,4,"… olefin metathesis, have been well established with broad utility in organic synthesis and materials science, direct metathesis of … optimization, density functional theory (DFT) calculations …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-021-00757-4&casa_token=_gwYRiIHkLwAAAAA:rcPXpCYjM6wVXXzTzl4qKyAIQhi7TNyhBspVsRyxDtQnHyQBlturo3Mzs1OxYaChY-Y47S--XmeUSwmI","https://scholar.google.com/scholar?q=related:lSSAjDggDdYJ:scholar.google.com/&scioq=source:nature+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Y Guo, C Yang, L Zhang, Y Hu, J Hao, C Jia…","Full on-device manipulation of olefin metathesis for precise manufacturing",2025,"Nature …","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41565-024-01814-y&casa_token=yZBaL9zIN70AAAAA:UN4NQpFW5ezyMCEpdYQQ7Dh5EnkdZSZwv0zQI2v46J3ARpH_Y1ygs2XKOZ_BJ-e8oxhStDpNIuEiiAq2","https://scholar.google.com/scholar?cites=1126866921336066932&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 01:47:28","HTML","","","",,,,,1,1.00,0,7,1,"… All density functional theory computations were performed with Gaussian 09 software 51 . … molecular junctions were explored using the density functional theory combined with the non-…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41565-024-01814-y&casa_token=yZBaL9zIN70AAAAA:UN4NQpFW5ezyMCEpdYQQ7Dh5EnkdZSZwv0zQI2v46J3ARpH_Y1ygs2XKOZ_BJ-e8oxhStDpNIuEiiAq2","https://scholar.google.com/scholar?q=related:dNNfm35vow8J:scholar.google.com/&scioq=source:nature+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"V Hutskalova, C Sparr","Aromatic ring-opening metathesis",2025,"Nature","nature.com","https://www.nature.com/articles/s41586-024-08472-z","https://scholar.google.com/scholar?cites=3258598864598804419&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 01:47:28","HTML","","","",,,,,5,5.00,3,2,1,"… 2,3,33,34,35,36 , the opening of arenes by metathesis remained unprecedented. Density functional theory calculations of metathesis reactions even suggested the inability of benzene …","https://www.nature.com/articles/s41586-024-08472-z","https://scholar.google.com/scholar?q=related:wyfnDWfeOC0J:scholar.google.com/&scioq=source:nature+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
258,"M Yu, C Wang, AF Kyle, P Jakubec, DJ Dixon…","Synthesis of macrocyclic natural products by catalyst-controlled stereoselective ring-closing metathesis",2011,"Nature","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nature10563&casa_token=Vkjyml0Qw-sAAAAA:NIbJX7qjlIvifgFkKV49Sl4yuxUGR6kQAbthHdwH5-aEnoKnposMWb2Yi33PF21_78cSLPkFDxlDbP-R","https://scholar.google.com/scholar?cites=8028015735568133993&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 01:47:28","HTML","","","",,,,,258,18.43,43,6,14,"… We have introduced several types of intermolecular Z-selective olefin metathesis reactions … Torker and DL Silverio for DFT calculations; K. Wu for experimental assistance; and Boston …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nature10563&casa_token=Vkjyml0Qw-sAAAAA:NIbJX7qjlIvifgFkKV49Sl4yuxUGR6kQAbthHdwH5-aEnoKnposMWb2Yi33PF21_78cSLPkFDxlDbP-R","https://scholar.google.com/scholar?q=related:ae_I-cY9aW8J:scholar.google.com/&scioq=source:nature+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
105,"EF Van der Eide, WE Piers","Mechanistic insights into the ruthenium-catalysed diene ring-closing metathesis reaction",2010,"Nature chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.653&casa_token=vGKwpdg-MQoAAAAA:pjS5No5uLMchvuO-8ETC8gku4UHfp5-QjIoLwx5yJ3t-96wUa6bbyy14Xej_JK3v69tFr3ljraOSCW6I","https://scholar.google.com/scholar?cites=13179238254681394978&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-06 01:47:28","HTML","","","",,,,,105,7.00,53,2,15,"… The reversible conversion of ruthenacyclobutanes into their higher energy alkene–alkylidene isomers is a key step in the mechanism of olefin metathesis that can be probed …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.653&casa_token=vGKwpdg-MQoAAAAA:pjS5No5uLMchvuO-8ETC8gku4UHfp5-QjIoLwx5yJ3t-96wUa6bbyy14Xej_JK3v69tFr3ljraOSCW6I","https://scholar.google.com/scholar?q=related:Ig-GtF0P5rYJ:scholar.google.com/&scioq=source:nature+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"PA Chen, X Kang, K Li, Z Jian","Tailored synthesis of circular polyolefins",2025,"Nature Sustainability","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41893-025-01524-w&casa_token=sTdoeYbv2qMAAAAA:ARNHC1x0z_xxwCUG3EiINWIq35fmHg-ADJFDPdlPaTSrmePDzf-py0EIEciw3eUw0lEpHyj7owJ5Ukcy","",12,"2025-05-06 01:47:28","HTML","","","",,,,,0,0.00,0,4,1,"… copolymerizing cyclooctene (COE) and cyclic olefins with bifunctional silyl ether via ROMP … -opening metathesis copolymerization is crucial. Thus, we used density functional theory (DFT…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41893-025-01524-w&casa_token=sTdoeYbv2qMAAAAA:ARNHC1x0z_xxwCUG3EiINWIq35fmHg-ADJFDPdlPaTSrmePDzf-py0EIEciw3eUw0lEpHyj7owJ5Ukcy","https://scholar.google.com/scholar?q=related:5ylTMTI34JkJ:scholar.google.com/&scioq=source:nature+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
228,"MJ Koh, RKM Khan, S Torker, M Yu, MS Mikus…","High-value alcohols and higher-oxidation-state compounds by catalytic Z-selective cross-metathesis",2015,"Nature","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nature14061&casa_token=Av7TP1gL1iQAAAAA:ee-H2cgx6ppJguchE5IwKY8yhCtWJUX6vvCl8R4CxUB-5cjAq3_cQAD6yOm-W3qGWz4imuLNAIhm0LKY","https://scholar.google.com/scholar?cites=6608388044839107248&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-06 01:47:28","HTML","","","",,,,,228,22.80,38,6,10,"… owing to post-olefin metathesis isomerization 9 . The most recently developed Ru complexes for Z-selective olefin metathesis, … e, Density functional theory calculations indicate that the …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nature14061&casa_token=Av7TP1gL1iQAAAAA:ee-H2cgx6ppJguchE5IwKY8yhCtWJUX6vvCl8R4CxUB-5cjAq3_cQAD6yOm-W3qGWz4imuLNAIhm0LKY","https://scholar.google.com/scholar?q=related:sLqS_um1tVsJ:scholar.google.com/&scioq=source:nature+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
