Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
110,"Z Xia, V Corcé, F Zhao, C Przybylski, A Espagne…","Photosensitized oxidative addition to gold(i) enables alkynylative cyclization of o-alkylnylphenols with iodoalkynes",2019,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-019-0295-9&casa_token=L15BHnPzF0MAAAAA:AhnjeQ3V26h6b7FPPKciTEwMpSsLGNv45QqGgKqmu_1Ijj89gLupWPCGlcY_LbYuC8fh-aTM9QflSVbh","https://scholar.google.com/scholar?cites=7462851340372538874&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 22:11:29","HTML","","","",,,,,110,18.33,18,6,6,"… The well-established oxidative addition–reductive … some reluctance to undergo oxidative addition unless special sets … via triplet sensitization—the oxidative addition of an alkynyl iodide …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-019-0295-9&casa_token=L15BHnPzF0MAAAAA:AhnjeQ3V26h6b7FPPKciTEwMpSsLGNv45QqGgKqmu_1Ijj89gLupWPCGlcY_LbYuC8fh-aTM9QflSVbh","https://scholar.google.com/scholar?q=related:-vVzEsFfkWcJ:scholar.google.com/&scioq=source:nature+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"CN Pierson, JF Hartwig","Mapping the mechanisms of oxidative addition in cross-coupling reactions catalysed by phosphine-ligated Ni (0)",2024,"Nature chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-024-01451-x&casa_token=W_NfyaKzFx4AAAAA:clSGUUtxFVmO9LhD96riqeQAhfMvw57sr_YEUqxRmHmos2df4zy1HQeR_e8niAjEwIJ8PycAinSQGB42","https://scholar.google.com/scholar?cites=17255946042923346079&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 22:11:29","HTML","","","",,,,,13,13.00,7,2,1,"… Here we show that the oxidative addition of aryl halides to Ni(0) ligated by monophosphines … using density functional theory (DFT). Nelson and Maseras computed the oxidative addition …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-024-01451-x&casa_token=W_NfyaKzFx4AAAAA:clSGUUtxFVmO9LhD96riqeQAhfMvw57sr_YEUqxRmHmos2df4zy1HQeR_e8niAjEwIJ8PycAinSQGB42","https://scholar.google.com/scholar?q=related:n-jAB4Bvee8J:scholar.google.com/&scioq=source:nature+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"J Shi, G Wang, D Tian, X Hai, R Meng, Y Xu…","Defying the oxidative-addition prerequisite in cross-coupling through artful single-atom catalysts",2025,"Nature …","nature.com","https://www.nature.com/articles/s41467-025-58579-8","https://scholar.google.com/scholar?cites=1318973817508587397&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 22:11:29","HTML","","","",,,,,1,1.00,0,7,1,"… We first conducted Density Functional Theory (DFT) calculations to gain theoretical insights into the superior catalytic performance of Pd 1 ASAC in Suzuki couplings (Fig. 4). Typically, …","https://www.nature.com/articles/s41467-025-58579-8","https://scholar.google.com/scholar?q=related:heej5LLvTRIJ:scholar.google.com/&scioq=source:nature+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
275,"A Zeineddine, L Estévez, S Mallet-Ladeira…","Rational development of catalytic Au (I)/Au (III) arylation involving mild oxidative addition of aryl halides",2017,"Nature …","nature.com","https://www.nature.com/articles/s41467-017-00672-8","https://scholar.google.com/scholar?cites=4911268587725871361&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 22:11:29","HTML","","","",,,,,275,34.38,69,4,8,"… crucial role in this transformation, as substantiated by density functional theory calculations. … of stoichiometric oxidative addition to gold. b This work: mild oxidative addition of aryl …","https://www.nature.com/articles/s41467-017-00672-8","https://scholar.google.com/scholar?q=related:AVnvb8JUKEQJ:scholar.google.com/&scioq=source:nature+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
355,"NJ O'Connor, ASM Jonayat, MJ Janik, TP Senftle","Interaction trends between single metal atoms and oxide supports identified with density functional theory and statistical learning",2018,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-018-0094-5&casa_token=JWSPvObzcPYAAAAA:l0fxJKcVIJLYGBTGQGfGIfK4BcJA1fRQKx8SpyCxQ46w8uG0p7xOq2eOfH4Nj_nmMmiTdz9pyGVNbiye","https://scholar.google.com/scholar?cites=2137996047041780239&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 22:11:29","HTML","","","",,,,,355,50.71,89,4,7,"… We apply density functional theory, together with a statistical learning approach based on least absolute shrinkage and selection operator regression, to identify property descriptors that …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-018-0094-5&casa_token=JWSPvObzcPYAAAAA:l0fxJKcVIJLYGBTGQGfGIfK4BcJA1fRQKx8SpyCxQ46w8uG0p7xOq2eOfH4Nj_nmMmiTdz9pyGVNbiye","https://scholar.google.com/scholar?q=related:D1odwxOwqx0J:scholar.google.com/&scioq=source:nature+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
73,"DJ Jones, M Lautens, GP McGlacken","The emergence of Pd-mediated reversible oxidative addition in cross coupling, carbohalogenation and carbonylation reactions",2019,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0361-0&casa_token=0ZUNKXhl_zMAAAAA:QUj3z7nKjvZsc-Yz80Cjz0D6hI0sHUTNFj4-YUYY3kNTC0zlYowCmyyF3LEztWrR7VQP7V_4hvEvq0eU","https://scholar.google.com/scholar?cites=14741119451191183000&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 22:11:29","HTML","","","",,,,,73,12.17,24,3,6,"… the reversibility of oxidative addition reactions in catalytic … concept of reversible oxidative addition has recently been … Subsequent DFT studies shed light on the mechanism of this …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0361-0&casa_token=0ZUNKXhl_zMAAAAA:QUj3z7nKjvZsc-Yz80Cjz0D6hI0sHUTNFj4-YUYY3kNTC0zlYowCmyyF3LEztWrR7VQP7V_4hvEvq0eU","https://scholar.google.com/scholar?q=related:mAba_wn6kswJ:scholar.google.com/&scioq=source:nature+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
39,"BM Gardner, CE Kefalidis, E Lu, D Patel…","Evidence for single metal two electron oxidative addition and reductive elimination at uranium",2017,"Nature …","nature.com","https://www.nature.com/articles/s41467-017-01363-0","https://scholar.google.com/scholar?cites=13035957975602820900&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 22:11:29","HTML","","","",,,,,39,4.88,8,5,8,"… In order to probe this aspect, since in situ probing of this reaction by NMR or optical spectroscopies were not practicable, we modelled the reaction computationally since DFT reaction …","https://www.nature.com/articles/s41467-017-01363-0","https://scholar.google.com/scholar?q=related:JPe5GrYG6bQJ:scholar.google.com/&scioq=source:nature+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
262,"CA Mesa, L Francas, KR Yang, P Garrido-Barros…","Multihole water oxidation catalysis on haematite photoanodes revealed by operando spectroelectrochemistry and DFT",2020,"Nature …","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-019-0347-1&casa_token=5Nz2Zn4cbCQAAAAA:LYRsP6mGUMC5XGvwdzrpAQKOu16McgMpG8tax5hRUunfYOEncB0YLSAcurEuoGe7DpCekNz-LUfCH59A","https://scholar.google.com/scholar?cites=3274375155751527873&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 22:11:29","HTML","","","",,,,,262,52.40,52,5,5,"… law analysis of water oxidation on metal oxide … density functional theory (DFT) calculations of a simple molecular analogue for one of these oxides to propose a model for water oxidation …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-019-0347-1&casa_token=5Nz2Zn4cbCQAAAAA:LYRsP6mGUMC5XGvwdzrpAQKOu16McgMpG8tax5hRUunfYOEncB0YLSAcurEuoGe7DpCekNz-LUfCH59A","https://scholar.google.com/scholar?q=related:wSXvE9vqcC0J:scholar.google.com/&scioq=source:nature+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
179,"E Mirzakulova, R Khatmullin, J Walpita, T Corrigan…","Electrode-assisted catalytic water oxidation by a flavin derivative",2012,"Nature …","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.1439&casa_token=GlS1iAb3AYoAAAAA:c4metEja0-C0_9AQG4iSFKP7l-JX6yrlYjhZlrtcu4VNnxOyYpSGNstJpiGzgOV3WWVKPbVzSN1bjEWa","https://scholar.google.com/scholar?cites=17783067323953994167&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 22:11:29","HTML","","","",,,,,179,13.77,36,5,13,"… Here we describe the electrochemical experiments that showed the catalytic behaviour of Et-Fl + towards water oxidation, and density functional theory (DFT) calculations aimed at …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.1439&casa_token=GlS1iAb3AYoAAAAA:c4metEja0-C0_9AQG4iSFKP7l-JX6yrlYjhZlrtcu4VNnxOyYpSGNstJpiGzgOV3WWVKPbVzSN1bjEWa","https://scholar.google.com/scholar?q=related:t1kiLYMlyvYJ:scholar.google.com/&scioq=source:nature+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
69,"Y Jin, Y Jing, C Li, M Li, W Wu, Z Ke, H Jiang","Palladium-catalysed selective oxidative amination of olefins with Lewis basic amines",2022,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-022-01023-x&casa_token=6niautxgl2QAAAAA:EqiSOSe0_a-njcV9O0U4lTsDe195ENFgdeyfSVKLBSLlg1K-cpNDj6jXPgoTZcCeIE6l4LNxMWkuCwi9","https://scholar.google.com/scholar?cites=16737333316485000827&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 22:11:29","HTML","","","",,,,,69,23.00,10,7,3,"… Enlightened by the experimental observations, density functional theory (DFT) studies were … that the addition of 2,6-DMBQ initiated the reaction of dipropylamine with allylbenzene. DFT …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-022-01023-x&casa_token=6niautxgl2QAAAAA:EqiSOSe0_a-njcV9O0U4lTsDe195ENFgdeyfSVKLBSLlg1K-cpNDj6jXPgoTZcCeIE6l4LNxMWkuCwi9","https://scholar.google.com/scholar?q=related:ey5mIPnzRugJ:scholar.google.com/&scioq=source:nature+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
