Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
17,"DC Cabanero, T Rovis","Low-energy photoredox catalysis",2025,"Nature Reviews Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41570-024-00663-6&casa_token=TOHygzFH5oYAAAAA:nl0O-UpFpP8yKu8abjfDkH4_vKUZ9vMG_ujG1_44PymiaaTVskKFogw5aXf9sVh9WkUcXeoaXloXF0E1","https://scholar.google.com/scholar?cites=4768847521728131762&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 23:44:29","HTML","","","",,,,,17,17.00,9,2,1,"… For this Review, we will primarily delve into homogeneous red-light photoredox catalysis, although many major advances have been made in heterogeneous red-light photoredox …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41570-024-00663-6&casa_token=TOHygzFH5oYAAAAA:nl0O-UpFpP8yKu8abjfDkH4_vKUZ9vMG_ujG1_44PymiaaTVskKFogw5aXf9sVh9WkUcXeoaXloXF0E1","https://scholar.google.com/scholar?q=related:snKb-I1ZLkIJ:scholar.google.com/&scioq=source:nature+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
409,"H Huang, S Banerjee, K Qiu, P Zhang, O Blacque…","Targeted photoredox catalysis in cancer cells",2019,"Nature …","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-019-0328-4&casa_token=gSUzj-d2ZzcAAAAA:ttqHx68XnVYeTNJi-cm-e1YLMtDC3_v_aiG6OwufCVtV55FBZE-MzXC858YSHcz1AdRjUEj8o0Ij9sFl","https://scholar.google.com/scholar?cites=13524724408938623712&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 23:44:29","HTML","","","",,,,,409,68.17,68,6,6,"… Our photoredox catalytic approach recognizes two key … The X-ray structure and DFT calculations show formation of the trans … Our DFT calculations reveal the formation of ‘clamped’ …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-019-0328-4&casa_token=gSUzj-d2ZzcAAAAA:ttqHx68XnVYeTNJi-cm-e1YLMtDC3_v_aiG6OwufCVtV55FBZE-MzXC858YSHcz1AdRjUEj8o0Ij9sFl","https://scholar.google.com/scholar?q=related:4HLXXzF5sbsJ:scholar.google.com/&scioq=source:nature+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
632,"JA Terrett, JD Cuthbertson, VW Shurtleff…","Switching on elusive organometallic mechanisms with photoredox catalysis",2015,"Nature","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nature14875&casa_token=5ZCFJpeLyX8AAAAA:6RRnoG87TZrfU_mgKMJiQkl-qZvTv8YdZfvYuqGgpJe4bSnZaNC4ovxTqRVKaW3jkpkI7TFYjhwINFqc","https://scholar.google.com/scholar?cites=12784166713496944739&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 23:44:29","HTML","","","",,,,,632,63.20,158,4,10,"… Here we demonstrate that visible-light-excited photoredox catalysts can modulate the preferred … Using this synergistic merger of photoredox and nickel catalysis, we have developed a …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nature14875&casa_token=5ZCFJpeLyX8AAAAA:6RRnoG87TZrfU_mgKMJiQkl-qZvTv8YdZfvYuqGgpJe4bSnZaNC4ovxTqRVKaW3jkpkI7TFYjhwINFqc","https://scholar.google.com/scholar?q=related:Y8Bbe-R7arEJ:scholar.google.com/&scioq=source:nature+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
209,"Z Wang, AG Herraiz, AM Del Hoyo, MG Suero","Generating carbyne equivalents with photoredox catalysis",2018,"Nature","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nature25185&casa_token=S2sWHamHvOEAAAAA:ZTzCU4GhMV34GapZuF5jvSrYeM8f2yB1j8XUDDCQJYpY4hbmb_nRY9jOgxD0ZnvDHs2ulPqOOlbI_-3e","https://scholar.google.com/scholar?cites=17435218976932623570&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 23:44:29","HTML","","","",,,,,209,29.86,52,4,7,"… Here we describe a catalytic strategy that generates diazomethyl radicals as direct equivalents of carbyne species using visible-light photoredox catalysis. The ability of these carbyne …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nature25185&casa_token=S2sWHamHvOEAAAAA:ZTzCU4GhMV34GapZuF5jvSrYeM8f2yB1j8XUDDCQJYpY4hbmb_nRY9jOgxD0ZnvDHs2ulPqOOlbI_-3e","https://scholar.google.com/scholar?q=related:0vQ3pUhX9vEJ:scholar.google.com/&scioq=source:nature+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
626,"H Huo, X Shen, C Wang, L Zhang, P Röse, LA Chen…","Asymmetric photoredox transition-metal catalysis activated by visible light",2014,"Nature","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nature13892&casa_token=LJN3RFf4stAAAAAA:HsMeuNJED5ZlVSt5jDMGjv1_BHwTnxg7IPVeyMU_HBQYT4E5q-LK51wMZdkoaZ0-J6anjNbJebZmJwk2","https://scholar.google.com/scholar?cites=14983361194802666274&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 23:44:29","HTML","","","",,,,,626,56.91,89,7,11,"… Photoredox catalysis provides the opportunity to generate … serve as a sensitizer for photoredox catalysis and at the same … This new asymmetric photoredox catalyst, in which the metal …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nature13892&casa_token=LJN3RFf4stAAAAAA:HsMeuNJED5ZlVSt5jDMGjv1_BHwTnxg7IPVeyMU_HBQYT4E5q-LK51wMZdkoaZ0-J6anjNbJebZmJwk2","https://scholar.google.com/scholar?q=related:ItuVFZ-X788J:scholar.google.com/&scioq=source:nature+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
431,"IA MacKenzie, L Wang, NPR Onuska, OF Williams…","Discovery and characterization of an acridine radical photoreductant",2020,"Nature","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41586-020-2131-1&casa_token=hYr00KLL7QYAAAAA:xtJbQK7vSNlqOuitlEYcJ8MYnF4gz-zv2JsxUKdjvif0kw8sNDvaUIHgN0K0tOBbHESVPeRkkYBcXhh-","https://scholar.google.com/scholar?cites=17416369131220999345&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 23:44:29","HTML","","","",,,,,431,86.20,86,5,5,"… the recently reported polarization-consistent TD-DFT-based framework for obtaining excited-… reductant in a photoredox manifold. Previous work in reductive photoredox catalysis has …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41586-020-2131-1&casa_token=hYr00KLL7QYAAAAA:xtJbQK7vSNlqOuitlEYcJ8MYnF4gz-zv2JsxUKdjvif0kw8sNDvaUIHgN0K0tOBbHESVPeRkkYBcXhh-","https://scholar.google.com/scholar?q=related:sZyB73Jfs_EJ:scholar.google.com/&scioq=source:nature+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"J Rui, X Mu, J Soler, JC Paris, Y Guo…","Merging photoredox with metalloenzymatic catalysis for enantioselective decarboxylative C(sp3)‒N3 and C(sp3)‒SCN bond formation",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01257-7&casa_token=i3QniWK8LDoAAAAA:ugUnVOjYOz4C1oJ5GqetBAWahSIVeT1tNamm0VKYaiZW2PyzshTWUExGo4YZD22IIUBrjQDXFpJ5NSJe","https://scholar.google.com/scholar?cites=17528903221740810967&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 23:44:29","HTML","","","",,,,,8,8.00,1,6,1,"… Here we present a biocatalytic platform that combines photoredox and metalloenzymatic catalysis for enantioselective radical transformations. Under green light irradiation, the eosin Y …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01257-7&casa_token=i3QniWK8LDoAAAAA:ugUnVOjYOz4C1oJ5GqetBAWahSIVeT1tNamm0VKYaiZW2PyzshTWUExGo4YZD22IIUBrjQDXFpJ5NSJe","https://scholar.google.com/scholar?q=related:17IPqpssQ_MJ:scholar.google.com/&scioq=source:nature+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
133,"J Zhang, C Mück-Lichtenfeld, A Studer","Photocatalytic phosphine-mediated water activation for radical hydrogenation",2023,"Nature","nature.com","https://www.nature.com/articles/s41586-023-06141-1","https://scholar.google.com/scholar?cites=8618269059203062514&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 23:44:29","","","","",,,,,133,66.50,44,3,2,"… can act as tunable mediators in photoredox catalysis for the … orbital with water, using photoredox catalysis. The PR 3 –H 2 … the H donor, density functional theory (DFT) calculations …","https://www.nature.com/articles/s41586-023-06141-1.pdf","https://scholar.google.com/scholar?q=related:8tqJPAw-mncJ:scholar.google.com/&scioq=source:nature+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"CC Chintawar, R Laskar, D Rana, F Schäfer…","Photoredox-catalysed amidyl radical insertion to bicyclo [1.1. 0] butanes",2024,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-024-01239-9","https://scholar.google.com/scholar?cites=12622769304638659157&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 23:44:29","","","","",,,,,16,16.00,3,5,1,"… on density functional theory calculations To further validate the feasibility of the photoredox … regioselectivity and chemoselectivity, density functional theory (DFT) studies were conducted …","https://www.nature.com/articles/s41929-024-01239-9.pdf","https://scholar.google.com/scholar?q=related:VRqx5M0VLa8J:scholar.google.com/&scioq=source:nature+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
92,"NES Tay, KA Ryu, JL Weber, AK Olow, DC Cabanero…","Targeted activation in localized protein environments via deep red photoredox catalysis",2023,"Nature …","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-022-01057-1&casa_token=RIq_N7EXhmgAAAAA:VA17GsGSjfJHoVUg8bTaBecvHgmRp-DwREQdbfXRlUv7DN8IorZtph6tZCWDTreRZoP-YGgi5FSXHf6v","https://scholar.google.com/scholar?cites=5665626281202741739&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 23:44:29","HTML","","","",,,,,92,46.00,15,6,2,"… Computational modelling of aryl azide activation via DR photoredox catalysis We next carried out density functional theory (DFT) calculations to elucidate the potential mechanism for …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-022-01057-1&casa_token=RIq_N7EXhmgAAAAA:VA17GsGSjfJHoVUg8bTaBecvHgmRp-DwREQdbfXRlUv7DN8IorZtph6tZCWDTreRZoP-YGgi5FSXHf6v","https://scholar.google.com/scholar?q=related:6_E0wRVZoE4J:scholar.google.com/&scioq=source:nature+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
