Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
140,"K Shin, Y Park, MH Baik, S Chang","Iridium-catalysed arylation of C–H bonds enabled by oxidatively induced reductive elimination",2018,"Nature Chemistry","nature.com","https://www.nature.com/articles/nchem.2900","https://scholar.google.com/scholar?cites=17868238456558530321&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 23:03:49","","","","",,,,,140,20.00,35,4,7,"… late portion of the catalytic cycle where reductive elimination gives the desired carbon–aryl bond. … Density functional theory calculations indicate that the barrier to reductive elimination is …","https://pr.ibs.re.kr/bitstream/8788114/4651/1/nchem.2900.pdf","https://scholar.google.com/scholar?q=related:ES8lzTS8-PcJ:scholar.google.com/&scioq=source:nature+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
212,"WJ Wolf, MS Winston, FD Toste","Exceptionally fast carbon–carbon bond reductive elimination from gold(III)",2014,"Nature chemistry","nature.com","https://www.nature.com/articles/nchem.1822","https://scholar.google.com/scholar?cites=2641656689174387153&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 23:03:49","","","","",,,,,212,19.27,71,3,11,"… Furthermore, electrochemical studies and density functional theory calculations suggest that aurophilic interactions reduce the oxidation potential of bimetallic Au(I) species relative to …","https://pmc.ncbi.nlm.nih.gov/articles/PMC3970324/pdf/nihms550330.pdf","https://scholar.google.com/scholar?q=related:0RnGQMMMqSQJ:scholar.google.com/&scioq=source:nature+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
39,"BM Gardner, CE Kefalidis, E Lu, D Patel…","Evidence for single metal two electron oxidative addition and reductive elimination at uranium",2017,"Nature …","nature.com","https://www.nature.com/articles/s41467-017-01363-0","https://scholar.google.com/scholar?cites=13035957975602820900&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 23:03:49","HTML","","","",,,,,39,4.88,8,5,8,"… In order to probe this aspect, since in situ probing of this reaction by NMR or optical spectroscopies were not practicable, we modelled the reaction computationally since DFT reaction …","https://www.nature.com/articles/s41467-017-01363-0","https://scholar.google.com/scholar?q=related:JPe5GrYG6bQJ:scholar.google.com/&scioq=source:nature+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"AD Marchese, B Mirabi, CE Johnson, M Lautens","Reversible C–C bond formation using palladium catalysis",2022,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-022-00898-0","https://scholar.google.com/scholar?cites=9907579899896699420&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 23:03:49","","","","",,,,,31,10.33,8,4,3,"… of performing the C–I reductive elimination 47 , we identified a palladium-catalysed β-carbon … We then turned to density functional theory (DFT) to study the energetic landscape of this …","https://www.researchsquare.com/article/rs-426770/latest.pdf","https://scholar.google.com/scholar?q=related:HJokJW3LfokJ:scholar.google.com/&scioq=source:nature+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
53,"VV Welborn, WL Li, T Head-Gordon","Interplay of water and a supramolecular capsule for catalysis of reductive elimination reaction from gold",2020,"Nature communications","nature.com","https://www.nature.com/articles/s41467-019-14251-6","https://scholar.google.com/scholar?cites=8311345594181575965&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 23:03:49","HTML","","","",,,,,53,10.60,18,3,5,"… All calculations presented in this paper (geometry optimization, molecular dynamics, metadynamics, and energy calculations) were performed with Density Functional Theory (DFT) …","https://www.nature.com/articles/s41467-019-14251-6","https://scholar.google.com/scholar?q=related:HWWzUsjUV3MJ:scholar.google.com/&scioq=source:nature+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"TC Jankins, WC Bell, Y Zhang, ZY Qin, JS Chen…","Low-valent tungsten redox catalysis enables controlled isomerization and carbonylative functionalization of alkenes",2022,"Nature …","nature.com","https://www.nature.com/articles/s41557-022-00951-y","https://scholar.google.com/scholar?cites=5599559268522047820&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 23:03:49","","","","",,,,,37,12.33,6,6,3,"… as oxidative addition and reductive elimination. Despite these … of migratory insertion and reductive elimination at seven-… experiments and density functional theory (DFT) calculations. …","https://pmc.ncbi.nlm.nih.gov/articles/PMC9674112/pdf/nihms-1843984.pdf","https://scholar.google.com/scholar?q=related:TLkAq3yhtU0J:scholar.google.com/&scioq=source:nature+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"X Yuan, K Lee, JB Eisenberg, JR Schmidt, KS Choi","Selective deoxygenation of biomass-derived carbonyl compounds on Zn via electrochemical Clemmensen reduction",2024,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-023-01066-4","https://scholar.google.com/scholar?cites=11434269277964060663&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 23:03:49","","","","",,,,,20,20.00,4,5,1,"… at C (step 3) or can undergo reductive elimination of H 2 O to yield a carbene … = E DFT + U thermal + ZPE – TS, where E DFT is the energy obtained from density functional theory (DFT) …","","https://scholar.google.com/scholar?q=related:98c1s1Ovrp4J:scholar.google.com/&scioq=source:nature+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
632,"JA Terrett, JD Cuthbertson, VW Shurtleff…","Switching on elusive organometallic mechanisms with photoredox catalysis",2015,"Nature","nature.com","https://www.nature.com/articles/nature14875","https://scholar.google.com/scholar?cites=12784166713496944739&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 23:03:49","","","","",,,,,632,63.20,158,4,10,"… Pd(ii)-catalysed C–O reductive elimination is an exothermic process and well precedented. Ni(ii) C–O reductive elimination is thermodynamically disfavoured—we postulated that …","https://pmc.ncbi.nlm.nih.gov/articles/PMC4545738/pdf/nihms702546.pdf","https://scholar.google.com/scholar?q=related:Y8Bbe-R7arEJ:scholar.google.com/&scioq=source:nature+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
141,"PL Arnold, SM Mansell, L Maron, D McKay","Spontaneous reduction and C–H borylation of arenes mediated by uranium(III) disproportionation",2012,"Nature Chemistry","nature.com","https://www.nature.com/articles/nchem.1392","https://scholar.google.com/scholar?cites=14064178912264171954&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 23:03:49","","","","",,,,,141,10.85,35,4,13,"… be made using the harsh, reductive Friedel–Crafts procedure, … Density functional theory (DFT) calculations on highly … DFT calculations on the potential modes of reactivity for a range …","https://www.researchgate.net/profile/Laurent-Maron/publication/229556132_Spontaneous_reduction_and_C-H_borylation_of_arenes_mediated_by_uraniumIII_disproportionation/links/542a96b70cf27e39fa8eb38d/Spontaneous-reduction-and-C-H-borylation-of-arenes-mediated-by-uraniumIII-disproportionation.pdf","https://scholar.google.com/scholar?q=related:srELmzQALsMJ:scholar.google.com/&scioq=source:nature+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"S Sun, S Sun, W Zi","Palladium-catalyzed enantioselective β-hydride elimination for the construction of remote stereocenters",2025,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-025-57437-x","",10,"2025-05-05 23:03:49","HTML","","","",,,,,0,0.00,0,3,1,"… Finally, Int F undergoes a rapid reductive elimination through a five-membered transition state TS G, … DFT calculations indicated that the β-hydride elimination is both a rate-limiting and …","https://www.nature.com/articles/s41467-025-57437-x","https://scholar.google.com/scholar?q=related:SJGJ9nbUcVsJ:scholar.google.com/&scioq=source:nature+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
