Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
9,"J Wang, WF Zheng, X Zhang, H Qian, S Ma","Stereoselectivity control in Rh-catalyzed β-OH elimination for chiral allene formation",2023,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-023-42660-1","https://scholar.google.com/scholar?cites=7891666191111576409&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 22:31:58","HTML","","","",,,,,9,4.50,2,5,2,"… We conducted further DFT calculations to investigate the effect of the assisting species, such as water, acetic acid, and boric acid, on the β-OH elimination step. Unfortunately, …","https://www.nature.com/articles/s41467-023-42660-1","https://scholar.google.com/scholar?q=related:WVsqx5bUhG0J:scholar.google.com/&scioq=source:nature+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"S Sun, S Sun, W Zi","Palladium-catalyzed enantioselective β-hydride elimination for the construction of remote stereocenters",2025,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-025-57437-x","",2,"2025-05-05 22:31:58","HTML","","","",,,,,0,0.00,0,3,1,"… DFT calculations indicated that the β-hydride elimination is both a rate-limiting and enantioselectivity-determining step. The non-covalent interactions between the chiral ligand and …","https://www.nature.com/articles/s41467-025-57437-x","https://scholar.google.com/scholar?q=related:SJGJ9nbUcVsJ:scholar.google.com/&scioq=source:nature+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1605,"D Röthlisberger, O Khersonsky, AM Wollacott, L Jiang…","Kemp elimination catalysts by computational enzyme design",2008,"Nature","nature.com","https://www.nature.com/articles/nature06879","https://scholar.google.com/scholar?cites=6929769868053803803&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 22:31:58","","","","",,,,,1605,94.41,321,5,17,"… Quantum mechanical calculations using density functional theory with the B3LYP functional and the 6-31G(d) basis set 11,12 were used to locate transition structures (confirmed by …","https://www.researchgate.net/profile/Shira-Albeck/publication/5498861_Kemp_elimination_catalysts_by_computational_enzyme_design/links/09e41513efc3d99a45000000/Kemp-elimination-catalysts-by-computational-enzyme-design.pdf","https://scholar.google.com/scholar?q=related:G3ONwPp8K2AJ:scholar.google.com/&scioq=source:nature+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"AD Marchese, B Mirabi, CE Johnson, M Lautens","Reversible C–C bond formation using palladium catalysis",2022,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-022-00898-0","https://scholar.google.com/scholar?cites=9907579899896699420&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 22:31:58","","","","",,,,,31,10.33,8,4,3,"… We then turned to density functional theory (DFT) to study the energetic landscape of this … The effect of para substitution on the β-carbon elimination was examined using DFT (Fig. 5a). …","https://www.researchsquare.com/article/rs-426770/latest.pdf","https://scholar.google.com/scholar?q=related:HJokJW3LfokJ:scholar.google.com/&scioq=source:nature+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"J Bitter, M Pfeiffer, AJE Borg, K Kuhlmann…","Enzymatic β-elimination in natural product O- and C-glycoside deglycosylation",2023,"Nature …","nature.com","https://www.nature.com/articles/s41467-023-42750-0","https://scholar.google.com/scholar?cites=18409394004683226543&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 22:31:58","HTML","","","",,,,,17,8.50,3,5,2,"… in β-elimination of 3-keto C-β-d-glucosides. We show that CGE catalyzes β-elimination of 3-keto … Collectively, our study suggests convergent evolution of active site for β-elimination of 3-…","https://www.nature.com/articles/s41467-023-42750-0","https://scholar.google.com/scholar?q=related:r31ZY09Oe_8J:scholar.google.com/&scioq=source:nature+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"G Zhang, YK Song, F Zhang, ZJ Xue, MY Li…","Palladium-catalyzed allene synthesis enabled by β-hydrogen elimination from sp2-carbon",2021,"Nature …","nature.com","https://www.nature.com/articles/s41467-020-20740-w","https://scholar.google.com/scholar?cites=7436653020300175755&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 22:31:58","HTML","","","",,,,,18,4.50,3,6,4,"… As such, the results from our DFT calculations suggest that … base promoted β-hydrogen elimination mechanism. The rate-… to the insufficient accuracy of DFT methods in some cases. …","https://www.nature.com/articles/s41467-020-20740-w","https://scholar.google.com/scholar?q=related:i-nTWIVMNGcJ:scholar.google.com/&scioq=source:nature+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"B Boekfa, T Maihom, M Ehara, J Limtrakul","Investigation of the Suzuki–Miyaura cross-coupling reaction on a palladium H-beta zeolite with DFT calculations",2024,"Scientific Reports","nature.com","https://www.nature.com/articles/s41598-023-51116-x","https://scholar.google.com/scholar?cites=15673454283049865174&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 22:31:58","HTML","","","",,,,,5,5.00,1,4,1,"… the Pd–H-Beta zeolite catalyst was investigated with density functional theory (DFT) calculations… Utilizing a model system with tetrahedral Pd 4 clusters within the H-Beta zeolite, it was …","https://www.nature.com/articles/s41598-023-51116-x","https://scholar.google.com/scholar?q=related:1g-DAKFLg9kJ:scholar.google.com/&scioq=source:nature+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"TC Jankins, WC Bell, Y Zhang, ZY Qin, JS Chen…","Low-valent tungsten redox catalysis enables controlled isomerization and carbonylative functionalization of alkenes",2022,"Nature …","nature.com","https://www.nature.com/articles/s41557-022-00951-y","https://scholar.google.com/scholar?cites=5599559268522047820&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 22:31:58","","","","",,,,,37,12.33,6,6,3,"… as oxidative addition and reductive elimination. Despite these … of migratory insertion and reductive elimination at seven-… experiments and density functional theory (DFT) calculations. …","https://pmc.ncbi.nlm.nih.gov/articles/PMC9674112/pdf/nihms-1843984.pdf","https://scholar.google.com/scholar?q=related:TLkAq3yhtU0J:scholar.google.com/&scioq=source:nature+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"D Wu, W Kong, Y Bao, D Zhao, Y Li, G Yin","Alkene 1, 1-difunctionalizations via organometallic-radical relay",2023,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-023-01032-0","https://scholar.google.com/scholar?cites=2080939178944283489&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 22:31:58","","","","",,,,,19,9.50,3,6,2,"… the α-position, probably due to the β-H elimination being a selective step in this system 51 . … DFT calculations were performed at the M06L/6-311+G(d,p)-SDD(for Ni)-SMD (THF)//B3LYP…","","https://scholar.google.com/scholar?q=related:YcMqcCj74BwJ:scholar.google.com/&scioq=source:nature+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
50,"CF Liu, H Wang, RT Martin, H Zhao, O Gutierrez…","Olefin functionalization/isomerization enables stereoselective alkene synthesis",2021,"Nature …","nature.com","https://www.nature.com/articles/s41929-021-00658-2","https://scholar.google.com/scholar?cites=13822411865091468549&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 22:31:58","","","","",,,,,50,12.50,8,6,4,"… Finally, reductive elimination of IV facilitated by sodium tert-… Finally, irreversible reductive elimination regenerates the … Taken together, these DFT results reveal the crucial roles …","https://pmc.ncbi.nlm.nih.gov/articles/PMC9431960/pdf/nihms-1768391.pdf","https://scholar.google.com/scholar?q=related:Be3rZVsS078J:scholar.google.com/&scioq=source:nature+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
