Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
14,"Y Gao, L Huang, Y Cao, M Richter, J Qi…","Selective activation of four quasi-equivalent C–H bonds yields N-doped graphene nanoribbons with partial corannulene motifs",2022,"… Communications","nature.com","https://www.nature.com/articles/s41467-022-33898-2","https://scholar.google.com/scholar?cites=14079545383218016649&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 23:48:28","","","","",,,,,14,4.67,2,6,3,"… Though the dehydrogenation happens at elevated temperatures, the experimental observations agree well with our prediction based on DFT calculations at 0 K. We therefore …","https://www.nature.com/articles/s41467-022-33898-2.pdf","https://scholar.google.com/scholar?q=related:iXGz7e2XZMMJ:scholar.google.com/&scioq=source:%22nature+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"BC Tang, WX Lin, XL Chen, C He, JT Ma…","Quadruple CH activation coupled to hydrofunctionalization and CH silylation/borylation enabled by weakly coordinated palladium catalyst",2020,"… Communications","nature.com","https://www.nature.com/articles/s41467-020-19508-z","https://scholar.google.com/scholar?cites=6172538561691320333&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 23:48:28","","","","",,,,,13,2.60,2,6,5,"… Mechanistically, density functional theory calculation provides important insights into the key six-membered oxo-palladacycle intermediates, and indicates that the β-H elimination is …","https://www.nature.com/articles/s41467-020-19508-z.pdf","https://scholar.google.com/scholar?q=related:DQADTB5DqVUJ:scholar.google.com/&scioq=source:%22nature+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
32,"M Wang, M Li, S Yang, XS Xue, X Wu, C Zhu","Radical-mediated CC cleavage of unstrained cycloketones and DFT study for unusual regioselectivity",2020,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-020-14435-5","https://scholar.google.com/scholar?cites=13572656559211171914&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 23:48:28","","","","",,,,,32,6.40,5,6,5,"… The CC σ-bond activation of unstrained cycloketones represents an ingenious and advanced … Density functional theory calculations are carried out to shed light on the unusual …","https://www.nature.com/articles/s41467-020-14435-5.pdf","https://scholar.google.com/scholar?q=related:SlAoxjrDW7wJ:scholar.google.com/&scioq=source:%22nature+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"X Tan, Y Jing, J Wu, J Li, Z Yang, W Wu, Z Ke…","Palladium catalyzed ortho-C(sp2)–H activation/cyclization of aryl amines assisted by imine and vinylacetic acid",2024,"… Communications","nature.com","https://www.nature.com/articles/s41467-024-54018-2","https://scholar.google.com/scholar?cites=11348446617656379692&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 23:48:28","","","","",,,,,1,1.00,0,8,1,"… our reaction to realize the C(sp 2 )–H activation of aryl amines. To explore this interesting regioselectivity difference of C–H activation, DFT studies were conducted. As shown in Fig. 3, …","https://www.nature.com/articles/s41467-024-54018-2.pdf","https://scholar.google.com/scholar?q=related:LEnkdRLIfZ0J:scholar.google.com/&scioq=source:%22nature+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"D Zeng, X Zhang, M Wang, X Jiang","Asymmetric S= N-embedded polyaromatic construction via enantioselective Pd-catalyzed C–H activation",2025,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-025-57251-5","",5,"2025-05-05 23:48:28","","","","",,,,,0,0.00,0,4,1,"… in substrate 1a using density functional theory (DFT) calculations. … Two possible modes of C–H activation were considered due … leads to outer-sphere C–H bond activation. In the second …","https://www.nature.com/articles/s41467-025-57251-5.pdf","https://scholar.google.com/scholar?q=related:6iKRxz2nZBkJ:scholar.google.com/&scioq=source:%22nature+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
120,"C Zhang, ZL Li, QS Gu, XY Liu","Catalytic enantioselective C(sp3)–H functionalization involving radical intermediates",2021,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-020-20770-4","https://scholar.google.com/scholar?cites=6891351728542342906&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 23:48:28","","","","",,,,,120,30.00,30,4,4,"… both kinetic isotopic effect studies and density functional theory calculations. In addition, the … metal-catalyzed C–H activation, the concerted metal carbenoid/nitrenoid C–H insertion, or …","https://www.nature.com/articles/s41467-020-20770-4.pdf","https://scholar.google.com/scholar?q=related:-l4KmuL_ol8J:scholar.google.com/&scioq=source:%22nature+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
58,"X Chen, H Wang, K Doitomi, CY Ooi, P Zheng…","A reaction mode of carbene-catalysed aryl aldehyde activation and induced phenol OH functionalization",2017,"… communications","nature.com","https://www.nature.com/articles/ncomms15598","https://scholar.google.com/scholar?cites=13751893274654742644&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 23:48:28","","","","",,,,,58,7.25,10,6,8,"… DFT calculations were used to assess the nature of o-QM in … Six conformers of II were obtained from DFT calculations. The … Figure 2: DFT studies of intermediate II and the roles of urea …","https://www.nature.com/articles/ncomms15598.pdf","https://scholar.google.com/scholar?q=related:dBjhmBKK2L4J:scholar.google.com/&scioq=source:%22nature+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
199,"Y Zhang, Y Zhao, T Otroshchenko, H Lund…","Control of coordinatively unsaturated Zr sites in ZrO2 for efficient C–H bond activation",2018,"… communications","nature.com","https://www.nature.com/articles/s41467-018-06174-5","https://scholar.google.com/scholar?cites=13911671620277283783&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 23:48:28","","","","",,,,,199,28.43,40,5,7,"… nature of active sites for efficient C–H bond activation and the control of their concentration … our multidisciplinary approach combining density functional theory (DFT) calculations with a …","https://www.nature.com/articles/s41467-018-06174-5.pdf","https://scholar.google.com/scholar?q=related:x6uCpqEvEMEJ:scholar.google.com/&scioq=source:%22nature+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
44,"D Wang, X Chen, JJ Wong, L Jin, M Li, Y Zhao…","Phosphorus (III)-assisted regioselective C–H silylation of heteroarenes",2021,"… communications","nature.com","https://www.nature.com/articles/s41467-020-20531-3","https://scholar.google.com/scholar?cites=2464012550179509036&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 23:48:28","","","","",,,,,44,11.00,6,7,4,"… -H bond activation … density functional theory (DFT) calculations were then conducted on the model reaction of indole 1a with Si 2 Me 6 (I) to better understand the mechanism of this C–H …","https://www.nature.com/articles/s41467-020-20531-3.pdf","https://scholar.google.com/scholar?q=related:LNONB1zuMSIJ:scholar.google.com/&scioq=source:%22nature+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
36,"D Kim, GS Lee, D Kim, SH Hong","Direct C(sp2)–H alkylation of unactivated arenes enabled by photoinduced Pd catalysis",2020,"Nature communications","nature.com","https://www.nature.com/articles/s41467-020-19038-8","https://scholar.google.com/scholar?cites=7552795587202749303&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 23:48:28","","","","",,,,,36,7.20,9,4,5,"… high C–H activation barrier of the unactivated arenes (C–H … process, we compared the DFT-calculated redox potentials … ), was also excluded by DFT computations (Supplementary Fig. …","https://www.nature.com/articles/s41467-020-19038-8.pdf","https://scholar.google.com/scholar?q=related:d5Nb9JHr0GgJ:scholar.google.com/&scioq=source:%22nature+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
