Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
520,"T Rogge, N Kaplaneris, N Chatani, J Kim…","C–H activation",2021,"Nature Reviews …","nature.com","https://www.nature.com/articles/s43586-021-00041-2","https://scholar.google.com/scholar?cites=2167174512605139638&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 22:12:12","","","","",,,,,520,130.00,104,5,4,"… DFT investigations indicated that C–H activation via concerted metallation–deprotonation is the rate-determining step and a palladium–silver heterodimeric transition state 2 (Fig. 2d) …","https://par.nsf.gov/servlets/purl/10346087","https://scholar.google.com/scholar?q=related:thIcrrxZEx4J:scholar.google.com/&scioq=source:nature+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
505,"AA Latimer, AR Kulkarni, H Aljama, JH Montoya…","Understanding trends in C–H bond activation in heterogeneous catalysis",2017,"Nature materials","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nmat4760&casa_token=OFIb4xX5xKEAAAAA:SUsioLr0jdOWPQJ0RDYaqUrIppmLSMFdp8GM1NuF8NfZppgkWxYFTpdlVU7Z_dq8x35DoBqy8Cz9rUJl","https://scholar.google.com/scholar?cites=2053982398656451443&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 22:12:12","HTML","","","",,,,,505,63.13,101,5,8,"… Figure 3c demonstrates the excellent agreement between our model’s predictions and calculated density functional theory (DFT) C–H bond activation energies across a wide variety of …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nmat4760&casa_token=OFIb4xX5xKEAAAAA:SUsioLr0jdOWPQJ0RDYaqUrIppmLSMFdp8GM1NuF8NfZppgkWxYFTpdlVU7Z_dq8x35DoBqy8Cz9rUJl","https://scholar.google.com/scholar?q=related:c5PS7hs2gRwJ:scholar.google.com/&scioq=source:nature+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
390,"P Wang, P Verma, G Xia, J Shi, JX Qiao, S Tao…","Ligand-accelerated non-directed C–H functionalization of arenes",2017,"Nature","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nature24632&casa_token=XmwNqcKWM7wAAAAA:Tqk9YunfkpoCvAjrR9DjHMJAh95UVEZpXYzmWuMsfEY2YhdxjwmRfnGek_lGgV0dKcwUGQl0MqTKJlzU","https://scholar.google.com/scholar?cites=343674968883544128&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 22:12:12","HTML","","","",,,,,390,48.75,56,7,8,"… C–H activation 22 , we set out to develop highly active ligands for Pd(ii) to achieve non-directed C–H activation with … To obtain support for this hypothesis, we performed DFT studies to …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nature24632&casa_token=XmwNqcKWM7wAAAAA:Tqk9YunfkpoCvAjrR9DjHMJAh95UVEZpXYzmWuMsfEY2YhdxjwmRfnGek_lGgV0dKcwUGQl0MqTKJlzU","https://scholar.google.com/scholar?q=related:QEB_NpD6xAQJ:scholar.google.com/&scioq=source:nature+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
166,"K Liao, YF Yang, Y Li, JN Sanders, KN Houk…","Design of catalysts for site-selective and enantioselective functionalization of non-activated primary C–H bonds",2018,"Nature …","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-018-0087-7&casa_token=6iwK2YbXVsAAAAAA:u-wqDX1bOhjphq-KLnv5pfSE8RM3UCh9nyn3R07pm4dgx84z_2xZosBR4_EvqCm7hMrB1T943ky5n6qQ","https://scholar.google.com/scholar?cites=17657882462818175652&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 22:12:12","HTML","","","",,,,,166,23.71,28,6,7,"… a, ONIOM partitioning of the catalyst, with the atoms inside the purple rectangle modelled with density functional theory and the atoms outside modelled with the universal force field (…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-018-0087-7&casa_token=6iwK2YbXVsAAAAAA:u-wqDX1bOhjphq-KLnv5pfSE8RM3UCh9nyn3R07pm4dgx84z_2xZosBR4_EvqCm7hMrB1T943ky5n6qQ","https://scholar.google.com/scholar?q=related:pIrgYYtmDfUJ:scholar.google.com/&scioq=source:nature+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"Y Gao, L Huang, Y Cao, M Richter, J Qi…","Selective activation of four quasi-equivalent C–H bonds yields N-doped graphene nanoribbons with partial corannulene motifs",2022,"Nature …","nature.com","https://www.nature.com/articles/s41467-022-33898-2","https://scholar.google.com/scholar?cites=14079545383218016649&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 22:12:12","HTML","","","",,,,,14,4.67,2,6,3,"… Though the dehydrogenation happens at elevated temperatures, the experimental observations agree well with our prediction based on DFT calculations at 0 K. We therefore …","https://www.nature.com/articles/s41467-022-33898-2","https://scholar.google.com/scholar?q=related:iXGz7e2XZMMJ:scholar.google.com/&scioq=source:nature+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
237,"Y Xia, G Lu, P Liu, G Dong","Catalytic activation of carbon–carbon bonds in cyclopentanones",2016,"Nature","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nature19849&casa_token=4cm4BB2fP1UAAAAA:D7umBLGbR6321_ylJo9QJtZmdKUJt34BzZRmN1Njpgm69CqajnLwYsAwijfwnFIFmmImP7c5Fa1gQOM8","https://scholar.google.com/scholar?cites=13584335388715796096&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 22:12:12","HTML","","","",,,,,237,26.33,59,4,9,"… To better understand the origin of the regioselectivity and the mechanism of the C–H metallation step, we carried out density functional theory (DFT) calculations. The computed free …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nature19849&casa_token=4cm4BB2fP1UAAAAA:D7umBLGbR6321_ylJo9QJtZmdKUJt34BzZRmN1Njpgm69CqajnLwYsAwijfwnFIFmmImP7c5Fa1gQOM8","https://scholar.google.com/scholar?q=related:gEYsKhBBhbwJ:scholar.google.com/&scioq=source:nature+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"BC Tang, WX Lin, XL Chen, C He, JT Ma…","Quadruple CH activation coupled to hydrofunctionalization and CH silylation/borylation enabled by weakly coordinated palladium catalyst",2020,"Nature …","nature.com","https://www.nature.com/articles/s41467-020-19508-z","https://scholar.google.com/scholar?cites=6172538561691320333&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 22:12:12","HTML","","","",,,,,13,2.60,2,6,5,"… Mechanistically, density functional theory calculation provides important insights into the key six-membered oxo-palladacycle intermediates, and indicates that the β-H elimination is …","https://www.nature.com/articles/s41467-020-19508-z","https://scholar.google.com/scholar?q=related:DQADTB5DqVUJ:scholar.google.com/&scioq=source:nature+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
101,"TW Butcher, JL Yang, WM Amberg, NB Watkins…","Desymmetrization of difluoromethylene groups by C–F bond activation",2020,"Nature","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41586-020-2399-1&casa_token=1kL6cMqqesAAAAAA:v0qiFWNr3jb2j2_6kX3acES2EJjQjwroXwH8JXA8QCGtNwzvBLW-Fq4etoqUE1YALsBnGUCud41JI0b3","https://scholar.google.com/scholar?cites=17746087453944182701&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 22:12:12","HTML","","","",,,,,101,20.20,20,5,5,"… The structures of each of the diastereomeric complexes of Ir(i) with either 3-fluorocinnamyl chloride or (1,1-difluoroallyl)benzene were determined using density functional theory. These …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41586-020-2399-1&casa_token=1kL6cMqqesAAAAAA:v0qiFWNr3jb2j2_6kX3acES2EJjQjwroXwH8JXA8QCGtNwzvBLW-Fq4etoqUE1YALsBnGUCud41JI0b3","https://scholar.google.com/scholar?q=related:rfdbPYTERvYJ:scholar.google.com/&scioq=source:nature+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"T von Münchow, NK Pandit, S Dana, P Boos…","Enantioselective C–H annulations enabled by either nickel-or cobalt-electrocatalysed C–H activation for catalyst-controlled chemodivergence",2025,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-025-01306-9","https://scholar.google.com/scholar?cites=13930496127118736252&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 22:12:12","HTML","","","",,,,,1,1.00,0,5,1,"… for the electro-oxidative C–H activation of benzamide 1 with … of theory to acquire density functional theory (DFT)-derived … ) were derived from single-point DFT calculations. To assess the …","https://www.nature.com/articles/s41929-025-01306-9","https://scholar.google.com/scholar?q=related:fPvdsWsQU8EJ:scholar.google.com/&scioq=source:nature+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
66,"H Wang, I Choi, T Rogge, N Kaplaneris…","Versatile and robust C–C activation by chelation-assisted manganese catalysis",2018,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-018-0187-1&casa_token=5PsvuPRWs7gAAAAA:KmO-P3SzphxRRE_h3XAwOx9y3pGIFbrXjHWL3rXZyJwOliJBu3aFAU8zvLVLu3jslqvFlScXH_hj4SQd","https://scholar.google.com/scholar?cites=11176884427259837612&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 22:12:12","HTML","","","",,,,,66,9.43,13,5,7,"… C–H activation has been recognized as an increasingly viable tool in molecular sciences, but organometallic C–C activation is scarce, and limited to precious and toxic metal catalysts. …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-018-0187-1&casa_token=5PsvuPRWs7gAAAAA:KmO-P3SzphxRRE_h3XAwOx9y3pGIFbrXjHWL3rXZyJwOliJBu3aFAU8zvLVLu3jslqvFlScXH_hj4SQd","https://scholar.google.com/scholar?q=related:rPxqPitFHJsJ:scholar.google.com/&scioq=source:nature+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
