Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
88,"L Guo, W Srimontree, C Zhu, B Maity, X Liu…","Nickel-catalyzed Suzuki–Miyaura cross-couplings of aldehydes",2019,"… communications","nature.com","https://www.nature.com/articles/s41467-019-09766-x","https://scholar.google.com/scholar?cites=15790157343151792161&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 23:48:01","","","","",,,,,88,14.67,15,6,6,"… Nickel-catalyzed deformylative Suzuki–Miyaura cross coupling and related DFT studies on … (left) and nickel-catalyzed deformylative cross coupling for the synthesis of biaryls (right). b …","https://www.nature.com/articles/s41467-019-09766-x.pdf","https://scholar.google.com/scholar?q=related:IaAWmnHoIdsJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"X Zhao, X Zhu, K Wang, J Lv, S Chen, G Yao…","Palladium catalyzed radical relay for the oxidative cross-coupling of quinolines",2022,"… Communications","nature.com","https://www.nature.com/articles/s41467-022-31967-0","https://scholar.google.com/scholar?cites=5371557826554854346&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 23:48:01","","","","",,,,,22,7.33,3,7,3,"… The catalyst surface was first constructed by density functional theory (DFT) calculations. Charge … DFT calculations show that methanol adsorbs on an electron-deficient Pd(111) surface. …","https://www.nature.com/articles/s41467-022-31967-0.pdf","https://scholar.google.com/scholar?q=related:yntFLmKbi0oJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"Z Zhang, J Zhang, Q Gao, Y Zhou, M Yang…","Enantioselective alkylative cross-coupling of unactivated aromatic C–O electrophiles",2022,"… Communications","nature.com","https://www.nature.com/articles/s41467-022-30693-x","https://scholar.google.com/scholar?cites=9192378309223140219&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 23:48:01","","","","",,,,,24,8.00,4,6,3,"… is in accordance with the stereochemical outcome of the enantioselective alkylative cross-coupling. For comparison, DFT calculations on the catalytic cycle via mono-ligated pathway …","https://www.nature.com/articles/s41467-022-30693-x.pdf","https://scholar.google.com/scholar?q=related:e0tAcl7jkX8J:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
73,"TN Ye, Y Lu, Z Xiao, J Li, T Nakao, H Abe…","Palladium-bearing intermetallic electride as an efficient and stable catalyst for Suzuki cross-coupling reactions",2019,"… communications","nature.com","https://www.nature.com/articles/s41467-019-13679-0","https://scholar.google.com/scholar?cites=7323275171881582356&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 23:48:01","","","","",,,,,73,12.17,10,7,6,"… Motivated by the presence of interstitial sites, we conducted DFT calculations to clarify the … The DFT calculation also showed the electron transfer from yttrium to palladium, pushing …","https://www.nature.com/articles/s41467-019-13679-0.pdf","https://scholar.google.com/scholar?q=related:FH9w7Pd_oWUJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"G Li, Y Nieves-Quinones, H Zhang, Q Liang…","Transition-metal-free formal cross-coupling of aryl methyl sulfoxides and alcohols via nucleophilic activation of CS bond",2020,"… Communications","nature.com","https://www.nature.com/articles/s41467-020-16713-8","https://scholar.google.com/scholar?cites=10644761077060622203&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 23:48:01","","","","",,,,,26,5.20,5,5,5,"… A DFT computational study suggests that the reaction proceeds via initial addition of the … use with many other electrophiles and nucleophiles leading to new cross-coupling processes. …","https://www.nature.com/articles/s41467-020-16713-8.pdf","https://scholar.google.com/scholar?q=related:e1caHc3JuZMJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
44,"R Kancherla, K Muralirajan, B Maity…","Mechanistic insights into photochemical nickel-catalyzed cross-couplings enabled by energy transfer",2022,"… Communications","nature.com","https://www.nature.com/articles/s41467-022-30278-8","https://scholar.google.com/scholar?cites=2694545342123805919&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 23:48:01","","","","",,,,,44,14.67,11,4,3,"… DFT and TD-DFT calculations point to a mechanism involving a Dexter triplet-triplet EnT from the *Ir(III) photosensitizer to the organometallic Ni(II) catalyst. The formation of the Ni(II) …","https://www.nature.com/articles/s41467-022-30278-8.pdf","https://scholar.google.com/scholar?q=related:3wx5XLbyZCUJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
106,"DY Wang, M Kawahata, ZK Yang, K Miyamoto…","Stille coupling via C–N bond cleavage",2016,"… communications","nature.com","https://www.nature.com/articles/ncomms12937","https://scholar.google.com/scholar?cites=2582165203897141881&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 23:48:01","","","","",,,,,106,11.78,21,5,9,"… DFT calculations Next, we employed density functional theory (DFT) calculations at the B3LYP (refs 49, 50, 51)/M06 (ref. 52) level, together with the artificial force-induced reaction …","https://www.nature.com/articles/ncomms12937.pdf","https://scholar.google.com/scholar?q=related:ecqpcZKx1SMJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"J Shi, G Wang, D Tian, X Hai, R Meng, Y Xu…","Defying the oxidative-addition prerequisite in cross-coupling through artful single-atom catalysts",2025,"… Communications","nature.com","https://www.nature.com/articles/s41467-025-58579-8","https://scholar.google.com/scholar?cites=1318973817508587397&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 23:48:01","","","","",,,,,1,1.00,0,7,1,"… ASAC achieved a TON up to 45,327,037 in cross coupling reactions, defined as the mole of … We first conducted Density Functional Theory (DFT) calculations to gain theoretical insights …","https://www.nature.com/articles/s41467-025-58579-8.pdf","https://scholar.google.com/scholar?q=related:heej5LLvTRIJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
282,"K Muto, J Yamaguchi, DG Musaev, K Itami","Decarbonylative organoboron cross-coupling of esters by nickel catalysis",2015,"Nature communications","nature.com","https://www.nature.com/articles/ncomms8508","https://scholar.google.com/scholar?cites=7481940186914695721&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 23:48:01","","","","",,,,,282,28.20,71,4,10,"… Suzuki–Miyaura coupling, we devised a decarbonylative cross-coupling manifold employing … Subsequent reductive elimination releases the decarbonylative cross-coupling product and …","https://www.nature.com/articles/ncomms8508.pdf","https://scholar.google.com/scholar?q=related:KSrFf_Uw1WcJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
111,"Y Li, Y Luo, L Peng, Y Li, B Zhao, W Wang…","Reaction scope and mechanistic insights of nickel-catalyzed migratory Suzuki–Miyaura cross-coupling",2020,"… Communications","nature.com","https://www.nature.com/articles/s41467-019-14016-1","https://scholar.google.com/scholar?cites=3387051906154052673&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 23:48:01","","","","",,,,,111,22.20,16,7,5,"Cross-coupling reactions have developed into powerful approaches for carbon–carbon bond formation. In this work, a Ni-catalyzed migratory Suzuki–Miyaura cross-coupling featuring …","https://www.nature.com/articles/s41467-019-14016-1.pdf","https://scholar.google.com/scholar?q=related:QTwfZsM5AS8J:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"WS Yoon, WJ Jang, W Yoon, H Yun, J Yun","Copper-catalysed asymmetric reductive cross-coupling of prochiral alkenes",2022,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-022-30286-8","https://scholar.google.com/scholar?cites=15167241769699286235&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-05 23:48:01","HTML","","","",,,,,11,3.67,2,5,3,"… Lastly, we briefly examined organic transformations of the resulting coupled products obtained from these olefin cross-coupling reactions to demonstrate the potential synthetic power of …","https://www.nature.com/articles/s41467-022-30286-8","https://scholar.google.com/scholar?q=related:25xksQfefNIJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"J Zhou, Z Zhao, N Shibata","Transition-metal-free silylboronate-mediated cross-couplings of organic fluorides with amines",2023,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-023-37466-0","https://scholar.google.com/scholar?cites=7525176355337312183&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-05 23:48:01","HTML","","","",,,,,18,9.00,6,3,2,"… cross-couplings are fundamental in the field of organic chemistry. Herein, silylboronate-mediated selective defluorinative cross-coupling of … the room-temperature cross-coupling of C–F …","https://www.nature.com/articles/s41467-023-37466-0","https://scholar.google.com/scholar?q=related:t5cMbAbMbmgJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"B Du, CM Chan, PY Lee, LH Cheung, X Xu…","2,2-difluorovinyl benzoates for diverse synthesis of gem-difluoroenol ethers by Ni-catalyzed cross-coupling reactions",2021,"… communications","nature.com","https://www.nature.com/articles/s41467-020-20725-9","https://scholar.google.com/scholar?cites=15479288170483780101&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-05 23:48:01","HTML","","","",,,,,24,6.00,4,6,4,"… density-functional theory (DFT) calculation to delineate the mechanistic details of the reaction. We chose the “3a+6c” reaction as a model for our DFT … to initiate the coupling reaction. …","https://www.nature.com/articles/s41467-020-20725-9","https://scholar.google.com/scholar?q=related:BYqXCZR60dYJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"R Feng, IY Zhang, X Xu","A cross-entropy corrected hybrid multiconfiguration pair-density functional theory for complex molecular systems",2025,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-024-55524-z","https://scholar.google.com/scholar?cites=7409566591459046476&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-05-05 23:48:01","HTML","","","",,,,,2,2.00,1,3,1,"… Here, we extend the linear scheme of hybrid multiconfiguration pair-density functional theory (HMC-PDFT) by incorporating a cross-entropy ingredient to balance the description of static …","https://www.nature.com/articles/s41467-024-55524-z","https://scholar.google.com/scholar?q=related:TLSEr44R1GYJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"DY Li, SW Li, YL Xie, X Hua, YT Long, A Wang…","On-surface synthesis of planar dendrimers via divergent cross-coupling reaction",2019,"… Communications","nature.com","https://www.nature.com/articles/s41467-019-10407-6","https://scholar.google.com/scholar?cites=980752360617797220&as_sdt=2005&sciodt=0,5&hl=en",15,"2025-05-05 23:48:01","HTML","","","",,,,,26,4.33,4,7,6,"… In order to unravel the reaction mechanism and elucidate the origin of the high selectivity of DCR, we performed DFT calculations to determine the energy of the initial debromination …","https://www.nature.com/articles/s41467-019-10407-6","https://scholar.google.com/scholar?q=related:ZOY_YxNVnA0J:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"X Luo, D Yang, X He, S Wang, D Zhang, J Xu…","Valve turning towards on-cycle in cobalt-catalyzed Negishi-type cross-coupling",2023,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-40269-y","https://scholar.google.com/scholar?cites=7794582642384218206&as_sdt=2005&sciodt=0,5&hl=en",16,"2025-05-05 23:48:01","HTML","","","",,,,,5,2.50,1,7,2,"… a basic mechanistic perspective for designing cobalt-catalyzed cross-coupling reactions. … reliable evidence for the DFT calculation of the structural simulation. DFT calculations help us …","https://www.nature.com/articles/s41467-023-40269-y","https://scholar.google.com/scholar?q=related:Xqi8o53rK2wJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"S Dutta, S Shandilya, S Yang, MP Gogoi…","Cationic-palladium catalyzed regio- and stereoselective syn-1,2-dicarbofunctionalization of unsymmetrical internal alkynes",2022,"… Communications","nature.com","https://www.nature.com/articles/s41467-022-28949-7","https://scholar.google.com/scholar?cites=8090359082406268504&as_sdt=2005&sciodt=0,5&hl=en",17,"2025-05-05 23:48:01","HTML","","","",,,,,26,8.67,5,5,3,"… experiments reveal the synergy between the carboxylate protecting group and the cationic Pd-intermediate in the regioselectivity and reaction productivity; density functional theory (DFT…","https://www.nature.com/articles/s41467-022-28949-7","https://scholar.google.com/scholar?q=related:WE4ujLi6RnAJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"T Kuribara, M Nakajima, T Nemoto","A visible-light activated secondary phosphine oxide ligand enabling Pd-catalyzed radical cross-couplings",2022,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-022-31613-9","https://scholar.google.com/scholar?cites=6863890797383205283&as_sdt=2005&sciodt=0,5&hl=en",18,"2025-05-05 23:48:01","HTML","","","",,,,,19,6.33,6,3,3,"… Pd-catalyzed radical cross-coupling reactions. The tautomeric … time-dependent density functional theory calculations enables … This complex enables radical cross-couplings by ligand-to-…","https://www.nature.com/articles/s41467-022-31613-9","https://scholar.google.com/scholar?q=related:o0EZU1BwQV8J:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
73,"H Na, LM Mirica","Deciphering the mechanism of the Ni-photocatalyzed C‒O cross-coupling reaction using a tridentate pyridinophane ligand",2022,"Nature communications","nature.com","https://www.nature.com/articles/s41467-022-28948-8","https://scholar.google.com/scholar?cites=14542702980445806061&as_sdt=2005&sciodt=0,5&hl=en",19,"2025-05-05 23:48:01","HTML","","","",,,,,73,24.33,37,2,3,"Photoredox nickel catalysis has emerged as a powerful strategy for cross-coupling reactions. Although the involvement of paramagnetic Ni(I)/Ni(III) species as active intermediates in the …","https://www.nature.com/articles/s41467-022-28948-8","https://scholar.google.com/scholar?q=related:7Z18Z08P0skJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
57,"B Zhou, H Wang, ZY Cao, JW Zhu, RX Liang…","Dearomative 1, 4-difunctionalization of naphthalenes via palladium-catalyzed tandem Heck/Suzuki coupling reaction",2020,"… communications","nature.com","https://www.nature.com/articles/s41467-020-18137-w","https://scholar.google.com/scholar?cites=1373642568377401317&as_sdt=2005&sciodt=0,5&hl=en",20,"2025-05-05 23:48:01","HTML","","","",,,,,57,11.40,10,6,5,"… cross-coupling, dearomative 1,2-difunctionalization, and dearomative reductive-Heck reaction. Density functional theory (DFT) … coupling, leading to the tandem Heck/Suzuki coupling …","https://www.nature.com/articles/s41467-020-18137-w","https://scholar.google.com/scholar?q=related:5X99WKMoEBMJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"MR Zhang, HR Wang, HM Shan, LL Xi, CJ Lu…","Copper-catalysed dynamic kinetic asymmetric C− O cross-coupling to access chiral aryl oxime ethers and diaryl ethers",2025,"… Communications","nature.com","https://www.nature.com/articles/s41467-025-57804-8","https://scholar.google.com/scholar?cites=3948348225939960369&as_sdt=2005&sciodt=0,5&hl=en",21,"2025-05-05 23:48:01","HTML","","","",,,,,1,1.00,0,6,1,"… cross-coupling has presented significant challenges and remains unexplored. In this study, we report a dynamic kinetic asymmetric C−O cross-coupling … Density Functional Theory (DFT) …","https://www.nature.com/articles/s41467-025-57804-8","https://scholar.google.com/scholar?q=related:MfKx0MpZyzYJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"B Zhan, LQ Ren, J Zhao, H Zhang, C He","Catalytic asymmetric C–N cross-coupling towards boron-stereogenic 3-amino-BODIPYs",2025,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-024-55796-5","https://scholar.google.com/scholar?cites=8654827047232580075&as_sdt=2005&sciodt=0,5&hl=en",22,"2025-05-05 23:48:01","HTML","","","",,,,,4,4.00,1,5,1,"… , the C–N cross-coupling of 3a with diverse aromatic … coupling reaction, the Suzuki cross-coupling reaction also proceeded smoothly, yielding the corresponding C–C cross-coupling …","https://www.nature.com/articles/s41467-024-55796-5","https://scholar.google.com/scholar?q=related:66m9HlgfHHgJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
44,"D Wang, X Chen, JJ Wong, L Jin, M Li, Y Zhao…","Phosphorus (III)-assisted regioselective C–H silylation of heteroarenes",2021,"… communications","nature.com","https://www.nature.com/articles/s41467-020-20531-3","https://scholar.google.com/scholar?cites=2464012550179509036&as_sdt=2005&sciodt=0,5&hl=en",23,"2025-05-05 23:48:01","HTML","","","",,,,,44,11.00,6,7,4,"… Based on the above mechanistic experiments, density functional theory (DFT) calculations were then conducted on the model reaction of indole 1a with Si 2 Me 6 (I) to better understand …","https://www.nature.com/articles/s41467-020-20531-3","https://scholar.google.com/scholar?q=related:LNONB1zuMSIJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"K Muralirajan, R Kancherla, B Maity…","Mechanistic insights into excited-state palladium catalysis for C–S bond formations and dehydrogenative sulfonylation of amines",2023,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-42392-2","https://scholar.google.com/scholar?cites=4465532245065051269&as_sdt=2005&sciodt=0,5&hl=en",24,"2025-05-05 23:48:01","HTML","","","",,,,,19,9.50,5,4,2,"… reaction, we performed density functional theory (DFT) calculations (See Computational Details in Supplementary Information). The overall pathway is divided into two major sections: …","https://www.nature.com/articles/s41467-023-42392-2","https://scholar.google.com/scholar?q=related:hawn4OrB-D0J:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Zeng, Y He, Y Li, L Wang, Q Hu, Y Li, Z Wei…","Photoredox cobalt-catalyzed asymmetric desymmetric reductive coupling of cyclobutenes with alkynes",2025,"… Communications","nature.com","https://www.nature.com/articles/s41467-025-58315-2","",25,"2025-05-05 23:48:01","HTML","","","",,,,,0,0.00,0,8,1,"… Preliminary density functional theory (DFT) calculations were performed to distinguish between the two proposed catalytic cycles. DFT results suggest that both the Co(III)-H insertion …","https://www.nature.com/articles/s41467-025-58315-2","https://scholar.google.com/scholar?q=related:Ta_G6YIZTO8J:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"BH Jhun, J Jang, S Lee, EJ Cho, Y You","Efficient photoredox catalysis in C–C cross-coupling reactions by two-coordinated Au (I) complex",2024,"Nature communications","nature.com","https://www.nature.com/articles/s41467-024-50979-6","https://scholar.google.com/scholar?cites=9287275511763804354&as_sdt=2005&sciodt=0,5&hl=en",26,"2025-05-05 23:48:01","HTML","","","",,,,,1,1.00,0,5,1,"… Finally, the reaction yield for C–C cross coupling with the reaction condition utilizing 0.1 mol% … Time-dependent density functional theory (TD–DFT) calculations were carried out for the …","https://www.nature.com/articles/s41467-024-50979-6","https://scholar.google.com/scholar?q=related:wqDdMd8H44AJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
105,"GS Lee, D Kim, SH Hong","Pd-catalyzed formal Mizoroki–Heck coupling of unactivated alkyl chlorides",2021,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-021-21270-9","https://scholar.google.com/scholar?cites=3094246650310723188&as_sdt=2005&sciodt=0,5&hl=en",27,"2025-05-05 23:48:01","HTML","","","",,,,,105,26.25,35,3,4,"… in Mizoroki–Heck cross-coupling reactions with excellent … effects in combination with density functional theory (DFT)-… Pd-catalyzed Mizoroki–Heck cross-coupling with alkyl electrophiles, …","https://www.nature.com/articles/s41467-021-21270-9","https://scholar.google.com/scholar?q=related:dIY2N-_48CoJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
68,"S Xing, Z Zhang, X Fei, W Zhao, R Zhang, T Lin…","Selective on-surface covalent coupling based on metal-organic coordination template",2019,"… Communications","nature.com","https://www.nature.com/articles/s41467-018-07933-0","https://scholar.google.com/scholar?cites=14298177715340933047&as_sdt=2005&sciodt=0,5&hl=en",28,"2025-05-05 23:48:01","HTML","","","",,,,,68,11.33,10,7,6,"… microscopy, density functional theory calculations and X-ray photoelectron spectroscopy, demonstrating the template effect of Fe-tpy coordination on the on-surface covalent coupling. …","https://www.nature.com/articles/s41467-018-07933-0","https://scholar.google.com/scholar?q=related:t3dNiuBUbcYJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
43,"AS Kashin, ES Degtyareva, DB Eremin…","Exploring the performance of nanostructured reagents with organic-group-defined morphology in cross-coupling reaction",2018,"… Communications","nature.com","https://www.nature.com/articles/s41467-018-05350-x","https://scholar.google.com/scholar?cites=17426734025249437621&as_sdt=2005&sciodt=0,5&hl=en",29,"2025-05-05 23:48:01","HTML","","","",,,,,43,6.14,11,4,7,"… Here we report the palladium- and copper-catalyzed cross-coupling reaction involving … and density functional theory (DFT) calculations (see Supplementary Discussion for results of DFT …","https://www.nature.com/articles/s41467-018-05350-x","https://scholar.google.com/scholar?q=related:tbc04kMy2PEJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
32,"T Wang, H Lv, J Huang, H Shan, L Feng, Y Mao…","Reaction selectivity of homochiral versus heterochiral intermolecular reactions of prochiral terminal alkynes on surfaces",2019,"… Communications","nature.com","https://www.nature.com/articles/s41467-019-12102-y","https://scholar.google.com/scholar?cites=3963391038861366502&as_sdt=2005&sciodt=0,5&hl=en",30,"2025-05-05 23:48:01","HTML","","","",,,,,32,5.33,5,7,6,"… ) homochiral Glaser coupling and heterochiral cross-coupling with a … Control experiments and density functional theory (DFT) … conditions enhances Glaser coupling between homochiral …","https://www.nature.com/articles/s41467-019-12102-y","https://scholar.google.com/scholar?q=related:5lRMoSbLADcJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
44,"ZK Yang, NX Xu, R Takita, A Muranaka, C Wang…","Cross-coupling polycondensation via C–O or C–N bond cleavage",2018,"… Communications","nature.com","https://www.nature.com/articles/s41467-018-03928-z","https://scholar.google.com/scholar?cites=7103933111691450485&as_sdt=2005&sciodt=0,5&hl=en",31,"2025-05-05 23:48:01","HTML","","","",,,,,44,6.29,7,6,7,"… based on transition-metal catalyzed cross-coupling reactions, such as Kumada–Tamao–Corriu coupling 5,6 , Suzuki–Miyaura coupling 6,7 , Stille coupling 8 , and so on 9,10 . Most …","https://www.nature.com/articles/s41467-018-03928-z","https://scholar.google.com/scholar?q=related:dRiB3oY9lmIJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"GE Clarke, JD Firth, LA Ledingham…","Deciphering complexity in Pd–catalyzed cross-couplings",2024,"… Communications","nature.com","https://www.nature.com/articles/s41467-024-47939-5","https://scholar.google.com/scholar?cites=9665634549244746083&as_sdt=2005&sciodt=0,5&hl=en",32,"2025-05-05 23:48:01","HTML","","","",,,,,8,8.00,2,4,1,"… of HBr (base-assisted) and second oxidative addition has been proposed to result in the formation of transient Pd IV species 24 C (based primarily on computational studies using DFT …","https://www.nature.com/articles/s41467-024-47939-5","https://scholar.google.com/scholar?q=related:Y9l5bGk7I4YJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"N Noto, R Kunisada, T Rohlfs, M Hayashi…","Transfer learning across different photocatalytic organic reactions",2025,"… Communications","nature.com","https://www.nature.com/articles/s41467-025-58687-5","",33,"2025-05-05 23:48:01","HTML","","","",,,,,0,0.00,0,5,1,"… density functional theory (DFT) calculations and Python toolkits. The DFT-derived descriptor set, which is denoted as DFT … that knowledge transfer from cross-coupling reactions could …","https://www.nature.com/articles/s41467-025-58687-5","https://scholar.google.com/scholar?q=related:ZWkCDfFL8EQJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"J Wang, S Li, C Yang, H Gao, L Zuo, Z Guo…","Photoelectrochemical Ni-catalyzed cross-coupling of aryl bromides with amine at ultra-low potential",2024,"… Communications","nature.com","https://www.nature.com/articles/s41467-024-51333-6","https://scholar.google.com/scholar?cites=3477075831477918844&as_sdt=2005&sciodt=0,5&hl=en",34,"2025-05-05 23:48:01","HTML","","","",,,,,7,7.00,1,7,1,"… Density functional theory (DFT) simulations were performed (… Noteworthily, DFT simulation elucidated that compared with the … of our PEC C–N cross-coupling method. The scope of aryl …","https://www.nature.com/articles/s41467-024-51333-6","https://scholar.google.com/scholar?q=related:fFxW4AsOQTAJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"J Huang, Q Gao, T Zhong, S Chen, W Lin…","Photoinduced copper-catalyzed C–N coupling with trifluoromethylated arenes",2023,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-44097-y","https://scholar.google.com/scholar?cites=17954205164780192983&as_sdt=2005&sciodt=0,5&hl=en",35,"2025-05-05 23:48:01","HTML","","","",,,,,37,18.50,6,6,2,"… DFT calculations were performed to elucidate the crucial SET process in the proposed … performed to explore potential pathways of C–N cross-coupling (Supplementary Fig. 16). These …","https://www.nature.com/articles/s41467-023-44097-y","https://scholar.google.com/scholar?q=related:1wQ1z3gmKvkJ:scholar.google.com/&scioq=source:%22nature+communications%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
