Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"D Huang¹, Q Wei, W Huang…","Synchronous Identification of Loads and Mutual Inductances for Multi-frequencies Multi-loads",2023,"The Proceedings of 2022 …","books.google.com","https://books.google.com/books?hl=en&lr=&id=p1S1EAAAQBAJ&oi=fnd&pg=PA229&dq=source:nature+cross+coupling+dft&ots=kUGXpFTyXL&sig=ICBqGqVY1RF455mmNuslFGk27fM","",982,"2025-05-05 22:10:47","","","","",,,,,0,0.00,0,4,2,"… Since in and if need to be detected respectively when identifying different mutual inductance parameters, the sliding window DFT is adopted in this paper [8] to detect two current signals…","","https://scholar.google.com/scholar?q=related:dps0hdURpnYJ:scholar.google.com/&scioq=source:nature+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"M Raitza, J Trommer, T Mikolajick…","END-TRUE: Emerging Nanotechnology-Based Double-Throughput True Random Number Generator",2022,"VLSI-SoC: Technology …","books.google.com","https://books.google.com/books?hl=en&lr=&id=_9CPEAAAQBAJ&oi=fnd&pg=PA175&dq=source:nature+cross+coupling+dft&ots=68B970ksRR&sig=iEF9Cs3NQQYdZCApg0UaHBRZCu0","",997,"2025-05-05 22:10:47","","","","",,,,,0,0.00,0,4,3,"… (in this case, Block frequency , DFT , Overlap template matching and Cumulative sum-2 … The transistor-level ambipolarity in RFETs allows us to duplicate crosscoupled SR latches …","","https://scholar.google.com/scholar?q=related:e1paoacunJcJ:scholar.google.com/&scioq=source:nature+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
144,"X Hai, Y Zheng, Q Yu, N Guo, S Xi, X Zhao, S Mitchell…","Geminal-atom catalysis for cross-coupling",2023,"Nature","nature.com","https://www.nature.com/articles/s41586-023-06529-z","https://scholar.google.com/scholar?cites=15975191867933158662&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 22:10:47","","","","",,,,,144,72.00,18,8,2,"… To confirm the atomic structure of the Cu sites, first-principles calculations based on density functional theory (DFT) were conducted to identify possible models and simulate their …","https://drive.google.com/file/d/1YwQ5LFPiYKuXl9iZ2y601mi-BJjDobBo/view","https://scholar.google.com/scholar?q=related:Bm3dGl1Is90J:scholar.google.com/&scioq=source:nature+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
84,"I Ghosh, N Shlapakov, TA Karl, J Düker, M Nikitin…","General cross-coupling reactions with adaptive dynamic homogeneous catalysis",2023,"Nature","nature.com","https://www.nature.com/articles/s41586-023-06087-4","https://scholar.google.com/scholar?cites=5620345842635784562&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 22:10:47","","","","",,,,,84,42.00,14,6,2,"… The desired C(sp 2 )–S cross-coupling product 9 was obtained in an excellent 92% isolated … norm in reported traditional cross-coupling reactions as the coupling reaction is devoid of …","","https://scholar.google.com/scholar?q=related:ckEmGcR6_00J:scholar.google.com/&scioq=source:nature+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
88,"L Guo, W Srimontree, C Zhu, B Maity, X Liu…","Nickel-catalyzed Suzuki–Miyaura cross-couplings of aldehydes",2019,"Nature …","nature.com","https://www.nature.com/articles/s41467-019-09766-x","https://scholar.google.com/scholar?cites=15790157343151792161&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 22:10:47","HTML","","","",,,,,88,14.67,15,6,6,"… Nickel-catalyzed deformylative Suzuki–Miyaura cross coupling and related DFT studies on … (left) and nickel-catalyzed deformylative cross coupling for the synthesis of biaryls (right). b …","https://www.nature.com/articles/s41467-019-09766-x","https://scholar.google.com/scholar?q=related:IaAWmnHoIdsJ:scholar.google.com/&scioq=source:nature+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"J Sun, J He, L Massaro, DA Cagan, J Tsien, Y Wang…","Stereoretentive radical cross-coupling",2025,"Nature","nature.com","https://www.nature.com/articles/s41586-025-09011-0","",4,"2025-05-05 22:10:47","","","","",,,,,0,0.00,0,7,1,"… mechanistic hypothesis for the sterorentive cross-coupling reaction was studied by dispersion 189 corrected denisty functional theory (DFT) quantum chemical calculations performed in …","https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/67d20d1d6dde43c908972358/original/stereoretentive-radical-cross-coupling.pdf","https://scholar.google.com/scholar?q=related:id0A--zDp1sJ:scholar.google.com/&scioq=source:nature+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"J Zhu, R Zhang, G Dong","Orthogonal cross-coupling through intermolecular metathesis of unstrained C (aryl)–C (aryl) single bonds",2021,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-021-00757-4","https://scholar.google.com/scholar?cites=15424019726061282453&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 22:10:47","","","","",,,,,13,3.25,4,3,4,"… insights on further optimization, density functional theory (DFT) calculations were conducted. … This was further supported by DFT calculations on the meta tert-butyl-substituted substrate …","","https://scholar.google.com/scholar?q=related:lSSAjDggDdYJ:scholar.google.com/&scioq=source:nature+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"J Großkopf, C Gopatta, RT Martin, A Haseloer…","Generalizing arene C–H alkylations by radical–radical cross-coupling",2025,"Nature","nature.com","https://www.nature.com/articles/s41586-025-08887-2","",6,"2025-05-05 22:10:47","","","","",,,,,0,0.00,0,5,1,"… to a statistical amount of cross-coupled product and predominantly … Density functional theory calculations support the existence … The high cross-coupling selectivity arises from the low …","","https://scholar.google.com/scholar?q=related:v3jkaGePEOYJ:scholar.google.com/&scioq=source:nature+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
54,"T Niwa, Y Uetake, M Isoda, T Takimoto, M Nakaoka…","Lewis acid-mediated Suzuki–Miyaura cross-coupling reaction",2021,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-021-00719-6","https://scholar.google.com/scholar?cites=6010333318033573893&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 22:10:47","HTML","","","",,,,,54,13.50,9,6,4,"… We performed DFT calculations for each step of the zinc-mediated SMC reaction to elucidate the reaction mechanism using 4-fluorobromobenzene (1) and potassium phenyl(trifluoro)…","https://www.nature.com/articles/s41929-021-00719-6","https://scholar.google.com/scholar?q=related:BQgWA0_-aFMJ:scholar.google.com/&scioq=source:nature+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"ZC Wang, X Luo, JW Zhang, CF Liu, MJ Koh, SL Shi","Enantioselective C–C cross-coupling of unactivated alkenes",2023,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-023-01037-9","https://scholar.google.com/scholar?cites=8426469020269109003&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 22:10:47","","","","",,,,,24,12.00,4,6,2,"… However, enantioselective cross-coupling of unactivated … three-component cross-coupling of unactivated alkenes with aryl … of other challenging enantioselective alkene cross-couplings. …","","https://scholar.google.com/scholar?q=related:C1_5t-3U8HQJ:scholar.google.com/&scioq=source:nature+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
73,"TN Ye, Y Lu, Z Xiao, J Li, T Nakao, H Abe…","Palladium-bearing intermetallic electride as an efficient and stable catalyst for Suzuki cross-coupling reactions",2019,"Nature …","nature.com","https://www.nature.com/articles/s41467-019-13679-0","https://scholar.google.com/scholar?cites=7323275171881582356&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 22:10:47","HTML","","","",,,,,73,12.17,10,7,6,"… Motivated by the presence of interstitial sites, we conducted DFT calculations to clarify the … The DFT calculation also showed the electron transfer from yttrium to palladium, pushing …","https://www.nature.com/articles/s41467-019-13679-0","https://scholar.google.com/scholar?q=related:FH9w7Pd_oWUJ:scholar.google.com/&scioq=source:nature+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
40,"P Li, Z Zhu, C Guo, G Kou, S Wang, P Xie, D Ma…","Nickel-electrocatalysed C(sp3)–C(sp3) cross-coupling of unactivated alkyl halides",2024,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-024-01118-3","https://scholar.google.com/scholar?cites=17009823086149023009&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 22:10:47","","","","",,,,,40,40.00,5,8,1,"… In parallel to these experiments, based on density functional theory (DFT), computational … Moreover, based on DFT calculations concerning the various oxidation states of the nickel …","","https://scholar.google.com/scholar?q=related:IbUmlvkHD-wJ:scholar.google.com/&scioq=source:nature+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"X Zhao, X Zhu, K Wang, J Lv, S Chen, G Yao…","Palladium catalyzed radical relay for the oxidative cross-coupling of quinolines",2022,"Nature …","nature.com","https://www.nature.com/articles/s41467-022-31967-0","https://scholar.google.com/scholar?cites=5371557826554854346&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-05 22:10:47","HTML","","","",,,,,22,7.33,3,7,3,"… The catalyst surface was first constructed by density functional theory (DFT) calculations. Charge … DFT calculations show that methanol adsorbs on an electron-deficient Pd(111) surface. …","https://www.nature.com/articles/s41467-022-31967-0","https://scholar.google.com/scholar?q=related:yntFLmKbi0oJ:scholar.google.com/&scioq=source:nature+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"C Yu, Z Zhang, G Dong","Split cross-coupling via Rh-catalysed activation of unstrained aryl–aryl bonds",2024,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-024-01120-9","https://scholar.google.com/scholar?cites=18244886755576149180&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-05 22:10:47","","","","",,,,,6,6.00,2,3,1,"… To further understand the catalytic cycle, the density functional theory (DFT) calculation was … I) is difficult to be precisely calculated (in this DFT study, we assumed both TDAE and TDAT-I …","https://pmc.ncbi.nlm.nih.gov/articles/PMC11567681/","https://scholar.google.com/scholar?q=related:vHRYsdbbMv0J:scholar.google.com/&scioq=source:nature+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
44,"R Kancherla, K Muralirajan, B Maity…","Mechanistic insights into photochemical nickel-catalyzed cross-couplings enabled by energy transfer",2022,"Nature …","nature.com","https://www.nature.com/articles/s41467-022-30278-8","https://scholar.google.com/scholar?cites=2694545342123805919&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-05 22:10:47","HTML","","","",,,,,44,14.67,11,4,3,"… DFT and TD-DFT calculations point to a mechanism involving a Dexter triplet-triplet EnT from the *Ir(III) photosensitizer to the organometallic Ni(II) catalyst. The formation of the Ni(II) …","https://www.nature.com/articles/s41467-022-30278-8","https://scholar.google.com/scholar?q=related:3wx5XLbyZCUJ:scholar.google.com/&scioq=source:nature+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
96,"FL Wang, CJ Yang, JR Liu, NY Yang, XY Dong…","Mechanism-based ligand design for copper-catalysed enantioconvergent C(sp3)–C(sp) cross-coupling of tertiary electrophiles with alkynes",2022,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-022-00954-9","https://scholar.google.com/scholar?cites=6653521983218297191&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-05-05 22:10:47","","","","",,,,,96,32.00,16,6,3,"… We next performed DFT calculations to understand the reaction mechanism and the origins of enantioselectivity. The DFT-computed free energy changes of the operative catalytic cycle …","https://liuxy.chem.sustech.edu.cn/wp-content/uploads/2022/05/s41557-022-00954-9.pdf","https://scholar.google.com/scholar?q=related:Z6n66v0OVlwJ:scholar.google.com/&scioq=source:nature+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
