Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"I Prat Casellas, JS Mathieson…","Observation of Fe (V)= O using variable-temperature mass spectrometry and its enzyme-like C–H and C= C oxidation reactions",2011,"© Nature Chemistry …","dugi-doc.udg.edu","https://dugi-doc.udg.edu/handle/10256/7147","",226,"2025-05-05 22:06:13","","","","",,,,,0,0.00,0,3,14,"… evidence, corroborated by a full DFT analysis, and isotopic labelling characterization for such a powerful oxidant, under conditions relevant to catalysis. Thus, results disclosed in this …","https://dugi-doc.udg.edu/bitstream/handle/10256/7147/Postprint-ObservationFe.pdf?sequence=3","https://scholar.google.com/scholar?q=related:yrhsb-PVioIJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
1032,"L Falivene, Z Cao, A Petta, L Serra, A Poater, R Oliva…","Towards the online computer-aided design of catalytic pockets",2019,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-019-0319-5","https://scholar.google.com/scholar?cites=8137334174344440165&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 22:06:13","","","","",,,,,1032,172.00,147,7,6,"… density functional theory calculations, enable catalyst structural modifications to be explored quickly, making the online design of new catalysts … the behaviour of known catalysts—from …","https://repository.kaust.edu.sa/bitstream/handle/10754/656688/Maps-NC-Manuscript-2019-07-04-No-Hihlight.pdf?sequence=1","https://scholar.google.com/scholar?q=related:ZWlycFGe7XAJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
169,"SE Denmark, E Hartmann, DJP Kornfilt, H Wang","Mechanistic, crystallographic, and computational studies on the catalytic, enantioselective sulfenofunctionalization of alkenes",2014,"Nature Chemistry","nature.com","https://www.nature.com/articles/nchem.2109","https://scholar.google.com/scholar?cites=8657386557280321422&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 22:06:13","","","","",,,,,169,15.36,42,4,11,"… These results mirror those from density functional theory (DFT) analysis and suggest that a more subtle effect may be operative. As shown in Table 3, H-TS-major1 possesses the lowest …","","https://scholar.google.com/scholar?q=related:jn_vfTQ3JXgJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
4204,"JK Nørskov, T Bligaard, J Rossmeisl…","Towards the computational design of solid catalysts",2009,"Nature chemistry","nature.com","https://www.nature.com/articles/nchem.121","https://scholar.google.com/scholar?cites=18153804628023386447&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 22:06:13","","","","",,,,,4204,262.75,1051,4,16,"… 3 , optical absorption 4 and molecules for homogeneous catalysis 5,6 . … DFT works quite well for these systems, but we also know that it may work less well for other classes of catalysts …","","https://scholar.google.com/scholar?q=related:TyEtTyBF7_sJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"JS Bates","Progress and pitfalls in designing heterogeneous catalysts with molecular precision",2025,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-024-01731-6","https://scholar.google.com/scholar?cites=9332754911604724374&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 22:06:13","","","","",,,,,2,2.00,2,1,1,"… these catalysts in diverse areas of chemistry beyond thermal heterogeneous catalysis, including … , structure and function of atomically dispersed catalysts to one another. A paedagogical …","","https://scholar.google.com/scholar?q=related:llL7ISWbhIEJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
434,"RE Rodríguez-Lugo, M Trincado, M Vogt, F Tewes…","A homogeneous transition metal complex for clean hydrogen production from methanol–water mixtures",2013,"… chemistry","nature.com","https://www.nature.com/articles/nchem.1595","https://scholar.google.com/scholar?cites=5231894039046541033&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 22:06:13","","","","",,,,,434,36.17,87,5,12,"… The development of catalytic systems that operate at lower … Homogeneous catalysts for the production of hydrogen from … Computations (density functional theory) were carried out for the …","https://www.researchgate.net/profile/Rafael-Rodriguez-Lugo/publication/236063705_A_homogeneous_transition_metal_complex_for_clean_hydrogen_production_from_methanol-water_mixtures/links/5548d5230cf2e166454476fc/A-homogeneous-transition-metal-complex-for-clean-hydrogen-production-from-methanol-water-mixtures.pdf","https://scholar.google.com/scholar?q=related:6U7ao-hrm0gJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
94,"S Cao, M Yang, AO Elnabawy, A Trimpalis, S Li…","Single-atom gold oxo-clusters prepared in alkaline solutions catalyse the heterogeneous methanol self-coupling reactions",2019,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-019-0345-3","https://scholar.google.com/scholar?cites=16233708295451250195&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 22:06:13","","","","",,,,,94,15.67,16,6,6,"… atom catalysts has intensified recently. Anchoring organometallic homogeneous catalysts to … of the thermochemistry of relevant steps, using density functional theory (DFT) (details in the …","","https://scholar.google.com/scholar?q=related:Ew6vUa-3SeEJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
107,"W Li, J Rabeah, F Bourriquen, D Yang…","Scalable and selective deuteration of (hetero) arenes",2022,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-021-00846-4","https://scholar.google.com/scholar?cites=4280519737628981294&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 22:06:13","HTML","","","",,,,,107,35.67,21,5,3,"… We propose a concerted mechanism in which D 2 O is split homogeneously by the iron catalyst, yet the resulting radicals are not liberated into the solution but remain adsorbed on the …","https://www.nature.com/articles/s41557-021-00846-4","https://scholar.google.com/scholar?q=related:LnhsrwV2ZzsJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
194,"AS Dudnik, VL Weidner, A Motta, M Delferro…","Atom-efficient regioselective 1, 2-dearomatization of functionalized pyridines by an earth-abundant organolanthanide catalyst",2014,"Nature chemistry","nature.com","https://www.nature.com/articles/nchem.2087","https://scholar.google.com/scholar?cites=11902358218114832817&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 22:06:13","","","","",,,,,194,17.64,39,5,11,"… Evaluation of several approaches identified the M06 DFT functional at the 6-31G** level of theory as the best-performing DFT method for the present study. To validate the …","https://www.researchgate.net/profile/Massimiliano-Delferro/publication/268787498_ChemInform_Abstract_Atom-Efficient_Regioselective_12-Dearomatization_of_Functionalized_Pyridines_by_an_Earth-Abundant_Organolanthanide_Catalyst/links/55c2366308aebc967defd6ed/ChemInform-Abstract-Atom-Efficient-Regioselective-1-2-Dearomatization-of-Functionalized-Pyridines-by-an-Earth-Abundant-Organolanthanide-Catalyst.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9","https://scholar.google.com/scholar?q=related:sZkv7LyrLaUJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
86,"J Zhu, J Wang, G Dong","Catalytic activation of unstrained C (aryl)–C (aryl) bonds in 2, 2′-biphenols",2019,"Nature chemistry","nature.com","https://www.nature.com/articles/s41557-018-0157-x","https://scholar.google.com/scholar?cites=18294063142241568155&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 22:06:13","","","","",,,,,86,14.33,29,3,6,"… unstrained C−C bonds with homogeneous catalysis is rare. To the best … The density functional theory (DFT) calculation (… Moreover, consistent with the experiments, the DFT calculation …","https://pmc.ncbi.nlm.nih.gov/articles/PMC6383370/pdf/nihms-1506380.pdf","https://scholar.google.com/scholar?q=related:mwXgc4CR4f0J:scholar.google.com/&scioq=source:%22nature+chemistry%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
