Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
9,"F Sun, C Lin, W Zhang, Q Chen, W Chen, X Li, ...","Dual activation and CC coupling on single atom catalyst for CO2 photoreduction",2023,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-023-01177-3","https://scholar.google.com/scholar?cites=15260210446641704984&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 23:01:30","HTML","","","",,,,,9,4.50,1,7,2,"… In summary, by utilizing DFT calculation and ab-initio NAMD simulation, we build the computational frameworks to screen an outstanding single-atom photocatalysts Ti-supported 2D C …","https://www.nature.com/articles/s41524-023-01177-3","https://scholar.google.com/scholar?q=related:GLDIlYwox9MJ:scholar.google.com/&scioq=source:npj+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
65,"S Zhou, W Pei, Y Zhao, X Yang, N Liu, ...","Low-dimensional non-metal catalysts: principles for regulating p-orbital-dominated reactivity",2021,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-021-00654-x","https://scholar.google.com/scholar?cites=4915129484900351015&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 23:01:30","HTML","","","",,,,,65,16.25,11,6,4,"… Density functional theory (DFT) calculations using the … Their DFT calculations identified a B–C–N heteroring, in which N plays the role of electron-withdrawing group to indirectly activate …","https://www.nature.com/articles/s41524-021-00654-x","https://scholar.google.com/scholar?q=related:J7yInDkMNkQJ:scholar.google.com/&scioq=source:npj+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"R Zhao, CP Hettich, X Chen, J Gao","Minimal-active-space multistate density functional theory for excitation energy involving local and charge transfer states",2021,"npj computational materials","nature.com","https://www.nature.com/articles/s41524-021-00624-3","https://scholar.google.com/scholar?cites=11994521285301478846&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 23:01:30","HTML","","","",,,,,15,3.75,4,4,4,"… Multistate density functional theory (MSDFT) employing a minimum active space (MAS) is … MSDFT is a hybrid wave function theory (WFT) and density functional theory, in which dynamic …","https://www.nature.com/articles/s41524-021-00624-3","https://scholar.google.com/scholar?q=related:vqVBLY8ZdaYJ:scholar.google.com/&scioq=source:npj+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
58,"D Chen, C Shang, ZP Liu","Machine-learning atomic simulation for heterogeneous catalysis",2023,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-022-00959-5","https://scholar.google.com/scholar?cites=18114363627233551268&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 23:01:30","HTML","","","",,,,,58,29.00,19,3,2,"… With the advent of density functional theory calculations for … finite system DFT calculations, the plane-wave DFT calculations for … to the reaction rate of methane activation under 673 K. …","https://www.nature.com/articles/s41524-022-00959-5","https://scholar.google.com/scholar?q=related:pCODtb4lY_sJ:scholar.google.com/&scioq=source:npj+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
199,"R Nagai, R Akashi, O Sugino","Completing density functional theory by machine learning hidden messages from molecules",2020,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-020-0310-0","https://scholar.google.com/scholar?cites=10678314433354685793&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 23:01:30","HTML","","","",,,,,199,39.80,66,3,5,"… For activation function f, we adopted the smooth nonlinear activation function named “exponential linear units” 44 , which is defined as f(x) = max(0, x) + min(0, e x − 1). The last layer h H …","https://www.nature.com/articles/s41524-020-0310-0","https://scholar.google.com/scholar?q=related:YV0IqGb-MJQJ:scholar.google.com/&scioq=source:npj+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
98,"F Maresca, D Dragoni, G Csányi, N Marzari, ...","Screw dislocation structure and mobility in body centered cubic Fe predicted by a Gaussian Approximation Potential",2018,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-018-0125-4","https://scholar.google.com/scholar?cites=7903619409429295788&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 23:01:30","HTML","","","",,,,,98,14.00,20,5,7,"… The thermally activated motion at finite temperatures occurs by … ~2 GPa consistent with DFT predictions of the Peierls potential. … sizes well beyond the capabilities of DFT (up to ~50,000 …","https://www.nature.com/articles/s41524-018-0125-4","https://scholar.google.com/scholar?q=related:rHLqSvpLr20J:scholar.google.com/&scioq=source:npj+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"L Ward, B Blaiszik, CW Lee, T Martin, I Foster, ...","Accelerating multiscale electronic stopping power predictions with time-dependent density functional theory and machine learning",2024,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-024-01374-8","https://scholar.google.com/scholar?cites=15335815809097826576&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 23:01:30","HTML","","","",,,,,2,2.00,0,6,1,"… We establish a method that combines time-dependent density functional theory (TDDFT) and machine learning to reduce the time to assess new materials to hours on a supercomputer …","https://www.nature.com/articles/s41524-024-01374-8","https://scholar.google.com/scholar?q=related:EIEYyjnD09QJ:scholar.google.com/&scioq=source:npj+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"S Singh, AG Anil, B Uppara, SK Behera, B Nath, PN, ...","Adsorption and DFT investigations of Cr (VI) removal using nanocrystals decorated with graphene oxide",2024,"Npj Clean Water","nature.com","https://www.nature.com/articles/s41545-024-00306-9","https://scholar.google.com/scholar?cites=8435870992389993923&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 23:01:30","HTML","","","",,,,,16,16.00,2,7,1,"… The density functional theory simulations showed that the nanocomposite had ten times more dynamic delocalized surface states, which enhanced the adsorption capacity and agreed …","https://www.nature.com/articles/s41545-024-00306-9","https://scholar.google.com/scholar?q=related:w3Vt8Pg7EnUJ:scholar.google.com/&scioq=source:npj+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
54,"L Wu, S Hu, W Yu, S Shen, T Li","Stabilizing mechanism of single-atom catalysts on a defective carbon surface",2020,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-020-0292-y","https://scholar.google.com/scholar?cites=3865949838863706305&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 23:01:30","HTML","","","",,,,,54,10.80,11,5,5,"… using density functional theory (DFT) … /O/C/H force field parameters, we further calculate the activation energy in each step for the catalytic mechanisms in Eqs. (2) and (3) using DFT as …","https://www.nature.com/articles/s41524-020-0292-y","https://scholar.google.com/scholar?q=related:wSjzUOWcpjUJ:scholar.google.com/&scioq=source:npj+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"TT Yang, WA Saidi","The Bell-Evans-Polanyi relation for hydrogen evolution reaction from first-principles",2024,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-024-01244-3","https://scholar.google.com/scholar?cites=553583109977932904&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 23:01:30","HTML","","","",,,,,8,8.00,4,2,1,"… activation energy of the electrochemical current \(\Delta {G}_{{tot}}^{+}\) is linearly proportional to, and solely a function of the DFT-… ” activation energy, we define the DFT activation free …","https://www.nature.com/articles/s41524-024-01244-3","https://scholar.google.com/scholar?q=related:aATkz-e4rgcJ:scholar.google.com/&scioq=source:npj+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
