Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
14,"A Koitzsch, T Klaproth, S Selter, Y Shemerliuk, ...","Intertwined electronic and magnetic structure of the van-der-Waals antiferromagnet Fe2P2S6",2023,"npj Quantum …","nature.com","https://www.nature.com/articles/s41535-023-00560-z","https://scholar.google.com/scholar?cites=10373087899701451418&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 22:55:12","HTML","","","",,,,,14,7.00,3,5,2,"… ) and optical spectroscopy as well as density functional theory (DFT) calculations. We observe … experimental data we plot partial density of states of S 3p and Fe 3d obtained by DFT + U. …","https://www.nature.com/articles/s41535-023-00560-z","https://scholar.google.com/scholar?q=related:mpqbXXyc9I8J:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
40,"E Chen, A Tamm, T Wang, ME Epler, M Asta, ...","Modeling antiphase boundary energies of Ni3Al-based alloys using automated density functional theory and machine learning",2022,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-022-00755-1","https://scholar.google.com/scholar?cites=2117335357017048910&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 22:55:12","HTML","","","",,,,,40,13.33,7,6,3,"… Next, we use VASP to perform DFT calculations to obtain γ 111 . Finally, we use ML techniques implemented in scikit-learn to analyze correlations in the data and build predictive ML …","https://www.nature.com/articles/s41524-022-00755-1","https://scholar.google.com/scholar?q=related:TkdgAUpJYh0J:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
48,"Y Li, H Li, C Zhong, G Sini, JL Brédas","Characterization of intrinsic hole transport in single-crystal spiro-OMeTAD",2017,"npj Flexible Electronics","nature.com","https://www.nature.com/articles/s41528-017-0002-0","https://scholar.google.com/scholar?cites=14138813224987806785&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 22:55:12","HTML","","","",,,,,48,6.00,10,5,8,"… We employ density functional theory (DFT) calculations in combination with tight-binding (TB) modeling and kinetic Monte Carlo simulations to investigate the hole-transport mechanism …","https://www.nature.com/articles/s41528-017-0002-0","https://scholar.google.com/scholar?q=related:QUz-rLcnN8QJ:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
132,"MK Horton, JH Montoya, M Liu, ...","High-throughput prediction of the ground-state collinear magnetic order of inorganic materials using density functional theory",2019,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-019-0199-7","https://scholar.google.com/scholar?cites=11151073467556843403&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 22:55:12","HTML","","","",,,,,132,22.00,33,4,6,"… based on purely collinear DFT simulations with the modest … using a workflow based on conventional DFT + U for a set of well-… thus determine the ground-state ordering predicted by DFT. …","https://www.nature.com/articles/s41524-019-0199-7","https://scholar.google.com/scholar?q=related:i08C4jySwJoJ:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"ZJ Han, SB Xia, ZY Chen, Y Guo, ZX Li, ...","Facilitated the discovery of new γ/γ′ Co-based superalloys by combining first-principles and machine learning",2024,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-024-01455-8","https://scholar.google.com/scholar?cites=8557611037333337946&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 22:55:12","HTML","","","",,,,,3,3.00,1,6,1,"… In this study, we employed a coupled Density Functional Theory (DFT) and machine … was obtained through high-throughput DFT calculations. Through regression model selection and …","https://www.nature.com/articles/s41524-024-01455-8","https://scholar.google.com/scholar?q=related:Wjc39uW9wnYJ:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"Z Ouyang, M Gao, ZY Lu","Absence of electron-phonon coupling superconductivity in the bilayer phase of La3Ni2O7 under pressure",2024,"npj Quantum Materials","nature.com","https://www.nature.com/articles/s41535-024-00689-5","https://scholar.google.com/scholar?cites=460641704278202717&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 22:55:12","HTML","","","",,,,,17,17.00,6,3,1,"… properties and electron-phonon coupling (EPC) in the high-pressure I4/mmm phase of La 3 Ni 2 O 7 are not reported. Using the density functional theory (DFT) combined with Wannier …","https://www.nature.com/articles/s41535-024-00689-5","https://scholar.google.com/scholar?q=related:XZk7gDCHZAYJ:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
86,"I Novikov, B Grabowski, F Körmann, ...","Magnetic Moment Tensor Potentials for collinear spin-polarized materials reproduce different magnetic states of bcc Fe",2022,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-022-00696-9","https://scholar.google.com/scholar?cites=9079611683178345699&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 22:55:12","HTML","","","",,,,,86,28.67,22,4,3,"… for a given E DFT (R, S). We utilize standard spin-polarized DFT calculations where the local atomic … Specifically, we have introduced a linear coupling between DFT and mMTP forces, …","https://www.nature.com/articles/s41524-022-00696-9","https://scholar.google.com/scholar?q=related:4_RUUrhCAX4J:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
420,"K Choudhary, B DeCost","Atomistic line graph neural network for improved materials property predictions",2021,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-021-00650-1","https://scholar.google.com/scholar?cites=1656421726766747841&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 22:55:12","HTML","","","",,,,,420,105.00,210,2,4,"… a learning curve study in cross-validation for the JARVIS-DFT formation energy (Fig. 4 and … We perform the cross-validation splitting procedure by merging the standard JARVIS-DFT …","https://www.nature.com/articles/s41524-021-00650-1","https://scholar.google.com/scholar?q=related:wdArzsjK_BYJ:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"R Zhao, CP Hettich, X Chen, J Gao","Minimal-active-space multistate density functional theory for excitation energy involving local and charge transfer states",2021,"npj computational materials","nature.com","https://www.nature.com/articles/s41524-021-00624-3","https://scholar.google.com/scholar?cites=11994521285301478846&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 22:55:12","HTML","","","",,,,,15,3.75,4,4,4,"… energy and exciton coupling 34,35 . MSDFT is a hybrid wave function theory (WFT) and DFT, in … Coupled with separate optimizations of the orbitals in all determinant configurations, we …","https://www.nature.com/articles/s41524-021-00624-3","https://scholar.google.com/scholar?q=related:vqVBLY8ZdaYJ:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
61,"L Ke, MI Katsnelson","Electron correlation effects on exchange interactions and spin excitations in 2D van der Waals materials",2021,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-020-00469-2","https://scholar.google.com/scholar?cites=2531969407398408172&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 22:55:12","HTML","","","",,,,,61,15.25,31,2,4,"… Here we also apply QSGW on top of DFT + U (referred to hereafter as QSGW + U) 51 , to roughly mimic the additional on-site interactions. Figure 2f shows the SW spectra calculated …","https://www.nature.com/articles/s41524-020-00469-2","https://scholar.google.com/scholar?q=related:7G8j1sJcIyMJ:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"H Wang, A Tal, T Bischoff, P Gono, ...","Accurate and efficient band-gap predictions for metal halide perovskites at finite temperature",2022,"Npj Computational …","nature.com","https://www.nature.com/articles/s41524-022-00869-6","https://scholar.google.com/scholar?cites=10494321592190402356&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-14 22:55:12","HTML","","","",,,,,28,9.33,6,5,3,"… Density functional theory 5,6 based on semilocal approximations for the exchange and … effects have been found to give a negligible cross coupling (see Supplementary Table 1). Adding …","https://www.nature.com/articles/s41524-022-00869-6","https://scholar.google.com/scholar?q=related:NH84BeNRo5EJ:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
43,"A Hampel, P Liu, C Franchini, C Ederer","Energetics of the coupled electronic–structural transition in the rare-earth nickelates",2019,"npj Quantum Materials","nature.com","https://www.nature.com/articles/s41535-019-0145-4","https://scholar.google.com/scholar?cites=6450681888131175850&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-14 22:55:12","HTML","","","",,,,,43,7.17,11,4,6,"… aspects of our CSC DFT + DMFT calculations can be found in the “Methods” section. … we note that the DFT occupations have no clear physical meaning within CSC DFT + DMFT. …","https://www.nature.com/articles/s41535-019-0145-4","https://scholar.google.com/scholar?q=related:qtUaBQBthVkJ:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
145,"JM Hu, CG Duan, CW Nan, LQ Chen","Understanding and designing magnetoelectric heterostructures guided by computation: progresses, remaining questions, and perspectives",2017,"NPJ Computational Materials","nature.com","https://www.nature.com/articles/s41524-017-0020-4","https://scholar.google.com/scholar?cites=14041248753948778354&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-14 22:55:12","HTML","","","",,,,,145,18.13,36,4,8,"… coupling, we show how computational methods such as density functional theory (DFT) … utilized for understanding the magnetoelectric coupling mechanisms at multiple scales (…","https://www.nature.com/articles/s41524-017-0020-4","https://scholar.google.com/scholar?q=related:cl8DFlmJ3MIJ:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"J Ojih, M Al-Fahdi, AD Rodriguez, ...","Efficiently searching extreme mechanical properties via boundless objective-free exploration and minimal first-principles calculations",2022,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-022-00836-1","https://scholar.google.com/scholar?cites=16394814606390591766&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-05-14 22:55:12","HTML","","","",,,,,11,3.67,3,4,3,"… Although it is almost impossible to theoretically or mathematically prove the upper or lower limit of material properties now, our study of coupling BLOX algorithms and DFT calculations …","https://www.nature.com/articles/s41524-022-00836-1","https://scholar.google.com/scholar?q=related:FgFMZAUVhuMJ:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"DJ Gillard, D Wolverson, OM Hutchings, ...","Spin-order-dependent magneto-elastic coupling in two dimensional antiferromagnetic MnPSe3 observed through Raman spectroscopy",2024,"npj 2D Materials and …","nature.com","https://www.nature.com/articles/s41699-024-00441-4","https://scholar.google.com/scholar?cites=15834229814803425161&as_sdt=2005&sciodt=0,5&hl=en",15,"2025-05-14 22:55:12","HTML","","","",,,,,7,7.00,2,4,1,"… spin-phonon coupling from the experimental results than expected via DFT. Taking this into … the extracted spin-phonon coupling to a value more compatible with DFT results, as explored …","https://www.nature.com/articles/s41699-024-00441-4","https://scholar.google.com/scholar?q=related:iedBix98vtsJ:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
42,"M Hering, F Ferrari, A Razpopov, II Mazin, ...","Phase diagram of a distorted kagome antiferromagnet and application to Y-kapellasite",2022,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-021-00689-0","https://scholar.google.com/scholar?cites=2476656674657940058&as_sdt=2005&sciodt=0,5&hl=en",16,"2025-05-14 22:55:12","HTML","","","",,,,,42,14.00,8,5,3,"… By extracting the Heisenberg Hamiltonian of Y-kapellasite using total energy mapping from density functional theory (DFT) calculations, we find that the three couplings on the symmetry-…","https://www.nature.com/articles/s41524-021-00689-0","https://scholar.google.com/scholar?q=related:WjKWqx_aXiIJ:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
147,"M Todorović, MU Gutmann, J Corander, ...","Bayesian inference of atomistic structure in functional materials",2019,"Npj computational …","nature.com","https://www.nature.com/articles/s41524-019-0175-2","https://scholar.google.com/scholar?cites=17251354078475619034&as_sdt=2005&sciodt=0,5&hl=en",17,"2025-05-14 22:55:12","HTML","","","",,,,,147,24.50,37,4,6,"… Ab initio methods like density functional theory (DFT) are especially … DFT maps the atomic structure of a material onto an intrinsic … Extensive PES sampling by DFT is computationally …","https://www.nature.com/articles/s41524-019-0175-2","https://scholar.google.com/scholar?q=related:2ooG_iEfae8J:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
158,"K Momeni, Y Ji, Y Wang, S Paul, S Neshani, ...","Multiscale computational understanding and growth of 2D materials: a review",2020,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-020-0280-2","https://scholar.google.com/scholar?cites=14259450480003375626&as_sdt=2005&sciodt=0,5&hl=en",18,"2025-05-14 22:55:12","HTML","","","",,,,,158,31.60,26,6,5,"… based on the density functional theory (DFT). The primary application of DFT in modeling 2D … Examples of applications of DFT to understanding 2D materials and their growth, as well as …","https://www.nature.com/articles/s41524-020-0280-2","https://scholar.google.com/scholar?q=related:CuLfaKm-48UJ:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
43,"L Schneider, M Steinbrecher, L Rózsa, J Bouaziz, ...","Magnetism and in-gap states of 3d transition metal atoms on superconducting Re",2019,"npj quantum …","nature.com","https://www.nature.com/articles/s41535-019-0179-7","https://scholar.google.com/scholar?cites=6184295062496802442&as_sdt=2005&sciodt=0,5&hl=en",19,"2025-05-14 22:55:12","HTML","","","",,,,,43,7.17,9,5,6,"… from the VASP method (see Methods) and by the Kondo couplings calculated from time-dependent density functional theory (TD-DFT) within the KKRJ method (Supplementary Note 8). …","https://www.nature.com/articles/s41535-019-0179-7","https://scholar.google.com/scholar?q=related:ivZS8pcH01UJ:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
58,"S Schulz, IA Nechaev, M Güttler, G Poelchen, ...","Emerging 2D-ferromagnetism and strong spin-orbit coupling at the surface of valence-fluctuating EuIr2Si2",2019,"npj Quantum …","nature.com","https://www.nature.com/articles/s41535-019-0166-z","https://scholar.google.com/scholar?cites=10817532320153784372&as_sdt=2005&sciodt=0,5&hl=en",20,"2025-05-14 22:55:12","HTML","","","",,,,,58,9.67,12,5,6,"… There, we also compare the experimental findings with the results of ab initio density functional theory (DFT) calculations. Moreover, we analyzed the size of the calculated Doughnut for …","https://www.nature.com/articles/s41535-019-0166-z","https://scholar.google.com/scholar?q=related:NNAS2VSYH5YJ:scholar.google.com/&scioq=source:npj+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
