Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
58,"D Chen, C Shang, ZP Liu","Machine-learning atomic simulation for heterogeneous catalysis",2023,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-022-00959-5","https://scholar.google.com/scholar?cites=18114363627233551268&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 23:22:45","HTML","","","",,,,,58,29.00,19,3,2,"… First, the catalytic systems are generally much more complex than single-… of DFT calculations for catalytic reactions is limited to even smaller systems, not to mention the concerned DFT …","https://www.nature.com/articles/s41524-022-00959-5","https://scholar.google.com/scholar?q=related:pCODtb4lY_sJ:scholar.google.com/&scioq=source:npj+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
59,"YQ Su, L Zhang, Y Wang, JX Liu, V Muravev, ...","Stability of heterogeneous single-atom catalysts: a scaling law mapping thermodynamics to kinetics",2020,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-020-00411-6","https://scholar.google.com/scholar?cites=6119787162809224912&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 23:22:45","HTML","","","",,,,,59,11.80,10,6,5,"… In summary, we started from DFT calculations and determined a meaningful correlation of the activation barriers for diffusion of single-metal atoms on a support with two easily …","https://www.nature.com/articles/s41524-020-00411-6","https://scholar.google.com/scholar?q=related:0E49JADa7VQJ:scholar.google.com/&scioq=source:npj+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"BC Yeo, H Nam, H Nam, MC Kim, HW Lee, ...","High-throughput computational-experimental screening protocol for the discovery of bimetallic catalysts",2021,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-021-00605-6","https://scholar.google.com/scholar?cites=13745222055277067554&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 23:22:45","HTML","","","",,,,,41,10.25,7,6,4,"… Using DFT calculations, we first screened 4350 crystal structures of bimetallic alloys to … are homogeneously mixed via a wet-chemical method for nanoparticle (NP) synthesis 17 . …","https://www.nature.com/articles/s41524-021-00605-6","https://scholar.google.com/scholar?q=related:In2nS6LWwL4J:scholar.google.com/&scioq=source:npj+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"JR Lunger, J Karaguesian, H Chun, J Peng, ...","Towards atom-level understanding of metal oxide catalysts for the oxygen evolution reaction with machine learning",2024,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-024-01273-y","https://scholar.google.com/scholar?cites=14951442325487555733&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 23:22:45","HTML","","","",,,,,14,14.00,3,5,1,"… Nevertheless, this proposed descriptor requires the same DFT calculation as calculating the … We consider density functional theory (DFT)-computed site-specific descriptors based on …","https://www.nature.com/articles/s41524-024-01273-y","https://scholar.google.com/scholar?q=related:lRRtMpQxfs8J:scholar.google.com/&scioq=source:npj+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"M Li, J Song, W Han, KL Yeung, S Zhou, CH Mo","Iron-organic frameworks as effective fenton-like catalysts for peroxymonosulfate decomposition in advanced oxidation processes",2023,"npj Clean Water","nature.com","https://www.nature.com/articles/s41545-023-00251-z","https://scholar.google.com/scholar?cites=9077490951219030289&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 23:22:45","HTML","","","",,,,,27,13.50,5,6,2,"… electro-Fenton-like catalysts for the catalytic oxidation of organic … Experiments and density functional theory (DFT) calculations … However, the homogeneous Fenton reaction cannot be …","https://www.nature.com/articles/s41545-023-00251-z","https://scholar.google.com/scholar?q=related:Eak77-y5-X0J:scholar.google.com/&scioq=source:npj+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"M Tang, L Lai, C Su, C Li, C Zhang, S Guo","MoCoB metallic glass microwire catalysts for highly efficient and pH-universal degradation of wastewater",2023,"npj Materials Degradation","nature.com","https://www.nature.com/articles/s41529-023-00390-1","https://scholar.google.com/scholar?cites=18285830644822565182&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 23:22:45","HTML","","","",,,,,4,2.00,1,6,2,"… the catalytic mechanism of the MG in the degradation process, density functional theory (DFT) … 6H 2 O) were employed as homogeneous catalysts to assess the effect of leached metal …","https://www.nature.com/articles/s41529-023-00390-1","https://scholar.google.com/scholar?q=related:PuGZxxZSxP0J:scholar.google.com/&scioq=source:npj+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
75,"X Mao, L Wang, Y Xu, P Wang, Y Li, ...","Computational high-throughput screening of alloy nanoclusters for electrocatalytic hydrogen evolution",2021,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-021-00514-8","https://scholar.google.com/scholar?cites=4428938542357965906&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 23:22:45","HTML","","","",,,,,75,18.75,13,6,4,"… Here, we report a density functional theory (DFT)-based high-… screening for the promising catalysts. By comparing different … The third one is homogeneously mixed structure with the two …","https://www.nature.com/articles/s41524-021-00514-8","https://scholar.google.com/scholar?q=related:UmxIhSPAdj0J:scholar.google.com/&scioq=source:npj+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"X Chen, FO Gudda, X Hu, MG Waigi, Y Gao","Degradation of bisphenol A in an oxidation system constructed from Mo2C MXene and peroxymonosulfate",2022,"npj Clean Water","nature.com","https://www.nature.com/articles/s41545-022-00214-w","https://scholar.google.com/scholar?cites=2858303398128073028&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 23:22:45","HTML","","","",,,,,28,9.33,6,5,3,"… The catalysis of Mo 2 C MXene on PMS was due to the Mo-… resonance technique and density functional theory (DFT)-based … 8b), which indicated that the homogeneous catalysis also …","https://www.nature.com/articles/s41545-022-00214-w","https://scholar.google.com/scholar?q=related:RDm38cu7qicJ:scholar.google.com/&scioq=source:npj+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"S Leng, S Barghi, C Xu","A short review on green H2 production by aqueous phase reforming of biomass derivatives",2024,"npj Materials Sustainability","nature.com","https://www.nature.com/articles/s44296-024-00016-w","https://scholar.google.com/scholar?cites=5038594230797525008&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 23:22:45","HTML","","","",,,,,8,8.00,3,3,1,"… Although Pt showed the highest catalytic activity in APR reaction, the density functional theory (DFT) indicated its low activity for CC cleavage 13 . Therefore, to improve catalytic …","https://www.nature.com/articles/s44296-024-00016-w","https://scholar.google.com/scholar?q=related:EOAE3sGu7EUJ:scholar.google.com/&scioq=source:npj+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"S Xu, Z Chen, M Qin, B Cai, W Li, R Zhu, C Xu, ...","Developing new electrocatalysts for oxygen evolution reaction via high throughput experiments and artificial intelligence",2024,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-024-01386-4","https://scholar.google.com/scholar?cites=2054034609387176503&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 23:22:45","HTML","","","",,,,,7,7.00,1,8,1,"… catalysts and even high-entropy alloys (HEAs) catalysts, which are characterized by their multiple and complex catalytic active sites, DFT … intermediates on multiple catalytic active sites …","https://www.nature.com/articles/s41524-024-01386-4","https://scholar.google.com/scholar?q=related:N4LhMJhlgRwJ:scholar.google.com/&scioq=source:npj+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
