Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
58,"D Chen, C Shang, ZP Liu","Machine-learning atomic simulation for heterogeneous catalysis",2023,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-022-00959-5","https://scholar.google.com/scholar?cites=18114363627233551268&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 23:09:09","HTML","","","",,,,,58,29.00,19,3,2,"… in catalysis research as early as the 1980s. With the advent of density functional theory calculations … and the finite system DFT calculations, the plane-wave DFT calculations for periodic …","https://www.nature.com/articles/s41524-022-00959-5","https://scholar.google.com/scholar?q=related:pCODtb4lY_sJ:scholar.google.com/&scioq=source:npj+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"BC Yeo, H Nam, H Nam, MC Kim, HW Lee, ...","High-throughput computational-experimental screening protocol for the discovery of bimetallic catalysts",2021,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-021-00605-6","https://scholar.google.com/scholar?cites=13745222055277067554&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 23:09:09","HTML","","","",,,,,41,10.25,7,6,4,"… calculations using density functional theory (DFT) have played a vital role in the field of catalysis 1,… Using DFT calculations, we first screened 4350 crystal structures of bimetallic alloys to …","https://www.nature.com/articles/s41524-021-00605-6","https://scholar.google.com/scholar?q=related:In2nS6LWwL4J:scholar.google.com/&scioq=source:npj+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"JR Lunger, J Karaguesian, H Chun, J Peng, ...","Towards atom-level understanding of metal oxide catalysts for the oxygen evolution reaction with machine learning",2024,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-024-01273-y","https://scholar.google.com/scholar?cites=14951442325487555733&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 23:09:09","HTML","","","",,,,,14,14.00,3,5,1,"… the same DFT … density functional theory (DFT)-computed site-specific descriptors based on local electronic structure (Bader charges 38,39 , site-projected O 2p-band 23,24 , and metal d-…","https://www.nature.com/articles/s41524-024-01273-y","https://scholar.google.com/scholar?q=related:lRRtMpQxfs8J:scholar.google.com/&scioq=source:npj+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"J Geiger, A Sabadell-Rendón, N Daelman, ...","Data-driven models for ground and excited states for Single Atoms on Ceria",2022,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-022-00852-1","https://scholar.google.com/scholar?cites=5190646633611224326&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 23:09:09","HTML","","","",,,,,11,3.67,3,4,3,"… DFT (PBE+U) via: E Ads = E total − E surface − E bulk metal , … surface and E bulk metal the metal cohesive energy per atom (… in the modeling of single atoms for heterogeneous catalysis. …","https://www.nature.com/articles/s41524-022-00852-1","https://scholar.google.com/scholar?q=related:BmX5rpzhCEgJ:scholar.google.com/&scioq=source:npj+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
65,"S Zhou, W Pei, Y Zhao, X Yang, N Liu, ...","Low-dimensional non-metal catalysts: principles for regulating p-orbital-dominated reactivity",2021,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-021-00654-x","https://scholar.google.com/scholar?cites=4915129484900351015&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 23:09:09","HTML","","","",,,,,65,16.25,11,6,4,"… Since we are interested in the p-orbital-dominated catalysis, in this section we will focus on … Density functional theory (DFT) calculations using the B3LYP hybrid functional revealed a …","https://www.nature.com/articles/s41524-021-00654-x","https://scholar.google.com/scholar?q=related:J7yInDkMNkQJ:scholar.google.com/&scioq=source:npj+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"F Sun, C Lin, W Zhang, Q Chen, W Chen, X Li, ...","Dual activation and CC coupling on single atom catalyst for CO2 photoreduction",2023,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-023-01177-3","https://scholar.google.com/scholar?cites=15260210446641704984&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 23:09:09","HTML","","","",,,,,9,4.50,1,7,2,"… In summary, by utilizing DFT calculation and ab-initio NAMD simulation, we build the computational frameworks to screen an outstanding single-atom photocatalysts Ti-supported 2D C …","https://www.nature.com/articles/s41524-023-01177-3","https://scholar.google.com/scholar?q=related:GLDIlYwox9MJ:scholar.google.com/&scioq=source:npj+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
59,"S Deshpande, T Maxson, J Greeley","Graph theory approach to determine configurations of multidentate and high coverage adsorbates for heterogeneous catalysis",2020,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-020-0345-2","https://scholar.google.com/scholar?cites=16328638186619830738&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 23:09:09","HTML","","","",,,,,59,11.80,20,3,5,"… , such as periodic density functional theory (DFT), have played … In the past, DFT studies have largely considered simple … , which are then refined through DFT calculations, and to …","https://www.nature.com/articles/s41524-020-0345-2","https://scholar.google.com/scholar?q=related:0oFa--r5muIJ:scholar.google.com/&scioq=source:npj+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"Q Wu, B Huang, Y Dai, T Heine, Y Ma","Main-group metal elements as promising active centers for single-atom catalyst toward nitric oxide reduction reaction",2022,"npj 2D Materials and …","nature.com","https://www.nature.com/articles/s41699-022-00326-4","https://scholar.google.com/scholar?cites=5875917094578346214&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 23:09:09","HTML","","","",,,,,28,9.33,6,5,3,"… catalysis, where they act as promising separators and facilitate the electroactivity of the connected transition-metal … Grimme’s DFT-D3 correction is adopted to describe the van der Waals …","https://www.nature.com/articles/s41699-022-00326-4","https://scholar.google.com/scholar?q=related:5tj8L3dzi1EJ:scholar.google.com/&scioq=source:npj+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Q Wang, Y Yao","Harnessing machine learning for high-entropy alloy catalysis: a focus on adsorption energy prediction",2025,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-025-01579-5","",9,"2025-05-14 23:09:09","HTML","","","",,,,,0,0.00,0,2,1,"… particularly first-principles calculations based on density functional theory (DFT) 32,33,34 —… and expensive, but also limits the ability of DFT calculations to explore the full range of HEA …","https://www.nature.com/articles/s41524-025-01579-5","https://scholar.google.com/scholar?q=related:9TQUtr7XrukJ:scholar.google.com/&scioq=source:npj+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"CJ Owen, SB Torrisi, Y Xie, S Batzner, ...","Complexity of many-body interactions in transition metals via machine-learned force fields from the TM23 data set",2024,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-024-01264-z","https://scholar.google.com/scholar?cites=5208137004727335901&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 23:09:09","HTML","","","",,,,,26,26.00,5,5,1,"… catalysis and … using DFT for early transition metals, which have sharper DOS at and near E fermi , would thus be more sensitive to slight perturbations in the atomic positions than metals …","https://www.nature.com/articles/s41524-024-01264-z","https://scholar.google.com/scholar?q=related:3ftWDAMFR0gJ:scholar.google.com/&scioq=source:npj+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
