Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
34,"D Sauceda, P Singh, AR Falkowski, Y Chen, ...","High-throughput reaction engineering to assess the oxidation stability of MAX phases",2021,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-020-00464-7","https://scholar.google.com/scholar?cites=2593538376080639346&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 22:59:26","HTML","","","",,,,,34,8.50,7,5,4,"… The 0 K density-functional theory (DFT)-derived free energies and enthalpies of MAX phases as well as other competing phases are corrected for entropic contributions using our …","https://www.nature.com/articles/s41524-020-00464-7","https://scholar.google.com/scholar?q=related:ckWhcWkZ_iMJ:scholar.google.com/&scioq=source:npj+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"R Jinnouchi, F Karsai, G Kresse","Machine learning-aided first-principles calculations of redox potentials",2024,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-024-01295-6","https://scholar.google.com/scholar?cites=8797745756144319295&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 22:59:26","HTML","","","",,,,,13,13.00,4,3,1,"We present a method combining first-principles calculations and machine learning to predict the redox potentials of half-cell reactions on the absolute scale. By applying machine …","https://www.nature.com/articles/s41524-024-01295-6","https://scholar.google.com/scholar?q=related:P7suGyffF3oJ:scholar.google.com/&scioq=source:npj+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"KY Lin, S Nachimuthu, HW Huang, ...","Theoretical insights on alleviating lattice-oxygen evolution by sulfur substitution in Li1.2Ni0.6Mn0.2O2 cathode material",2022,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-022-00893-6","https://scholar.google.com/scholar?cites=14036235555882283331&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 22:59:26","HTML","","","",,,,,13,4.33,3,4,3,"… We observed that the oxygen–dimer formation could be attributed to the over-oxidation of … DFT and AIMD simulations to investigate the oxygen evolution mechanism and the oxidation …","https://www.nature.com/articles/s41524-022-00893-6","https://scholar.google.com/scholar?q=related:QzES9N65ysIJ:scholar.google.com/&scioq=source:npj+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"JR Lunger, J Karaguesian, H Chun, J Peng, ...","Towards atom-level understanding of metal oxide catalysts for the oxygen evolution reaction with machine learning",2024,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-024-01273-y","https://scholar.google.com/scholar?cites=14951442325487555733&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 22:59:26","HTML","","","",,,,,14,14.00,3,5,1,"… Nevertheless, this proposed descriptor requires the same DFT calculation as calculating the … We consider density functional theory (DFT)-computed site-specific descriptors based on …","https://www.nature.com/articles/s41524-024-01273-y","https://scholar.google.com/scholar?q=related:lRRtMpQxfs8J:scholar.google.com/&scioq=source:npj+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
65,"S Zhou, W Pei, Y Zhao, X Yang, N Liu, ...","Low-dimensional non-metal catalysts: principles for regulating p-orbital-dominated reactivity",2021,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-021-00654-x","https://scholar.google.com/scholar?cites=4915129484900351015&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 22:59:26","HTML","","","",,,,,65,16.25,11,6,4,"… Density functional theory (DFT) calculations using the B3LYP … Their DFT calculations showed that O 2 adsorption is … . Their DFT calculations demonstrated that P-doping endows …","https://www.nature.com/articles/s41524-021-00654-x","https://scholar.google.com/scholar?q=related:J7yInDkMNkQJ:scholar.google.com/&scioq=source:npj+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"Z Chen, Q Yang, L Tao, EY Tsymbal","Reversal of the magnetoelectric effect at a ferromagnetic metal/ferroelectric interface induced by metal oxidation",2021,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-021-00679-2","https://scholar.google.com/scholar?cites=7920545345634916420&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 22:59:26","HTML","","","",,,,,20,5.00,5,4,4,"… Here, using density functional theory calculations, we systematically study the effects of the interfacial oxygen stoichiometry relevant to experiments on the magnetoelectric effect at the …","https://www.nature.com/articles/s41524-021-00679-2","https://scholar.google.com/scholar?q=related:RFjx6QZu620J:scholar.google.com/&scioq=source:npj+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"J Geiger, A Sabadell-Rendón, N Daelman, ...","Data-driven models for ground and excited states for Single Atoms on Ceria",2022,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-022-00852-1","https://scholar.google.com/scholar?cites=5190646633611224326&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 22:59:26","HTML","","","",,,,,11,3.67,3,4,3,"… Understanding these materials implies retrieving all states in these electronic ensembles, which can be limiting if done via density functional theory. Here, we propose a data-driven …","https://www.nature.com/articles/s41524-022-00852-1","https://scholar.google.com/scholar?q=related:BmX5rpzhCEgJ:scholar.google.com/&scioq=source:npj+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
1996,"S Kirklin, JE Saal, B Meredig, A Thompson, ...","The Open Quantum Materials Database (OQMD): assessing the accuracy of DFT formation energies",2015,"npj Computational …","nature.com","https://www.nature.com/articles/npjcompumats201510","https://scholar.google.com/scholar?cites=15047462912228884720&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 22:59:26","HTML","","","",,,,,1996,199.60,399,5,10,"… This represents the largest comparison between DFT and … In order to estimate how much error to attribute to the DFT … of the error between DFT and experimental formation energies may …","https://www.nature.com/articles/npjcompumats201510","https://scholar.google.com/scholar?q=related:8IBENstT09AJ:scholar.google.com/&scioq=source:npj+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"X Chen, FO Gudda, X Hu, MG Waigi, Y Gao","Degradation of bisphenol A in an oxidation system constructed from Mo2C MXene and peroxymonosulfate",2022,"npj Clean Water","nature.com","https://www.nature.com/articles/s41545-022-00214-w","https://scholar.google.com/scholar?cites=2858303398128073028&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 22:59:26","HTML","","","",,,,,28,9.33,6,5,3,"… 99.75% of BPA was degraded in the oxidation system constructed using Mo 2 C … density functional theory (DFT)-based density of states calculations verified defect signals. In addition, …","https://www.nature.com/articles/s41545-022-00214-w","https://scholar.google.com/scholar?q=related:RDm38cu7qicJ:scholar.google.com/&scioq=source:npj+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
40,"E Chen, A Tamm, T Wang, ME Epler, M Asta, ...","Modeling antiphase boundary energies of Ni3Al-based alloys using automated density functional theory and machine learning",2022,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-022-00755-1","https://scholar.google.com/scholar?cites=2117335357017048910&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 22:59:26","HTML","","","",,,,,40,13.33,7,6,3,"… To calculate the ordering energy E ord , we perform additional DFT calculations using smaller, 80-atom supercells of similar compositions and a k-point grid of the same density as …","https://www.nature.com/articles/s41524-022-00755-1","https://scholar.google.com/scholar?q=related:TkdgAUpJYh0J:scholar.google.com/&scioq=source:npj+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
