Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"T Sun, Z Wang, L Zeng, G Feng","Identifying MOFs for electrochemical energy storage via density functional theory and machine learning",2025,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-025-01590-w","",1,"2025-05-14 23:08:39","HTML","","","",,,,,0,0.00,0,4,1,"… Density Functional Theory (DFT) could calculate these … exploration of mechanisms based on DFT calculations. We focus on … Finally, the review proposes the future avenue of DFT and …","https://www.nature.com/articles/s41524-025-01590-w","https://scholar.google.com/scholar?q=related:T_ot49w-xs4J:scholar.google.com/&scioq=source:npj+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"F Chiter, D Costa, V Maurice, P Marcus","Corrosion inhibition at emergent grain boundaries studied by DFT for 2-mercaptobenzothiazole on bi-crystalline copper",2023,"npj Materials Degradation","nature.com","https://www.nature.com/articles/s41529-022-00314-5","https://scholar.google.com/scholar?cites=15232066791547334808&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 23:08:39","HTML","","","",,,,,7,3.50,2,4,2,"… On Cu(110), DFT calculations showed that MBT forms a dense … layers pre-formed after reductive dissociation of the native oxide… Here, we report DFT calculations that bring atomic-scale …","https://www.nature.com/articles/s41529-022-00314-5","https://scholar.google.com/scholar?q=related:mPAzQQssY9MJ:scholar.google.com/&scioq=source:npj+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"AA El-Zoka, B Langelier, GA Botton, ...","Morphological evolution of Pt-modified nanoporous gold after thermal coarsening in reductive and oxidative environments",2020,"npj Materials …","nature.com","https://www.nature.com/articles/s41529-020-00143-4","https://scholar.google.com/scholar?cites=16748120485629034685&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 23:08:39","HTML","","","",,,,,8,1.60,2,4,5,"… chemistry on thermal coarsening and degradation, and means of limiting it, this study focuses on the high-resolution characterization of NPG-Pt layers coarsened in reductive Ar-H 2 …","https://www.nature.com/articles/s41529-020-00143-4","https://scholar.google.com/scholar?q=related:vYBcqdhGbegJ:scholar.google.com/&scioq=source:npj+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"K Saravanakumar, G Jagan, J Lee, CM Park","MOF-derived C, N-In2O3 with GdFeO3 Z-scheme heterostructure for the photocatalytic removal of tetracycline",2023,"npj Clean Water","nature.com","https://www.nature.com/articles/s41545-023-00288-0","https://scholar.google.com/scholar?cites=16351280551767645575&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 23:08:39","HTML","","","",,,,,22,11.00,6,4,2,"… determined on the basis of density functional theory calculations and intermediates analysis… alignments can be connected by a reductive semiconductor with more negative conduction …","https://www.nature.com/articles/s41545-023-00288-0","https://scholar.google.com/scholar?q=related:hx3dbgdr6-IJ:scholar.google.com/&scioq=source:npj+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
536,"A Urban, DH Seo, G Ceder","Computational understanding of Li-ion batteries",2016,"npj Computational Materials","nature.com","https://www.nature.com/articles/npjcompumats20162","https://scholar.google.com/scholar?cites=4788742387944078599&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 23:08:39","HTML","","","",,,,,536,59.56,179,3,9,"… For applications in materials science, the electronic density-functional theory (DFT) developed … U, DFT+U calculations are no more computationally demanding than conventional DFT …","https://www.nature.com/articles/npjcompumats20162","https://scholar.google.com/scholar?q=related:Bz1DetQHdUIJ:scholar.google.com/&scioq=source:npj+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"MJ Hossain, P Gaikwad, YK Shin, JA Schulze, ...","eReaxFF force field development for BaZr0.8Y0.2O3-δ solid oxide electrolysis cells applications",2024,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-024-01268-9","https://scholar.google.com/scholar?cites=3452827168760672412&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 23:08:39","HTML","","","",,,,,2,2.00,0,5,1,"… We reproduce the following density functional theory (DFT) … as quantitative agreement between DFT data and eReaxFF … It was consistently predicted by both eReaxFF and DFT methods …","https://www.nature.com/articles/s41524-024-01268-9","https://scholar.google.com/scholar?q=related:nDDMIATo6i8J:scholar.google.com/&scioq=source:npj+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
40,"PS Gaikwad, K Mondal, YK Shin, ...","Enhancing the Faradaic efficiency of solid oxide electrolysis cells: progress and perspective",2023,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-023-01044-1","https://scholar.google.com/scholar?cites=9220193727857059074&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 23:08:39","HTML","","","",,,,,40,20.00,10,4,2,"… explicit electrons in the system) that tend to lower the faradaic efficiency cannot be simulated using DFT. Also, the timescale that DFT simulations could access is another limiting factor. …","https://www.nature.com/articles/s41524-023-01044-1","https://scholar.google.com/scholar?q=related:AmU0RVi19H8J:scholar.google.com/&scioq=source:npj+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"H Li, Z Ni, Z Kang, H Sheng, Y Wang, M Chen, ...","Research progress on synthesis mechanism and performance evaluation of ball milling biochar-iron based materials",2024,"npj Materials …","nature.com","https://www.nature.com/articles/s44296-024-00022-y","https://scholar.google.com/scholar?cites=17244270567464825428&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 23:08:39","HTML","","","",,,,,3,3.00,0,7,1,"… Using CO 2 as an adsorbent and employing a DFT model for … Biochar-iron-based materials are highly effective reductive … Although biochar is generally not considered to be reductive, …","https://www.nature.com/articles/s44296-024-00022-y","https://scholar.google.com/scholar?q=related:VPJ2kLf0T-8J:scholar.google.com/&scioq=source:npj+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"P Li, Y Wang, J Wang, W Wang, Z Ding, J Liang, ...","The photocatalytic oxidation of As (III) on birnessite",2024,"npj Clean Water","nature.com","https://www.nature.com/articles/s41545-024-00316-7","https://scholar.google.com/scholar?cites=17127347189724856789&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 23:08:39","HTML","","","",,,,,2,2.00,0,7,1,"Birnessite is regarded as an efficient oxidizing agent that would significantly influence the environmental fate of elements such as arsenic. This study compared the chemical and …","https://www.nature.com/articles/s41545-024-00316-7","https://scholar.google.com/scholar?q=related:1cFVRIaPsO0J:scholar.google.com/&scioq=source:npj+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"J Lee, C Kim, C Liu, MS Wong, NL Cápiro, ...","Ultra-high capacity, multifunctional nanoscale sorbents for PFOA and PFOS treatment",2023,"npj Clean Water","nature.com","https://www.nature.com/articles/s41545-023-00263-9","https://scholar.google.com/scholar?cites=5934979196444891666&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 23:08:39","HTML","","","",,,,,13,6.50,2,6,2,"Here, we describe surface functionalized, superparamagnetic iron oxide nanocrystals (IONCs) for ultra-high PFAS sorption and precise, low energy (magnetic) separation, considering …","https://www.nature.com/articles/s41545-023-00263-9","https://scholar.google.com/scholar?q=related:ElpuYSJIXVIJ:scholar.google.com/&scioq=source:npj+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
