Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
76,"S Mandal, K Haule, KM Rabe…","Systematic beyond-DFT study of binary transition metal oxides",2019,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-019-0251-7","https://scholar.google.com/scholar?cites=11801672524425929860&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 23:24:26","HTML","","","",,,,,76,12.67,19,4,6,"… , GW, and DFT-… -DFT methods is systematically and uniformly tested on a chosen class of materials. For a first application, we choose the target materials to be the binary transition metal …","https://www.nature.com/articles/s41524-019-0251-7","https://scholar.google.com/scholar?q=related:hCTlDaL2x6MJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"CJ Owen, SB Torrisi, Y Xie, S Batzner…","Complexity of many-body interactions in transition metals via machine-learned force fields from the TM23 data set",2024,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-024-01264-z","https://scholar.google.com/scholar?cites=5208137004727335901&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 23:24:26","HTML","","","",,,,,26,26.00,5,5,1,"… Given this relationship, we then hypothesized that the labels computed using DFT for early transition metals, which have sharper DOS at and near E fermi , would thus be more sensitive …","https://www.nature.com/articles/s41524-024-01264-z","https://scholar.google.com/scholar?q=related:3ftWDAMFR0gJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
95,"Z Zeng, X Chen, K Weng, Y Wu, P Zhang…","Computational screening study of double transition metal carbonitrides M′2M″CNO2-MXene as catalysts for hydrogen evolution reaction",2021,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-021-00550-4","https://scholar.google.com/scholar?cites=6285556309465533554&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 23:24:26","HTML","","","",,,,,95,23.75,16,6,4,"… based on well-defined DFT calculations were used to systematically investigate the HER activity and geometric structure of the O-terminated double transition metal carbonitrides M′ 2 …","https://www.nature.com/articles/s41524-021-00550-4","https://scholar.google.com/scholar?q=related:coxoQSnIOlcJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"IR Reddy, CJ Kang, S Kim, B Kim","Exploring the role of nonlocal Coulomb interactions in perovskite transition metal oxides",2024,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-024-01454-9","https://scholar.google.com/scholar?cites=17005471593156767327&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 23:24:26","HTML","","","",,,,,4,4.00,1,4,1,"… electronic structures of the transition metal oxide perovskites. … Our DFT + U + V results exemplarily show the representative … due to increased hybridization between transition metal d …","https://www.nature.com/articles/s41524-024-01454-9","https://scholar.google.com/scholar?q=related:X-4arFCS_-sJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"NK Nepal, TJ Slade, JM Blawat, A Eaton…","Design and predict tetragonal van der Waals layered quantum materials of MPd5I2 (M=Ga, In and 3d transition metals)",2025,"npj 2D Materials and …","nature.com","https://www.nature.com/articles/s41699-025-00536-6","",5,"2025-05-14 23:24:26","HTML","","","",,,,,0,0.00,0,5,1,"… high throughput density functional theory calculations, we design and predict tetragonal vdW-layered quantum materials in the MPd 5 I 2 structure (M=Ga, In and 3d transition metals). …","https://www.nature.com/articles/s41699-025-00536-6","https://scholar.google.com/scholar?q=related:PDucPpcTlKEJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
132,"MK Horton, JH Montoya, M Liu…","High-throughput prediction of the ground-state collinear magnetic order of inorganic materials using density functional theory",2019,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-019-0199-7","https://scholar.google.com/scholar?cites=11151073467556843403&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 23:24:26","HTML","","","",,,,,132,22.00,33,4,6,"… based on purely collinear DFT simulations with the modest … using a workflow based on conventional DFT + U for a set of well-… thus determine the ground-state ordering predicted by DFT. …","https://www.nature.com/articles/s41524-019-0199-7","https://scholar.google.com/scholar?q=related:i08C4jySwJoJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"Y Li, D Bahamon, M Sinnokrot, LF Vega","Computational screening of transition metal-doped CdS for photocatalytic hydrogen production",2022,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-022-00922-4","https://scholar.google.com/scholar?cites=6430825180117009849&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 23:24:26","HTML","","","",,,,,31,10.33,8,4,3,"… and mechanistic levels why transition metals doped on CdS photocatalysts can improve the HER performance compared to the pristine CdS surface, with DFT allowing to quantify and …","https://www.nature.com/articles/s41524-022-00922-4","https://scholar.google.com/scholar?q=related:uQWD6W3hPlkJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
40,"LF Huang, JM Rondinelli","Reliable electrochemical phase diagrams of magnetic transition metals and related compounds from high-throughput ab initio calculations",2019,"npj Materials Degradation","nature.com","https://www.nature.com/articles/s41529-019-0088-z","https://scholar.google.com/scholar?cites=9227143823310020953&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 23:24:26","HTML","","","",,,,,40,6.67,20,2,6,"… high-level DFT methods to produce reliable mTM–Pourbaix diagrams. We compare our DFT … phenomena on mTM-based metals and compounds to comprehensively demonstrate the …","https://www.nature.com/articles/s41529-019-0088-z","https://scholar.google.com/scholar?q=related:WWHVd2tmDYAJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"S Mandal, K Haule, KM Rabe…","Electronic correlation in nearly free electron metals with beyond-DFT methods",2022,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-022-00867-8","https://scholar.google.com/scholar?cites=6845426298651526466&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 23:24:26","HTML","","","",,,,,16,5.33,4,4,3,"… Working in this context, we systematically apply several DFT and beyond-DFT … metals with partially occupied s orbitals, which are usually assumed to be nearly-free-electron metals, are …","https://www.nature.com/articles/s41524-022-00867-8","https://scholar.google.com/scholar?q=related:QsU9M_PW_14J:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"G Hu, V Fung, X Sang, RR Unocic…","Predicting synthesizable multi-functional edge reconstructions in two-dimensional transition metal dichalcogenides",2020,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-020-0327-4","https://scholar.google.com/scholar?cites=1056560455729520914&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 23:24:26","HTML","","","",,,,,28,5.60,6,5,5,"… Two-dimensional (2D) transition metal dichalcogenides (… Using first-principles density functional theory (DFT), we have … The obtained stable edges are then further refined with DFT …","https://www.nature.com/articles/s41524-020-0327-4","https://scholar.google.com/scholar?q=related:EqF79yKoqQ4J:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"M Weng, F Pan, LW Wang","Wannier–Koopmans method calculations for transition metal oxide band gaps",2020,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-020-0302-0","https://scholar.google.com/scholar?cites=9164812067595731063&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-14 23:24:26","HTML","","","",,,,,17,3.40,6,3,5,"… The widely used density functional theory (DFT) has a major drawback of underestimating … Here we apply the WKM to another interesting type of material system: the transition metal (TM…","https://www.nature.com/articles/s41524-020-0302-0","https://scholar.google.com/scholar?q=related:d8BBqgT0L38J:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"H Chen","Magnetically driven orbital-selective insulator–metal transition in double perovskite oxides",2018,"npj Quantum Materials","nature.com","https://www.nature.com/articles/s41535-018-0131-2","https://scholar.google.com/scholar?cites=10059515831236586557&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-14 23:24:26","HTML","","","",,,,,20,2.86,20,1,7,"… transition metal ions B and B′ are shown. The small blue balls are non-magnetic transition metal … technically (i) DFT + U method can calculate larger systems than DFT + DMFT method …","https://www.nature.com/articles/s41535-018-0131-2","https://scholar.google.com/scholar?q=related:PWxG1VmUmosJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"J Zhang, L He, Y Xiong, S Huang, B Xu, S Ma…","Local-distortion-informed exceptional multicomponent transition-metal carbides uncovered by machine learning",2024,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-024-01351-1","https://scholar.google.com/scholar?cites=17509265640237931468&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-14 23:24:26","HTML","","","",,,,,2,2.00,0,7,1,"… However, with synergistic efforts of DFT calculations and ML predictions, this work shows that VEC is insufficient for describing the moduli of MTMCs, and the moduli of many MTMCs …","https://www.nature.com/articles/s41524-024-01351-1","https://scholar.google.com/scholar?q=related:zJtV7FRo_fIJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
122,"AS Rosen, V Fung, P Huck, CT O'Donnell…","High-throughput predictions of metal–organic framework electronic properties: theoretical challenges, graph neural networks, and data exploration",2022,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-022-00796-6.","https://scholar.google.com/scholar?cites=17465918316321175062&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-05-14 23:24:26","HTML","","","",,,,,122,40.67,24,5,3,"… As such, we begin by comparing the DFT-predicted band gaps for 10,720 structures in the … on transition metal complexes and gas-phase molecules containing transition metal cations …","https://www.nature.com/articles/s41524-022-00796-6.","https://scholar.google.com/scholar?q=related:FvZPmCtoY_IJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
56,"H Xu, H Wang, J Zhou, Y Guo, J Kong…","Colossal switchable photocurrents in topological Janus transition metal dichalcogenides",2021,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-021-00499-4","https://scholar.google.com/scholar?cites=7089371861405849520&as_sdt=2005&sciodt=0,5&hl=en",15,"2025-05-14 23:24:26","HTML","","","",,,,,56,14.00,9,6,4,"… The first-principles calculations are based on density functional theory (DFT) 52,53 , as … For the DFT calculations, the first BZ is sampled by a Γ-centered k-mesh with grid density of …","https://www.nature.com/articles/s41524-021-00499-4","https://scholar.google.com/scholar?q=related:sNe-lyWCYmIJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"JR Lunger, J Karaguesian, H Chun, J Peng…","Towards atom-level understanding of metal oxide catalysts for the oxygen evolution reaction with machine learning",2024,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-024-01273-y","https://scholar.google.com/scholar?cites=14951442325487555733&as_sdt=2005&sciodt=0,5&hl=en",16,"2025-05-14 23:24:26","HTML","","","",,,,,14,14.00,3,5,1,"… density functional theory (DFT)-computed site-specific descriptors based on local electronic structure (Bader charges 38,39 , site-projected O 2p-band 23,24 , and metal … transition metal …","https://www.nature.com/articles/s41524-024-01273-y","https://scholar.google.com/scholar?q=related:lRRtMpQxfs8J:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"J Jin, U Schwingenschlögl","Exploration of the two-dimensional transition metal phosphide MoP2 as anode for Na/K ion batteries",2024,"npj 2D Materials and Applications","nature.com","https://www.nature.com/articles/s41699-024-00453-0","https://scholar.google.com/scholar?cites=578683370654674945&as_sdt=2005&sciodt=0,5&hl=en",17,"2025-05-14 23:24:26","HTML","","","",,,,,10,10.00,5,2,1,"… We adopt density functional theory (Vienna Ab-initio Simulation Package 54 ) to perform … der Waals interaction is taken into account by the DFT-D3 method 55 for the MoP 2 monolayer …","https://www.nature.com/articles/s41699-024-00453-0","https://scholar.google.com/scholar?q=related:ATBMqXXlBwgJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"S Paul, S Heinze","Electric-field driven stability control of skyrmions in an ultrathin transition-metal film",2022,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-022-00785-9","https://scholar.google.com/scholar?cites=13215361183537745315&as_sdt=2005&sciodt=0,5&hl=en",18,"2025-05-14 23:24:26","HTML","","","",,,,,7,2.33,4,2,3,"… of individual magnetic skyrmions in an ultrathin transition-metal film can be controlled via external electric fields. We demonstrate based on density functional theory that it is important to …","https://www.nature.com/articles/s41524-022-00785-9","https://scholar.google.com/scholar?q=related:o81Ae_pkZrcJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"BC Yeo, H Nam, H Nam, MC Kim, HW Lee…","High-throughput computational-experimental screening protocol for the discovery of bimetallic catalysts",2021,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-021-00605-6","https://scholar.google.com/scholar?cites=13745222055277067554&as_sdt=2005&sciodt=0,5&hl=en",19,"2025-05-14 23:24:26","HTML","","","",,,,,41,10.25,7,6,4,"… Using DFT calculations, we first screened 4350 crystal structures of bimetallic alloys to … Based on 30 transition metals in periods IV, V, and VI, we considered a total of 435 ( 30 C 2 ) …","https://www.nature.com/articles/s41524-021-00605-6","https://scholar.google.com/scholar?q=related:In2nS6LWwL4J:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"N Lanatà, TH Lee, YX Yao, V Stevanović…","Connection between Mott physics and crystal structure in a series of transition metal binary compounds",2019,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-019-0169-0","https://scholar.google.com/scholar?cites=9502528332482993630&as_sdt=2005&sciodt=0,5&hl=en",20,"2025-05-14 23:24:26","HTML","","","",,,,,24,4.00,5,5,6,"… classic approximations to density functional theory (DFT) 27,… structure of transition metal compounds is presently missing. … correlations present in six transition metal binary oxides and …","https://www.nature.com/articles/s41524-019-0169-0","https://scholar.google.com/scholar?q=related:3t27_SvD34MJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
63,"H van Gog, WF Li, C Fang, RS Koster…","Thermal stability and electronic and magnetic properties of atomically thin 2D transition metal oxides",2019,"npj 2D Materials and …","nature.com","https://www.nature.com/articles/s41699-019-0100-z","https://scholar.google.com/scholar?cites=16738129805855755979&as_sdt=2005&sciodt=0,5&hl=en",21,"2025-05-14 23:24:26","HTML","","","",,,,,63,10.50,13,5,6,"… Two-dimensional (2D) transition metal oxides (TMOs) are an emerging class of nanomaterials. Using density functional theory and ab initio molecular dynamics (AIMD) simulations, we …","https://www.nature.com/articles/s41699-019-0100-z","https://scholar.google.com/scholar?q=related:yw5pQmDISegJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"A Siddiqui, NDM Hine","Machine-learned interatomic potentials for transition metal dichalcogenide Mo1−xWxS2−2ySe2y alloys",2024,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-024-01357-9","https://scholar.google.com/scholar?cites=12827210215293666693&as_sdt=2005&sciodt=0,5&hl=en",22,"2025-05-14 23:24:26","HTML","","","",,,,,3,3.00,2,2,1,"… possible with DFT. In this work, we train an MLIP for quaternary Transition Metal Dichalcogenide … We show that we retain DFT level accuracy while greatly extending feasible system size …","https://www.nature.com/articles/s41524-024-01357-9","https://scholar.google.com/scholar?q=related:hUXXtbpnA7IJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
53,"F Ling, W Kang, H Jing, W Zeng, Y Chen…","Enhancing hydrogen evolution on the basal plane of transition metal dichacolgenide van der Waals heterostructures",2019,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-019-0161-8","https://scholar.google.com/scholar?cites=4586702328969907234&as_sdt=2005&sciodt=0,5&hl=en",23,"2025-05-14 23:24:26","HTML","","","",,,,,53,8.83,9,6,6,"… of first-principles calculations based on density functional theory (DFT), we investigated a … , TMDs (MoS 2 , WS 2 and MoSe 2 ) and transition metal carbides/nitrides (Ti 2 C, Ti 3 C 2 , …","https://www.nature.com/articles/s41524-019-0161-8","https://scholar.google.com/scholar?q=related:Iky1gHc9pz8J:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"K Noori, F Xuan, SY Quek","Origin of contact polarity at metal-2D transition metal dichalcogenide interfaces",2022,"npj 2D Materials and Applications","nature.com","https://www.nature.com/articles/s41699-022-00349-x","https://scholar.google.com/scholar?cites=15449429906752664274&as_sdt=2005&sciodt=0,5&hl=en",24,"2025-05-14 23:24:26","HTML","","","",,,,,12,4.00,4,3,3,"… Here, we find that both the DFT and GW calculations predict n-type contacts (Fig. 1b and … and contact polarity of TMDC/metal interfaces. It is noted that our DFT calculations give a p-type …","https://www.nature.com/articles/s41699-022-00349-x","https://scholar.google.com/scholar?q=related:0vJJRqVmZ9YJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"Y Guo, J Zhou, H Xie, Y Chen, Q Wang","Screening transition metal-based polar pentagonal monolayers with large piezoelectricity and shift current",2022,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-022-00728-4","https://scholar.google.com/scholar?cites=9190245658349398622&as_sdt=2005&sciodt=0,5&hl=en",25,"2025-05-14 23:24:26","HTML","","","",,,,,27,9.00,5,5,3,"… Based on the high-throughput screening method and first-principles calculations, we find eight stable 2D polar transition metal compounds with a number of intriguing properties. In …","https://www.nature.com/articles/s41524-022-00728-4","https://scholar.google.com/scholar?q=related:Xup9-LtPin8J:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"M Liu, S He, H Ji, J Guo, Z Jiang, JT Sun…","Intrinsic single-layer multiferroics in transition-metal-decorated chromium trihalides",2024,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-024-01369-5","https://scholar.google.com/scholar?cites=12005483047449855183&as_sdt=2005&sciodt=0,5&hl=en",26,"2025-05-14 23:24:26","HTML","","","",,,,,5,5.00,1,7,1,"… Spin-polarized density-functional theory (DFT) first-principles calculations were carried out with the Vienna ab initio simulation package (VASP) 91,92 . The projector augmented wave …","https://www.nature.com/articles/s41524-024-01369-5","https://scholar.google.com/scholar?q=related:zwQ5UDkLnKYJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"EMD Siriwardane, Y Zhao, I Perera, J Hu","Generative design of stable semiconductor materials using deep learning and density functional theory",2022,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-022-00850-3","https://scholar.google.com/scholar?cites=16360434339230891184&as_sdt=2005&sciodt=0,5&hl=en",27,"2025-05-14 23:24:26","HTML","","","",,,,,22,7.33,6,4,3,"… ) studies reveal that d-orbitals of transition metal atoms reside at the M site dominate in the valence region near the Fermi level. Even though the transition metal atoms can be found at A …","https://www.nature.com/articles/s41524-022-00850-3","https://scholar.google.com/scholar?q=related:sLz1qFnwC-MJ:scholar.google.com/&scioq=source:npj+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
