Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"L Ward, B Blaiszik, CW Lee, T Martin, I Foster, ...","Accelerating multiscale electronic stopping power predictions with time-dependent density functional theory and machine learning",2024,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-024-01374-8","https://scholar.google.com/scholar?cites=15335815809097826576&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 23:15:29","HTML","","","",,,,,2,2.00,0,6,1,"… Our ML model accurately predicts electronic stopping in crystal directions absent from the training data at rates 10 7 times faster than TD-DFT. Critically, our work required no new DFT …","https://www.nature.com/articles/s41524-024-01374-8","https://scholar.google.com/scholar?q=related:EIEYyjnD09QJ:scholar.google.com/&scioq=source:npj+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"JM Wang, JX Wang, RQ He, L Huang, ...","Ab initio dynamical mean field theory with natural orbitals renormalization group impurity solver",2025,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-025-01586-6","",2,"2025-05-14 23:15:29","HTML","","","",,,,,0,0.00,0,5,1,"… In this study, we introduce a novel implementation of density functional theory integrated … These oscillations are hardly eliminated through increasing the Monte Carlo samplings. We …","https://www.nature.com/articles/s41524-025-01586-6","https://scholar.google.com/scholar?q=related:Q6HDqZRVv9QJ:scholar.google.com/&scioq=source:npj+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"I Kim, D Jeong, WJ Son, HJ Kim, YM Rhee, ...","Kohn–Sham time-dependent density functional theory with Tamm–Dancoff approximation on massively parallel GPUs",2023,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-023-01041-4","https://scholar.google.com/scholar?cites=12487794915226366553&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 23:15:29","HTML","","","",,,,,6,3.00,1,6,2,"We report a high-performance multi graphics processing unit (GPU) implementation of the Kohn–Sham time-dependent density functional theory (TDDFT) within the Tamm–Dancoff …","https://www.nature.com/articles/s41524-023-01041-4","https://scholar.google.com/scholar?q=related:WTL_7U-PTa0J:scholar.google.com/&scioq=source:npj+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Sun, Z Wang, L Zeng, G Feng","Identifying MOFs for electrochemical energy storage via density functional theory and machine learning",2025,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-025-01590-w","",4,"2025-05-14 23:15:29","HTML","","","",,,,,0,0.00,0,4,1,"… , as determined by a combination of DFT calculations and NICS-xy … By identifying patterns within data generated by DFT, machine … In this review, we focus on the use of DFT and ML for …","https://www.nature.com/articles/s41524-025-01590-w","https://scholar.google.com/scholar?q=related:T_ot49w-xs4J:scholar.google.com/&scioq=source:npj+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"M Uhrin, A Zadoks, L Binci, N Marzari, ...","Machine learning Hubbard parameters with equivariant neural networks",2025,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-024-01501-5","https://scholar.google.com/scholar?cites=16654771233691806321&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 23:15:29","HTML","","","",,,,,5,5.00,1,5,1,"… By circumventing computationally expensive DFT or DFPT self-consistent protocols, our model … To investigate this, we repeat the same numerical experiment as above, eliminating the …","https://www.nature.com/articles/s41524-024-01501-5","https://scholar.google.com/scholar?q=related:cSqYPzKiIecJ:scholar.google.com/&scioq=source:npj+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"G Dhaliwal, PB Nair, CV Singh","Machine learned interatomic potentials using random features",2022,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-021-00685-4","https://scholar.google.com/scholar?cites=11238210110273566016&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 23:15:29","HTML","","","",,,,,18,6.00,6,3,3,"… force predictions with DFT level accuracy (MAE less than 0.03 eVÅ −1 when compared to … The present study eliminated these limitations by providing a linear model-based IP using …","https://www.nature.com/articles/s41524-021-00685-4","https://scholar.google.com/scholar?q=related:QDUPfo0k9psJ:scholar.google.com/&scioq=source:npj+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"J Zhao, W Xia, Z Zeng, X Wang","Central role of d-band energy level in Cu-based intermetallic alloys",2024,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-024-01257-y","https://scholar.google.com/scholar?cites=10657984743361768093&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 23:15:29","HTML","","","",,,,,1,1.00,0,4,1,"… calculations are eliminated. … density functional theory (DFT) calculations have a long time puzzling question in describing the properties of this system: Why is it that the widely used DFT …","https://www.nature.com/articles/s41524-024-01257-y","https://scholar.google.com/scholar?q=related:nWqc2afE6JMJ:scholar.google.com/&scioq=source:npj+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Y Wu, P Zhang, W Zhang","Advancing first-principles dielectric property prediction of complex microwave materials: an elemental-unit decomposition approach",2024,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-024-01366-8","https://scholar.google.com/scholar?cites=15428179565181398211&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 23:15:29","HTML","","","",,,,,1,1.00,0,3,1,"… accelerate materials optimization by reducing or eliminating the expensive and time-consuming … Density functional theory (DFT) based modern electronic structure methods are able to …","https://www.nature.com/articles/s41524-024-01366-8","https://scholar.google.com/scholar?q=related:w-yTkZLnG9YJ:scholar.google.com/&scioq=source:npj+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"Y Hu, X Wu, AP Schnyder, M Shi","Electronic landscape of kagome superconductors AV3Sb5 (A = K, Rb, Cs) from angle-resolved photoemission spectroscopy",2023,"npj Quantum Materials","nature.com","https://www.nature.com/articles/s41535-023-00599-y","https://scholar.google.com/scholar?cites=17458645794087169656&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 23:15:29","HTML","","","",,,,,14,7.00,4,4,2,"… AV 3 Sb 5 from the perspective of density functional theory (DFT). Second, we review both … pairing when the CDW order is eliminated 25 . The observed isotropic superconducting gap …","https://www.nature.com/articles/s41535-023-00599-y","https://scholar.google.com/scholar?q=related:eO7uj9mRSfIJ:scholar.google.com/&scioq=source:npj+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"Z Liu, Y Shi, H Chen, T Qin, X Zhou, J Huo, ...","Machine learning on properties of multiscale multisource hydroxyapatite nanoparticles datasets with different morphologies and sizes",2021,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-021-00618-1","https://scholar.google.com/scholar?cites=284840150745554760&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 23:15:29","HTML","","","",,,,,28,7.00,4,7,4,"… sizes and morphologies at density functional theory (DFT), semi-… Energies with DFT accuracy are achievable for large-sized … together with the ‘last elimination method’ 25 is shown in …","https://www.nature.com/articles/s41524-021-00618-1","https://scholar.google.com/scholar?q=related:SB_1opv08wMJ:scholar.google.com/&scioq=source:npj+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"C Niu, Y Rao, W Windl, M Ghazisaeidi","Multi-cell Monte Carlo method for phase prediction",2019,"npj Computational Materials","nature.com","https://www.nature.com/articles/s41524-019-0259-z","https://scholar.google.com/scholar?cites=6627442099505678400&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-14 23:15:29","HTML","","","",,,,,21,3.50,5,4,6,"… possible phases, while eliminating the size and concentration … directly computed via density functional theory calculations. … total energy of each cell is computed with DFT at 0 K, and no …","https://www.nature.com/articles/s41524-019-0259-z","https://scholar.google.com/scholar?q=related:QEiBznln-VsJ:scholar.google.com/&scioq=source:npj+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"S Menon, Y Lysogorskiy, ALM Knoll, ...","From electrons to phase diagrams with machine learning potentials using pyiron based automated workflows",2024,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-024-01441-0","https://scholar.google.com/scholar?cites=6630939196792809557&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-14 23:15:29","HTML","","","",,,,,6,6.00,2,4,1,"… training data set was refined by eliminating structures which were not relevant … DFT and our calculations show that both HDNNP and ACE predict the formation energies well with DFT …","https://www.nature.com/articles/s41524-024-01441-0","https://scholar.google.com/scholar?q=related:VagMOBHUBVwJ:scholar.google.com/&scioq=source:npj+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
107,"T Long, NM Fortunato, I Opahle, Y Zhang, ...","Constrained crystals deep convolutional generative adversarial network for the inverse design of crystal structures",2021,"npj Computational …","nature.com","https://www.nature.com/articles/s41524-021-00526-4","https://scholar.google.com/scholar?cites=14647065901801315846&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-14 23:15:29","HTML","","","",,,,,107,26.75,21,5,4,"… distinct structures have been identified after performing DFT relaxations on 3743 structures. … 100,000 crystal structures and performed DFT calculation on the generated structures. The …","https://www.nature.com/articles/s41524-021-00526-4","https://scholar.google.com/scholar?q=related:Bp6ajtXURMsJ:scholar.google.com/&scioq=source:npj+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
