ArticleURL,Reaction_Class,Title,Year,Cites,Abstract
https://books.google.com/books?hl=en&lr=&id=L_5REAAAQBAJ&oi=fnd&pg=PA152&dq=source:nature+carbonylation+dft&ots=dNYdYh9kZZ&sig=9uC29jkBn9l4FOIbdPB5099znnM,['Carbonylation'],Theoretical Approaches to CO2,2021.0,0,"… techniques, density functional theory (DFT) modeling is a … DFT-based approaches are valuable strategies to overcome … In this chapter, a comprehensive discussion by the DFT …"
https://books.google.com/books?hl=en&lr=&id=WHggEAAAQBAJ&oi=fnd&pg=PR5&dq=source:nature+carbonylation+dft&ots=ToGeaenwkN&sig=3uX_qsMmAqn0upR6enXsqvtznDM,['Carbonylation'],Computational Advances of Rh-Catalyzed C–H Functionalization: From Elementary Reaction to Mechanism,2021.0,2,"This book offers a comprehensive overview of recent theoretical studies on rhodium-catalyzed CH functionalization, a topic that has attracted considerable attention over the years. It …"
https://books.google.com/books?hl=en&lr=&id=lhwnEAAAQBAJ&oi=fnd&pg=PA205&dq=source:nature+carbonylation+dft&ots=Y4j7xpcUjv&sig=qylYFTY26zW0kC7W0mx6IE3IYn4,['Carbonylation'],"Selective Hydrogenation of 1, 3-Butadiene to",2021.0,0,"… Finally, a brief overview of the theoretical investigations for 1, 3-butadiene hydrogenation using density functional theory (DFT) calculations has also been discussed for a variety of …"
https://books.google.com/books?hl=en&lr=&id=Qw-HEAAAQBAJ&oi=fnd&pg=PR5&dq=source:nature+carbonylation+dft&ots=RogUW5uuPA&sig=yKDmsemE5nJYPdMRo0-nfi4ZNl8,['Carbonylation'],"Green Chemistry: Introduction, Application and Scope",2022.0,2,… metal-catalyzed hydrogenation and carbonylation steps through the formation of alcohol (22) (Scheme 15). Out of which the catalytic hydrogenation and carbonylation steps were highly …
https://books.google.com/books?hl=en&lr=&id=WHggEAAAQBAJ&oi=fnd&pg=PA80&dq=source:nature+carbonylation+dft&ots=ToGeaenwnE&sig=O-Lw5J3352eCw99C2rV_ONlnFEM,['Carbonylation'],3.7. 2 Sequential C–H Activation and Inner-Sphere Carbene Insertion,2021.0,0,"… In 2015, Xie and co-workers [193] reported a DFT study on the mechanism of dirhodium-… a novel carbonylation at a CH bond in the piperazine ring. Organometallics 16: 3615–3622 …"
https://books.google.com/books?hl=en&lr=&id=k_FPEAAAQBAJ&oi=fnd&pg=PR5&dq=source:nature+carbonylation+dft&ots=cKGxDI85QJ&sig=_xahlqdBJU1lpM5MTqHT39vfyqI,['Carbonylation'],Discrimination of Mobile Supramolecular Chirality: Acylative Molecular Transformations by Organocatalysis,2021.0,1,"… Makoto Sato for their substantial contributions to DFT calculations and useful discussions. I … Triflation of 1,7-dihydroxynaphthalene followed by carbonylation gave dimethyl ester 34. …"
https://books.google.com/books?hl=en&lr=&id=_JpXEAAAQBAJ&oi=fnd&pg=PA1&dq=source:nature+carbonylation+dft&ots=MKOHopZBAH&sig=qRH_LiwRquxITIHj67uk7qpW9BI,['Carbonylation'],Organometallic/Metallorganic Chemistry: Its Role in Prebiotic,2022.0,0,"Without transition metals (TM) Life would not exist, at least not in the form we know. In fact, first row TM share an important ubiquitous presence in all Phyla where 30% of all proteins are …"
https://books.google.com/books?hl=en&lr=&id=31UsEQAAQBAJ&oi=fnd&pg=PA83&dq=source:nature+carbonylation+dft&ots=JxmTGXyWa7&sig=Lz_l3fceanJa1qsFcYDYG9VwBOk,['Carbonylation'],Azobenzenes: Photoswitching and Their Chemical Sensor Application,2024.0,0,"… 1H NMR titrations and density functional theory (DFT) calculations confirmed that, in addition to the polyether residues, the sucrose ring oxygen and azobenzene nitrogen atoms also …"
http://catalysis.eprints.iitm.ac.in/4420/,"['Carbonylation', 'Photoredox']",Photocatalytic CO2 reduction,2025.0,0,"… density functional theory (DFT), is most widely used to explore the photocatalytic CO2 reduction mechanism. DFT … Furthermore, DFT can predict the interactions between the catalyst and …"
https://www.intechopen.com/chapters/1183758,['Carbonylation'],Azobenzenes: Photoswitching and Their Chemical Sensor Application,2024.0,0,"… H NMR titrations and density functional theory (DFT) calculations confirmed that, in addition to the polyether residues, the sucrose ring oxygen and azobenzene nitrogen atoms also …"
