Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"TW Chamberlain…","Magnetically recyclable catalytic carbon nanoreactors",,"… Functional …","nottingham-repository.worktribe.com","https://nottingham-repository.worktribe.com/output/972470","",896,"2025-05-07 19:35:03","","","","",,,,,0,0.00,0,2,,"Multifunctional nanoreactors are assembled using hollow graphitized carbon nanofibers (GNFs) combined with nanocatalysts (Pd or Pt) and magnetic nanoparticles. The latter are …","https://nottingham-repository.worktribe.com/OutputFile/972740","https://scholar.google.com/scholar?q=related:RonIhrbyQ7UJ:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"S Xiao, D Zhang, G Li, H Li","Development of Advanced Nanoarchitectures for Photocatalytic Treatment of NO x",2016,"… : Advanced Functional Materials","Springer","https://link.springer.com/chapter/10.1007/978-3-319-26079-2_5","https://scholar.google.com/scholar?cites=15360771433714381681&as_sdt=2005&sciodt=0,5&hl=en",897,"2025-05-07 19:35:03","","10.1007/978-3-319-26079-2_5","","",,,,,2,0.22,1,4,9,"As an important component of polluted air, NO x not only pollutes the atmospheric environment, but also causes harm to the health of humans directly or indirectly. Thus, different routes, …","http://ndl.ethernet.edu.et/bitstream/123456789/74398/1/2016_Book_NanostructuredPhotocatalysts.pdf#page=113","https://scholar.google.com/scholar?q=related:cXOD7jtsLNUJ:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
105,"Q Liang, S Wang, Y Yao, P Dong…","Transition metal compounds family for Li–S batteries: the DFT‐guide for suppressing polysulfides shuttle",2023,"Advanced Functional …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202300825","https://scholar.google.com/scholar?cites=2468840220433162213&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 19:35:03","","10.1002/adfm.202300825","","",,,,,105,52.50,21,5,2,"… In this section, with the help of DFT-… DFT-guided calculations. It is worth noting that although there is no consistency and uniformity in the choice among the parameters used in the DFT …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202300825","https://scholar.google.com/scholar?q=related:5Z8dmhkVQyIJ:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"W Si, M Tian, Z Wang, H Ma, Y Du…","Dual‐Ion Co‐Insertion Engineering for Kinetics Enhancement and Stress Regulation in Cu3VS4 Toward Durable Magnesium/Lithium Hybrid Batteries",2025,"Advanced Functional …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202411881","https://scholar.google.com/scholar?cites=16819269682434694390&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 19:35:03","","10.1002/adfm.202411881","","",,,,,5,5.00,1,6,1,"… with DFT calculations indicate that the dual-ion co-insertion can … DFT calculations ascertains the introduction of Li + in … conducive to Mg 2+ migration. Finite element simulation analyses …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202411881","https://scholar.google.com/scholar?q=related:9lwE86kMaukJ:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
166,"X Yue, J Fan, Q Xiang","Internal electric field on steering charge migration: modulations, determinations and energy‐related applications",2022,"Advanced Functional Materials","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202110258","https://scholar.google.com/scholar?cites=10751908411757778712&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 19:35:03","","10.1002/adfm.202110258","","",,,,,166,55.33,55,3,3,"… Except through Debye equation, the dipole moment value can be also obtained from DFT as mentioned in the section DFT calculations and mathematical simulations. Huang's group …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adfm.202110258","https://scholar.google.com/scholar?q=related:GFdbBLxzNpUJ:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
49,"J Wang, C Hu, L Wang, Y Yuan, K Zhu…","Suppressing Thermal Migration by Fine‐Tuned Metal‐Support Interaction of Iron Single‐Atom Catalyst for Efficient ORR",2023,"Advanced Functional …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202304277","https://scholar.google.com/scholar?cites=18328832914540226498&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 19:35:03","","10.1002/adfm.202304277","","",,,,,49,24.50,8,6,2,"… Density function theory (DFT) calculations were used to further verify the enhanced metal-support interaction and superior catalytic capacity for ORR of origin of SA-Fe III /SNPC catalyst. …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202304277","https://scholar.google.com/scholar?q=related:wmeo6mwYXf4J:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
34,"X Chen, Z Sun, B Cai, X Li, S Zhang…","Substantial Improvement of Operating Stability by Strengthening Metal‐Halogen Bonds in Halide Perovskites",2022,"Advanced Functional …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202112129","https://scholar.google.com/scholar?cites=7739163283950166279&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 19:35:03","","10.1002/adfm.202112129","","",,,,,34,11.33,6,6,3,"… migration due to TM incorporation, we perform a first-principles density functional theory (DFT… We focus on halogen vacancy-mediated ionic migration along the octahedron edges …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202112129","https://scholar.google.com/scholar?q=related:B2GYvgAIZ2sJ:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"X Sun, Z Li, Z Liu, X Lv, K Shi, R Chen…","A New Candidate in Polyanionic Compounds for Potassium Ion Battery Anode: MXene Derived Carbon Coated π‐Ti2O(PO4)2",2023,"Advanced Functional …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202300125","https://scholar.google.com/scholar?cites=4750653378004470412&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 19:35:03","","10.1002/adfm.202300125","","",,,,,24,12.00,3,7,2,"… The density functional theory (DFT) calculations and experimental results show … DFT calculations. e) The possible diffusion pathways and f) corresponding energy barriers of K migration …","https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adfm.202300125","https://scholar.google.com/scholar?q=related:jEr3xhO27UEJ:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
60,"D Jia, Z Shen, Y Lv, Z Chen, H Li, Y Yu…","In Situ Electrochemical Tuning of MIL‐88B(V)@rGO into Amorphous V2O5@rGO as Cathode for High‐Performance Aqueous Zinc‐Ion Battery",2024,"Advanced Functional …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202308319","https://scholar.google.com/scholar?cites=18337494112688953245&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 19:35:03","","10.1002/adfm.202308319","","",,,,,60,60.00,9,7,1,"… The density functional theory calculation reveals that the rGO sheets have two functions, ie, to improve the conductivity and to reduce the Zn2+ migration energy barrier. Consequently, …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202308319","https://scholar.google.com/scholar?q=related:nVekQb3de_4J:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"J Zhang, X Wang, H Li, H Zhang…","Layered materials in the magnesium ion batteries: Development history, materials structure, and energy storage mechanism",2023,"Advanced Functional …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202301974","https://scholar.google.com/scholar?cites=7301436921097128741&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 19:35:03","","10.1002/adfm.202301974","","",,,,,15,7.50,3,5,2,"… The density functional theory (DFT) results reveal that V 2 O … -MgV 2 O 5 phase with the insertion process (Figure 2a). [ 35 ] … 2+ migration is fairly high (1.30 eV) and ion insertion barrier is …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adfm.202301974","https://scholar.google.com/scholar?q=related:JYvq7zHqU2UJ:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
