Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
22,"Z You, Z Zhao, Q Zhang, C Zhang, ...","Organic heterocyclic strategy for precisely regulating electronic state of palladium interface to boost alcohol oxidation",2023,"Advanced Functional …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202210877","https://scholar.google.com/scholar?cites=11663857794056349729&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 19:34:24","","10.1002/adfm.202210877","","",,,,,22,11.00,4,5,2,"… Density functional theory (DFT) calculation demonstrate that the enhanced activity of Pd/SNC is caused by the S···N···Pd noncovalent interaction, which induces moderate charge …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202210877","https://scholar.google.com/scholar?q=related:IWhmrd1Y3qEJ:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"J Park, Y Jeong, H Kang, TY Yu, X Xu, ...","A Dual‐Functional Electrolyte Additive for High‐Performance Potassium Metal Batteries",2023,"Advanced Functional …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202304069","https://scholar.google.com/scholar?cites=8775321830417756241&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 19:34:24","","10.1002/adfm.202304069","","",,,,,16,8.00,3,6,2,"… The physical properties of ADN were initially characterized using density functional theory (DFT) calculations. Figure 1a shows the LUMO and highest occupied molecular orbital (HOMO…","https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adfm.202304069","https://scholar.google.com/scholar?q=related:UfDHC7Y0yHkJ:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
29,"Q Lian, L Hu, D Ma, Y Jiao, D Xia, ...","Interstitial atomic Bi charge‐alternating processor boosts twofold molecular oxygen activation enabling rapid catalytic oxidation reactions at room temperature",2022,"Advanced Functional …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202205054","https://scholar.google.com/scholar?cites=5353357635961413345&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 19:34:24","","10.1002/adfm.202205054","","",,,,,29,9.67,5,6,3,"… which is the accordance with the density functional theory (DFT) calculation. The measured … fine structure (XAFS) measurements and DFT calculations were successfully conducted. The …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202205054","https://scholar.google.com/scholar?q=related:4d4aF2jySkoJ:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
123,"S Zhou, L Jiang, H Wang, J Yang, ...","Oxygen Vacancies Modified TiO2/O‐Terminated Ti3C2 Composites: Unravelling the Dual Effects between Oxygen Vacancy and High‐Work‐Function Titanium …",2023,"Advanced Functional …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202307702","https://scholar.google.com/scholar?cites=6669277046226505464&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 19:34:24","","10.1002/adfm.202307702","","",,,,,123,61.50,25,5,2,"… In addition, thermal treatment at 550 C in N 2 , CO 2 , and air … of more carbon species, and full oxidation of Ti 3 C 2 T x , … Furthermore, the first-principles density functional theory (DFT…","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202307702","https://scholar.google.com/scholar?q=related:-E7_YCMIjlwJ:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"L Wang, J Nan, J Zhang, C Du, H Xiang, ...","Atomically Dispersed Dual Metal Sites Anchored Catalyst Enables Photothermally Augmented Catalytic Oxidation for Biocatalytic Tumor Therapy",2024,"Advanced Functional …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202423783","",5,"2025-05-07 19:34:24","","10.1002/adfm.202423783","","",,,,,0,0.00,0,6,1,"… The boosted catalytic activity in producing •OH is identified by density functional theory (DFT… NIR laser irradiation by photothermally enhanced catalytic oxidation. Additionally, Fe- and …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adfm.202423783","https://scholar.google.com/scholar?q=related:tJ9q3g84u68J:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
167,"Y Liu, J Zhang, Y Li, Q Qian, Z Li, ...","Realizing the Synergy of Interface Engineering and Chemical Substitution for Ni3N Enables its Bifunctionality Toward Hydrazine Oxidation Assisted Energy‐Saving …",2021,"Advanced Functional …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202103673","https://scholar.google.com/scholar?cites=4333374272709982067&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 19:34:24","","10.1002/adfm.202103673","","",,,,,167,41.75,28,6,4,"… Importantly, density functional theory (DFT) calculations reveal that the synergy of Mo substitution and abundant Ni 3 N/Ni interface can not only effectively modulate H* adsorption/…","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202103673","https://scholar.google.com/scholar?q=related:c_exG_E8IzwJ:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
49,"C Cai, X Li, P Hu, T Zhu, J Li, H Fan, ...","Comprehensively strengthened metal‐oxygen bonds for reversible anionic redox reaction",2023,"Advanced Functional …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202215155","https://scholar.google.com/scholar?cites=13429324880741840877&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 19:34:24","","10.1002/adfm.202215155","","",,,,,49,24.50,7,7,2,"… However, the anionic redox reaction generally suffers from excessive oxidation of lattice … , which inhibits the excessive lattice oxygen oxidation. The obtained NLAM exhibits a high …","https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adfm.202215155","https://scholar.google.com/scholar?q=related:7bfu0dOLXroJ:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
92,"W Luo, H Tian, Q Li, G Meng, Z Chang, ...","Controllable Electron Distribution Reconstruction of Spinel NiCo2O4 Boosting Glycerol Oxidation at Elevated Current Density",2024,"Advanced Functional …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202306995","https://scholar.google.com/scholar?cites=17773916101676582117&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 19:34:24","","10.1002/adfm.202306995","","",,,,,92,92.00,15,6,1,"… oxidation reaction (GOR) is an effective way to convert biomass byproduct to high value-added chemicals, which; however, suffers from the low oxidation … and density functional theory …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adfm.202306995","https://scholar.google.com/scholar?q=related:5UQHNIaiqfYJ:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
33,"J Wang, G Yu, Y Wang, S Liu, J Qiu, ...","Surface density of cobalt single atoms manipulating hydroxyl radical generation via dual pathways: electrons supply and active sites",2023,"Advanced Functional …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202215245","https://scholar.google.com/scholar?cites=2243881805338277664&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 19:34:24","","10.1002/adfm.202215245","","",,,,,33,16.50,6,6,2,"… Based on experiments and density functional theory (DFT) calculation, we revealed that the anchored single Co atoms can promote electron reduction of O 3 by enhancing photon …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202215245","https://scholar.google.com/scholar?q=related:IHcmBZ3eIx8J:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"J Ding, H Gu, Y Shi, Y He, Y Su, ...","High‐Throughput Screening of Dual‐Atom Catalysts for Methane Combustion: A Combined Density Functional Theory and Machine‐Learning Study",2025,"Advanced Functional …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202414145","https://scholar.google.com/scholar?cites=16727182777505807512&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 19:34:24","","10.1002/adfm.202414145","","",,,,,4,4.00,1,6,1,"… compared to the aforementioned DFT results (Figure 8a). As Au 1 Ga 1 /CeO 2 has been screened out to be promising candidate for methane total oxidation by DFT calculations, our …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202414145","https://scholar.google.com/scholar?q=related:mPxDmhzkIugJ:scholar.google.com/&scioq=source:%22advanced+functional+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
