Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
63,"S Huang, F Feng, RT Huang, T Ouyang…","Activating C–H bonds by tuning Fe sites and an interfacial effect for enhanced methanol oxidation",2022,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202208438","https://scholar.google.com/scholar?cites=14948437151659227019&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 19:05:19","","10.1002/adma.202208438","","",,,,,63,21.00,13,5,3,"… CH 3 OH to HCHO, and long-term stability over 40 h. Furthermore, density functional theory … effectively lowers methanol adsorption, C–H bond activation, and HCHO desorption energy …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202208438","https://scholar.google.com/scholar?q=related:i3fmo2OEc88J:scholar.google.com/&scioq=source:%22advanced+materials%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
68,"GH Gu, C Choi, Y Lee, AB Situmorang…","Progress in computational and machine‐learning methods for heterogeneous small‐molecule activation",2020,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.201907865","https://scholar.google.com/scholar?cites=3383795176927882609&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 19:05:19","","10.1002/adma.201907865","","",,,,,68,13.60,14,5,5,"… Contrary to experiments, the density functional theory (DFT) … computational methodology such as DFT calculation and kinetic … of the machine learning methods and DFT databases, the …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201907865","https://scholar.google.com/scholar?q=related:cW13Ccmn9S4J:scholar.google.com/&scioq=source:%22advanced+materials%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"X Cai, Y Liu, G Li, W Hu, X Liu, M Chen…","A Functionalized Heterogeneous Catalyst from Atomically Precise Pd1Au8 Clusters Facilitates Carbon–Carbon Bond Construction",2023,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202301466","https://scholar.google.com/scholar?cites=2890351285927636191&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 19:05:19","","10.1002/adma.202301466","","",,,,,20,10.00,3,7,2,"… Density functional theory (DFT) calculations were carried out … Although the DFT calculations have shown that the … −1 ), kinetically, the activation of PhBr could be severely hindered by …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202301466","https://scholar.google.com/scholar?q=related:32zPSS6XHCgJ:scholar.google.com/&scioq=source:%22advanced+materials%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
198,"Y Wang, Y Qu, B Qu, L Bai, Y Liu, ZD Yang…","Construction of Six‐Oxygen‐Coordinated Single Ni Sites on g‐C3N4 with Boron‐Oxo Species for Photocatalytic Water‐Activation‐Induced CO2 Reduction",2021,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202105482","https://scholar.google.com/scholar?cites=4783953718739147811&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 19:05:19","","10.1002/adma.202105482","","",,,,,198,49.50,28,7,4,"… Combining all acquired structure information, simplified structure models of CN and OB-CN were simulated by the density functional theory (DFT) calculation with the metaboric acid as …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202105482","https://scholar.google.com/scholar?q=related:Ixxbi48EZEIJ:scholar.google.com/&scioq=source:%22advanced+materials%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
76,"X Xiao, Z Ruan, Q Li, L Zhang, H Meng…","A Unique Fe–N4 Coordination System Enabling Transformation of Oxygen into Superoxide for Photocatalytic CH Activation with High Efficiency and Selectivity",2022,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202200612","https://scholar.google.com/scholar?cites=13867088132629875522&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 19:05:19","","10.1002/adma.202200612","","",,,,,76,25.33,13,6,3,"… usefulness for CH bond activation after an oxygen molecule receives a free electron from an excited photocatalyst remains unclear. Herein, guided by density functional theory (DFT) …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202200612","https://scholar.google.com/scholar?q=related:Qktwhi_LccAJ:scholar.google.com/&scioq=source:%22advanced+materials%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"Y Li, Y Chen, Q Wang, Y Ye, J Zeng…","Realizing C–C Coupling via Accumulation of C1 Intermediates within Dual‐Vacancy‐Induced Dipole‐Limited Domain Field to Propel Photoreduction of CO2‐to‐C2 …",2025,"Advanced Materials","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202414994","https://scholar.google.com/scholar?cites=8740703328398061901&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 19:05:19","","10.1002/adma.202414994","","",,,,,3,3.00,1,6,1,"… of CO 2 molecules and facilitates their activation. [ 17 ] Such a dipole-… photogenerated electrons to activate CO 2 molecules, … Density functional theory (DFT) calculations corroborate that …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202414994","https://scholar.google.com/scholar?q=related:TbE98F03TXkJ:scholar.google.com/&scioq=source:%22advanced+materials%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
131,"W Chen, Y Wang, B Wu, J Shi, Y Li, L Xu…","Activated Ni–OH bonds in a catalyst facilitates the nucleophile oxidation reaction",2022,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202105320","https://scholar.google.com/scholar?cites=4173203277056380609&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 19:05:19","","10.1002/adma.202105320","","",,,,,131,43.67,19,7,3,"… All in all, based on DFT calculations, we propose the reaction simulation system to identify the nucleophile oxidation pathways for different NOR systems based on non-electrochemical …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202105320","https://scholar.google.com/scholar?q=related:wQ5xGEUy6jkJ:scholar.google.com/&scioq=source:%22advanced+materials%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
89,"G Fan, W Xu, J Li, JL Chen, M Yu, Y Ni…","Nanoporous NiSb to enhance nitrogen electroreduction via tailoring competitive adsorption sites",2021,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/full/10.1002/adma.202101126","https://scholar.google.com/scholar?cites=7828966540584170877&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 19:05:19","","10.1002/adma.202101126","","",,,,,89,22.25,13,7,4,"… structure and tailoring the adsorption and activation barrier of N 2 molecule. [ 18 ] … Density functional theory (DFT) calculations reveal that the charge redistribution enhances activation …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202101126","https://scholar.google.com/scholar?q=related:fTXwyZYTpmwJ:scholar.google.com/&scioq=source:%22advanced+materials%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"J Ren, B Wang, HQ Yin, P Zhang, XH Wang…","Single Dispersion of Fe(H2O)2‐Based Polyoxometalate on Polymeric Carbon Nitride for Biomimetic CH4 Photooxidation",2024,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202403101","https://scholar.google.com/scholar?cites=280524684618505352&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 19:05:19","","10.1002/adma.202403101","","",,,,,12,12.00,2,6,1,"… , the energy barrier of C−H activation over FeSiW11 was also explored by DFT calculations. As … FeSiW11 requires much higher energy input for the C−H activation on both Fe=Ot bonds (…","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202403101","https://scholar.google.com/scholar?q=related:iBxq4baf5AMJ:scholar.google.com/&scioq=source:%22advanced+materials%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"W Chen, Y Yu, Y Du, Y Wang, Y Zhao, K Guo…","A Click Chemistry Strategy Toward Spin‐Polarized Transition‐Metal Single Site Catalysts for Dynamic Probing of Sulfur Redox Electrocatalysis",2024,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202409369","https://scholar.google.com/scholar?cites=16350984206127655356&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 19:05:19","","10.1002/adma.202409369","","",,,,,14,14.00,2,7,1,"… [ 28 ] According to density functional theory (DFT), the energy levels of d xz /d yz /d z 2 are … suggesting that the SS bonding is better activated. The charge density differences between Fe …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202409369","https://scholar.google.com/scholar?q=related:vOlCFoFd6uIJ:scholar.google.com/&scioq=source:%22advanced+materials%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
