Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
198,"L Majidi, A Ahmadiparidari, N Shan, ...","2D Copper Tetrahydroxyquinone Conductive Metal–Organic Framework for Selective CO2 Electrocatalysis at Low Overpotentials",2021,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202004393","https://scholar.google.com/scholar?cites=2549644728928084227&as_sdt=2005&sciodt=0,5&hl=en",26,"2025-05-07 19:17:33","","10.1002/adma.202004393","","",,,,,198,49.50,50,4,4,"… the CO 2 RR electrocatalytic … DFT calculations revealed that Cu species together with neighboring O species in the catalyst are the active sites contributing to the CO 2 RR (see the DFT …","https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202004393","https://scholar.google.com/scholar?q=related:A6E0U18oYiMJ:scholar.google.com/&scioq=source:%22advanced+materials%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
115,"H Yin, Y Dou, S Chen, Z Zhu, P Liu, ...","2D Electrocatalysts for Converting Earth‐Abundant Simple Molecules into Value‐Added Commodity Chemicals: Recent Progress and Perspectives",2020,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201904870","https://scholar.google.com/scholar?cites=8535630235509390822&as_sdt=2005&sciodt=0,5&hl=en",210,"2025-05-07 19:17:33","","10.1002/adma.201904870","","",,,,,115,23.00,19,6,5,"… (NRR) and carbon dioxide reduction reaction (CO 2 RR). The great success of nonprecious … they are almost exclusively based on density functional theory (DFT) calculations, and none …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.201904870","https://scholar.google.com/scholar?q=related:5v2euXmmdHYJ:scholar.google.com/&scioq=source:%22advanced+materials%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
163,"J Cavin, A Ahmadiparidari, L Majidi, ...","2D high‐entropy transition metal dichalcogenides for carbon dioxide electrocatalysis",2021,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202100347","https://scholar.google.com/scholar?cites=14936429524927649025&as_sdt=2005&sciodt=0,5&hl=en",167,"2025-05-07 19:17:33","","10.1002/adma.202100347","","",,,,,163,40.75,41,4,4,"… To gain more insight about the remarkable catalytic activity of (Mo,W,V,Nb,Ta) NFs, especially at low overpotentials, we carried out DFT calculations to determine the free energy …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202100347","https://scholar.google.com/scholar?q=related:ARX4LYTbSM8J:scholar.google.com/&scioq=source:%22advanced+materials%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
251,"FP García de Arquer, OS Bushuyev, ...","2D Metal Oxyhalide‐Derived Catalysts for Efficient CO2 Electroreduction",2018,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.201802858","https://scholar.google.com/scholar?cites=1487096725933377384&as_sdt=2005&sciodt=0,5&hl=en",112,"2025-05-07 19:17:33","","10.1002/adma.201802858","","",,,,,251,35.86,84,3,7,"… in situ formation of optimal CO 2 RR catalysts via operando … thus allowing a much higher CO 2 RR current density and thus … , we performed density functional theory (DFT) calculations (…","https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adma.201802858","https://scholar.google.com/scholar?q=related:aMfn35c6oxQJ:scholar.google.com/&scioq=source:%22advanced+materials%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
313,"R Paul, F Du, L Dai, Y Ding, ZL Wang, F Wei, ...","3D heteroatom‐doped carbon nanomaterials as multifunctional metal‐free catalysts for integrated energy devices",2019,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201805598?_utm_campaign=mention57529&_utm_medium=inline&_utm_content=lnk241316896300&_utm_source=xakep","https://scholar.google.com/scholar?cites=15254124221592040709&as_sdt=2005&sciodt=0,5&hl=en",226,"2025-05-07 19:17:33","","10.1002/adma.201805598","","",,,,,313,52.17,45,7,6,"… cells2 and CO 2 reduction reaction (CO 2 RR) for numerous applications, namely, biosensing, … The natural bond orbital (NBO) population analyzed by density functional theory (DFT) …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201805598","https://scholar.google.com/scholar?q=related:BfWs4yiJsdMJ:scholar.google.com/&scioq=source:%22advanced+materials%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
159,"UI Kramm, L Ni, S Wagner","57Fe Mössbauer Spectroscopy Characterization of Electrocatalysts",2019,"Advanced materials","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.201805623","https://scholar.google.com/scholar?cites=15937192339277156143&as_sdt=2005&sciodt=0,5&hl=en",245,"2025-05-07 19:17:33","","10.1002/adma.201805623","","",,,,,159,26.50,53,3,6,"This work addresses the importance of Mössbauer spectroscopy for the characterization of iron‐containing electrocatalysts. The most important aspects of electrocatalysis and …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201805623","https://scholar.google.com/scholar?q=related:Lw-xY_5HLN0J:scholar.google.com/&scioq=source:%22advanced+materials%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
46,"C Chen, M Lv, H Hu, L Huai, B Zhu, S Fan, ...","5‐Hydroxymethylfurfural and its Downstream Chemicals: A Review of Catalytic Routes",2024,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202311464","https://scholar.google.com/scholar?cites=16531129515208629009&as_sdt=2005&sciodt=0,5&hl=en",239,"2025-05-07 19:17:33","","10.1002/adma.202311464","","",,,,,46,46.00,7,7,1,"Biomass assumes an increasingly vital role in the realm of renewable energy and sustainable development due to its abundant availability, renewability, and minimal environmental …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202311464","https://scholar.google.com/scholar?q=related:EVv8WbVeauUJ:scholar.google.com/&scioq=source:%22advanced+materials%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"L Zhao, B Wang, R Wang","A critical review on new and efficient 2D materials for catalysis",2022,"Advanced Materials Interfaces","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/admi.202200771","https://scholar.google.com/scholar?cites=4143563343799033713&as_sdt=2005&sciodt=0,5&hl=en",137,"2025-05-07 19:17:33","","10.1002/admi.202200771","","",,,,,28,9.33,9,3,3,"… CO 2 RR due to their low cost and high efficiency. For example, Liu et al. [ 87 ] verified the CO 2 RR … with different configurations by spin-polarized density functional theory (DFT). The N-…","https://onlinelibrary.wiley.com/doi/pdf/10.1002/admi.202200771","https://scholar.google.com/scholar?q=related:cZ94W-jkgDkJ:scholar.google.com/&scioq=source:%22advanced+materials%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
162,"C Choi, T Cheng, M Flores Espinosa, H Fei, ...","A highly active star decahedron Cu nanocatalyst for hydrocarbon production at low overpotentials",2019,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201805405","https://scholar.google.com/scholar?cites=9157694581279707990&as_sdt=2005&sciodt=0,5&hl=en",76,"2025-05-07 19:17:33","","10.1002/adma.201805405","","",,,,,162,27.00,32,5,6,"… NPs toward CO 2 RR to CH 4 , we carried out density functional theory (DFT) calculations … TB, we considered both possibilities in DFT calculations and found that the formation energy of …","https://onlinelibrary.wiley.com/doi/full/10.1002/adma.201805405","https://scholar.google.com/scholar?q=related:VlOyvrOqFn8J:scholar.google.com/&scioq=source:%22advanced+materials%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"Z Wang, T Tan, K Du, Q Zhang, M Liu, ...","A High‐Entropy Layered Perovskite Coated with In Situ Exsolved Core‐Shell CuFe@FeOx Nanoparticles for Efficient CO2 Electrolysis",2024,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202312119","https://scholar.google.com/scholar?cites=50914735251350606&as_sdt=2005&sciodt=0,5&hl=en",24,"2025-05-07 19:17:33","","10.1002/adma.202312119","","",,,,,37,37.00,6,6,1,"… In situ X-ray photoelectron spectroscopy (XPS) and density functional theory (DFT) … reaction (CO 2 RR). In a single cell with HE-PSCFMMN-CFA@FeO cathode, an excellent CO 2 RR …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202312119","https://scholar.google.com/scholar?q=related:TmR9lK7itAAJ:scholar.google.com/&scioq=source:%22advanced+materials%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
