Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
362,"B Li, Z Guan, W Wang, X Yang, J Hu, B Tan…","Highly dispersed Pd catalyst locked in knitting aryl network polymers for Suzuki–Miyaura coupling reactions of aryl chlorides in aqueous media",2012,"Advanced …","researchgate.net","https://www.researchgate.net/profile/Jianglin-Hu/publication/225275784_Highly_Dispersed_Pd_Catalyst_Locked_in_Knitting_Aryl_Network_Polymers_for_Suzuki-Miyaura_Coupling_Reactions_of_Aryl_Chlorides_in_Aqueous_Media/links/5d4597804585153e593acf5e/Highly-Dispersed-Pd-Catalyst-Locked-in-Knitting-Aryl-Network-Polymers-for-Suzuki-Miyaura-Coupling-Reactions-of-Aryl-Chlorides-in-Aqueous-Media.pdf","https://scholar.google.com/scholar?cites=6922619222001648369&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 18:52:12","PDF","","","",,,,,362,27.85,52,7,13,"… coupling of benzyl chloride and phenylboronic acid. We further tested the catalytic performances for the couplings … for the Suzuki–Miyaura cross-coupling reaction of aryl chlorides. The …","https://www.researchgate.net/profile/Jianglin-Hu/publication/225275784_Highly_Dispersed_Pd_Catalyst_Locked_in_Knitting_Aryl_Network_Polymers_for_Suzuki-Miyaura_Coupling_Reactions_of_Aryl_Chlorides_in_Aqueous_Media/links/5d4597804585153e593acf5e/Highly-Dispersed-Pd-Catalyst-Locked-in-Knitting-Aryl-Network-Polymers-for-Suzuki-Miyaura-Coupling-Reactions-of-Aryl-Chlorides-in-Aqueous-Media.pdf","https://scholar.google.com/scholar?q=related:8QKzOoEVEmAJ:scholar.google.com/&scioq=source:%22advanced+materials%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Y Chen, SN Sun, XH Chen, ML Chen, JM Lin…","Predesign of Covalent‐Organic Frameworks for Efficient Photocatalytic Dehydrogenative Cross‐Coupling Reaction",2025,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202413638","https://scholar.google.com/scholar?cites=9438641845219808939&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 18:52:12","","10.1002/adma.202413638","","",,,,,1,1.00,0,6,1,"… To determine the specific reaction mechanism of the tandem reaction, we performed density functional theory calculations. A simplified model, consisting of a porphyrin unit and four …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202413638","https://scholar.google.com/scholar?q=related:q9Z2CsDK_IIJ:scholar.google.com/&scioq=source:%22advanced+materials%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
34,"H Chen, J Fan, Y Fu, CL Do‐Thanh, X Suo…","Benzene Ring Knitting Achieved by Ambient‐Temperature Dehalogenation via Mechanochemical Ullmann‐Type Reductive Coupling",2021,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202008685?_utm_campaign=mention57529&_utm_medium=inline&_utm_content=lnk241316896300&_utm_source=xakep","https://scholar.google.com/scholar?cites=5676527298931433984&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 18:52:12","","10.1002/adma.202008685","","",,,,,34,8.50,6,6,4,"… ) still rely on solution‐based coupling reactions promoted by noble metal complexes or … method to the current oxidative Scholl coupling processes is demonstrated to afford CPNs via …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202008685","https://scholar.google.com/scholar?q=related:AKKduoATx04J:scholar.google.com/&scioq=source:%22advanced+materials%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"X Cai, Y Liu, G Li, W Hu, X Liu, M Chen…","A Functionalized Heterogeneous Catalyst from Atomically Precise Pd1Au8 Clusters Facilitates Carbon–Carbon Bond Construction",2023,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202301466","https://scholar.google.com/scholar?cites=2890351285927636191&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 18:52:12","","10.1002/adma.202301466","","",,,,,20,10.00,3,7,2,"… reaction of Suzuki–Miyaura cross coupling was envisioned as a … Although the DFT calculations have shown that the … above DFT results, a pathway for the Suzuki–Miyaura coupling …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202301466","https://scholar.google.com/scholar?q=related:32zPSS6XHCgJ:scholar.google.com/&scioq=source:%22advanced+materials%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"A Alam, M Roy, S Maji, A Chakraborty…","Xantphos–Cu‐Decorated Covalent Organic Frameworks for C─ H Arylation through Sensitized Electron Transfer",2025,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202416100","",5,"2025-05-07 18:52:12","","10.1002/adma.202416100","","",,,,,0,0.00,0,5,1,"… The DFT analysis proved the stability of the four-coordinate geometry. The chemical structure and structural integrity of the framework were investigated by Fourier transform infrared (FT-…","https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202416100","https://scholar.google.com/scholar?q=related:sr3s6BSft-4J:scholar.google.com/&scioq=source:%22advanced+materials%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"W Koopman, E Titov, RM Sarhan…","The Role of Structural Flexibility in Plasmon‐Driven Coupling Reactions: Kinetic Limitations in the Dimerization of Nitro‐Benzenes",2021,"Advanced Materials …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/admi.202101344","https://scholar.google.com/scholar?cites=8939011049741139821&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 18:52:12","","10.1002/admi.202101344","","",,,,,18,4.50,5,4,4,"… our DFT calculation … DFT simulation of isolated DMMA predicts two modes with very small spacing, which might increase upon adsorption (See Table S2, Supporting Information, for DFT …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/admi.202101344","https://scholar.google.com/scholar?q=related:bb8cVzC_DXwJ:scholar.google.com/&scioq=source:%22advanced+materials%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"Y Nakanishi, N Kanda, M Aizaki, K Hirata…","Superatomic Layer of Cubic Mo4S4 Clusters Connected by Cl Cross‐Linking",2024,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202404249","https://scholar.google.com/scholar?cites=16575549314405277770&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 18:52:12","","10.1002/adma.202404249","","",,,,,3,3.00,1,5,1,"… The electronic properties of Mo 8 S 8 Cl 11 NRs were studied by density functional theory (DFT) calculations. Initially, we performed DFT calculations to optimize the atomic structures of …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202404249","https://scholar.google.com/scholar?q=related:SqAYykcuCOYJ:scholar.google.com/&scioq=source:%22advanced+materials%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
152,"X Han, L Kou, X Lang, J Xia, N Wang, R Qin…","Electronic and mechanical coupling in bent ZnO nanowires",2009,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.200900956","https://scholar.google.com/scholar?cites=3457918330057618197&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 18:52:12","","10.1002/adma.200900956","","",,,,,152,9.50,22,7,16,"… Theoretical calculations using both first-principles density functional theory (DFT) and effective mass envelope function theory for uniaxial stress states are used to explain the bending-…","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.200900956","https://scholar.google.com/scholar?q=related:FXNlfWb-_C8J:scholar.google.com/&scioq=source:%22advanced+materials%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"Y Li, Y Chen, Q Wang, Y Ye, J Zeng…","Realizing C–C Coupling via Accumulation of C1 Intermediates within Dual‐Vacancy‐Induced Dipole‐Limited Domain Field to Propel Photoreduction of CO2‐to‐C2 …",2025,"Advanced Materials","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202414994","https://scholar.google.com/scholar?cites=8740703328398061901&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 18:52:12","","10.1002/adma.202414994","","",,,,,3,3.00,1,6,1,"… Density functional theory (DFT) calculations corroborate that the repetitive arrangement of … effect that facilitates C–C coupling, promoting subsequent coupling reactions to produce C 2 H …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202414994","https://scholar.google.com/scholar?q=related:TbE98F03TXkJ:scholar.google.com/&scioq=source:%22advanced+materials%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
79,"S Sun, D Rao, T Zhai, Q Liu, H Huang, B Liu…","Synergistic interface‐assisted electrode–electrolyte coupling toward advanced charge storage",2020,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202005344","https://scholar.google.com/scholar?cites=13417810038964169645&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 18:52:12","","10.1002/adma.202005344","","",,,,,79,15.80,11,7,5,"… Based on the EQCM results and DFT calculations, we proposed the redox reaction mechanism for HCO to achieve a double gain of efficient charge storage in both electrode and …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202005344","https://scholar.google.com/scholar?q=related:rSshzCOjNboJ:scholar.google.com/&scioq=source:%22advanced+materials%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
