Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
50,"D Wisser, M Hartmann","129Xe NMR on Porous Materials: Basic Principles and Recent Applications",2021,"Advanced Materials Interfaces","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/admi.202001266","https://scholar.google.com/scholar?cites=11813919112409127538&as_sdt=2005&sciodt=0,5&hl=en",977,"2025-05-07 20:18:42","","10.1002/admi.202001266","","",,,,,50,12.50,25,2,4,"… shown by density functional theory calculations and … catalytic performance. By 3D scanning transmission electron microscope tomography, Jiang and co-workers found a homogeneous …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/admi.202001266","https://scholar.google.com/scholar?q=related:chpYBNd486MJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
593,"UN Maiti, WJ Lee, JM Lee, Y Oh, JY Kim…","25th anniversary article: chemically modified/doped carbon nanotubes &graphene for optimized nanostructures &nanodevices",2014,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201303265","https://scholar.google.com/scholar?cites=6448828454075736741&as_sdt=2005&sciodt=0,5&hl=en",969,"2025-05-07 20:18:42","","10.1002/adma.201303265","","",,,,,593,53.91,99,6,11,"… Density functional theory (DFT) calculations show that two unpaired O electrons can be shared among the three nearest C atoms to form three weak σ bonds.319 Due to weak bonding …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201303265","https://scholar.google.com/scholar?q=related:paKdxk_XflkJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
51,"M Gao, Z Wang, Z Liu, Y Huang, F Wang…","2D Conjugated Metal–Organic Frameworks Embedded with Iodine for High‐Performance Ammonium‐Ion Hybrid Supercapacitors",2023,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202305575","https://scholar.google.com/scholar?cites=286019359640424703&as_sdt=2005&sciodt=0,5&hl=en",954,"2025-05-07 20:18:42","","10.1002/adma.202305575","","",,,,,51,25.50,9,6,2,"… Electrochemical kinetics analyses and density functional theory (DFT) calculations verify … (EDX) elemental mappings indicate the homogeneous distribution of elemental iodine in Cu-…","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202305575","https://scholar.google.com/scholar?q=related:_5BAmhcl-AMJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
198,"L Majidi, A Ahmadiparidari, N Shan…","2D Copper Tetrahydroxyquinone Conductive Metal–Organic Framework for Selective CO2 Electrocatalysis at Low Overpotentials",2021,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202004393","https://scholar.google.com/scholar?cites=2549644728928084227&as_sdt=2005&sciodt=0,5&hl=en",105,"2025-05-07 20:18:42","","10.1002/adma.202004393","","",,,,,198,49.50,50,4,4,"… We conclude on the basis of our DFT calculations that if Cu in the CuTHQ is reduced to relatively large Cu particles, it is unfavorable thermodynamically to oxidize Cu back into the …","https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202004393","https://scholar.google.com/scholar?q=related:A6E0U18oYiMJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
115,"H Yin, Y Dou, S Chen, Z Zhu, P Liu…","2D Electrocatalysts for Converting Earth‐Abundant Simple Molecules into Value‐Added Commodity Chemicals: Recent Progress and Perspectives",2020,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201904870","https://scholar.google.com/scholar?cites=8535630235509390822&as_sdt=2005&sciodt=0,5&hl=en",641,"2025-05-07 20:18:42","","10.1002/adma.201904870","","",,,,,115,23.00,19,6,5,"… widely used to illustrate enzyme-catalyzed homogeneous NRR processes but has recently … , they are almost exclusively based on density functional theory (DFT) calculations, and none …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.201904870","https://scholar.google.com/scholar?q=related:5v2euXmmdHYJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
370,"Y Liu, C Ma, Q Zhang, W Wang, P Pan, L Gu…","2D Electron Gas and Oxygen Vacancy Induced High Oxygen Evolution Performances for Advanced Co3O4/CeO2 Nanohybrids",2019,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201900062","https://scholar.google.com/scholar?cites=8528607388139465922&as_sdt=2005&sciodt=0,5&hl=en",517,"2025-05-07 20:18:42","","10.1002/adma.201900062","","",,,,,370,61.67,53,7,6,"… Furthermore, density functional theory (DFT) calculations indicate that CeO x can perturb … Electron energy loss spectroscopy (EELS), DFT calculation, X-ray photoelectron spectra (XPS), …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.201900062","https://scholar.google.com/scholar?q=related:wizTpjuzW3YJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
45,"Y Deng, X Xi, Y Xia, Y Cao, S Xue, S Wan…","2D FeP Nanoframe Superlattices via Space‐Confined Topochemical Transformation",2022,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202109145","https://scholar.google.com/scholar?cites=15368897959237161910&as_sdt=2005&sciodt=0,5&hl=en",760,"2025-05-07 20:18:42","","10.1002/adma.202109145","","",,,,,45,15.00,6,7,3,"… homogeneously … the catalytic mechanism of FeP NFSLs, the Gibbs free energy of hydrogen adsorption (ΔG H *) was used as an indicator to evaluate different active sites based on DFT …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202109145","https://scholar.google.com/scholar?q=related:tpOOGURLSdUJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
163,"J Cavin, A Ahmadiparidari, L Majidi…","2D high‐entropy transition metal dichalcogenides for carbon dioxide electrocatalysis",2021,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202100347","https://scholar.google.com/scholar?cites=14936429524927649025&as_sdt=2005&sciodt=0,5&hl=en",535,"2025-05-07 20:18:42","","10.1002/adma.202100347","","",,,,,163,40.75,41,4,4,"… of principle elements confirming a homogeneous spatial distribution of each element (SEM-… catalytic activity of (Mo,W,V,Nb,Ta) NFs, especially at low overpotentials, we carried out DFT …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202100347","https://scholar.google.com/scholar?q=related:ARX4LYTbSM8J:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
425,"A Dhakshinamoorthy, AM Asiri, H Garcia","2D metal–organic frameworks as multifunctional materials in heterogeneous catalysis and electro/photocatalysis",2019,"Advanced Materials","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201900617","https://scholar.google.com/scholar?cites=6269336292067226065&as_sdt=2005&sciodt=0,5&hl=en",295,"2025-05-07 20:18:42","","10.1002/adma.201900617","","",,,,,425,70.83,142,3,6,"… with related homogeneous catalysts. Examples will be given showing that, as anticipated, enhancement in the catalytic … Also, spectroscopic studies and DFT calculations have indicated …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201900617","https://scholar.google.com/scholar?q=related:0bEhKiQoAVcJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
481,"BC Wyatt, A Rosenkranz, B Anasori","2D MXenes: tunable mechanical and tribological properties",2021,"Advanced Materials","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202007973","https://scholar.google.com/scholar?cites=16325834493329439407&as_sdt=2005&sciodt=0,5&hl=en",882,"2025-05-07 20:18:42","","10.1002/adma.202007973","","",,,,,481,120.25,160,3,4,"2D transition metal carbides, nitrides, and carbonitrides, known as MXenes, were discovered in 2011 and have grown to prominence in energy storage, catalysis, electromagnetic …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202007973","https://scholar.google.com/scholar?q=related:r3q4RPkDkeIJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
124,"CJ Heard, J Čejka, M Opanasenko…","2D oxide nanomaterials to address the energy transition and catalysis",2019,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.201801712","https://scholar.google.com/scholar?cites=11602931908092120507&as_sdt=2005&sciodt=0,5&hl=en",691,"2025-05-07 20:18:42","","10.1002/adma.201801712","","",,,,,124,20.67,31,4,6,"… on an important concept in interface catalytic chemistry: that of controlling reactivity through activation of the nanoparticle. Pacchioni and co-workers used DFT calculations to predict that …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201801712","https://scholar.google.com/scholar?q=related:u03gbhjlBaEJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
604,"Q Fu, J Han, X Wang, P Xu, T Yao, J Zhong…","2D transition metal dichalcogenides: design, modulation, and challenges in electrocatalysis",2021,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201907818","https://scholar.google.com/scholar?cites=17836531827737972849&as_sdt=2005&sciodt=0,5&hl=en",670,"2025-05-07 20:18:42","","10.1002/adma.201907818","","",,,,,604,151.00,86,7,4,"… For instance, density functional theory (DFT) results indicated the increasing the S atom vacancies (S-vacancies) could strengthen the hydrogen adsorption and strain the S-vacancies …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.201907818","https://scholar.google.com/scholar?q=related:cVBFATIXiPcJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"IS Kwon, IH Kwak, JY Kim, SJ Lee, QA Sial…","2H–2M Phase Control of WSe2 Nanosheets by Se Enrichment Toward Enhanced Electrocatalytic Hydrogen Evolution Reaction",2024,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202307867","https://scholar.google.com/scholar?cites=1486095646982251358&as_sdt=2005&sciodt=0,5&hl=en",573,"2025-05-07 20:18:42","","10.1002/adma.202307867","","",,,,,17,17.00,3,6,1,"… W and Se atoms were distributed homogeneously (Figure 1b). According … DFT method has limitations in describing localized d electrons, we considered the correlation effect via the DFT …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202307867","https://scholar.google.com/scholar?q=related:XqOhBB6snxQJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
94,"J Han, I Johnson, M Chen","3D continuously porous graphene for energy applications",2022,"Advanced Materials","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202108750","https://scholar.google.com/scholar?cites=4596314841111634908&as_sdt=2005&sciodt=0,5&hl=en",619,"2025-05-07 20:18:42","","10.1002/adma.202108750","","",,,,,94,31.33,31,3,3,"… high catalytic activities of graphene. For the dopant species/configuration, density functional theory (DFT) calculations have predicted a common trend in the HER catalytic activity of the …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202108750","https://scholar.google.com/scholar?q=related:3KNQ5P5jyT8J:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
313,"R Paul, F Du, L Dai, Y Ding, ZL Wang, F Wei…","3D heteroatom‐doped carbon nanomaterials as multifunctional metal‐free catalysts for integrated energy devices",2019,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201805598?_utm_campaign=mention57529&_utm_medium=inline&_utm_content=lnk241316896300&_utm_source=xakep","https://scholar.google.com/scholar?cites=15254124221592040709&as_sdt=2005&sciodt=0,5&hl=en",518,"2025-05-07 20:18:42","","10.1002/adma.201805598","","",,,,,313,52.17,45,7,6,"… The natural bond orbital (NBO) population analyzed by density functional theory (DFT) shows that different heteroatoms acquire different amount of charge populations within graphene …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201805598","https://scholar.google.com/scholar?q=related:BfWs4yiJsdMJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
35,"W Zhang, Y Fu, J Wang, X Wang","3D Hierarchically Porous Graphitic Carbon Nitride Modified Graphene‐Pt Hybrid as Efficient Methanol Oxidation Catalysts",2017,"Advanced Materials …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/admi.201601219","https://scholar.google.com/scholar?cites=3138949701803456113&as_sdt=2005&sciodt=0,5&hl=en",438,"2025-05-07 20:18:42","","10.1002/admi.201601219","","",,,,,35,4.38,9,4,8,"… were mixed together and sonicated into a homogeneous dispersion. After refluxing, oxygen-… analysis and DFT computations to evaluate antipoisoning ability of the catalysts, instead of I …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/admi.201601219","https://scholar.google.com/scholar?q=related:cTbQdx_KjysJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Chen, J Ma, C Liang, Y Luo, X Xu, J Hu…","3D‐Porous Electrocatalyst with Tip‐Enhanced Electric Field Effect Enables High‐Performance Proton Exchange Membrane Water Electrolyzer",2025,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202418527","",650,"2025-05-07 20:18:42","","10.1002/adma.202418527","","",,,,,0,0.00,0,7,1,"… As shown in Figure 2e, density functional theory (DFT) calculations suggest the free energy … (STEMEDS) in Figure 3e demonstrate the homogeneous distribution of Ti and Al in TiAl …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202418527","https://scholar.google.com/scholar?q=related:h_92K4XsRqsJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
46,"C Chen, M Lv, H Hu, L Huai, B Zhu, S Fan…","5‐Hydroxymethylfurfural and its Downstream Chemicals: A Review of Catalytic Routes",2024,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202311464","https://scholar.google.com/scholar?cites=16531129515208629009&as_sdt=2005&sciodt=0,5&hl=en",494,"2025-05-07 20:18:42","","10.1002/adma.202311464","","",,,,,46,46.00,7,7,1,"… to homogeneous catalysts, heterogeneous catalysts offer high … reported because of their excellent catalytic activity and ease of … Density functional theory (DFT) calculations indicated that …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202311464","https://scholar.google.com/scholar?q=related:EVv8WbVeauUJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
44,"J Du, Q Sun, W He, L Liu, Z Song, A Yao…","A 2D soft covalent organic framework membrane prepared via a molecular bridge",2023,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202300975","https://scholar.google.com/scholar?cites=17832814649012635165&as_sdt=2005&sciodt=0,5&hl=en",490,"2025-05-07 20:18:42","","10.1002/adma.202300975","","",,,,,44,22.00,6,7,2,"… MD simulation and DFT calculation elucidate that the dynamic, self-assembled SDS molecular channel facilitates faster and more homogeneous transfer of amine monomers in the bulk, …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202300975","https://scholar.google.com/scholar?q=related:HcbH43DievcJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
103,"R He, L Yang, Y Zhang, D Jiang, S Lee…","A 3d‐4d‐5d high entropy alloy as a bifunctional oxygen catalyst for robust aqueous zinc–air batteries",2023,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202303719","https://scholar.google.com/scholar?cites=12843309101382281681&as_sdt=2005&sciodt=0,5&hl=en",113,"2025-05-07 20:18:42","","10.1002/adma.202303719","","",,,,,103,51.50,17,6,2,"… TEM-EDS composition maps and line scanning profiles demonstrate a homogeneous distribution of … We will return to the discussion on active sites when presenting the results of DFT …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202303719","https://scholar.google.com/scholar?q=related:0aluuJSZPLIJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
257,"B Xu, S Li, L Zheng, Y Liu, A Han, J Zhang…","A bioinspired five‐coordinated single‐atom iron nanozyme for tumor catalytic therapy",2022,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202107088","https://scholar.google.com/scholar?cites=7672412120353774393&as_sdt=2005&sciodt=0,5&hl=en",47,"2025-05-07 20:18:42","","10.1002/adma.202107088","","",,,,,257,85.67,37,7,3,"… catalytic mechanism is jointly disclosed by experimental results and density functional theory … Next, the adsorbed H 2 O 2 molecule is cleaved homogeneously and form two *OH species …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202107088","https://scholar.google.com/scholar?q=related:OZsWXCzieWoJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
103,"R Zhao, Q Yan, L Yu, T Yan, X Zhu, Z Zhao…","A Bi‐Co corridor construction effectively improving the selectivity of electrocatalytic nitrate reduction toward ammonia by nearly 100%",2023,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202306633","https://scholar.google.com/scholar?cites=930919300065100355&as_sdt=2005&sciodt=0,5&hl=en",477,"2025-05-07 20:18:42","","10.1002/adma.202306633","","",,,,,103,51.50,15,7,2,"… , it is demonstrated that Bi is homogeneously distributed on Cu NW, while … catalyzed by the Bi-Co corridor, free energy step diagrams were generated via density functional theory (DFT) …","https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202306633","https://scholar.google.com/scholar?q=related:Q4Lv0itK6wwJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
60,"X Liu, B Chen, J Chen, X Wang, X Dai, Y Li…","A cardiac‐targeted nanozyme interrupts the inflammation‐free radical cycle in myocardial infarction",2024,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202308477","https://scholar.google.com/scholar?cites=4798987237269916930&as_sdt=2005&sciodt=0,5&hl=en",498,"2025-05-07 20:18:42","","10.1002/adma.202308477","","",,,,,60,60.00,9,7,1,"… the iron elements were homogeneously distributed in the Fe-… mechanisms, density functional theory (DFT) simulations were … Furthermore, the DFT simulations were used to investigate …","https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202308477","https://scholar.google.com/scholar?q=related:Ak0bV3dtmUIJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"Y Yang, G Li, L Zhao, P Tan, Y Li, S Li, L Tan…","A Catalyst‐Like System Enables Efficient Perovskite Solar Cells",2024,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202311145","https://scholar.google.com/scholar?cites=14788815279064374594&as_sdt=2005&sciodt=0,5&hl=en",382,"2025-05-07 20:18:42","","10.1002/adma.202311145","","",,,,,7,7.00,1,8,1,"… The reduced activation energy for MeS − -based conversion was corroborated by DFT calculations. The improved homogeneity enabled superior optoelectronic properties, inducing …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202311145","https://scholar.google.com/scholar?q=related:Ql2ATSRtPM0J:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"Y Qu, MM Gomaa, MH Sayed, M Boshta…","A Comparative Study of NiCo2O4, NiO, and Co3O4 Electrocatalysts Synthesized by a Facile Spray Pyrolysis For Electrochemical Water Oxidation",2024,"Advanced Materials …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/admi.202300920","https://scholar.google.com/scholar?cites=2937380253050538472&as_sdt=2005&sciodt=0,5&hl=en",891,"2025-05-07 20:18:42","","10.1002/admi.202300920","","",,,,,11,11.00,2,5,1,"… Co 3 O 4 and NiO, we compare our experimental results with the density functional theory (DFT) calculations. The OER reaction pathway and steps are generally suggested as follows: …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/admi.202300920","https://scholar.google.com/scholar?q=related:6AlT-carwygJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"SR Kousik, H Solodenko, A YazdanYar…","A complementary experimental and theoretical approach for probing the surface functionalization of ZnO with molecular catalyst linkers",2023,"Advanced Materials …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/admi.202300399","",752,"2025-05-07 20:18:42","","10.1002/admi.202300399","","",,,,,0,0.00,0,4,2,"… Density functional theory (DFT) and ab initio molecular … cases homogeneously distributed across the tips surface, which agrees well with our expectation for the non-polar homogeneous …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202300399","https://scholar.google.com/scholar?q=related:Lwv-ByUdfVsJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
85,"D Jana, B He, Y Chen, J Liu, Y Zhao","A defect‐engineered nanozyme for targeted NIR‐II photothermal immunotherapy of cancer",2024,"Advanced Materials","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202206401","https://scholar.google.com/scholar?cites=17911410929116436579&as_sdt=2005&sciodt=0,5&hl=en",843,"2025-05-07 20:18:42","","10.1002/adma.202206401","","",,,,,85,85.00,17,5,1,"… To further interpret the enzymatic mechanism of the CMO nanozyme and correlate the structure–activity relationship, we carried out additional DFT calculations. Critical intermediate …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202206401","https://scholar.google.com/scholar?q=related:Y9gIYFcdkvgJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
395,"Y Yao, H Wang, H Yang, S Zeng, R Xu, F Liu…","A dual‐functional conductive framework embedded with TiN‐VN heterostructures for highly efficient polysulfide and lithium regulation toward stable Li–S full batteries",2020,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.201905658","https://scholar.google.com/scholar?cites=8714382466843765135&as_sdt=2005&sciodt=0,5&hl=en",565,"2025-05-07 20:18:42","","10.1002/adma.201905658","","",,,,,395,79.00,56,7,5,"… feature can realize homogeneous lithium deposition for … and conversion, density functional theory (DFT) calculations were … VN-based surfaces, indicating better catalytic effect for LiPS …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201905658","https://scholar.google.com/scholar?q=related:j2kdza6073gJ:scholar.google.com/&scioq=source:%22advanced+materials%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
