Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
19,"C Zhang, L Bai, M Chen, X Sun, M Zhu…","Modulating the Site Density of Mo Single Atoms to Catch Adventitious O Atoms for Efficient H2O2 Oxidation with Light",2023,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202208704","https://scholar.google.com/scholar?cites=14172154233914927076&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 19:01:13","","10.1002/adma.202208704","","",,,,,19,9.50,3,6,2,"… oxidation technology. This work brings a new sight on the coordinated atoms dominant oxidation … Even so these radicals can not take on the major responsibility for sulfide oxidation (…","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202208704","https://scholar.google.com/scholar?q=related:5CeMPjCbrcQJ:scholar.google.com/&scioq=source:%22advanced+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
131,"W Chen, Y Wang, B Wu, J Shi, Y Li, L Xu…","Activated Ni–OH bonds in a catalyst facilitates the nucleophile oxidation reaction",2022,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202105320","https://scholar.google.com/scholar?cites=4173203277056380609&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 19:01:13","","10.1002/adma.202105320","","",,,,,131,43.67,19,7,3,"… All in all, based on DFT calculations, we propose the reaction simulation system to identify the nucleophile oxidation pathways for different NOR systems based on non-electrochemical …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202105320","https://scholar.google.com/scholar?q=related:wQ5xGEUy6jkJ:scholar.google.com/&scioq=source:%22advanced+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"R Zeng, Y Li, Q Wan, Z Lin, Q Gao, M Qiu…","Orbital Coupling of Dual‐Atom Sites Boosts Electrocatalytic NO Oxidation and Dynamic Intracellular Response",2025,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202416371","https://scholar.google.com/scholar?cites=1526122297724695783&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 19:01:13","","10.1002/adma.202416371","","",,,,,1,1.00,0,7,1,"… experiments combined with density functional theory (DFT) calculations reveal that the dd or… NO oxidation on Co1Ni1-NC. i) DFT-optimized configuration of electrocatalytic NO oxidation …","https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202416371","https://scholar.google.com/scholar?q=related:5_Su3yTgLRUJ:scholar.google.com/&scioq=source:%22advanced+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
270,"P Zhou, X Lv, S Tao, J Wu, H Wang, X Wei…","Heterogeneous‐interface‐enhanced adsorption of organic and hydroxyl for biomass electrooxidation",2022,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202204089","https://scholar.google.com/scholar?cites=13065951169094789755&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 19:01:13","","10.1002/adma.202204089","","",,,,,270,90.00,39,7,3,"Electrocatalytic oxidation of 5‐hydroxymethylfurfural (HMF) provides an efficient way to obtain high‐value‐added biomass‐derived chemicals. Compared with other transition metal …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202204089","https://scholar.google.com/scholar?q=related:e6p-plyVU7UJ:scholar.google.com/&scioq=source:%22advanced+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"L Wang, H Su, G Tan, J Xin, X Wang…","Boosting Efficient and Sustainable Alkaline Water Oxidation on a W‐CoOOH‐TT Pair‐Sites Catalyst Synthesized via Topochemical Transformation",2024,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202302642","https://scholar.google.com/scholar?cites=2450372077026000143&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 19:01:13","","10.1002/adma.202302642","","",,,,,16,16.00,3,6,1,"… Moreover, the O─O bond formation is confirmed via a two-site mechanism, supported by in situ synchrotron radiation infrared and density functional theory (DFT) simulations, which …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202302642","https://scholar.google.com/scholar?q=related:D72r4mt4ASIJ:scholar.google.com/&scioq=source:%22advanced+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
71,"Y Qi, B Liu, X Qiu, X Zeng, Z Luo, W Wu…","Simultaneous Oxidative Cleavage of Lignin and Reduction of Furfural via Efficient Electrocatalysis by P‐Doped CoMoO4",2023,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202208284","https://scholar.google.com/scholar?cites=3208042327071334127&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 19:01:13","","10.1002/adma.202208284","","",,,,,71,35.50,10,7,2,"… is reported for the selective oxidative cleavage of C α –C β … infrared and density functional theory analysis reveal that an … bifunctional electrocatalyst for the oxidative cracking of lignin …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202208284","https://scholar.google.com/scholar?q=related:7x6B4X9BhSwJ:scholar.google.com/&scioq=source:%22advanced+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"H Yan, Y Peng, Y Huang, M Shen, X Wei…","Enhancing Photosynthesis Efficiency of Hydrogen Peroxide by Modulating Side Chains to Facilitate Water Oxidation at Low‐Energy Barrier Sites",2024,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202311535","https://scholar.google.com/scholar?cites=13796765898245875590&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 19:01:13","","10.1002/adma.202311535","","",,,,,19,19.00,3,6,1,"… Density functional theory (DFT) calculations were employed to further investigate the active … According to time-dependent DFT (TD-DFT), the photoinduced holes of excited TPT-Cz-ph, …","https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202311535","https://scholar.google.com/scholar?q=related:hicrbnz1d78J:scholar.google.com/&scioq=source:%22advanced+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
36,"J Zheng, D Meng, J Guo, X Liu, L Zhou…","Defect engineering for enhanced electrocatalytic oxygen reaction on transition metal oxides: the role of metal defects",2024,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202405129","https://scholar.google.com/scholar?cites=10101444868478230040&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 19:01:13","","10.1002/adma.202405129","","",,,,,36,36.00,6,6,1,"… We used density functional theory calculations to demonstrate that altering the pathway of … The characterization and density functional theory calculations reveal that catalytic activity is …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202405129","https://scholar.google.com/scholar?q=related:GF7Wj5aKL4wJ:scholar.google.com/&scioq=source:%22advanced+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
29,"N Sun, Z Zheng, Z Lai, J Wang, P Du, T Ying…","Augmented Electrochemical Oxygen Evolution by d–p Orbital Electron Coupling",2024,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202404772","https://scholar.google.com/scholar?cites=13912013112351512663&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 19:01:13","","10.1002/adma.202404772","","",,,,,29,29.00,4,7,1,"… Density functional theory (DFT) calculations further offer insights into the correlation between orbital hybridization and catalytic performance within high-entropy systems, underscoring …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202404772","https://scholar.google.com/scholar?q=related:V9hJeDdmEcEJ:scholar.google.com/&scioq=source:%22advanced+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
125,"S Zhou, Y Zhao, R Shi, Y Wang, A Ashok…","Vacancy‐rich MXene‐immobilized Ni single atoms as a high‐performance electrocatalyst for the hydrazine oxidation reaction",2022,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202204388","https://scholar.google.com/scholar?cites=44766537651276244&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 19:01:13","","10.1002/adma.202204388","","",,,,,125,41.67,21,6,3,"… The origin of the enhanced HzOR activity was unveiled by density functional theory (DFT) calculations of the redistributed electronic density of states due to the strong coupling between …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202204388","https://scholar.google.com/scholar?q=related:1EmHxu0KnwAJ:scholar.google.com/&scioq=source:%22advanced+materials%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
