Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
26,"J Liu, AW Prentice, GJ Clarkson, JM Woolley, ...","A Concerted Redox‐and Light‐Activated Agent for Controlled Multimodal Therapy against Hypoxic Cancer Cells",2023,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202210363","https://scholar.google.com/scholar?cites=539677833321024245&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 19:20:36","","10.1002/adma.202210363","","",,,,,26,13.00,5,5,2,"… photoredox catalysis due to: 1) the lifetime of its excited state which is dramatically lengthened in hypoxia; 2) its more favorable excited-state photoredox … Time-dependent DFT (TD-DFT) …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202210363","https://scholar.google.com/scholar?q=related:9YpATCFSfQcJ:scholar.google.com/&scioq=source:%22advanced+materials%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
56,"FL Meng, G Yilmaz, TP Ding, M Gao, ...","A Hybrid Solar Absorber–Electrocatalytic N‐Doped Carbon/Alloy/Semiconductor Electrode for Localized Photothermic Electrocatalysis",2019,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201903605","https://scholar.google.com/scholar?cites=4867095414775162906&as_sdt=2005&sciodt=0,5&hl=en",35,"2025-05-07 19:20:36","","10.1002/adma.201903605","","",,,,,56,9.33,11,5,6,"… The photo to heat conversion will thermally promote dynamics of photo-redox reactivity, which facilitates the separation of photo-generated electron–hole pairs, and accelerate the …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201903605","https://scholar.google.com/scholar?q=related:GiibJX5li0MJ:scholar.google.com/&scioq=source:%22advanced+materials%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
36,"Y Lee, Y Kwon, Y Kim, C Yu, S Feng, J Park, ...","A water‐soluble organic photocatalyst discovered for highly efficient additive‐free visible‐light‐driven grafting of polymers from proteins at ambient and aqueous …",2022,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202108446","https://scholar.google.com/scholar?cites=4176730000103202771&as_sdt=2005&sciodt=0,5&hl=en",33,"2025-05-07 19:20:36","","10.1002/adma.202108446","","",,,,,36,12.00,5,7,3,"… , biocompatible, highly stable in aqueous environments, and weakly electron-donating that may not influence the electronic structure; [ 61-63 ] in fact, our density functional theory (DFT) …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202108446","https://scholar.google.com/scholar?q=related:01_eSs659jkJ:scholar.google.com/&scioq=source:%22advanced+materials%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
89,"M Antonietti, N Lopez‐Salas, A Primo","Adjusting the Structure and Electronic Properties of Carbons for Metal‐Free Carbocatalysis of Organic Transformations",2019,"Advanced Materials","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.201805719","https://scholar.google.com/scholar?cites=8516807943834101849&as_sdt=2005&sciodt=0,5&hl=en",27,"2025-05-07 19:20:36","","10.1002/adma.201805719","","",,,,,89,14.83,30,3,6,"… Density functional theory (DFT) calculations and the use of simple molecules as organocatalysts suggested that hydroquinone/quinone-like moieties are presumably the active sites for …","https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adma.201805719","https://scholar.google.com/scholar?q=related:Weh0cLPHMXYJ:scholar.google.com/&scioq=source:%22advanced+materials%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"E Harnessing, J Liu","Advanced Materials for Solar",2016,"… of Smart and Advanced Materials","books.google.com","https://books.google.com/books?hl=en&lr=&id=ar95DAAAQBAJ&oi=fnd&pg=PA413&dq=source:%22advanced+materials%22+photoredox+dft&ots=Lg79Ce4Or0&sig=rbc7lK8bhOefv_kIBOiSZ0jk1Oc","",54,"2025-05-07 19:20:36","","","","",,,,,0,0.00,0,2,9,"This chapter describes mainly the recent progress of the artificial photosynthesis-the way for mimicking natural counterpart to solve our current energy and environmental dilemma. It …","","https://scholar.google.com/scholar?q=related:ELhUPM2GSV8J:scholar.google.com/&scioq=source:%22advanced+materials%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"J Liu","Advanced materials for solar energy harnessing and conversion",2016,"… and Applications of Smart and Advanced Materials","api.taylorfrancis.com","https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.1201/b19977-15&type=chapterpdf","",55,"2025-05-07 19:20:36","","","","",,,,,0,0.00,0,1,9,"This chapter describes mainly the recent progress of the artificial photosynthesis—the way for mimicking natural counterpart to solve our current energy and environmental dilemma. It …","","https://scholar.google.com/scholar?q=related:PYLtrnnp7CcJ:scholar.google.com/&scioq=source:%22advanced+materials%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"N Kumar, PR Makgwane, J Jindal","Advanced Materials towards Environmental Protection: Attributes and Progress",2022,"Advanced Materials for a …","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.1201/9781003206385-1/advanced-materials-towards-environmental-protection-naveen-kumar-peter-makgwane-jitender-jindal","",57,"2025-05-07 19:20:36","","10.1201/9781003206385-1","","",,,,,0,0.00,0,3,3,"… In Type III MOFs, pristine MOFs are associated with photo redox species like metal, metal … Ye, A DFT study of As doped WSe2: A NO2 sensing material with ultra-high selectivity in the …","","https://scholar.google.com/scholar?q=related:FoR3DXICqRQJ:scholar.google.com/&scioq=source:%22advanced+materials%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"R Nautiyal, D Tavar, U Suryavanshi, ...","Advanced nanomaterials for highly efficient CO2 photoreduction and photocatalytic hydrogen evolution",2022,"… Advanced Materials","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/14686996.2022.2149036","https://scholar.google.com/scholar?cites=13637190178914079321&as_sdt=2005&sciodt=0,5&hl=en",49,"2025-05-07 19:20:36","","10.1080/14686996.2022.2149036","","",,,,,12,4.00,3,4,3,"… DFT studies showed that modifier elements like boron could be doped into carbon nitride to overcome the charge transfer effect. The theoretical calculation also proved that electron …","https://www.tandfonline.com/doi/pdf/10.1080/14686996.2022.2149036","https://scholar.google.com/scholar?q=related:WZKe_DYIQb0J:scholar.google.com/&scioq=source:%22advanced+materials%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"BC Ye, WH Li, X Zhang, J Chen, Y Gao, ...","Advancing Heterogeneous Organic Synthesis With Coordination Chemistry‐Empowered Single‐Atom Catalysts",2024,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202402747","https://scholar.google.com/scholar?cites=15217285137702347193&as_sdt=2005&sciodt=0,5&hl=en",41,"2025-05-07 19:20:36","","10.1002/adma.202402747","","",,,,,8,8.00,1,6,1,"… f) and g) DFT calculations of benzene oxidation over Co-ISA/… i) Proposed mechanism by DFT calculation. j) Catalyst … e) Proposed mechanism of photoredox CN coupling on NiSAC/CN. …","https://onlinelibrary.wiley.com/doi/full/10.1002/adma.202402747","https://scholar.google.com/scholar?q=related:uWGURjWoLtMJ:scholar.google.com/&scioq=source:%22advanced+materials%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"Z Ma, S Zhan, Y Zhang, A Kuklin, Y Chen, ...","An Electron Transfer Mediated Mechanism for Efficient Photoreforming of Waste Plastics Using a Ni3S4/ZnCdS Heterojunction",2025,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202416581","https://scholar.google.com/scholar?cites=1574791172290113093&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 19:20:36","","10.1002/adma.202416581","","",,,,,3,3.00,1,6,1,"… techniques with density functional theory (DFT) calculations, … and unstable simultaneous photoredox reactions present a … DRIFTS), along with density functional theory (DFT) calculations …","https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adma.202416581","https://scholar.google.com/scholar?q=related:Re7FQzrI2hUJ:scholar.google.com/&scioq=source:%22advanced+materials%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
