Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"ST John, J Yang","First-Principles Methods in the Modeling of Li-Ion Battery Materials",2016,"Lithium-Ion Batteries: Advanced Materials …","api.taylorfrancis.com","https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.1201/b11292-10&type=chapterpdf","",211,"2025-05-07 19:03:53","","","","",,,,,0,0.00,0,2,9,"… Another method computing the energy of a system is to apply the density functional theory (DFT) [16,17]. As stated in the Hohenberg–Kohn theorem [17], all ground-state observables …","","https://scholar.google.com/scholar?q=related:feXOmi8PwhQJ:scholar.google.com/&scioq=source:%22advanced+materials%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"A Guleria, R Sharma, P Shandilya","Photocatalytic and adsorptional removal of heavy metals from contaminated water using nanohybrids",2021,"… : Advanced Materials and …","books.google.com","https://books.google.com/books?hl=en&lr=&id=0konEAAAQBAJ&oi=fnd&pg=PA113&dq=source:%22advanced+materials%22+reductive+elimination+dft&ots=Q2ciunC-qT&sig=ZqHbqRwL91gciP0gKeNE1CTZi4o","https://scholar.google.com/scholar?cites=2546695111941165799&as_sdt=2005&sciodt=0,5&hl=en",205,"2025-05-07 19:03:53","","","","",,,,,17,4.25,6,3,4,"… DFT calculation were performed to understand the intermolecular interaction between highest occupied molecular orbital (HOMO) and lowest unoccupied molecular orbital (LUMO) of …","https://mrforum.com/wp-content/uploads/woocommerce_uploads/PDFxyz1/9781644901359/4.pdf","https://scholar.google.com/scholar?q=related:5xJ6GratVyMJ:scholar.google.com/&scioq=source:%22advanced+materials%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"A Thakur, A Kumar","5 Carbon Allotropes",2023,"Carbon Allotropes: Advanced Materials for …","books.google.com","https://books.google.com/books?hl=en&lr=&id=XKMIEQAAQBAJ&oi=fnd&pg=PA71&dq=source:%22advanced+materials%22+reductive+elimination+dft&ots=5md9uZgK6E&sig=nh2md74-Vnj-VvZWmDwTF34-7og","",214,"2025-05-07 19:03:53","","","","",,,,,0,0.00,0,2,2,"… Experimental, DFT and MC simulation analysis of Vicia Sativa weed aerial extract as sustainable and eco-benign corrosion inhibitor for mild steel in acidic environment. Sustain. Chem. …","","https://scholar.google.com/scholar?q=related:klSWkRBPiaYJ:scholar.google.com/&scioq=source:%22advanced+materials%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"R Reddy, L Yaidikar, T Garg, ...","11 Challenges and",2024,"Advanced Materials …","books.google.com","https://books.google.com/books?hl=en&lr=&id=9xksEQAAQBAJ&oi=fnd&pg=PA222&dq=source:%22advanced+materials%22+reductive+elimination+dft&ots=MRfqUJP9NZ&sig=LyGt48vOfMTgJzF3nefok1aj4BI","",215,"2025-05-07 19:03:53","","","","",,,,,0,0.00,0,4,1,"Since nanotechnology is the foundation of technological advancement, we are living in an era where the development of novel, affordable, and sustainable materials has significantly …","","https://scholar.google.com/scholar?q=related:VuvZwCTDsIUJ:scholar.google.com/&scioq=source:%22advanced+materials%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"B Belahrach, M Dalimi, K Bouiti, N Labjar, ...","MXenes composites in water purification and environmental remediation",2024,"… Advanced Materials","Elsevier","https://www.sciencedirect.com/science/article/pii/B9780443135897000213","",206,"2025-05-07 19:03:53","","","","",,,,,0,0.00,0,5,1,"… Density functional theory (DFT) investigations had shown how altering the MXenes’ surface … in MXene’s layered structure may promote the reductive adsorption of Cu 2+ . The greatest …","https://www.researchgate.net/profile/Bouchra-Belahrach/publication/381818970_MXenes_composites_in_water_purification_and_environmental_remediation/links/672fd4a52326b47637d40bc6/MXenes-composites-in-water-purification-and-environmental-remediation.pdf","https://scholar.google.com/scholar?q=related:QqnR6gFj9F4J:scholar.google.com/&scioq=source:%22advanced+materials%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
72,"YH Zhao, XL Tian, B Zhao, Y Sun, H Guo, ...","Precipitation sequence of middle Al concentration alloy using the inversion algorithm and microscopic phase field model",2018,"… Advanced Materials","ingentaconnect.com","https://www.ingentaconnect.com/contentone/asp/sam/2018/00000010/00000012/art00017","https://scholar.google.com/scholar?cites=4968666162024193052&as_sdt=2005&sciodt=0,5&hl=en",203,"2025-05-07 19:03:53","","","","",,,,,72,10.29,12,6,7,"… Guo, Improved extraction of cobalt and lithium by reductive acid from spent lithium-ion batteries … Han, Density functional theory study of the interfacial properties of Ni/Ni3Si eutectic alloy. …","","https://scholar.google.com/scholar?q=related:HJz0mow_9EQJ:scholar.google.com/&scioq=source:%22advanced+materials%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"A Li, J Liu, S Feng","Applications of graphene based materials in energy and environmental science",2014,"Science of Advanced Materials","ingentaconnect.com","https://www.ingentaconnect.com/contentone/asp/sam/2014/00000006/00000002/art00001","https://scholar.google.com/scholar?cites=6689531196522007356&as_sdt=2005&sciodt=0,5&hl=en",208,"2025-05-07 19:03:53","","","","",,,,,14,1.27,5,3,11,"… would have the following advantages: (i) large specific surface area, improving the dispersion of catalytic metals, (ii) thermal/chemical stability both under oxidative and reductive …","","https://scholar.google.com/scholar?q=related:PIuWOi791VwJ:scholar.google.com/&scioq=source:%22advanced+materials%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"B Agrawal, P Maity","RECENT DEVELOPMENTS FOR THE SYNTHESIS OF AIR STABLE QUANTUM DOTS.",2017,"Reviews on Advanced Materials Science","ipme.ru","http://www.ipme.ru/e-journals/RAMS/no_24917/07_24917_maity.pdf","https://scholar.google.com/scholar?cites=2450038419321294924&as_sdt=2005&sciodt=0,5&hl=en",209,"2025-05-07 19:03:53","PDF","","","",,,,,10,1.25,5,2,8,"… Theoretical modeling using density functional theory showed the compact surface layer of … QDs, which was ascribed due to reductive passivation of surface traps with positive potential …","http://www.ipme.ru/e-journals/RAMS/no_24917/07_24917_maity.pdf","https://scholar.google.com/scholar?q=related:TJC0JfZIACIJ:scholar.google.com/&scioq=source:%22advanced+materials%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"VP Parhomenko, H Lavrenyuk, B Mykhalichko","Technological peculiarities of the obtaining the epoxyamine composites with suppressed combustibility",2017,"","sci.ldubgd.edu.ua","https://sci.ldubgd.edu.ua/bitstream/123456789/3863/1/Tbilisi%202017.pdf","https://scholar.google.com/scholar?cites=17386879669686999680&as_sdt=2005&sciodt=0,5&hl=en",212,"2025-05-07 19:03:53","PDF","","","",,,,,1,0.13,0,3,8,"… Water was changed every few days to eliminate non-reacted monomers and short polymer chains and clusters (nano and microgels). Then, the gels were freeze-dried. Finally, sol-gel …","https://sci.ldubgd.edu.ua/bitstream/123456789/3863/1/Tbilisi%202017.pdf","https://scholar.google.com/scholar?q=related:gJonoPCaSvEJ:scholar.google.com/&scioq=source:%22advanced+materials%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"H Yu, C Li, P Dong, J Wang, Z Zhang, ...","Advancements and Challenges of P2 NaxTMO2 (TM = Mn, Ni, Co, Fe, Cu) Cathodes for High-performance Sodium-ion Battery.",2024,"Advanced Materials …","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=2717526X&AN=179799499&h=ya56MABC7IR17RUvg5Yby0eVd79PHoGbi7aHrLtJv0Vrpd%2FELsdVXMVR9lAXymmyxzSWLKv3NkuYkuhggv3F9Q%3D%3D&crl=c","https://scholar.google.com/scholar?cites=3046641223701185996&as_sdt=2005&sciodt=0,5&hl=en",199,"2025-05-07 19:03:53","","","","",,,,,1,1.00,0,6,1,"… was previously referred to as “reductive coupling”. Finally, Figure … the metalion network by reductive elimination or attacking the … As illustrated in Figure 8, density-functional theory(DFT) …","","https://scholar.google.com/scholar?q=related:zEXFGA3YRyoJ:scholar.google.com/&scioq=source:%22advanced+materials%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
