Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
597,"JY Kim, O Voznyy, D Zhitomirsky…","25th anniversary article: colloidal quantum dot materials and devices: a quarter‐century of advances",2013,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201301947","https://scholar.google.com/scholar?cites=17420293520183381463&as_sdt=2005&sciodt=0,5&hl=en",113,"2025-05-07 19:21:47","","10.1002/adma.201301947","","",,,,,597,49.75,149,4,12,"… [6,112] DFT simulations confirmed that complete surface … undercoordination, and could be eliminated in simulations by sub-… [110,111] Density functional theory (DFT) simulations pro…","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.201301947","https://scholar.google.com/scholar?q=related:182R8ahQwfEJ:scholar.google.com/&scioq=source:%22advanced+materials%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
284,"AM Coclite, RM Howden, DC Borrelli…","25th anniversary article: CVD polymers: a new paradigm for surface modifi cation and device fabrication",2013,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.201301878","https://scholar.google.com/scholar?cites=4716429789146057477&as_sdt=2005&sciodt=0,5&hl=en",218,"2025-05-07 19:21:47","","10.1002/adma.201301878","","",,,,,284,23.67,71,4,12,"… By eliminating the need to dissolve macromolecules, CVD enables insoluble polymers to be coated and prevents solvent damage to the substrate. CVD film growth proceeds from the …","https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adma.201301878","https://scholar.google.com/scholar?q=related:BQsfjucfdEEJ:scholar.google.com/&scioq=source:%22advanced+materials%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
236,"ED Głowacki, G Voss, NS Sariciftci","25th anniversary article: progress in chemistry and applications of functional indigos for organic electronics",2013,"Advanced Materials","Wiley Online Library","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.201302652","https://scholar.google.com/scholar?cites=9764508629942713294&as_sdt=2005&sciodt=0,5&hl=en",240,"2025-05-07 19:21:47","PDF","10.1002/adma.201302652","","",,,,,236,19.67,79,3,12,"… Modern DFT calculations confirm this picture, where light absorption results in a transfer of electron density from the donor amines to acceptor carbonyl groups. This transfer of electron …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.201302652","https://scholar.google.com/scholar?q=related:zrv4Rd2AgocJ:scholar.google.com/&scioq=source:%22advanced+materials%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Z Wang, X Wang, H Fang, X Song, L Ding…","2D Indium‐Vacancy‐Rich ZnIn2S4 Nanocatalysts for Sonocatalytic Cancer Suppression by Boosting Cancer‐Cell Pyroptosis",,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202414432","",316,"2025-05-07 19:21:47","","10.1002/adma.202414432","","",,,,,0,0.00,0,6,,"… that this sonocatalytic approach effectively promotes tumor elimination, underscoring the critical … Density Functional Theory (DFT) calculations verified the significant role of vacancies in …","","https://scholar.google.com/scholar?q=related:LWx9b9it7h8J:scholar.google.com/&scioq=source:%22advanced+materials%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"P Hou, X Fu, Q Xia, Z Yang","2D Metal Carbides",2020,"Layered 2D Advanced Materials …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119655190.ch3","https://scholar.google.com/scholar?cites=12501525886468045806&as_sdt=2005&sciodt=0,5&hl=en",416,"2025-05-07 19:21:47","","10.1002/9781119655190.ch3","","",,,,,2,0.40,1,4,5,"… Density functional theory (DFT) calculations can be able to anticipate its structure. The previously DFT … They prepared Mo2C by eliminating Ga from the non-MAX phase precursor …","","https://scholar.google.com/scholar?q=related:7jtHzY5Xfq0J:scholar.google.com/&scioq=source:%22advanced+materials%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
124,"CJ Heard, J Čejka, M Opanasenko…","2D oxide nanomaterials to address the energy transition and catalysis",2019,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.201801712","https://scholar.google.com/scholar?cites=11602931908092120507&as_sdt=2005&sciodt=0,5&hl=en",181,"2025-05-07 19:21:47","","10.1002/adma.201801712","","",,,,,124,20.67,31,4,6,"… Acid sites on external and internal surfaces of zeolite Beta were investigated at the DFT level of theory.228 Important differences between the properties of the Brønsted site on internal …","https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201801712","https://scholar.google.com/scholar?q=related:u03gbhjlBaEJ:scholar.google.com/&scioq=source:%22advanced+materials%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
93,"J Chu, Y Wang, X Wang, K Hu, G Rao…","2D polarized materials: ferromagnetic, ferrovalley, ferroelectric materials, and related heterostructures",2021,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202004469","https://scholar.google.com/scholar?cites=13438119031539835413&as_sdt=2005&sciodt=0,5&hl=en",326,"2025-05-07 19:21:47","","10.1002/adma.202004469","","",,,,,93,23.25,16,6,4,"… Mo vacancy and substitutional Mo atoms at chalcogen sites are the two major defects, where the magnetic moment of per Mo antisite comes within 0.9 to 2.8 μB, as revealed by DFT …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202004469","https://scholar.google.com/scholar?q=related:FSJZnA_KfboJ:scholar.google.com/&scioq=source:%22advanced+materials%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"A Thakur, A Kumar","5 Carbon Allotropes",2023,"Carbon Allotropes: Advanced Materials for …","books.google.com","https://books.google.com/books?hl=en&lr=&id=XKMIEQAAQBAJ&oi=fnd&pg=PA71&dq=source:%22advanced+materials%22+beta+elimination+dft&ots=5md9uZiGaM&sig=HElVTAAtvypHKMDJr0Q3qrW1Ss8","",423,"2025-05-07 19:21:47","","","","",,,,,0,0.00,0,2,2,"… in GO nanosheets are eliminated, which causes them to lack … of MWNTs by betacyclodextrin was identified. According to … Experimental, DFT and MC simulation analysis of Vicia Sativa …","","https://scholar.google.com/scholar?q=related:klSWkRBPiaYJ:scholar.google.com/&scioq=source:%22advanced+materials%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
46,"C Chen, M Lv, H Hu, L Huai, B Zhu, S Fan…","5‐Hydroxymethylfurfural and its Downstream Chemicals: A Review of Catalytic Routes",2024,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202311464","https://scholar.google.com/scholar?cites=16531129515208629009&as_sdt=2005&sciodt=0,5&hl=en",130,"2025-05-07 19:21:47","","10.1002/adma.202311464","","",,,,,46,46.00,7,7,1,"… Density functional theory (DFT) calculations indicated that the (001) plane of Ag2O is the active surface for HMFCA synthesis. Moreover, with an appropriate ratio of acidic/basic sites, a …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202311464","https://scholar.google.com/scholar?q=related:EVv8WbVeauUJ:scholar.google.com/&scioq=source:%22advanced+materials%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"DY Han, CK Song, G Lee, WJ Song…","A Comprehensive Review of Battery‐Integrated Energy Harvesting Systems",2024,"Advanced Materials …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/admt.202302236","https://scholar.google.com/scholar?cites=6846849893767023255&as_sdt=2005&sciodt=0,5&hl=en",369,"2025-05-07 19:21:47","","10.1002/admt.202302236","","",,,,,3,3.00,1,5,1,"… , to achieve an equilibrium state upon the elimination of the external stimulus. This process … According to the density functional theory (DFT) analysis, the coordination between the C═…","https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/admt.202302236","https://scholar.google.com/scholar?q=related:l4pnxLPlBF8J:scholar.google.com/&scioq=source:%22advanced+materials%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
101,"J Li, J Wang, J Zhang, T Han, X Hu…","A facile strategy of boosting photothermal conversion efficiency through state transformation for cancer therapy",2021,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202105999","https://scholar.google.com/scholar?cites=6167665592458211458&as_sdt=2005&sciodt=0,5&hl=en",39,"2025-05-07 19:21:47","","10.1002/adma.202105999","","",,,,,101,25.25,17,6,4,"… performances between two states, DFT calculation on reorganization energy was conducted… The scars gradually disappeared and the tumors were eliminated without recurrence during …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202105999","https://scholar.google.com/scholar?q=related:gvDeuy3zl1UJ:scholar.google.com/&scioq=source:%22advanced+materials%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
