Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
35,"RD Adams, V Rassolov, ...","Facile C H Bond Formation by Reductive Elimination at a Dinuclear Metal Site",2014,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201406219","https://scholar.google.com/scholar?cites=12509211934535862018&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-26 17:16:53","","10.1002/anie.201406219","","",,,,,35,3.18,12,3,11,"… CH bond forming reductive elimination of the bridging phenyl ligand and the bridging hydrido ligand. The mechanism of this elimination has been investigated and ascertained by DFT …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201406219","https://scholar.google.com/scholar?q=related:AkcWUvqlma0J:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"X Chen, HC Gülen, J Wu, ZJ Zhang, ...","Close‐shell reductive elimination versus open‐shell radical coupling for site‐selective ruthenium‐catalyzed C− H activations by computation and experiments",2023,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202302021","https://scholar.google.com/scholar?cites=14322016408910507014&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-26 17:16:53","","10.1002/anie.202302021","","",,,,,18,9.00,4,5,2,"… and arylation have been illuminated by means of density functional theory calculations. The competition between close-shell reductive elimination and open-shell radical attack is …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202302021","https://scholar.google.com/scholar?q=related:Bixt6AoGwsYJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
94,"SK Zhang, J Struwe, L Hu, ...","Nickela‐electrocatalyzed C− H Alkoxylation with Secondary Alcohols: Oxidation‐Induced Reductive Elimination at Nickel (III)",2020,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201913930","https://scholar.google.com/scholar?cites=7107752055877964246&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-26 17:16:53","","10.1002/anie.201913930","","",,,,,94,18.80,24,4,5,"… , cyclovoltammetry, and density functional theory (DFT) calculations provided support for a process involving oxidation-induced reductive elimination. MQ=6-methylquinoline. …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201913930","https://scholar.google.com/scholar?q=related:1pEoGtbOo2IJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"P Funk, RB Richrath, F Bohle, S Grimme, ...","Oxidation Under Reductive Conditions: From Benzylic Ethers to Acetals with Perfect Atom‐Economy by Titanocene (III) Catalysis",2021,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202013561","https://scholar.google.com/scholar?cites=17781425781844506955&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-26 17:16:53","","10.1002/anie.202013561","","",,,,,24,6.00,5,5,4,"… an organometallic oxygen rebound as a reductive elimination. The reaction mechanism was studied by high-level dispersion corrected hybrid functional DFT with implicit solvation. The …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202013561","https://scholar.google.com/scholar?q=related:S3nQ3olQxPYJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"A Caise, AE Crumpton, P Vasko, J Hicks, ...","Controlling Oxidative Addition and Reductive Elimination at Tin (I) via Hemi‐Lability",2022,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202114926","https://scholar.google.com/scholar?cites=5831907110433723143&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-26 17:16:53","","10.1002/anie.202114926","","",,,,,17,5.67,3,5,3,"… The minimum energy DFT-calculated structure for 1′ (Scheme 3 and ESI, Figure s22) is … These experimental findings are consistent with the results of DFT calculations, which suggest …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202114926","https://scholar.google.com/scholar?q=related:BxN6QJ4Y71AJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"GW Margulieux, SP Semproni, ...","Photochemically Induced Reductive Elimination as a Route to a Zirconocene Complex with a Strongly Activated N2 Ligand",2014,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201402401","https://scholar.google.com/scholar?cites=11690615668166928528&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-26 17:16:53","","10.1002/anie.201402401","","",,,,,31,2.82,10,3,11,"… photochemical induced reductive elimination. Closer inspection of the TD-DFT calculations … Thus, the experimental UV/Vis data in conjunction with the TD-DFT based assignments …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201402401","https://scholar.google.com/scholar?q=related:kKi0ugJpPaIJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
121,"MC Nielsen, KJ Bonney, ...","Computational Ligand Design for the Reductive Elimination of ArCF3 from a Small Bite Angle PdII Complex: Remarkable Effect of a Perfluoroalkyl Phosphine",2014,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201400837","https://scholar.google.com/scholar?cites=17576195930693728472&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-26 17:16:53","","10.1002/anie.201400837","","",,,,,121,11.00,40,3,11,"To date only three ligands are known to trigger the challenging reductive elimination of ArCF 3 from Pd II . We report the computational design of a bidentate trifluoromethylphosphine …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201400837","https://scholar.google.com/scholar?q=related:2HiqhxMx6_MJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"YY Zhang, Y Zhang, XS Xue, ...","Reversal of the Regioselectivity of Iron‐Promoted Hydrogenation and Hydrohalogenation of gem‐Difluoroalkenes",2024,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202406324","https://scholar.google.com/scholar?cites=18079406243823318230&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-26 17:16:53","","10.1002/anie.202406324","","",,,,,9,9.00,2,4,1,"… reductive elimination to give difluoromethylated products (M … , we employed density functional theory (DFT) calculations, … that are typically absent in DFT calculations. The optimization …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202406324","https://scholar.google.com/scholar?q=related:1nQRoTD05voJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"WA Thornley, TE Bitterwolf","Photochemically Induced Intramolecular Six‐Electron Reductive Elimination and Oxidative Addition of Nitric Oxide by the Nitridoosmate (VIII) Anion",2015,"Angewandte Chemie International …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201408816","https://scholar.google.com/scholar?cites=5023288158832023820&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-26 17:16:53","","10.1002/anie.201408816","","",,,,,1,0.10,1,2,10,"… On basis of the results of DFT calculations, we dismiss the … DFT calculations found this partially reduced Os VI species … 1 c is accurately reproduced by DFT. The identity of the species …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201408816","https://scholar.google.com/scholar?q=related:DNmbR_dNtkUJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
447,"T Fujita, K Fuchibe, J Ichikawa","Transition‐Metal‐Mediated and‐Catalyzed C− F Bond Activation by Fluorine Elimination",2019,"… Chemie International Edition","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201805292","https://scholar.google.com/scholar?cites=10451939202283370686&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-26 17:16:53","","10.1002/anie.201805292","","",,,,,447,74.50,149,3,6,"… elimination and hydride introduction by the borate, which promotes the reductive elimination … intermediates, the DFT calculations revealed that the β-fluorine elimination pathway is more …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201805292","https://scholar.google.com/scholar?q=related:vngU5lO_DJEJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
