Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
41,"C Amatore, L Grimaud, G Le Duc, ...","Three Roles for the Fluoride Ion in Palladium‐Catalyzed Hiyama Reactions: Transmetalation of [ArPdFL2] by Ar′Si(OR)3",2014,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201400956","https://scholar.google.com/scholar?cites=8316013904126852748&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-26 18:16:23","","10.1002/anie.201400956","","",,,,,41,3.73,10,4,11,"… DFT calculations on the model reaction of CH 2 CHI with CH 2 CHSiMe 3 in the presence of F − ruled out the participation of a silicate in the transmetalation. … The transmetalation …","https://onlinelibrary.wiley.com/doi/full/10.1002/anie.201400956","https://scholar.google.com/scholar?q=related:jL6w7pVqaHMJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"MN Peñas‐Defrutos, C Bartolomé, ...","RhIAr/AuIAr′ Transmetalation: A Case of Group Exchange Pivoting on the Formation of M−M′ Bonds through Oxidative Insertion",2019,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201813419","https://scholar.google.com/scholar?cites=8206529580162203793&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-26 18:16:23","","10.1002/anie.201813419","","",,,,,16,2.67,5,3,6,"… Concerning Rh, we recently reported that the Pf/Rf transmetalation … Kinetic and density functional theory (DFT) calculations … In conclusion, the Rh I Ar/Au I Ar′ transmetalation studied …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201813419","https://scholar.google.com/scholar?q=related:kcBNUCxz43EJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"J Martín, E Gómez‐Bengoa, A Genoux, ...","Synthesis of cyclometalated gold (III) complexes via catalytic rhodium to gold (III) transmetalation",2022,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202116755","https://scholar.google.com/scholar?cites=17676389776909025752&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-26 18:16:23","","10.1002/anie.202116755","","",,,,,16,5.33,4,4,3,"… An unprecedented Rh‐to‐Au III transmetalation allows the facile transfer of (C^N) ligands … Both experimental and computational studies support a multistep transmetalation from rhodium …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202116755","https://scholar.google.com/scholar?q=related:2EECPNkmT_UJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
453,"AJJ Lennox, GC Lloyd‐Jones","Transmetalation in the Suzuki–Miyaura coupling: the fork in the trail",2013,"… Chemie International Edition","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201301737","https://scholar.google.com/scholar?cites=9622649994641989140&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-26 18:16:23","","10.1002/anie.201301737","","",,,,,453,37.75,227,2,12,"… contrast to the high barriers predicted by DFT (Figure 1), 8 and transmetalation then proceeded efficiently with 5 c. Independently generated 2 behaved analogously. Two alternative …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201301737","https://scholar.google.com/scholar?q=related:FN6M6C-FioUJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
296,"Y Li, D Wu, HG Cheng, G Yin","Difunctionalization of alkenes involving metal migration",2020,"… Chemie International Edition","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201913382","https://scholar.google.com/scholar?cites=4632919832982889916&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-26 18:16:23","","10.1002/anie.201913382","","",,,,,296,59.20,74,4,5,"… The catalytic cycle is initiated by the chiral Pd II complex 42, which undergoes transmetalation with … Based on combined experiments and DFT calculations, the authors proposed that the …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201913382","https://scholar.google.com/scholar?q=related:vKXOtQpwS0AJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
65,"ZQ Li, Y Fu, R Deng, VT Tran, Y Gao, ...","Ligand‐Controlled Regiodivergence in Nickel‐Catalyzed Hydroarylation and Hydroalkenylation of Alkenyl Carboxylic Acids",2020,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202010840","https://scholar.google.com/scholar?cites=59724411376943905&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-26 18:16:23","","10.1002/anie.202010840","","",,,,,65,13.00,11,6,5,"… density functional theory (DFT) … transmetalation transition state (TS4-M). To shed more light onto the ligand steric effects on the regioselectivity, we computed the transmetalation …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202010840","https://scholar.google.com/scholar?q=related:IcOKJAkv1AAJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"L O'Brien, SP Argent, K Ermanis, ...","Gold (I)‐Catalyzed Nucleophilic Allylation of Azinium Ions with Allylboronates",2022,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202202305","https://scholar.google.com/scholar?cites=6354202267386682383&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-26 18:16:23","","10.1002/anie.202202305","","",,,,,15,5.00,4,4,3,"… Evidence suggests that the reactions proceed through nucleophilic allylgold(I) intermediates formed by transmetalation from allylboronates. Density functional theory (DFT) calculations …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202202305","https://scholar.google.com/scholar?q=related:D5yQ0kupLlgJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"W Li, H Wei, B Wang, X He, Y Jiang, ...","Selective Hydrodisulfuration of Alkenes with Dithiosulfonate",2025,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202424209","",8,"2025-04-26 18:16:23","","10.1002/anie.202424209","","",,,,,0,0.00,0,6,1,"… (III) intermediate (alkyl–Ni(III)Ln(X)–SSR) as the key steps based on DFT calculation analysis. … [21] These disulfide species pose difficulties in terms of transmetalation in transition-metal-…","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202424209","https://scholar.google.com/scholar?q=related:sg3Fw6FqQ3YJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
52,"H Zhang, E Wang, S Geng, Z Liu, Y He, ...","Experimental and Computational Studies of the Iron‐Catalyzed Selective and Controllable Defluorosilylation of Unactivated Aliphatic gem‐Difluoroalkenes",2021,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202100049","https://scholar.google.com/scholar?cites=10207221734750772450&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-26 18:16:23","","10.1002/anie.202100049","","",,,,,52,13.00,9,6,4,"… Due to an inherent DFT error for spin state calculation, we cannot fully exclude quintet … Then, the released L 5 Fe−F after the formation of 3 a can react with Na−SiEt 3 via transmetalation …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202100049","https://scholar.google.com/scholar?q=related:4lx3axZWp40J:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"TM Lenz, I Chiorescu, FE Napoli, ...","Aluminum Alkyl Induced Isomerization of Group IV meso Metallocene Complexes",2024,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202406848","https://scholar.google.com/scholar?cites=6224907804193844532&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-26 18:16:23","","10.1002/anie.202406848","","",,,,,1,1.00,0,4,1,"… Thus, a pre-orientation of both ligand sites before the transmetalation step involving the group IV … [17] We performed DFT calculations of this reaction for meso/rac-IIHf and the analog …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202406848","https://scholar.google.com/scholar?q=related:NO2HvKpQY1YJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"M Seo, S Seo, J Jung, H Kim","Copper‐Catalyzed Regioselective and Enantioselective Hydropyridylation of Dienes for the Synthesis of Chiral Diaryl Compounds via Concerted Nucleophilic …",2025,"… Chemie International Edition","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202420918","",11,"2025-04-26 18:16:23","","10.1002/anie.202420918","","",,,,,0,0.00,0,4,1,"… Mechanistic studies and DFT calculations revealed that the 1,2-hydrocupration step is enantio… This finding indicates that the transmetalation between silane and copper to regenerate …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202420918","https://scholar.google.com/scholar?q=related:c7uDJ92PM7UJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
358,"M Joost, A Amgoune, ...","Reactivity of gold complexes towards elementary organometallic reactions",2015,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201506271","https://scholar.google.com/scholar?cites=17992389847289430501&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-04-26 18:16:23","","10.1002/anie.201506271","","",,,,,358,35.80,119,3,10,"… According to DFT calculations, the product lies uphill in energy and the activation barrier for this … Upon heating at 110 C for 50 h, biphenyl was obtained quantitatively, 21 but DFT …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201506271","https://scholar.google.com/scholar?q=related:5QEIBD3PsfkJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
34,"S Dutta, RK Mallick, AK Sahoo","Regioselective difunctionalization and annulation of ynamide",2023,"… Chemie International Edition","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202300816","https://scholar.google.com/scholar?cites=897812628874111178&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-04-26 18:16:23","","10.1002/anie.202300816","","",,,,,34,17.00,11,3,2,"… Subsequently, transmetalation of 10 b with methyl boronic acid affords 10 c, which … 35 a; the reaction efficacy has been confirmed by DFT calculations.The reaction proceeds via the …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202300816","https://scholar.google.com/scholar?q=related:yqjmQtSrdQwJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"JFK Müller, KJ Kulicke, M Neuburger, ...","Carbanions substituted by transition metals: synthesis, structure, and configurational restrictions of a lithium titanium phosphonate",2001,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/1521-3773(20010803)40:15%3C2890::AID-ANIE2890%3E3.0.CO;2-T","https://scholar.google.com/scholar?cites=8198310526252821932&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-04-26 18:16:23","","10.1002/1521-3773(20010803)40:15%3C2890::AID-ANIE2890%3E3.0.CO;2-T","","",,,,,21,0.88,5,4,24,"… shortened after anionization and transmetalation relative to unmetalated phosphonates. The … To obtain deeper insight into the structure of 3, we carried out DFT calculations (B3LYP) on …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/1521-3773%2820010803%2940%3A15%3C2890%3A%3AAID-ANIE2890%3E3.0.CO%3B2-T","https://scholar.google.com/scholar?q=related:rC2ls_w_xnEJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
650,"RE Mulvey, F Mongin, M Uchiyama, ...","Deprotonative metalation using ate compounds: synergy, synthesis, and structure building",2007,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.200604369","https://scholar.google.com/scholar?cites=16459515359714385592&as_sdt=2005&sciodt=0,5&hl=en",15,"2025-04-26 18:16:23","","10.1002/anie.200604369","","",,,,,650,36.11,163,4,18,"… A conventional preparative method for aromatic aluminum compounds has been the transmetalation of aryl lithium or aryl Grignard reagents. This method, however, suffers from the …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.200604369","https://scholar.google.com/scholar?q=related:uJ7cbgPya-QJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
487,"M Gulías, JL Mascareñas","Metal‐Catalyzed Annulations through Activation and Cleavage of C− H Bonds",2016,"Angewandte Chemie International …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201511567","https://scholar.google.com/scholar?cites=788348897766483383&as_sdt=2005&sciodt=0,5&hl=en",16,"2025-04-26 18:16:23","","10.1002/anie.201511567","","",,,,,487,54.11,244,2,9,"… such as III (path b), recent DFT calculations support a mechanism involving a Rh III /Rh I /Rh … It may facilitate the release of the Rh catalyst in a transmetalation step and thus prevent the …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201511567","https://scholar.google.com/scholar?q=related:tyVxSiXH8AoJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
