Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
487,"M Gulías, JL Mascareñas","Metal‐Catalyzed Annulations through Activation and Cleavage of C− H Bonds",2016,"Angewandte Chemie International …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201511567","https://scholar.google.com/scholar?cites=788348897766483383&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-27 23:49:59","","10.1002/anie.201511567","","",,,,,487,54.11,244,2,9,"… 75a Recent computational DFT studies on the mechanism of this reaction suggest that after a typical C−H activation/cleavage step and migratory insertion of the cyclopropene to give …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201511567","https://scholar.google.com/scholar?q=related:tyVxSiXH8AoJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
154,"Y Gao, P Tang, H Zhou, W Zhang…","Graphene oxide catalyzed C− H bond activation: the importance of oxygen functional groups for biaryl construction",2016,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201510081","https://scholar.google.com/scholar?cites=15649262930743331547&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-27 23:49:59","","10.1002/anie.201510081","","",,,,,154,17.11,31,5,9,"… Reactions with various model compounds and DFT … and activating K + ions, which in turns facilitates the activation of … The direct C−H arylation of benzene, a C−H activation strategy, is …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201510081","https://scholar.google.com/scholar?q=related:2wql37hZLdkJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
50,"P Wedi, M Farizyan, K Bergander…","Mechanism of the Arene‐Limited Nondirected C− H Activation of Arenes with Palladium",2021,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202105092","https://scholar.google.com/scholar?cites=17494883222504053908&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-27 23:49:59","","10.1002/anie.202105092","","",,,,,50,12.50,13,4,4,"… We began by focusing on the key C−H activation step. Based on … the C−H activation step proceeds via a concerted C−H activation … DFT studies. In order to obtain further insights into the …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202105092","https://scholar.google.com/scholar?q=related:lJxLWJlPyvIJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
357,"J Loup, U Dhawa, F Pesciaioli…","Enantioselective C− H activation with earth‐abundant 3d transition metals",2019,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201904214","https://scholar.google.com/scholar?cites=17455774916298503996&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-27 23:49:59","","10.1002/anie.201904214","","",,,,,357,59.50,89,4,6,"… Experimental and computational mechanistic studies by DFT 11a suggested the reaction to occur by the formation of the cationic Sc-η 2 -pyridyl active species 5, followed by …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201904214","https://scholar.google.com/scholar?q=related:PHclPc1eP_IJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"QY Liu, JB Ma, ZY Li, C Zhao, CG Ning…","Activation of Methane Promoted by Adsorption of CO on Mo2C2− Cluster Anions",2016,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201600618","https://scholar.google.com/scholar?cites=10965012480177659186&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-27 23:49:59","","10.1002/anie.201600618","","",,,,,27,3.00,5,6,9,"… methane activation promoted by adsorption of CO on Mo 2 C 2 − cluster anions has been characterized by mass spectrometry, photoelectron spectroscopy, and density functional theory …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201600618","https://scholar.google.com/scholar?q=related:Mt22bsGMK5gJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"MAR George, M Förstel, O Dopfer","Infrared Spectrum of the Adamantane+–Water Cation: Hydration‐Induced C−H Bond Activation and Free Internal Water Rotation",2020,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202003637","https://scholar.google.com/scholar?cites=14649758196121432630&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-27 23:49:59","","10.1002/anie.202003637","","",,,,,12,2.40,4,3,5,"… This experimental result is consistent with our and previous DFT calculations. 2d, 3a It is also … Such a strong activation of the aliphatic CH groups upon monohydration of this prototypical …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202003637","https://scholar.google.com/scholar?q=related:NnIvLXZlTssJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
47,"O Papaianina, VA Akhmetov…","Synthesis of rationally halogenated buckybowls by chemoselective aromatic C− F bond activation",2017,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201700814","https://scholar.google.com/scholar?cites=1309641277894905168&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-27 23:49:59","","10.1002/anie.201700814","","",,,,,47,5.88,16,3,8,"… carbon frameworks were considered at the DFT level of the theory. … density distributions determined by DFT calculations for … The electronic structural data obtained from DFT calculations …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201700814","https://scholar.google.com/scholar?q=related:UE0dsM3HLBIJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
38,"J Mo, T Müller, JCA Oliveira…","Iron‐Catalyzed C− H Activation with Propargyl Acetates: Mechanistic Insights into Iron (II) by Experiment, Kinetics, Mössbauer Spectroscopy, and Computation",2019,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201904110","https://scholar.google.com/scholar?cites=8904065641791957140&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-27 23:49:59","","10.1002/anie.201904110","","",,,,,38,6.33,10,4,6,"… computation provided strong support for facile C−H activation by a ligand-to-… DFT calculations were indicative of high-spin iron(II) species as the key intermediates in the C−H activation …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201904110","https://scholar.google.com/scholar?q=related:lCjFg4aYkXsJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
48,"M Valero, T Kruissink, J Blass, R Weck…","C− H Functionalization—Prediction of Selectivity in Iridium (I)‐Catalyzed Hydrogen Isotope Exchange Competition Reactions",2020,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201914220","https://scholar.google.com/scholar?cites=9338077730134167495&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-27 23:49:59","","10.1002/anie.201914220","","",,,,,48,9.60,10,5,5,"… we applied density functional theory (DFT) calculations (M06 … and the free activation energy of Ir–C−H insertion (ΔΔG rel , 2–… processes of the C−H activation mechanism with complex …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201914220","https://scholar.google.com/scholar?q=related:xw-iZTiEl4EJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
155,"ASK Hashmi, S Schäfer, M Wölfle…","Gold‐Catalyzed Benzylic C H Activation at Room Temperature",2007,"Angewandte Chemie …","academia.edu","https://www.academia.edu/download/101384607/anie.20070152120230423-1-38rbb4.pdf","https://scholar.google.com/scholar?cites=4190718723923458247&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-27 23:49:59","PDF","","","",,,,,155,8.61,39,4,18,"… DFT studies indicated that cationic gold(I) and gold(III) species are able to mediate electrophilic CÀH bond activation.[6] Here we report a gold-catalyzed CÀH activation at a benzylic …","https://www.academia.edu/download/101384607/anie.20070152120230423-1-38rbb4.pdf","https://scholar.google.com/scholar?q=related:xzgJ3XlsKDoJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
