Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
22,"W Wang, M Ding, CG Zhao, S Chen, ...","Unlocking Migratory Insertion in Gold Redox Catalysis",2023,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202304019","https://scholar.google.com/scholar?cites=3550118502866548746&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-26 13:02:21","","10.1002/anie.202304019","","",,,,,22,11.00,4,5,2,"… feasibility of oxidative addition and the DFT calculations demonstrate the possible migratory … gold complexes for stoichiometric migratory insertion. Migratory insertion in a catalytic …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202304019","https://scholar.google.com/scholar?q=related:CvjmEfiNRDEJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
106,"PS Hanley, JF Hartwig","Migratory insertion of alkenes into metal–oxygen and metal–nitrogen bonds",2013,"Angewandte Chemie International …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201300134","https://scholar.google.com/scholar?cites=11749663387982965132&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-26 13:02:21","","10.1002/anie.201300134","","",,,,,106,8.83,53,2,12,"… insertion of an unsaturated ligand into a MC or MH bond proceeds through migratory insertion… Recent literature documents evidence of the migratory insertion of alkenes into an M…","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201300134","https://scholar.google.com/scholar?q=related:jCkjV5kwD6MJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
296,"Y Li, D Wu, HG Cheng, G Yin","Difunctionalization of alkenes involving metal migration",2020,"… Chemie International Edition","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201913382","https://scholar.google.com/scholar?cites=4632919832982889916&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-26 13:02:21","","10.1002/anie.201913382","","",,,,,296,59.20,74,4,5,"… intermediate I upon migratory insertion of alkene is a key step. … Based on combined experiments and DFT calculations, the … β-hydride elimination and migratory insertion to deliver the …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201913382","https://scholar.google.com/scholar?q=related:vKXOtQpwS0AJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"Z Qiao, X Li, M Chen, F Cao, ...","Double 1, 2‐Carbon Migration at Mixed Heavier Sn= Ge Vinylidenes",2024,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202401570","https://scholar.google.com/scholar?cites=4799931124207219275&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-26 13:02:21","","10.1002/anie.202401570","","",,,,,3,3.00,1,5,1,"… The plausible pathway for the rearrangement 3 to 4 was investigated by DFT studies employing a model system (Figure 4). The first step involves the migration of the carboranyl group …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202401570","https://scholar.google.com/scholar?q=related:S3K2JO3HnEIJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"M Ding, P Ou, X Li, Y Yu, M Niu, Y Yang, ...","Alkyne insertion enabled vinyl to acyl 1, 5‐palladium migration: rapid access to substituted 5‐membered‐dihydrobenzofurans and indolines",2023,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202300703","https://scholar.google.com/scholar?cites=4176107073936101021&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-26 13:02:21","","10.1002/anie.202300703","","",,,,,16,8.00,2,7,2,"… involving 1,5-palladium migration, 5 we envisioned that … of alkyne migratory insertion enabled 1,5-palladium migration. To test this … To support the mechanism, we further carried out DFT …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202300703","https://scholar.google.com/scholar?q=related:nQ71_UGD9DkJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"S Cheng, Y Liang, T Zhang, M Chen, J Li, ...","Regiospecific 2, 3‐Dialkylindole Synthesis Enabled by Alkylpalladium 1, 2‐Migration to in Situ Formed Aldimine In Memory of Yu‐Lin Wu",,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202501582","",6,"2025-04-26 13:02:21","","10.1002/anie.202501582","","",,,,,0,0.00,0,6,,"… and migratory insertion of isocyanide 1 into the PdH species generates imidoylpalladium intermediate I. Next, intramolecular migratory insertion … migration process is supported by DFT …","","https://scholar.google.com/scholar?q=related:-H7odaKT2mgJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"J Tang, Y Wang, A Crumpton, C McManus, ...","Isomerization and insertion chemistry of imidosilanes enabled by reversible Si (IV)/Si (II) redox shuttling",,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202505872","",7,"2025-04-26 13:02:21","","10.1002/anie.202505872","","",,,,,0,0.00,0,5,,"… DFT calculations which suggest that boryl migration is exergonic by 5.0 kcal mol-1 and … DFT calculated mechanism for the isomerization of (imido)silanes 2-Si and 4 via silylene 3-Si (…","","https://scholar.google.com/scholar?q=related:7hZJQA7AVhIJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
95,"R Mi, H Chen, X Zhou, N Li, D Ji, ...","Rhodium‐Catalyzed Atroposelective Access to Axially Chiral Olefins via C− H Bond Activation and Directing Group Migration",2022,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202111860","https://scholar.google.com/scholar?cites=7820103691520936902&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-26 13:02:21","","10.1002/anie.202111860","","",,,,,95,31.67,16,6,3,"… C axially chiral enamides via migration of the oxidizing directing … of the alkyne in migratory insertion. Synthetic applications of … DFT studies suggest that migration of the N-aminocarbonyl …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202111860","https://scholar.google.com/scholar?q=related:xovT79-WhmwJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
101,"Y Liu, ID Gridnev, W Zhang","Mechanism of the asymmetric hydrogenation of exocyclic α, β‐unsaturated carbonyl compounds with an iridium/BiphPhox catalyst: NMR and DFT studies",2014,"… Chemie International Edition","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201309677","https://scholar.google.com/scholar?cites=3824802274257154334&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-26 13:02:21","","10.1002/anie.201309677","","",,,,,101,9.18,34,3,11,"… states, for the migratory insertion steps of the … The migratory insertion step of the pathway 1 was calculated to be S stereoselective (the difference in stabilities of the migratory insertion …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201309677","https://scholar.google.com/scholar?q=related:HjE0XWdtFDUJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
83,"J Mo, T Müller, JCA Oliveira, ...","1, 4‐Iron Migration for Expedient Allene Annulations through Iron‐Catalyzed C− H/N− H/C− O/C− H Functionalizations",2018,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201801324","https://scholar.google.com/scholar?cites=5166536225787512300&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-26 13:02:21","","10.1002/anie.201801324","","",,,,,83,11.86,21,4,7,"… migratory insertion (… DFT insights into the 1,4-iron migration. Relative Gibbs free energies (ΔG 338.15 ) in kcal mol −1 are shown for the reaction path involved in the 1,4-iron migration…","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201801324","https://scholar.google.com/scholar?q=related:7IVA6VI5s0cJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
