Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"W Zhang, A Mehmood, G Ali, H Liu…","Nickel Nanocluster‐Stabilized Unsaturated Ni–N3 Atomic Sites for Efficient CO2‐to‐CO Electrolysis at Industrial‐Level Current",2025,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202424552","https://scholar.google.com/scholar?cites=5173813856528178266&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 02:30:06","","10.1002/anie.202424552","","",,,,,2,2.00,0,5,1,"… stabilize unsaturated Ni-N3 active sites for efficient CO2RR at industrial-level current densities. Density functional theory (DFT) calculation reveals that incorporating Ni nanoclusters can …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202424552","https://scholar.google.com/scholar?q=related:WhxbXEoUzUcJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"J Xiang, P Wang, P Li, M Zhou, G Yu…","Inter‐Site Distance Effect in Electrocatalysis",2025,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202500644","https://scholar.google.com/scholar?cites=8450997611656406688&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 02:30:06","","10.1002/anie.202500644","","",,,,,1,1.00,0,6,1,"… For instance, in NiN4-based electrocatalysts for CO2RR, high site density saturates TOF … While DFT simulations have advanced our understanding of inter-site effects at the atomic …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202500644","https://scholar.google.com/scholar?q=related:oGZ0cI35R3UJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
108,"L Qin, F Sun, X Ma, G Ma, Y Tang…","Homoleptic Alkynyl‐Protected Ag15 Nanocluster with Atomic Precision: Structural Analysis and Electrocatalytic Performance toward CO2 Reduction",2021,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202110330","https://scholar.google.com/scholar?cites=12667769220207248676&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 02:30:06","","10.1002/anie.202110330","","",,,,,108,27.00,18,6,4,"… Herein, we report the synthesis, structural analysis, and CO 2 RR … DFT calculations reveal that the high activity for CO 2 RR … protected Ag nanoclusters toward CO 2 RR and will advance …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202110330","https://scholar.google.com/scholar?q=related:JIUUM_30zK8J:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"X Wang, W Ju, L Liang, M Riyaz…","Electrochemical CO2 Activation and Valorization on Metallic Copper and Carbon‐Embedded N‐Coordinated Single Metal MNC Catalysts",2024,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202401821","https://scholar.google.com/scholar?cites=11056211649514692193&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 02:30:06","","10.1002/anie.202401821","","",,,,,19,19.00,4,5,1,"… electrocatalysts for CO2RR. This review offers a comparative analysis of CO2RR on copper … along with density functional theory calculations (DFT). The study showed that during …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202401821","https://scholar.google.com/scholar?q=related:Yd7buuqNb5kJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"J Zhou, Z Xu, K Cui, JA Yin, HC Chen…","Theory‐Guided Design of Unconventional Phase Metal Heteronanostructures for Higher‐Rate Stable Li‐CO2 and Li‐Air Batteries",2025,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202416947","https://scholar.google.com/scholar?cites=14451090591002109363&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 02:30:06","","10.1002/anie.202416947","","",,,,,3,3.00,1,6,1,"… In this work, we report a density function theory (DFT) guided composition and phase … the entire CO2RR kinetics. It is noteworthy that 4H Ni also affects the CO2RR behaviors rather than …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202416947","https://scholar.google.com/scholar?q=related:s6WrzVOWjMgJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
140,"Y Zang, T Liu, P Wei, H Li, Q Wang…","Selective CO2 Electroreduction to Ethanol over a Carbon‐Coated CuOx Catalyst",2022,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202209629","https://scholar.google.com/scholar?cites=7979812634742641356&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 02:30:06","","10.1002/anie.202209629","","",,,,,140,46.67,23,6,3,"… CO 2 RR conditions, 9, 23 we conducted a series of physicochemical characterizations after CO 2 RR… DFT calculations suggest that the carbon skin tunes the key intermediate *HOCCH …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202209629","https://scholar.google.com/scholar?q=related:zFIC_E_9vW4J:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"Y Tan, G Sun, T Jiang, D Liu, Q Li…","Symmetry Breaking Enhancing the Activity of Electrocatalytic CO2 Reduction on an Icosahedron‐Kernel Cluster by Cu Atoms Regulation",2024,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202317471","https://scholar.google.com/scholar?cites=17210629587054774979&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 02:30:06","","10.1002/anie.202317471","","",,,,,37,37.00,6,6,1,"… shown an excellent catalytic activity for CO 2 RR, in which the … will be beneficial to promote the CO 2 RR reaction. For further … active site, density functional theory (DFT) calculations were …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202317471","https://scholar.google.com/scholar?q=related:w0o6cWxw2O4J:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"J Jiao, X Kang, J Yang, S Jia, X Chen…","Lattice Strain Engineering Boosts CO2 Electroreduction to C2+ Products",2024,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202409563","https://scholar.google.com/scholar?cites=15012738205261477688&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 02:30:06","","10.1002/anie.202409563","","",,,,,18,18.00,3,6,1,"… Density functional theory (DFT) is a commonly used method to study the key factors that affect reaction pathways. In this work, DFT … with tuneable tensile strain for CO2RR. The as-…","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202409563","https://scholar.google.com/scholar?q=related:OLeLVtv1V9AJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"F He, X Chen, Y Xue, Y Li","Theoretical Prediction Leads to Synthesize GDY Supported InOx Quantum Dots for CO2 Reduction",2024,"Angewandte Chemie International …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202318080","https://scholar.google.com/scholar?cites=18211852027319322165&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 02:30:06","","10.1002/anie.202318080","","",,,,,12,12.00,3,4,1,"… with high CO2RR activity and selectivity were identified by integrating DFT calculations and … heterostructure electrocatalyst candidate with optimal CO2RR performance. The interfacial …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202318080","https://scholar.google.com/scholar?q=related:NYZYpu1-vfwJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"Y Wang, D Zhang, B Sun, X Jia, L Zhang…","Divergent Activity Shifts of Tin‐Based Catalysts for Electrochemical CO2 Reduction: pH‐Dependent Behavior of Single‐Atom Versus Polyatomic Structures",2025,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202418228","https://scholar.google.com/scholar?cites=2740310102230632788&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 02:30:06","","10.1002/anie.202418228","","",,,,,6,6.00,1,6,1,"… To further evaluate the current stages of CO2RR catalyst development, first, we performed a … CO2RR by 19 electric field-pH coupled analysis based upon density functional theory (DFT) …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202418228","https://scholar.google.com/scholar?q=related:VAnf6YSJByYJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"F Xie, Z Wang, CW Kao, J Lan, YR Lu…","Asymmetric Local Electric Field Induced by Dual Heteroatoms on Copper Boosts Efficient CO2 Reduction Over Ultrawide Potential Window",2024,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202407661","https://scholar.google.com/scholar?cites=6641573713318234023&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-07 02:30:06","","10.1002/anie.202407661","","",,,,,9,9.00,2,6,1,"… CO2RR catalyst due to the advantages of remarkable CO2 activation ability and low cost[2a]. However, selective CO production from CO2RR using … and performed DFT calculations to …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202407661","https://scholar.google.com/scholar?q=related:p8fnixqcK1wJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
393,"Z Zhang, J Xiao, XJ Chen, S Yu, L Yu…","Reaction Mechanisms of Well‐Defined Metal–N4 Sites in Electrocatalytic CO2 Reduction",2018,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201808593","https://scholar.google.com/scholar?cites=4221669829048643959&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-07 02:30:06","","10.1002/anie.201808593","","",,,,,393,56.14,66,6,7,"… In summary, combining DFT calculations and experiments, we have systematically studied the electrocatalytic CO 2 RR mechanisms for the model catalysts MePcs with well-defined …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201808593","https://scholar.google.com/scholar?q=related:d7Ftl1diljoJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
