Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
91,"U Gellrich, W Seiche, M Keller, B Breit","Mechanistic insights into a supramolecular self‐assembling catalyst system: evidence for hydrogen bonding during rhodium‐catalyzed hydroformylation",2012,"… Chemie-International Edition","academia.edu","https://www.academia.edu/download/40015646/Mechanistic_Insights_into_a_Supramolecul20151115-26600-u9eec1.pdf","https://scholar.google.com/scholar?cites=14022976530752350237&as_sdt=2005&sciodt=0,5&hl=en",18,"2025-05-07 02:22:25","PDF","","","",,,,,91,7.00,23,4,13,"… important applications of homogeneous catalysis in industry, … a detailed DFT study on the catalytic cycle (Figure2).[10] … Comparison of the DFT-optimized hydrogen-bond geometries …","https://www.academia.edu/download/40015646/Mechanistic_Insights_into_a_Supramolecul20151115-26600-u9eec1.pdf","https://scholar.google.com/scholar?q=related:HSgimduem8IJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
155,"ASK Hashmi, S Schäfer, M Wölfle, ...","Gold‐Catalyzed Benzylic C H Activation at Room Temperature",2007,"Angewandte Chemie …","academia.edu","https://www.academia.edu/download/101384607/anie.20070152120230423-1-38rbb4.pdf","https://scholar.google.com/scholar?cites=4190718723923458247&as_sdt=2005&sciodt=0,5&hl=en",187,"2025-05-07 02:22:25","PDF","","","",,,,,155,8.61,39,4,18,"… DFT studies indicated that cationic gold(I) and gold(III) species are able to mediate electrophilic CÀH bond activation.[6] Here we report a gold-catalyzed … gold-catalyzed conversion of …","https://www.academia.edu/download/101384607/anie.20070152120230423-1-38rbb4.pdf","https://scholar.google.com/scholar?q=related:xzgJ3XlsKDoJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
718,"C Hammond, MM Forde, MH Ab Rahim, ...","Direct catalytic conversion of methane to methanol in an aqueous medium by using copper‐promoted Fe‐ZSM‐5",2012,"Angewandte Chemie …","academia.edu","https://www.academia.edu/download/66870944/ange.20110870620210504-11522-shawec.pdf","https://scholar.google.com/scholar?cites=14848090606315123436&as_sdt=2005&sciodt=0,5&hl=en",265,"2025-05-07 02:22:25","PDF","","","",,,,,718,55.23,180,4,13,"… Additionally, we found that the DFT-calculated barrier for this new oxidation pathway was … catalyst, or as a heterogeneous or homogeneous additive to the reaction mixture drastically …","https://www.academia.edu/download/66870944/ange.20110870620210504-11522-shawec.pdf","https://scholar.google.com/scholar?q=related:7DI65rwDD84J:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
136,"W Wang, S Inoue, E Irran, M Driess","Synthesis and Unexpected Coordination of a Silicon (II)‐Based SiCSi Pincerlike Arene to Palladium",2012,"… Chemie-International Edition","academia.edu","https://www.academia.edu/download/51053680/ange.20120063220161225-3513-1v3bp7b.pdf","https://scholar.google.com/scholar?cites=11451438278928234042&as_sdt=2005&sciodt=0,5&hl=en",291,"2025-05-07 02:22:25","PDF","","","",,,,,136,10.46,34,4,13,"… To obtain detailed structural information of 1, DFT calculations [B3LYP/6-31G(d)] were … with other transition metals and their use in homogeneous catalysis are currently in progress. …","https://www.academia.edu/download/51053680/ange.20120063220161225-3513-1v3bp7b.pdf","https://scholar.google.com/scholar?q=related:OvbTPnGu654J:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
417,"S Rau, B Schafer, D Gleich, E Anders, ...","A supramolecular photocatalyst for the production of hydrogen and the selective hydrogenation of tolane",2006,"… -INTERNATIONAL …","academia.edu","https://www.academia.edu/download/43821512/A_Supramolecular_Photocatalyst_for_the_P20160317-7691-1errkqi.pdf","https://scholar.google.com/scholar?cites=976552805382307168&as_sdt=2005&sciodt=0,5&hl=en",326,"2025-05-07 02:22:25","PDF","","","",,,,,417,21.95,83,5,19,"… Homogeneous systems, consisting of a photoactive Ru or Ir … DFT methods using the X-ray data obtained for 2 and 3 (Figure 1).[12] A comparison of the structural parameters of the DFT-…","https://www.academia.edu/download/43821512/A_Supramolecular_Photocatalyst_for_the_P20160317-7691-1errkqi.pdf","https://scholar.google.com/scholar?q=related:YD05PZppjQ0J:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
550,"WJ Jo, JW Jang, K Kong, HJ Kang, JY Kim, ...","Phosphate doping into monoclinic BiVO4 for enhanced photoelectrochemical water oxidation activity",2012,"Angewandte Chemie …","academia.edu","https://www.academia.edu/download/56485573/Phosphate_Doping_into_Monoclinic_BiVO4.pdf","https://scholar.google.com/scholar?cites=7107258292487376434&as_sdt=2005&sciodt=0,5&hl=en",372,"2025-05-07 02:22:25","PDF","","","",,,,,550,42.31,92,6,13,"… are distributed homogeneously within the 0.5% PO4-doped BiVO4 particle. The homogeneous … To elucidate the pronounced doping effect, we performed density functional theory (DFT) …","https://www.academia.edu/download/56485573/Phosphate_Doping_into_Monoclinic_BiVO4.pdf","https://scholar.google.com/scholar?q=related:Ms6o2sINomIJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
48,"PDW Boyd, AJ Edwards, MG Gardiner, ...","Reduction of a Chelating Bis (NHC) Palladium (II) Complex to [{μ-bis (NHC)} 2Pd2H]+: A Terminal Hydride in a Binuclear Palladium (I) Species Formed under …",2010,"Angewandte Chemie …","academia.edu","https://www.academia.edu/download/31818880/(2010)_Boyd.pdf","https://scholar.google.com/scholar?cites=10436170147454934771&as_sdt=2005&sciodt=0,5&hl=en",395,"2025-05-07 02:22:25","PDF","","","",,,,,48,3.20,12,4,15,"… under conditions that are relevant to the catalysis of C–C/N … DFT calculations have established the bonding in 2 and its … (0), which has implications in homogeneous catalyzed C–C …","https://www.academia.edu/download/31818880/(2010)_Boyd.pdf","https://scholar.google.com/scholar?q=related:816WtnS51JAJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
650,"R Palkovits, M Antonietti, P Kuhn, A Thomas, ...","Solid catalysts for the selective low‐temperature oxidation of methane to methanol",2009,"Angewandte Chemie …","academia.edu","https://www.academia.edu/download/48555812/anie.20090200920160904-26523-126oljt.pdf","https://scholar.google.com/scholar?cites=17944879580386218693&as_sdt=2005&sciodt=0,5&hl=en",502,"2025-05-07 02:22:25","PDF","","","",,,,,650,40.63,130,5,16,"… nm as determined by nonlocal DFT analysis. Pore volume and … the notion of homogeneously distributed platinum within the … may not be necessary in the catalytic cycle. In summary, we …","https://www.academia.edu/download/48555812/anie.20090200920160904-26523-126oljt.pdf","https://scholar.google.com/scholar?q=related:xdIU_uYECfkJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"T Bligaard","Linear energy relations and the computational design of selective hydrogenation/dehydrogenation catalysts",2009,"Angewandte Chemie International Edition","academia.edu","https://www.academia.edu/download/45484755/Linear_Energy_Relations_and_the_Computat20160509-20601-1pf7n28.pdf","https://scholar.google.com/scholar?cites=797530383340764711&as_sdt=2005&sciodt=0,5&hl=en",523,"2025-05-07 02:22:25","PDF","","","",,,,,15,0.94,15,1,16,"… molecules for homogeneous catalysis[6] and materials for … with improved catalytic properties on the basis of insight and DFT … design strategy for finding good catalysts for more-complex …","https://www.academia.edu/download/45484755/Linear_Energy_Relations_and_the_Computat20160509-20601-1pf7n28.pdf","https://scholar.google.com/scholar?q=related:J36bfKhlEQsJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
221,"A Berkessel, S Elfert, VR Yatham, ...","Umpolung by N‐Heterocyclic Carbenes: Generation and Reactivity of the Elusive 2, 2‐Diamino Enols (Breslow Intermediates)",2012,"Angewandte Chemie …","academia.edu","https://www.academia.edu/download/41201556/55b20bb808ae092e965012c2.pdf20160115-19908-2suosm.pdf","https://scholar.google.com/scholar?cites=13816381822205183012&as_sdt=2005&sciodt=0,5&hl=en",607,"2025-05-07 02:22:25","PDF","","","",,,,,221,17.00,55,4,13,"… As gauged by DFT calculations (see the Supporting Information), the enol form 4 (Scheme 2… equilibrating catalytic system in homogeneous solution. Shifting the equilibria by crystalliza- …","https://www.academia.edu/download/41201556/55b20bb808ae092e965012c2.pdf20160115-19908-2suosm.pdf","https://scholar.google.com/scholar?q=related:JES0oRCmvb8J:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
273,"M Ruck, D Hoppe, B Wahl, P Simon, ...","Fibrous red phosphorus",2005,"Angewandte Chemie …","academia.edu","https://www.academia.edu/download/39107190/09e41507d923c29829000000.pdf","https://scholar.google.com/scholar?cites=13677330829184759161&as_sdt=2005&sciodt=0,5&hl=en",621,"2025-05-07 02:22:25","PDF","","","",,,,,273,13.65,55,5,20,"… The calculations of the clusters as models for the /P9) units were also performed with the program package deMon"" within density functional theory (DFT) method and the local density …","https://www.academia.edu/download/39107190/09e41507d923c29829000000.pdf","https://scholar.google.com/scholar?q=related:eXUObeyjz70J:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
115,"T Gehring, M Quaranta, B Odell, ...","Observation of a transient intermediate in Soai's asymmetric autocatalysis: insights from 1H NMR turnover in real time",2012,"Angewandte Chemie …","academia.edu","https://www.academia.edu/download/102368029/ange.20120339820230518-1-jzf94h.pdf","https://scholar.google.com/scholar?cites=6203798966852818814&as_sdt=2005&sciodt=0,5&hl=en",636,"2025-05-07 02:22:25","PDF","","","",,,,,115,8.85,29,4,13,"… dimer is also the one energetically preferred by DFT.[12] A … reaction has been successfully modeled by DFT calculations.[13] … a postulated structure in line with prior DFT calculations.[16] …","https://www.academia.edu/download/102368029/ange.20120339820230518-1-jzf94h.pdf","https://scholar.google.com/scholar?q=related:fpcyjUpSGFYJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
67,"A Schnepf, G Stößer, R Köppe, ...","2+[Ga12(C13H9)10]2−: The First Molecular Compound with an Icosahedral Ga12 Framework",2000,"Angewandte Chemie …","academia.edu","https://www.academia.edu/download/42602963/Lithf42Ga12C13H910_die_erste_molekul20160211-31826-15zaea9.pdf","https://scholar.google.com/scholar?cites=12233253210155612821&as_sdt=2005&sciodt=0,5&hl=en",668,"2025-05-07 02:22:25","PDF","","","",,,,,67,2.68,17,4,25,"… , we performed additional density functional theory (DFT) calculations for Ga12H12 2À (1a), … hitherto found little application as ligands in homogeneous catalysis.[6] There are examples …","https://www.academia.edu/download/42602963/Lithf42Ga12C13H910_die_erste_molekul20160211-31826-15zaea9.pdf","https://scholar.google.com/scholar?q=related:lXq75vo-xakJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
61,"JL Zhou, Y Liang, C Deng, H Zhou, ...","Tunable carbonyl ylide reactions: selective synthesis of dihydrofurans and dihydrobenzoxepines",2011,"Angewandte Chemie …","chem.pku.edu.cn","https://www.chem.pku.edu.cn/zxyu/docs/2019-10/20191015215326184955.pdf","https://scholar.google.com/scholar?cites=7158083519488728050&as_sdt=2005&sciodt=0,5&hl=en",205,"2025-05-07 02:22:25","PDF","","","",,,,,61,4.36,12,5,14,"… metal-catalyzed … density functional theory (DFT) studies that give an understanding of how these tunable processes occur. On the basis of our initial optimization of the copper catalysts (…","https://www.chem.pku.edu.cn/zxyu/docs/2019-10/20191015215326184955.pdf","https://scholar.google.com/scholar?q=related:8hu0KwmfVmMJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
258,"EA Karlsson, BL Lee, T Åkermark, ...","Photosensitized water oxidation by use of a bioinspired manganese catalyst",2011,"Angewandte Chemie …","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:464070","https://scholar.google.com/scholar?cites=17946199673243084084&as_sdt=2005&sciodt=0,5&hl=en",56,"2025-05-07 02:22:25","HTML","","","",,,,,258,18.43,65,4,14,"… -catalyzed oxidative carbohydroxylation of allene-substituted conjugated dienes. The proposed mechanism, which was supported by DFT … , the first homogeneous manganese complex …","https://www.diva-portal.org/smash/record.jsf?pid=diva2:464070","https://scholar.google.com/scholar?q=related:NKXiD4W1DfkJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
610,"H Grützmacher","Cooperating ligands in catalysis",2008,"Angewandte Chemie International Edition","drugmoneyart.com","https://www.drugmoneyart.com/Organic_Chemistry/milstein/sites/Organic_Chemistry.milstein/files/uploads/10.pdf","https://scholar.google.com/scholar?cites=15611156604809619071&as_sdt=2005&sciodt=0,5&hl=en",118,"2025-05-07 02:22:25","PDF","","","",,,,,610,35.88,610,1,17,"… of H2 in a RuII complex has been investigated with DFT methods. In the intermediate [RuCp(H2)(… as cooperating ligands in the homogeneously catalyzed hydrogenation of unsaturated …","https://www.drugmoneyart.com/Organic_Chemistry/milstein/sites/Organic_Chemistry.milstein/files/uploads/10.pdf","https://scholar.google.com/scholar?q=related:f6arejj4pdgJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
89,"G Bauer, KA Kirchner","Well‐Defined Bifunctional Iron Catalysts for the Hydrogenation of Ketones: Iron, the New Ruthenium",2011,"Angewandte Chemie-International …","drugmoneyart.com","https://www.drugmoneyart.com/Organic_Chemistry/milstein/sites/Organic_Chemistry.milstein/files/uploads/23.pdf","https://scholar.google.com/scholar?cites=351659416199734410&as_sdt=2005&sciodt=0,5&hl=en",259,"2025-05-07 02:22:25","PDF","","","",,,,,89,6.36,45,2,14,"… DFT calculations on related complexes support the assumption that these complexes are acting as bifunctional catalysts.[12] It is also important to note that Morris and co-workers …","https://www.drugmoneyart.com/Organic_Chemistry/milstein/sites/Organic_Chemistry.milstein/files/uploads/23.pdf","https://scholar.google.com/scholar?q=related:iqSBOGBY4QQJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
224,"L Tong, L Duan, L Sun, Y Xu, T Privalov","Structural modifications of mononuclear ruthenium complexes: a combined experimental and theoretical study on the kinetics of ruthenium-catalyzed water oxidation",2011,"… Chemie-International Edition","elibrary.ru","https://elibrary.ru/item.asp?id=16683981","https://scholar.google.com/scholar?cites=17589898257539179234&as_sdt=2005&sciodt=0,5&hl=en",348,"2025-05-07 02:22:25","","10.1002/anie.201005141","","",,,,,224,16.00,45,5,14,"… catalysts changes the kinetics of O 2 evolution from second- to first-order (see scheme). According to DFT … and their reorganization through the catalytic cycle are implicated in pathway …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201005141","https://scholar.google.com/scholar?q=related:4qLiG0XfG_QJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
496,"F Monnier, M Taillefer","Catalytic CC, CN, and CO Ullmann-type coupling reactions: copper makes a difference",2008,"Angewandte Chemie International Edition","hal.science","https://hal.science/hal-00271866/","https://scholar.google.com/scholar?cites=13469366701400937689&as_sdt=2005&sciodt=0,5&hl=en",612,"2025-05-07 02:22:25","","","","",,,,,496,29.18,248,2,17,"Copper makes the difference: Important challenges have been overcome in copper-catalyzed Ullmann reactions since its renaissance in the early 2000s. Significant advances in this …","https://hal.science/hal-00271866v1/file/version_HAL.pdf","https://scholar.google.com/scholar?q=related:2VR6sqbN7LoJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
195,"MHG Prechtl, M Holscher, Y Ben-David, ...","H/D exchange at aromatic and heteroaromatic hydrocarbons using D2O as the deuterium source and ruthenium dihydrogen complexes as the catalyst",2007,"… International Edition","kups.ub.uni-koeln.de","https://kups.ub.uni-koeln.de/6997/1/2269_ftp.pdf","https://scholar.google.com/scholar?cites=1568497576733420828&as_sdt=2005&sciodt=0,5&hl=en",117,"2025-05-07 02:22:25","PDF","","","",,,,,195,10.83,49,4,18,"… DFT calculations support a catalytic cycle comprising σ-bond metathesis as the key step for the exchange processes and with a strong steric component directing the effect. Further …","https://kups.ub.uni-koeln.de/6997/1/2269_ftp.pdf","https://scholar.google.com/scholar?q=related:HK1BXDxsxBUJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
101,"J Wang, CY Fan, Q Sun, K Reuter, ...","Surface coordination chemistry: Dihydrogen versus hydride complexes on RuO2 (110)",2003,"Angewandte Chemie …","nomad.fhi.mpg.de","https://nomad.fhi.mpg.de/uploads/publications/th/ACIE-42-2151-2003.pdf","https://scholar.google.com/scholar?cites=17409242036549231418&as_sdt=2005&sciodt=0,5&hl=en",69,"2025-05-07 02:22:25","PDF","","","",,,,,101,4.59,20,5,22,"… between homogeneous and heterogeneous catalysis. We find … conjunction with density-functional theory (DFT) calculations … In our DFT calculations we tested several alternative config…","https://nomad.fhi.mpg.de/uploads/publications/th/ACIE-42-2151-2003.pdf","https://scholar.google.com/scholar?q=related:OqNQ5WQNmvEJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
