Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2428,"R Noyori, T Ohkuma","Asymmetric catalysis by architectural and functional molecular engineering: practical chemo‐and stereoselective hydrogenation of ketones",2001,"Angewandte Chemie International …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/1521-3773(20010105)40:1%3C40::AID-ANIE40%3E3.0.CO;2-5","https://scholar.google.com/scholar?cites=15964749804747547495&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 02:25:16","","10.1002/1521-3773(20010105)40:1%3C40::AID-ANIE40%3E3.0.CO;2-5","","",,,,,2428,101.17,1214,2,24,"… an uncommonly practical homogeneous hydrogenation process. … that effect selective ketone hydrogenation have existed. – 13 … mechanistic information about ketone hydrogenation, our …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/1521-3773%2820010105%2940%3A1%3C40%3A%3AAID-ANIE40%3E3.0.CO%3B2-5","https://scholar.google.com/scholar?q=related:Z-P2z1wvjt0J:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"CL Oates, AS Goodfellow, M Bühl…","Rational Design of a Facially Coordinating P,N,N Ligand for Manganese‐Catalysed Enantioselective Hydrogenation of Cyclic Ketones",2023,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202212479","https://scholar.google.com/scholar?cites=13893236101078052956&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 02:25:16","","10.1002/anie.202212479","","",,,,,28,14.00,7,4,2,"… hydrogenation, with just a few catalysts pictured in Figure 1 for brevity. In terms of enantioselective ketone hydrogenation, … Here we show how DFT calculations of the catalytic cycle have …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202212479","https://scholar.google.com/scholar?q=related:XPBj2Z-wzsAJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
89,"G Bauer, KA Kirchner","Well‐Defined Bifunctional Iron Catalysts for the Hydrogenation of Ketones: Iron, the New Ruthenium",2011,"Angewandte Chemie-International …","drugmoneyart.com","https://www.drugmoneyart.com/Organic_Chemistry/milstein/sites/Organic_Chemistry.milstein/files/uploads/23.pdf","https://scholar.google.com/scholar?cites=351659416199734410&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 02:25:16","PDF","","","",,,,,89,6.36,45,2,14,"… similar intermediate with a H-Fe-NH pattern that permits outer-sphere hydrogenation. DFT calculations on related complexes support the assumption that these complexes are acting as …","https://www.drugmoneyart.com/Organic_Chemistry/milstein/sites/Organic_Chemistry.milstein/files/uploads/23.pdf","https://scholar.google.com/scholar?q=related:iqSBOGBY4QQJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
80,"B Gao, X Feng, W Meng, H Du","Asymmetric hydrogenation of ketones and enones with chiral Lewis base derived frustrated Lewis pairs",2020,"… Chemie International Edition","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201914568","https://scholar.google.com/scholar?cites=14092169754774376361&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 02:25:16","","10.1002/anie.201914568","","",,,,,80,16.00,20,4,5,"… FLPs for asymmetric hydrogenation. We set out to examine the asymmetric hydrogenation of the ketone 1 a using 10 … DFT calculations indicate the proton and hydride transfer to simple …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201914568","https://scholar.google.com/scholar?q=related:qY_Ue7pxkcMJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"V Chugh, B Chatterjee, WC Chang…","An adaptive rhodium catalyst to control the hydrogenation network of nitroarenes",2022,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202205515","https://scholar.google.com/scholar?cites=17797326933570588980&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 02:25:16","","10.1002/anie.202205515","","",,,,,24,8.00,6,4,3,"… Mechanistic studies and density functional theory (DFT) … well-established hydrogenation/transfer-hydrogenation catalysts (… no reactivity or only hydrogenated the ketone, …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202205515","https://scholar.google.com/scholar?q=related:NJH3Qo3O_PYJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
40,"CQ Deng, J Liu, JH Luo, LJ Gan…","Proton‐Promoted Nickel‐Catalyzed Asymmetric Hydrogenation of Aliphatic Ketoacids",2022,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202115983","https://scholar.google.com/scholar?cites=16804164173230859968&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 02:25:16","","10.1002/anie.202115983","","",,,,,40,13.33,8,5,3,"… hydrogenation of ketones. In this catalyst system, aromatic ketones could be hydrogenated … To better gain insight into the mechanism of this reaction, we performed DFT calculations for …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202115983","https://scholar.google.com/scholar?q=related:wGbFhEhiNOkJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Y Song, Y Zou, T Chen, Z Zhang…","Cobalt‐Catalyzed Asymmetric Hydrogenation of α‐Hydroxy Ketones Enabled by a Carboxylic Acid Additive Promotion Strategy",,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202504159","",7,"2025-05-07 02:25:16","","10.1002/anie.202504159","","",,,,,0,0.00,0,5,,"… Based on the experimental observation and DFT calculations, Scheme 4b describes a non-redox cobalt(II) catalytic cycle and an acidpromoted and OH-group-assisted …","","https://scholar.google.com/scholar?q=related:aD_rKuUZ6bsJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
89,"L Zhang, Z Wang, Z Han, K Ding","Manganese‐Catalyzed anti‐Selective Asymmetric Hydrogenation of α‐Substituted β‐Ketoamides",2020,"… Chemie International Edition","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202006383","https://scholar.google.com/scholar?cites=6329358601794528664&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 02:25:16","","10.1002/anie.202006383","","",,,,,89,17.80,22,4,5,"… clarified by DFT calculations. … hydrogenation of various simple ketones. Herein, we report the first successful application of Mn catalysts 1 in a dynamic kinetic asymmetric hydrogenation …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202006383","https://scholar.google.com/scholar?q=related:mKUGLB1m1lcJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"M Batuecas, RY Kong, AJP White…","Functionalization and hydrogenation of carbon chains derived from CO",2022,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202202241","https://scholar.google.com/scholar?cites=9370711051770633016&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 02:25:16","","10.1002/anie.202202241","","",,,,,12,4.00,3,4,3,"… (aldehyde, ketones, isocyanide) to form hydrogenated C 3 and … followed by functionalization and hydrogenation of the chain … for the hydrogenation reaction were calculated by DFT. The …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202202241","https://scholar.google.com/scholar?q=related:OJudrQ10C4IJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
48,"X Wang, Y Jiao, L Li, Y Zheng…","Local environment determined reactant adsorption configuration for enhanced electrocatalytic acetone hydrogenation to propane",2022,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202114253","https://scholar.google.com/scholar?cites=12122795136612645848&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 02:25:16","","10.1002/anie.202114253","","",,,,,48,16.00,10,5,3,"… DFT calculations indicate that the H coverage on catalyst surface plays a decisive role in the … hydrogenation (APH). Electrocatalytic APH is a typical representation of aliphatic ketones to …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202114253","https://scholar.google.com/scholar?q=related:2DuhivLRPKgJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
