Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
7,"F Diederich","125 Years of Chemistry in the Mirror of “Angewandte”",2013,"Angewandte Chemie International Edition","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201300056","https://scholar.google.com/scholar?cites=3659553814833541292&as_sdt=2005&sciodt=0,5&hl=en",244,"2025-05-07 02:26:25","","10.1002/anie.201300056","","",,,,,7,0.58,7,1,12,"… successfully as ligands in organic homogeneous catalysis, for example, in olefin metathesis. Subsequently, the length of communications increased to between one and two pages. …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201300056","https://scholar.google.com/scholar?q=related:rDCUMc5YyTIJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
67,"A Schnepf, G Stößer, R Köppe…","2+[Ga12(C13H9)10]2−: The First Molecular Compound with an Icosahedral Ga12 Framework",2000,"Angewandte Chemie …","academia.edu","https://www.academia.edu/download/42602963/Lithf42Ga12C13H910_die_erste_molekul20160211-31826-15zaea9.pdf","https://scholar.google.com/scholar?cites=12233253210155612821&as_sdt=2005&sciodt=0,5&hl=en",111,"2025-05-07 02:26:25","PDF","","","",,,,,67,2.68,17,4,25,"… recently been synthesized in metathesis reactions. In contrast… , we performed additional density functional theory (DFT) … highly suitable for the hydroformylation of longchain olefins. …","https://www.academia.edu/download/42602963/Lithf42Ga12C13H910_die_erste_molekul20160211-31826-15zaea9.pdf","https://scholar.google.com/scholar?q=related:lXq75vo-xakJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"G Si, C Tan, M Chen, C Chen","A Cocatalyst Strategy to Enhance Ruthenium‐Mediated Metathesis Reactivity towards Electron‐Deficient Substrates",2022,"… Chemie International Edition","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202203796","https://scholar.google.com/scholar?cites=8297853035662455757&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 02:26:25","","10.1002/anie.202203796","","",,,,,20,6.67,5,4,3,"… Ruthenium-mediated olefin metathesis has been widely … Inspired by the cocatalyst strategy for olefin polymerization, here we … metathesis of dimethyl maleate, density functional theory (…","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202203796","https://scholar.google.com/scholar?q=related:zbMOPV_lJ3MJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
955,"JP Wolfe, SL Buchwald","A highly active catalyst for the room‐temperature amination and Suzuki coupling of aryl chlorides",1999,"Angewandte Chemie International …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1521-3773(19990816)38:16%3C2413::AID-ANIE2413%3E3.0.CO;2-H","https://scholar.google.com/scholar?cites=10184057143870952135&as_sdt=2005&sciodt=0,5&hl=en",101,"2025-05-07 02:26:25","","10.1002/(SICI)1521-3773(19990816)38:16%3C2413::AID-ANIE2413%3E3.0.CO;2-H","","",,,,,955,36.73,478,2,26,"… [1, 2] In olefin metathesis[3] ruthenium alkylidene compounds 2[4] bearing two NHC ligands … In the catalytic cycle of olefin metathesis the mechanistic scheme for 1 postulates the …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/(SICI)1521-3773(19990816)38:16%3C2413::AID-ANIE2413%3E3.0.CO;2-H","https://scholar.google.com/scholar?q=related:xxK10AMKVY0J:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
39,"P Dabringhaus, M Schorpp, H Scherer…","A Highly Lewis Acidic Strontium ansa‐Arene Complex for Lewis Acid Catalysis and Isobutylene Polymerization",2020,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202010019","https://scholar.google.com/scholar?cites=13024004382620299356&as_sdt=2005&sciodt=0,5&hl=en",191,"2025-05-07 02:26:25","","10.1002/anie.202010019","","",,,,,39,7.80,10,4,5,"… Ae complexes with neutral ligands, we investigated the salt metathesis between Ag[Al(OR F ) 4 ] … [b] [Sr(o-DFB) 7 ] 2+ is the DFT calculated optimum structure of Sr 2+ only solvated by o-…","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202010019","https://scholar.google.com/scholar?q=related:XLA2W_uOvrQJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"FD Cannavacciuolo, R Yadav, A Esper…","A High‐Throughput Approach to Repurposing Olefin Polymerization Catalysts for Polymer Upcycling",2022,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202202258","https://scholar.google.com/scholar?cites=17942185307783369616&as_sdt=2005&sciodt=0,5&hl=en",26,"2025-05-07 02:26:25","","10.1002/anie.202202258","","",,,,,17,5.67,4,4,3,"… -metallocene catalyst subset, only a weak correlation between electrophilicity of the central metal (as indicated by Hirshfeld charges on the MCl 2 fragment determined from the DFT …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202202258","https://scholar.google.com/scholar?q=related:kBOpxHly__gJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"F Ritter, D Mukherjee, TP Spaniol…","A masked cuprous hydride as a catalyst for carbonyl hydrosilylation in aqueous solutions",2019,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201811890","https://scholar.google.com/scholar?cites=2704820040154633695&as_sdt=2005&sciodt=0,5&hl=en",225,"2025-05-07 02:26:25","","10.1002/anie.201811890","","",,,,,28,4.67,7,4,6,"… The extent of the Cu⋅⋅⋅H⋅⋅⋅B interaction in 1 was probed by DFT calculations on the basis of the NBO analysis, the Wiberg bond indices, and the quantum theory of atoms in …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201811890","https://scholar.google.com/scholar?q=related:31XG6n5ziSUJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
54,"B Qu, LP Samankumara, S Ma…","A mild dihydrobenzooxaphosphole oxazoline/iridium catalytic system for asymmetric hydrogenation of unfunctionalized dialins",2014,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201408929","https://scholar.google.com/scholar?cites=16163927417627026529&as_sdt=2005&sciodt=0,5&hl=en",208,"2025-05-07 02:26:25","","10.1002/anie.201408929","","",,,,,54,4.91,14,4,11,"… The DFT calculations on the transition states supported the stereochemical model. The trisubstituted alkene was found to have one viable binding mode to the dihydride iridium complex …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201408929","https://scholar.google.com/scholar?q=related:YSTbnljOUeAJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
162,"SM Hansen, MAO Volland, F Rominger…","A new class of ruthenium carbene complexes: Synthesis and structures of highly efficient catalysts for olefin metathesis",1999,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1521-3773(19990503)38:9%3C1273::AID-ANIE1273%3E3.0.CO;2-0","https://scholar.google.com/scholar?cites=8826108851924450197&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-05-07 02:26:25","","10.1002/(SICI)1521-3773(19990503)38:9%3C1273::AID-ANIE1273%3E3.0.CO;2-0","","",,,,,162,6.23,41,4,26,"… Their molecular geometries, represented in Figure1 for 2d as a typical case, display interesting subtle differences, which have been discussed on the basis of EH and DFT calculations …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/(SICI)1521-3773(19990503)38:9%3C1273::AID-ANIE1273%3E3.0.CO;2-0","https://scholar.google.com/scholar?q=related:lTvj8zyjfHoJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
29,"S Aghazada, M Miehlich…","A terminal iron nitrilimine complex: accessing the terminal nitride through diazo N− N bond cleavage",2019,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201910428","https://scholar.google.com/scholar?cites=10784367688119926699&as_sdt=2005&sciodt=0,5&hl=en",86,"2025-05-07 02:26:25","","10.1002/anie.201910428","","",,,,,29,4.83,10,3,6,"… insertion, cyclopropanation, the preparation of olefin metathesis catalysts, and even in enzyme-… Geometry optimization in the quintet state by density functional theory (DFT; BP86-D3BJ/…","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201910428","https://scholar.google.com/scholar?q=related:q7-WOUbFqZUJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
