Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
10,"C Matt, A Orthaber, J Streuff","Catalytic Asymmetric β‐Oxygen Elimination",2022,"… Chemie International Edition","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202114044","https://scholar.google.com/scholar?cites=17895454296315445297&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 02:23:29","","10.1002/anie.202114044","","",,,,,10,3.33,3,3,3,"… β-O-elimination, the application in diol and amino alcohol synthesis, and a DFT-supported … A stereochemical analysis supported by DFT calculations reveals that a high selectivity in the …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202114044","https://scholar.google.com/scholar?q=related:McAeSt5sWfgJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
448,"T Fujita, K Fuchibe, J Ichikawa","Transition‐Metal‐Mediated and‐Catalyzed C− F Bond Activation by Fluorine Elimination",2019,"… Chemie International Edition","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201805292","https://scholar.google.com/scholar?cites=10451939202283370686&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 02:23:29","","10.1002/anie.201805292","","",,,,,448,74.67,149,3,6,"… intermediates, the DFT calculations revealed that the β-fluorine elimination pathway is more favorable (energy barrier: 7.9 kcal mol −1 for the β-fluorine elimination pathway, 46.5 kcal …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201805292","https://scholar.google.com/scholar?q=related:vngU5lO_DJEJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"M Chen, Y Liang, T Dong, W Liang…","Z‐Selective α‐Arylation of α,β‐Unsaturated Nitriles via [3,3]‐Sigmatropic Rearrangement",2021,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202010740","https://scholar.google.com/scholar?cites=9051471885166333346&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 02:23:29","","10.1002/anie.202010740","","",,,,,30,7.50,6,5,4,"… The control experiments and DFT calculations support a four-stage reaction … -elimination. Among these stages, the Lewis base addition is diastereoselective and E1cB-elimination is cis-…","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202010740","https://scholar.google.com/scholar?q=related:ok3GCblJnX0J:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"X Chen, HC Gülen, J Wu, ZJ Zhang…","Close‐shell reductive elimination versus open‐shell radical coupling for site‐selective ruthenium‐catalyzed C− H activations by computation and experiments",2023,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202302021","https://scholar.google.com/scholar?cites=14322016408910507014&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 02:23:29","","10.1002/anie.202302021","","",,,,,18,9.00,4,5,2,"… Spin density distribution analysis indicates that the majority of alpha and beta spins are … To this end, we performed systematic DFT calculations to unravel mechanistic details in the …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202302021","https://scholar.google.com/scholar?q=related:Bixt6AoGwsYJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"JS Bestwick, DJ Jones, HE Jones…","Total Synthesis and Prediction of Ulodione Natural Products Guided by DFT Calculations",2022,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202207004","https://scholar.google.com/scholar?cites=13372317950080927280&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 02:23:29","","10.1002/anie.202207004","","",,,,,6,2.00,2,4,3,"… conditions for the efficient elimination of AcOH from ulodione … 7 followed by syn-elimination and Diels–Alder dimerization to … be phosphorylated and undergo elimination and Diels–Alder …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202207004","https://scholar.google.com/scholar?q=related:MEYndlMElLkJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"YY Zhang, Y Zhang, XS Xue…","Reversal of the Regioselectivity of Iron‐Promoted Hydrogenation and Hydrohalogenation of gem‐Difluoroalkenes",2024,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202406324","https://scholar.google.com/scholar?cites=18079406243823318230&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 02:23:29","","10.1002/anie.202406324","","",,,,,9,9.00,2,4,1,"… β-fluorine elimination to give monofluorinated alkenes.[7,8] … , we employed density functional theory (DFT) calculations, … that are typically absent in DFT calculations. The optimization …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202406324","https://scholar.google.com/scholar?q=related:1nQRoTD05voJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"C Curti, G Rassu, M Lombardo…","Unlocking Access to Enantiopure Fused Uracils by Chemodivergent [4+ 2] Cross‐Cycloadditions: DFT‐Supported Homo‐Synergistic Organocatalytic Approach",2020,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202007509","https://scholar.google.com/scholar?cites=14182703754414452766&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 02:23:29","","10.1002/anie.202007509","","",,,,,16,3.20,4,4,5,"… eliminated product 9 aa could be formed from this intermediate, we tried to model the elimination … Indeed, a possible elimination pathway was found from enamine I-2 a-EN-H + bearing …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202007509","https://scholar.google.com/scholar?q=related:HvB45OsV08QJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
94,"SK Zhang, J Struwe, L Hu…","Nickela‐electrocatalyzed C− H Alkoxylation with Secondary Alcohols: Oxidation‐Induced Reductive Elimination at Nickel (III)",2020,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201913930","https://scholar.google.com/scholar?cites=7107752055877964246&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 02:23:29","","10.1002/anie.201913930","","",,,,,94,18.80,24,4,5,"… , cyclovoltammetry, and density functional theory (DFT) calculations provided support for a process involving oxidation-induced reductive elimination. MQ=6-methylquinoline. …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201913930","https://scholar.google.com/scholar?q=related:1pEoGtbOo2IJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
53,"H Zhang, E Wang, S Geng, Z Liu, Y He…","Experimental and Computational Studies of the Iron‐Catalyzed Selective and Controllable Defluorosilylation of Unactivated Aliphatic gem‐Difluoroalkenes",2021,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202100049","https://scholar.google.com/scholar?cites=10207221734750772450&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 02:23:29","","10.1002/anie.202100049","","",,,,,53,13.25,9,6,4,"… mechanistic studies and DFT calculations reveal that a nucleophilic addition and elimination of the … Due to an inherent DFT error for spin state calculation, we cannot fully exclude quintet …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202100049","https://scholar.google.com/scholar?q=related:4lx3axZWp40J:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"W Kong, Y Bao, L Lu, Z Han, Y Zhong…","Base‐Modulated 1, 3‐Regio‐and Stereoselective Carboboration of Cyclohexenes",2023,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202308041","https://scholar.google.com/scholar?cites=3064157366742114859&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 02:23:29","","10.1002/anie.202308041","","",,,,,24,12.00,4,6,2,"… not β-H elimination. We next performed density functional theory (DFT) calculations to elucidate the regioselectivity. As shown in (Figure 2E), the β-H elimination in the intermediate V (…","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202308041","https://scholar.google.com/scholar?q=related:K2KP9OMShioJ:scholar.google.com/&scioq=source:%22angewandte+chemie+international+edition%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
