Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"R Miguélez, O Arto, C Rodríguez‐Arias…","1‐Haloalkynes: Privileged Substrates for Gold Catalysis",2024,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202400617","https://scholar.google.com/scholar?cites=14601258219167447074&as_sdt=2005&sciodt=0,5&hl=en",798,"2025-05-07 12:51:13","","10.1002/cctc.202400617","","",,,,,1,1.00,0,4,1,"… describing the unique ability of gold to activate alkynes towards the addition of nucleophiles … and substantiated by DFT calculations. In this new proposal, the C—H insertion would take …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202400617","https://scholar.google.com/scholar?q=related:Ing6U_0WosoJ:scholar.google.com/&scioq=source:chemcatchem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"B Pratihar, A Jana, A Kumar De, S De","2D Boron Nanosheets for Photo‐and Electrocatalytic Applications",2024,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202301527?casa_token=NvXokUAJJ7cAAAAA:uI-z3w9PBf3JUxcz-GBHIlccENOEdMB9RPHx2LFiJIUXfNUpMCbtnaH-N04UGaLx_Gf3WO5WyPeOlAM","https://scholar.google.com/scholar?cites=13593593160259989284&as_sdt=2005&sciodt=0,5&hl=en",684,"2025-05-07 12:51:13","","10.1002/cctc.202301527","","",,,,,7,7.00,2,4,1,"… Also, DFT calculations showed that the … DFT calculations showed that the icosahedron boron sites on the facets of boron nanosheets favor N 2 adsorption for initial activation. The …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202301527?casa_token=RO60m1G99zwAAAAA:fJusz_78MirP2ucPV6bs_dAx4MXlcAVL-zHNqzQQeWtXyV0tUM6MYR8dD_IvMOZdPPWnTZ4sLbU_d28","https://scholar.google.com/scholar?q=related:JO95EvUkprwJ:scholar.google.com/&scioq=source:chemcatchem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"R Kong, T Fu, R Yang, D Chen, D Liang…","4‐Nitroanisole Facilitates Proton Reduction: Visible Light‐Induced Oxidative Aryltrifluoromethylation of Alkenes with Hydrogen Evolution",2021,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202100304?casa_token=LCKbZCfWO-IAAAAA:R5RblI_2RrZFzuIxTZ3Q0oVU2UkJSLOuW5QWMjMVuiayGp7d4tHe7FBmvoK9DEX2QD7B_lVK1xTFIhk","https://scholar.google.com/scholar?cites=8430113304582933039&as_sdt=2005&sciodt=0,5&hl=en",502,"2025-05-07 12:51:13","","10.1002/cctc.202100304","","",,,,,20,5.00,3,6,4,"… as a proton source is activated and the proton photoreduction … Such a protocol is general, for both activated and unactivated … Density functional theory (DFT) calculations 30 revealed that …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202100304?casa_token=ECqi8NFJmP8AAAAA:cCQludv9Pfr0OnMHvxKRuQua7ySXJcgoHTF9T9AlNCrdqYyFyt5aO-lQMcnPdPlwm1b1aegPcNsfd0k","https://scholar.google.com/scholar?q=related:L8r1x2LH_XQJ:scholar.google.com/&scioq=source:chemcatchem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"Y Yao, JH Wu, G Liu, R Zhang, ZS Yang, S Gao…","A Bio‐Inspired Bimetallic Fe−M Catalyst for Electro‐ and Photochemical CO2 Reduction",2024,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202301705?casa_token=q-wRNPGOmnQAAAAA:5we1pXwEBlGlsPls-S6iRMieWrh5VdLc37ld635dSwBqLZ-BEBVjzrxS7hBfj_lUtZVCojCsd_x0cFE","https://scholar.google.com/scholar?cites=17848689013599179010&as_sdt=2005&sciodt=0,5&hl=en",148,"2025-05-07 12:51:13","","10.1002/cctc.202301705","","",,,,,3,3.00,0,7,1,"… effect, we performed mechanistic studies together with density functional theory (DFT) calculations. Our results show that Cu 2+ or Zn 2+ activates CO 2 towards reduction due to its …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202301705?casa_token=tB2CJ_7FkXEAAAAA:oSdK1vtrNgaMYlxnmxFBa5z2kjfXso8vSmQRoPNCh5vW0HXRaPCqpoLZYqbg2I_3XkgJBlgBA22Vg30","https://scholar.google.com/scholar?q=related:AhH_aRdIs_cJ:scholar.google.com/&scioq=source:chemcatchem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"A Sorato, M De Angelis, S Badasa Oljira…","A C3‐Symmetric Amino Organocatalyst for Asymmetric Synthesis of Warfarin and Analogues: Mechanistic Insight from ESI‐MS Spectrometry and Computational …",2024,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202400031?casa_token=ABbIKjpj_sQAAAAA:yI93mSJ8JxNWJY8SAX9cti7G9pcDVFaZqLDHP4lnmvtvDgUWWhVHV2tFEHJCWYpM4-NvAd1RIzQ1a6I","https://scholar.google.com/scholar?cites=11707353741696151593&as_sdt=2005&sciodt=0,5&hl=en",815,"2025-05-07 12:51:13","","10.1002/cctc.202400031","","",,,,,1,1.00,0,4,1,"… 4 optimized at the DFT B3LYP/6-31G* level of theory. … (thanks to a very low activation barrier, amounting to about 12 kcal) … of coumarin (the estimated activation barriers were of only 1.3 …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202400031?casa_token=kHAISvh8cPQAAAAA:JT8bzCJXUhZFqf_PcAxdAlT1yg8_sOoA02wIGHm_VYbDuis_QnFJLBkUvY5iQyoLkohIGaZ6teAULY0","https://scholar.google.com/scholar?q=related:KbCjKTPgeKIJ:scholar.google.com/&scioq=source:chemcatchem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"M Chen, J Xia, H Li, X Zhao, Q Peng, J Wang…","A cationic Ru (II) complex intercalated into zirconium phosphate layers catalyzes selective hydrogenation via heterolytic hydrogen activation",2021,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202100599?casa_token=9gMXOddOy6oAAAAA:gsdkJZuSf1G84tHe1u0wfvLNh0gjfy2diLm7ok9OOTKz5MEU_aTRdQcd9fxP_yTfMhmADUTIf5mVLZk","https://scholar.google.com/scholar?cites=14535191822091100140&as_sdt=2005&sciodt=0,5&hl=en",110,"2025-05-07 12:51:13","","10.1002/cctc.202100599","","",,,,,9,2.25,1,7,4,"… Notably, on the basis of the further characterization and density functional theory (DFT) … plays a crucial role in the heterolytic hydrogen activation and selective hydrogenation of biomass-…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202100599?casa_token=gN1nP9Huq0oAAAAA:Kfq4wKrLhpmlkFMAqM3XfghX2hzwXANWdZJ2Dwl58hZuxQCdzhOq_ae4H5sv1u3CD3PUMEW3Q5NqF04","https://scholar.google.com/scholar?q=related:7B_nkfNft8kJ:scholar.google.com/&scioq=source:chemcatchem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
62,"T Komanoya, A Suzuki, K Nakajima, M Kitano…","A Combined Catalyst of Pt Nanoparticles and TiO2 with Water‐Tolerant Lewis Acid Sites for One‐Pot Conversion of Glycerol to Lactic Acid",2016,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201501197?casa_token=xJLoEuVEn3oAAAAA:6_1g5Ove9sz6zmqReAlKpJPLmVlgBjKD24wvqrhEbJ1hEIwy8eRvXncTpol1F7mwyeSD9jPp3unqkeA","https://scholar.google.com/scholar?cites=6418318848332710056&as_sdt=2005&sciodt=0,5&hl=en",909,"2025-05-07 12:51:13","","10.1002/cctc.201501197","","",,,,,62,6.89,12,5,9,"… activated carbon (50 mg), metal nanoparticle (0.1 wt % metals with respect to metal oxide or activated … The DFT calculations were conducted at the B3LYP level theory (6-31++G* basis …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.201501197?casa_token=KnavseGsRRQAAAAA:3tzFt4b0I09WCckR9ipog-sKRGn3As7PoMUOd4T_bdzyM8vFHlrD4fY9zfv-SRJyNsq0YooC-STMLb4","https://scholar.google.com/scholar?q=related:qMAQovxyElkJ:scholar.google.com/&scioq=source:chemcatchem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
63,"K Zhou, H Liu, H Shu, S Xiao, D Guo, Y Liu…","A comprehensive study on the reductive amination of 5‐hydroxymethylfurfural into 2, 5‐bisaminomethylfuran over Raney Ni through DFT calculations",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201900304?casa_token=HLyxHgdzJ9kAAAAA:DL0dpCG8z3TWGEV5N117l1IjkpAUloSa3Ry2ctkZCVeKhdPx4Bk93zK2RvwV7ozXhDPAxxzLVL6sU-4","https://scholar.google.com/scholar?cites=12247402103959520627&as_sdt=2005&sciodt=0,5&hl=en",133,"2025-05-07 12:51:13","","10.1002/cctc.201900304","","",,,,,63,10.50,9,7,6,"… The DFT calculations on the adsorption behavior of NH 3 and H 2 on different metal surfaces showed that the difference of the adsorption energy between NH 3 and H 2 on Ni is lower …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201900304?casa_token=rtddF66_McUAAAAA:iL-DKFjvrsK933Kc07d10TdcPbwlD9kfxhYEaUNYxO5cb3dJMJEkbjrs53mnblJYb4zQr8KRDh5erjg","https://scholar.google.com/scholar?q=related:cwXh81KD96kJ:scholar.google.com/&scioq=source:chemcatchem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"TJ Goncalves, PN Plessow, F Studt","A Computational Investigation of OME‐synthesis through Homogeneous Acid Catalysis",2019,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201900115?casa_token=efiuEq9wju4AAAAA:OcEvZuC2CHwmWZRQNreDyRUTwnBFbSPJsV37QLJFE262rTaklbc8FlV-poJjMUAyEEH5qkha7HJ4lZM","https://scholar.google.com/scholar?cites=2693871216014335074&as_sdt=2005&sciodt=0,5&hl=en",315,"2025-05-07 12:51:13","","10.1002/cctc.201900115","","",,,,,5,0.83,2,3,6,"… , density functional theory and implicit solvation models. Additionally, formaldehyde is considered as a reactant and we find its activation … use ab initio and density functional theory (DFT) …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201900115?casa_token=ss-4o7ut08oAAAAA:uVSgU9roDa6guKSeL3UZecHt8cV9A8maTSA6_GxjvrjejAt3m6QpQMVhYfAT1bzt4QfKSoD4zx5SAyY","https://scholar.google.com/scholar?q=related:YhwvJZmNYiUJ:scholar.google.com/&scioq=source:chemcatchem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
164,"DW Boukhvalov, DR Dreyer, CW Bielawski…","A computational investigation of the catalytic properties of graphene oxide: Exploring mechanisms by using DFT methods",2012,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201200210?casa_token=AlqtfZI9NwoAAAAA:Bap1lRxfZMhPb_WMBwqlGFgQTGqLZ2XlsowIU0M2RetxvkEEVXqYI0uV8sJAHhHNKq6TNCdVUhjrqqg","https://scholar.google.com/scholar?cites=12897496902519346694&as_sdt=2005&sciodt=0,5&hl=en",18,"2025-05-07 12:51:13","","10.1002/cctc.201200210","","",,,,,164,12.62,41,4,13,"… for the activation of molecular oxygen on functionalized graphene and found that the presence of hydroxyl groups significantly decreased the activation … the oxygen activation energy to a …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201200210?casa_token=9SK3qPZNKdYAAAAA:QnTpfhjjbYVZoBUfKjeQwhmqHRa1HV9f6CYS4lPXcCEl7ge2q5klIAqoEyIG15UNyhAl7brLkjKZhkE","https://scholar.google.com/scholar?q=related:BtZdVhkd_bIJ:scholar.google.com/&scioq=source:chemcatchem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
