Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"R Miguélez, O Arto, C Rodríguez‐Arias…","1‐Haloalkynes: Privileged Substrates for Gold Catalysis",2024,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202400617","https://scholar.google.com/scholar?cites=14601258219167447074&as_sdt=2005&sciodt=0,5&hl=en",161,"2025-05-07 16:08:31","","10.1002/cctc.202400617","","",,,,,1,1.00,0,4,1,"… Although DFT calculations initially supported the … However, DFT calculations showed that such reaction pathway … was also put forward and substantiated by DFT calculations. In this new …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202400617","https://scholar.google.com/scholar?q=related:Ing6U_0WosoJ:scholar.google.com/&scioq=source:chemcatchem+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"CD Smith, DJ France","2-Alkenyl Furans from a Palladium-Catalyzed Cyclization and Coupling of Ene-Yne-Ketones.",2014,"ChemCatChem","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=18673880&AN=94727695&h=DZVHTI65TzCrUD05LAGKberZQSeGGmEIWKvMCQf8pU6TUqM9eVqkHpYQOApyOWtPjRgemzzxUH6Y7pVfj2BA6Q%3D%3D&crl=c","https://scholar.google.com/scholar?cites=3195021189328760842&as_sdt=2005&sciodt=0,5&hl=en",33,"2025-05-07 16:08:31","","","","",,,,,5,0.45,3,2,11,"… of the reaction mechanism, extensive DFT calculations were performed. The mechanism … ment of palladium-catalyzed cross-coupling reactions involving carbene intermediates. The …","","https://scholar.google.com/scholar?q=related:CnDJ_9f-ViwJ:scholar.google.com/&scioq=source:chemcatchem+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"M Reboli, M Durandetti","A Comprehensive Review of Intramolecular Hydrosilylation of Alkynes and Alkenes",2025,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202402136","",196,"2025-05-07 16:08:31","","10.1002/cctc.202402136","","",,,,,0,0.00,0,2,1,"… and developed electro-catalyzed cross-coupling reactions using nickel, chromium or iron salts… Mechanistic studies and DFT calculations indicate that the process proceeds via a 5-endo-…","https://chemistry-europe.onlinelibrary.wiley.com/doi/am-pdf/10.1002/cctc.202402136","https://scholar.google.com/scholar?q=related:KdEIDinljv0J:scholar.google.com/&scioq=source:chemcatchem+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"M Yang, Z Chen, Y Luo, J Zhang, R He…","A DFT Insight into Hashmi Phenol Synthesis Catalyzed by M6@Au32 (M=Ag, Cu, Pd, Pt, Ru, Rh) Core–Shell Nanoclusters",2016,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201600405","https://scholar.google.com/scholar?cites=17294050502354186532&as_sdt=2005&sciodt=0,5&hl=en",216,"2025-05-07 16:08:31","","10.1002/cctc.201600405","","",,,,,8,0.89,1,6,9,"… Wu and co-workers compared the reaction mechanism of the water gas shift reaction catalyzed by a Co 6 @Au 32 nanocluster with that catalyzed by the Au 38 cluster by employing DFT …","","https://scholar.google.com/scholar?q=related:JLF82E3PAPAJ:scholar.google.com/&scioq=source:chemcatchem+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"M Obermeier, V Caliskanyuerek, R Lomlu…","A Dinuclear Re Complex as a Multi Talent–Photocatalysis and Electrocatalysis combined with Spectroscopy",2023,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202300658","https://scholar.google.com/scholar?cites=13083711209785696840&as_sdt=2005&sciodt=0,5&hl=en",280,"2025-05-07 16:08:31","","10.1002/cctc.202300658","","",,,,,1,0.50,0,4,2,"… [35] conducted extensive studies on the Re−Re bond formation for transL2-Re 2 Cl 2 upon reduction using IR-spectroelectrochemical studies in combination with DFT calculations. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202300658","https://scholar.google.com/scholar?q=related:SKISWwaukrUJ:scholar.google.com/&scioq=source:chemcatchem+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"T Hilche, SL Younas, A Gansäuer, J Streuff","A Guide to Low‐Valent Titanocene Complexes as Tunable Single‐Electron Transfer Catalysts for Applications in Organic Chemistry",2022,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202200530","https://scholar.google.com/scholar?cites=11363717423311936020&as_sdt=2005&sciodt=0,5&hl=en",103,"2025-05-07 16:08:31","","10.1002/cctc.202200530","","",,,,,21,7.00,5,4,3,"… Cyclic voltammetric, rotating ring-disk electrode, and DFT … pinacol couplings and related ketone-nitrile cross couplings that … In the pinacol coupling of benzaldehyde, an increase in yield …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202200530","https://scholar.google.com/scholar?q=related:FNps-MkItJ0J:scholar.google.com/&scioq=source:chemcatchem+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"T Tian, S Uei, Z Li, Y Nishihara","A Highly Efficient Cross‐Coupling Mode via the Release of Small Molecules: Transition Metal‐Catalyzed Unimolecular Fragment Coupling (UFC)",2024,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202401190","https://scholar.google.com/scholar?cites=13828751423431058039&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-07 16:08:31","","10.1002/cctc.202401190","","",,,,,4,4.00,1,4,1,"… reaction, transition‐metal‐catalyzed unimolecular fragment coupling (UFC) has been … cross‐coupling reactions, cross‐electrophilic coupling (XEC) and cross‐dehydrogenative coupling …","","https://scholar.google.com/scholar?q=related:dyLJ2CaY6b8J:scholar.google.com/&scioq=source:chemcatchem+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"H Wang, C Yang, C Shao, S Alturkistani…","A Homogeneous‐Heterogeneous Kinetic Study of Oxidative Coupling of Methane (OCM) on La2O3/CeO2 Catalyst",2022,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202200927","https://scholar.google.com/scholar?cites=9492956219053060934&as_sdt=2005&sciodt=0,5&hl=en",270,"2025-05-07 16:08:31","","10.1002/cctc.202200927","","",,,,,11,3.67,2,5,3,"… density functional theory (DFT) calculations, Polanyi relationships, or fitted with the observed experimental data. This indirectly emphasizes the importance of an accurate gas phase …","https://repository.kaust.edu.sa/bitstreams/10bd1d4f-0c47-4cd8-a4bd-02ab750cb2c1/download","https://scholar.google.com/scholar?q=related:RjP-qGLBvYMJ:scholar.google.com/&scioq=source:chemcatchem+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"L Neerbye Berntsen, A Nova","A Mechanistic Study of the Cu‐catalyzed N‐arylation of Hydantoin with Aryl(TMP)iodonium Salts",2023,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202301057","https://scholar.google.com/scholar?cites=12603039890566736708&as_sdt=2005&sciodt=0,5&hl=en",180,"2025-05-07 16:08:31","","10.1002/cctc.202301057","","",,,,,1,0.50,1,2,2,"… In this work, the mechanism of this reaction has been studied by DFT methods, and our results have been compared with previous and new experimental data. In contrast to the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202301057","https://scholar.google.com/scholar?q=related:ROtOtwH-5q4J:scholar.google.com/&scioq=source:chemcatchem+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"B Bhattacharyya, RM Sarhan, Y Lu, A Taubert","A Perspective on Photocatalytic Synthesis of NH3, Urea, and Amino Acids by Nanomaterials: Progress and Prospects",2024,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202400638","",445,"2025-05-07 16:08:31","","10.1002/cctc.202400638","","",,,,,0,0.00,0,4,1,"A sustainable world is only possible when we are ready to deliver a net zero carbon emission energy sector. In this regard, we must not only consider more renewable energy resources …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202400638","https://scholar.google.com/scholar?q=related:C0d0upfA47sJ:scholar.google.com/&scioq=source:chemcatchem+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
