Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"R Miguélez, O Arto, C Rodríguez‐Arias…","1‐Haloalkynes: Privileged Substrates for Gold Catalysis",2024,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202400617","https://scholar.google.com/scholar?cites=14601258219167447074&as_sdt=2005&sciodt=0,5&hl=en",439,"2025-05-07 14:11:23","","10.1002/cctc.202400617","","",,,,,1,1.00,0,4,1,"… catalyst in homogeneous catalysis was published.[3,4] Even from then, reports on gold catalysis were … Although DFT calculations initially supported the intermediacy of such species,[10] …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202400617","https://scholar.google.com/scholar?q=related:Ing6U_0WosoJ:scholar.google.com/&scioq=source:chemcatchem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"B Pratihar, A Jana, A Kumar De, S De","2D Boron Nanosheets for Photo‐and Electrocatalytic Applications",2024,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202301527?casa_token=qi3vrTzxnh8AAAAA:bZbZJ5frSINLGsoYLTNj5Wlxqzpdn3wXk0cIToCwS4_utdtleuPmbP9ogh-lLXB_VIM_kh0abkjbBSc","https://scholar.google.com/scholar?cites=13593593160259989284&as_sdt=2005&sciodt=0,5&hl=en",804,"2025-05-07 14:11:23","","10.1002/cctc.202301527","","",,,,,7,7.00,2,4,1,"… Also, DFT calculations showed that the concentration of defects may be increased in the … The prepared borophene consisted of a striped and homogeneous phase that resembled the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202301527?casa_token=pCV5xJ2uuc4AAAAA:5ZQvla5FsT9lS-3Vrfw2PIvnXwrkZhUOeZQqcvM_LAuXBNCyY_IlBR6YIhhnBKABd6Qmi-v7rh19GcA","https://scholar.google.com/scholar?q=related:JO95EvUkprwJ:scholar.google.com/&scioq=source:chemcatchem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"G Vilé, D Ng, Z Xie, I Martinez‐Botella…","3D‐printed structured reactor with integrated single‐atom catalyst film for hydrogenation",2022,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202101941","https://scholar.google.com/scholar?cites=10940190332702875790&as_sdt=2005&sciodt=0,5&hl=en",357,"2025-05-07 14:11:23","","10.1002/cctc.202101941","","",,,,,23,7.67,5,5,3,"… catalysis. These materials emulate the coordination environment of homogeneous catalysts … were calculated using the quenched solid density functional theory (QSDFT) model for N 2 …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202101941","https://scholar.google.com/scholar?q=related:juDq2yRd05cJ:scholar.google.com/&scioq=source:chemcatchem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"M Ruiz‐Castañeda, MC Carrión, L Santos…","A Biphasic Medium Slows Down the Transfer Hydrogenation and Allows a Selective Catalytic Deuterium Labeling of Amines from Imines Mediated by a Ru−H/D+ Exchange in D …",2018,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201801343?casa_token=mMswWygRJQcAAAAA:CkFvwyqBMBCf4NfiQC2glkH_Wm8SuMLEoZUcI4SbGAmw_QX08VxQNL-3wNlAV9CI7Uyoo-sPnWez0DA","https://scholar.google.com/scholar?cites=16502116094311306968&as_sdt=2005&sciodt=0,5&hl=en",609,"2025-05-07 14:11:23","","10.1002/cctc.201801343","","",,,,,13,1.86,3,4,7,"… Homogeneous transition metal catalysts are commonly used for the deuteration of amines … Calculations were performed at the DFT level using the M06 functional including an ultrafine …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201801343?casa_token=hI9MNfJXnbEAAAAA:lAxj2gBWxYSNDh8G_QB3Dz2VZ5wlatOZJcuftUVFPU2CEmC4HUpXQrN8jL86t7Wy7-T-HKplcoFj6Hg","https://scholar.google.com/scholar?q=related:2Jau4ydLA-UJ:scholar.google.com/&scioq=source:chemcatchem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
38,"J Jiang, Z Liang, X Xiong, X Zhou, H Ji","A carbazolyl porphyrin‐based conjugated microporous polymer for metal‐free photocatalytic aerobic oxidation reactions",2020,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202000199?casa_token=beIyTXDwRUcAAAAA:BbGLGoYKjsHhL04Pl9k_avMofozqmBSAZQAbMkBXs0yCPkY0aFEkzrmQ0j6Xp6MmOdILKf4y6X2A46A","https://scholar.google.com/scholar?cites=16530231509680623465&as_sdt=2005&sciodt=0,5&hl=en",867,"2025-05-07 14:11:23","","10.1002/cctc.202000199","","",,,,,38,7.60,8,5,5,"… Recent explorations about reusable homogeneous photocatalysts have utilized metal-organic … Nonlocal density functional theory (NLDFT) pore-size distribution analysis shows the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202000199?casa_token=uGykFMSIAHAAAAAA:ZryeZyw9WEDw-MMixjK9mLI9GeAGy4pTn70OHBCYZGmdh1hs_-sItN1yopSzJMCfNz7GuR3KfHPqBfg","https://scholar.google.com/scholar?q=related:aY97JfotZ-UJ:scholar.google.com/&scioq=source:chemcatchem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"M Chen, J Xia, H Li, X Zhao, Q Peng, J Wang…","A cationic Ru (II) complex intercalated into zirconium phosphate layers catalyzes selective hydrogenation via heterolytic hydrogen activation",2021,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202100599?casa_token=bPem9ouQj7cAAAAA:_3mA-_2vCh6qsLB4t1FEEGyeg-1uM5Ik2leD_fqSJtNkAYCRRO_-iJjQnv8IAaZCn37ZytoUbNDp87U","https://scholar.google.com/scholar?cites=14535191822091100140&as_sdt=2005&sciodt=0,5&hl=en",83,"2025-05-07 14:11:23","","10.1002/cctc.202100599","","",,,,,9,2.25,1,7,4,"… further characterization and density functional theory (DFT) … leads to the high catalytic performance in selective hydrogenation, … and recycling homogeneous catalysts has hampered …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202100599?casa_token=ir16zsXJlcoAAAAA:h1BRYGM7diGjMG8gwdUM5f-wixAl4SH1k5OXshpd2kwjwl92qPoQkln8JzLr79DVl6K9Y0ZckDPdUig","https://scholar.google.com/scholar?q=related:7B_nkfNft8kJ:scholar.google.com/&scioq=source:chemcatchem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
62,"T Komanoya, A Suzuki, K Nakajima, M Kitano…","A Combined Catalyst of Pt Nanoparticles and TiO2 with Water‐Tolerant Lewis Acid Sites for One‐Pot Conversion of Glycerol to Lactic Acid",2016,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201501197?casa_token=I-H9xCYikzoAAAAA:xDt2aOUtXa9REk71uAWAliRkpSnm-vjK7ap-XwHoR00d0aZkzsSPOzeJwPH7siwlNlAA8VhgQArlFqU","https://scholar.google.com/scholar?cites=6418318848332710056&as_sdt=2005&sciodt=0,5&hl=en",476,"2025-05-07 14:11:23","","10.1002/cctc.201501197","","",,,,,62,6.89,12,5,9,"… The DFT-calculated free energy diagram for the one-pot … and Au-based oxidation catalysts and homogeneous Brønsted bases (… The DFT calculations were conducted at the B3LYP level …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.201501197?casa_token=NcDLCzICFogAAAAA:WliinM41x0zuoj5vLLy0Xsp5str2HpljM-E04h6xIqpltimjdQtNDL8zTfio1dfZSQZvNk1dA-TDonU","https://scholar.google.com/scholar?q=related:qMAQovxyElkJ:scholar.google.com/&scioq=source:chemcatchem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
63,"K Zhou, H Liu, H Shu, S Xiao, D Guo, Y Liu…","A comprehensive study on the reductive amination of 5‐hydroxymethylfurfural into 2, 5‐bisaminomethylfuran over Raney Ni through DFT calculations",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201900304?casa_token=ZpePHSxidIoAAAAA:H9EdzyJD-2r1l0bnWYSIMHq7RkoQslaIK5TyyjOaZMt2z3-O6qVt5a2D_X4eRDu-aaGyVgN1VYfH38I","https://scholar.google.com/scholar?cites=12247402103959520627&as_sdt=2005&sciodt=0,5&hl=en",34,"2025-05-07 14:11:23","","10.1002/cctc.201900304","","",,,,,63,10.50,9,7,6,"… =O compounds with ammonia can be catalyzed by metal complex-based homogeneous catalysts, such as Ru- and Ir-based complex,4 solid acid catalysts, such as zeolites, phosphates…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201900304?casa_token=9qj16iSX91YAAAAA:bKonPv3JHmxx73Yk_jg8ie25Z2YPvHWJfYSKpByVX6VhmsGG2L7MnoXy-h-CWhweZkuk7JQ68zRdvTE","https://scholar.google.com/scholar?q=related:cwXh81KD96kJ:scholar.google.com/&scioq=source:chemcatchem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"TJ Goncalves, PN Plessow, F Studt","A Computational Investigation of OME‐synthesis through Homogeneous Acid Catalysis",2019,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201900115?casa_token=11lz68Nswi4AAAAA:dzb5lk_pU98qHZeb2d5q6i1F-vgP8L3sJ2Bi75rSzg9JFwZUrVrEAfY-nBnuCjk0vdrwMPosm8WlnPE","https://scholar.google.com/scholar?cites=2693871216014335074&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 14:11:23","","10.1002/cctc.201900115","","",,,,,5,0.83,2,3,6,"… Herein, we will use ab initio and density functional theory (DFT) calculations to shed light on the reaction mechanism of the synthesis of OMEs from TOX and OME1 and the influence of …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201900115?casa_token=zlKA3dAXtMYAAAAA:n3IyH-PZ-UdcL1ua0gJBG9RVw6QcwCpfgsi-65zNB5mNySzM6OK_bwIfaon34ZQnYZE4IIuL_8bzkPc","https://scholar.google.com/scholar?q=related:YhwvJZmNYiUJ:scholar.google.com/&scioq=source:chemcatchem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
164,"DW Boukhvalov, DR Dreyer, CW Bielawski…","A computational investigation of the catalytic properties of graphene oxide: Exploring mechanisms by using DFT methods",2012,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201200210?casa_token=8Dl6XgdEHUAAAAAA:inIm3Ebw1lf66wCvsaMw-NQy7yHyH7tXDIEqeUjFWM5hCyEryzy32TdgxL0DQhd7tHxbIlQkC6lStvw","https://scholar.google.com/scholar?cites=12897496902519346694&as_sdt=2005&sciodt=0,5&hl=en",28,"2025-05-07 14:11:23","","10.1002/cctc.201200210","","",,,,,164,12.62,41,4,13,"… oxidations and hydrations catalyzed by graphene oxide (GO). We used the oxidation of benzyl alcohol to benzaldehyde as a model reaction and DFT calculations revealed that the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201200210?casa_token=NoERGXAY3GgAAAAA:HOB7wFeNPS3Nvp7aQFztvu6xIjDQiaRfrfyTK9VcMYz9-zB8c3DF1esglDvZYJcHwWp0j0Eo4KlT354","https://scholar.google.com/scholar?q=related:BtZdVhkd_bIJ:scholar.google.com/&scioq=source:chemcatchem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
