Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13,"M Ruiz‐Castañeda, MC Carrión, L Santos…","A Biphasic Medium Slows Down the Transfer Hydrogenation and Allows a Selective Catalytic Deuterium Labeling of Amines from Imines Mediated by a Ru−H/D+ Exchange in D …",2018,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201801343","https://scholar.google.com/scholar?cites=16502116094311306968&as_sdt=2005&sciodt=0,5&hl=en",119,"2025-05-07 15:39:05","","10.1002/cctc.201801343","","",,,,,13,1.86,3,4,7,"… hydrogenation (TH) of imines16 or the transfer hydrogenative reductive amination of aldehydes or ketones, both … Calculations were performed at the DFT level using the M06 functional …","https://www.researchgate.net/profile/Lucia_Santos19/publication/328706123_A_Biphasic_Medium_Slows_Down_the_Transfer_Hydrogenation_and_Allows_a_Selective_Catalytic_Deuterium_Labeling_of_Amines_from_Imines_Mediated_by_a_Ru-HD_Exchange_in_D2O/links/66603d31b769e7691918f621/A-Biphasic-Medium-Slows-Down-the-Transfer-Hydrogenation-and-Allows-a-Selective-Catalytic-Deuterium-Labeling-of-Amines-from-Imines-Mediated-by-a-Ru-H-D-Exchange-in-D2O.pdf","https://scholar.google.com/scholar?q=related:2Jau4ydLA-UJ:scholar.google.com/&scioq=source:chemcatchem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"M Chen, J Xia, H Li, X Zhao, Q Peng, J Wang…","A cationic Ru (II) complex intercalated into zirconium phosphate layers catalyzes selective hydrogenation via heterolytic hydrogen activation",2021,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202100599","https://scholar.google.com/scholar?cites=14535191822091100140&as_sdt=2005&sciodt=0,5&hl=en",37,"2025-05-07 15:39:05","","10.1002/cctc.202100599","","",,,,,9,2.25,1,7,4,"… further characterization and density functional theory (DFT) … high catalytic performance in selective hydrogenation, and the … for efficient hydrogenation of carbonyl groups in ketones, …","","https://scholar.google.com/scholar?q=related:7B_nkfNft8kJ:scholar.google.com/&scioq=source:chemcatchem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
63,"K Zhou, H Liu, H Shu, S Xiao, D Guo, Y Liu…","A comprehensive study on the reductive amination of 5‐hydroxymethylfurfural into 2, 5‐bisaminomethylfuran over Raney Ni through DFT calculations",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201900304","https://scholar.google.com/scholar?cites=12247402103959520627&as_sdt=2005&sciodt=0,5&hl=en",46,"2025-05-07 15:39:05","","10.1002/cctc.201900304","","",,,,,63,10.50,9,7,6,"… The aldehydes/ketones and alcohols derived from biorefinery … hydrogenation/dehydrogenation catalysts in reductive amination reactions of alcohol and furfural, we have carried out DFT …","","https://scholar.google.com/scholar?q=related:cwXh81KD96kJ:scholar.google.com/&scioq=source:chemcatchem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"F Casas, M Trincado, R Rodriguez‐Lugo…","A Diaminopropane Diolefin Ru (0) Complex Catalyzes Hydrogenation and Dehydrogenation Reactions",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201901739","https://scholar.google.com/scholar?cites=12951338021035116848&as_sdt=2005&sciodt=0,5&hl=en",58,"2025-05-07 15:39:05","","10.1002/cctc.201901739","","",,,,,14,2.33,4,4,6,"… complexes catalyze the hydrogenation of a series of esters, lactone, ketone, activated olefin, … catalytic cycle, but recent findings supported by DFT calculations indicate that they may be …","","https://scholar.google.com/scholar?q=related:MAnPnU9lvLMJ:scholar.google.com/&scioq=source:chemcatchem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"T Tian, S Uei, Z Li, Y Nishihara","A Highly Efficient Cross‐Coupling Mode via the Release of Small Molecules: Transition Metal‐Catalyzed Unimolecular Fragment Coupling (UFC)",2024,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202401190","https://scholar.google.com/scholar?cites=13828751423431058039&as_sdt=2005&sciodt=0,5&hl=en",178,"2025-05-07 15:39:05","","10.1002/cctc.202401190","","",,,,,4,4.00,1,4,1,"… oxygen atom transfer agent, as evidenced by DFT calculations. Mixed photoexcitation causes an electronic transition of the diaryl ketone, forming the triplet dioxy radical intermediate A (…","","https://scholar.google.com/scholar?q=related:dyLJ2CaY6b8J:scholar.google.com/&scioq=source:chemcatchem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
57,"G Jaiswal, M Subaramanian, MK Sahoo…","A Reusable Cobalt Catalyst for Reversible Acceptorless Dehydrogenation and Hydrogenation of N‐Heterocycles",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201900367","https://scholar.google.com/scholar?cites=9316873996511737483&as_sdt=2005&sciodt=0,5&hl=en",99,"2025-05-07 15:39:05","","10.1002/cctc.201900367","","",,,,,57,9.50,14,4,6,"… sterically hindered alkenes, and ketones.13 The overall process … Recent DFT calculations and experimental results showed … ’, the microscopic reversible hydrogenation reaction is also …","https://www.academia.edu/download/94152631/cctc.20190036720221113-1-tmznx9.pdf","https://scholar.google.com/scholar?q=related:i_Ync4kvTIEJ:scholar.google.com/&scioq=source:chemcatchem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"S Kozuch, C Azerraf","A Theoretical Study of Hydrogen Transfer Catalyzed by an IrIII PC(sp3)P Pincer Complex",2011,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201100056","https://scholar.google.com/scholar?cites=12738981715953796335&as_sdt=2005&sciodt=0,5&hl=en",144,"2025-05-07 15:39:05","","10.1002/cctc.201100056","","",,,,,6,0.43,3,2,14,"… mechanistic uncertainty with density functional theory (DFT), … that include this anion and the ketones. Adding more explicit … an attempted experimental hydrogenation of acetophenone …","","https://scholar.google.com/scholar?q=related:70Sfa2D0ybAJ:scholar.google.com/&scioq=source:chemcatchem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"J Lauberteaux, D Pichon, O Baslé, M Mauduit…","Acyl‐Imidazoles: A Privileged Ester Surrogate for Enantioselective Synthesis",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201900754","https://scholar.google.com/scholar?cites=7872859313199917718&as_sdt=2005&sciodt=0,5&hl=en",196,"2025-05-07 15:39:05","","10.1002/cctc.201900754","","",,,,,26,4.33,5,5,6,"… of esters (amides) compared to ketones has paved the way for the … Interestingly, DFT calculations highlighted the crucial role of … chemistry and Asymmetric Transfer Hydrogenation …","https://univ-rennes.hal.science/hal-02181832/document","https://scholar.google.com/scholar?q=related:liroSdUDQm0J:scholar.google.com/&scioq=source:chemcatchem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"AG Abdelkader Mohamed, SA Zahra Naqviab…","Advances and fundamental understanding of electrocatalytic methane oxidation",2021,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202001412","https://scholar.google.com/scholar?cites=15274509394858191854&as_sdt=2005&sciodt=0,5&hl=en",204,"2025-05-07 15:39:05","","10.1002/cctc.202001412","","",,,,,19,4.75,6,3,4,"… state of methane, the most hydrogenated form of carbon of −4, will … -to-acids and ketones: The selectivity of acid and ketones is … By DFT means, integrated Ni atoms show low methane …","","https://scholar.google.com/scholar?q=related:7qvj5l31-dMJ:scholar.google.com/&scioq=source:chemcatchem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"S Ramadhani, QN Dao, Y Imanuel, M Ridwan…","Advances in Catalytic Hydrogenation of Liquid Organic Hydrogen Carriers (LOHCs) Using High‐Purity and Low‐Purity Hydrogen",2024,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202401278","https://scholar.google.com/scholar?cites=16040802469130096108&as_sdt=2005&sciodt=0,5&hl=en",116,"2025-05-07 15:39:05","","10.1002/cctc.202401278","","",,,,,1,1.00,0,5,1,"… hydrogenation utilization offtakers. This review article discusses the development trends in catalytic hydrogenation … It introduces references for catalytic hydrogenation processes utilizing …","https://chemistry-europe.onlinelibrary.wiley.com/doi/am-pdf/10.1002/cctc.202401278","https://scholar.google.com/scholar?q=related:7E21nNtgnN4J:scholar.google.com/&scioq=source:chemcatchem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
