Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
79,"S Shahane, C Bruneau, C Fischmeister","Z Selectivity: Recent Advances in one of the Current Major Challenges of Olefin Metathesis",2013,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201300688","https://scholar.google.com/scholar?cites=6948171097346655159&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 12:48:04","","10.1002/cctc.201300688","","",,,,,79,6.58,26,3,12,"… of olefin metathesis, considerable progress has been achieved in the various types of olefin metathesis … This study was followed by a thorough DFT investigation from the group of Z.-X. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201300688","https://scholar.google.com/scholar?q=related:t8P7z8zcbGAJ:scholar.google.com/&scioq=source:chemcatchem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
44,"K Amakawa, J Kröhnert, S Wrabetz, B Frank, ...","Active sites in olefin metathesis over supported molybdena catalysts",2015,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201500725","https://scholar.google.com/scholar?cites=11086150287430148228&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 12:48:04","","10.1002/cctc.201500725","","",,,,,44,4.40,9,5,10,"Metathesis of propene to ethene and 2‐butenes was studied over a series of MoO x /SBA‐15 catalysts (molybdenum oxide supported on mesoporous silica SBA‐15; Mo loading 2.1–…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201500725","https://scholar.google.com/scholar?q=related:hGDeEPPq2ZkJ:scholar.google.com/&scioq=source:chemcatchem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"U Tallarek, J Hochstrasser, F Ziegler, X Huang, ...","Olefin Ring‐closing Metathesis under Spatial Confinement: Morphology− Transport Relationships",2021,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202001495","https://scholar.google.com/scholar?cites=10208962949950913065&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 12:48:04","","10.1002/cctc.202001495","","",,,,,23,5.75,5,5,4,"… immobilization of a ruthenium-based olefin metathesis catalyst inside the pores of a support. … using the non-local density functional theory (NLDFT) method with a cylindrical pore model. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202001495","https://scholar.google.com/scholar?q=related:KbryrLaFrY0J:scholar.google.com/&scioq=source:chemcatchem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"A Saidi, MK Samantaray, A Poater, M Tretiakov, ...","Metathesis of Classical and Functionalized Olefins Catalyzed by Silica‐Supported Single‐Site Well‐Defined W and Mo Pre‐catalysts",2020,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202000897","https://scholar.google.com/scholar?cites=6395187218346218034&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 12:48:04","","10.1002/cctc.202000897","","",,,,,6,1.20,1,5,5,"… During our study of olefin metathesis and cross-metathesis reactions, … DFT calculations To verify the role of the nature of the ester and acetate substrates, we took advantage of the DFT …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202000897","https://scholar.google.com/scholar?q=related:MhKlVeREwFgJ:scholar.google.com/&scioq=source:chemcatchem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"JF Wu, A Ramanathan, R Kersting, A Jystad, ...","Enhanced Olefin Metathesis Performance of Tungsten and Niobium Incorporated Bimetallic Silicates: Evidence of Synergistic Effects",2020,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201902131","https://scholar.google.com/scholar?cites=994069710272388964&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 12:48:04","","10.1002/cctc.201902131","","",,,,,11,2.20,2,5,5,"… During 2‐butene+ethylene metathesis with these materials at 450 C, the propene yield is … Complementary DFT calculations reveal a positive correlation between the O=W=O bond …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.201902131","https://scholar.google.com/scholar?q=related:ZN_CeiKlyw0J:scholar.google.com/&scioq=source:chemcatchem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
46,"I Jacobs, B de Bruin, JNH Reek","Comparison of the full catalytic cycle of hydroformylation mediated by mono‐and bis‐ligated triphenylphosphine–rhodium complexes by using DFT calculations",2015,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201500087","https://scholar.google.com/scholar?cites=2174080883767710698&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 12:48:04","","10.1002/cctc.201500087","","",,,,,46,4.60,15,3,10,"… The rhodium–olefin interactions are underestimated in DFT calculations, and therefore the energies of these alkene intermediates are probably a few kcal mol −1 lower.22, 23 …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.201500087","https://scholar.google.com/scholar?q=related:6hPxhQvjKx4J:scholar.google.com/&scioq=source:chemcatchem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"S Ahmad, M Bühl","Revisiting the Reviewed: A Meta‐Analysis of Computational Studies on Transition Metal‐Catalyzed Hydrogenation Reactions",2025,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202401053","",7,"2025-05-07 12:48:04","","10.1002/cctc.202401053","","",,,,,0,0.00,0,2,1,"… It highlights the efficacy of density functional theory (DFT) in calculating free energies, exploring the mechanistic pathways and kinetics of hydrogenation processes, focusing on …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202401053","https://scholar.google.com/scholar?q=related:D5CT-ZybunoJ:scholar.google.com/&scioq=source:chemcatchem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"MM Islam, CRA Catlow, A Roldan","Mechanistic pathways for the dehydrogenation of alkanes on Pt (111) and Ru (0001) surfaces",2024,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202301386","https://scholar.google.com/scholar?cites=8447109680367457707&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 12:48:04","","10.1002/cctc.202301386","","",,,,,5,5.00,2,3,1,"… approaches based on the density functional theory (DFT) method to … olefin formation from poorly reactive aliphatic substrates requires tandem dehydrogenation and cross metathesis (…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202301386","https://scholar.google.com/scholar?q=related:q9UQ5X8pOnUJ:scholar.google.com/&scioq=source:chemcatchem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"NB Nechmad, K Iudanov, N Tarannam, ...","Coordinating Additives as Activity Modulators in Diiodo Latent Olefin Metathesis Catalysts",2023,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202201690","https://scholar.google.com/scholar?cites=4163530650940387784&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 12:48:04","","10.1002/cctc.202201690","","",,,,,5,2.50,1,4,2,"The ruthenium alkylidene catalyzed ring‐closing metathesis (RCM) of 5‐membered rings is an intramolecular reaction that is highly favored due to entropic and enthalpic contributions. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202201690","https://scholar.google.com/scholar?q=related:yLHAVBHVxzkJ:scholar.google.com/&scioq=source:chemcatchem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"B Werghi, A Bendjeriou‐Sedjerari, A Jedidi, ...","Tungsten Catalyst Incorporating a Well‐Defined Tetracoordinated Aluminum Surface Ligand for Selective Metathesis of Propane, [(≡Si−O−Si≡)(≡Si−O−)2Al−O−W(≡CtBu) (H …",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201801779","https://scholar.google.com/scholar?cites=6895195386085137323&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 12:48:04","","10.1002/cctc.201801779","","",,,,,2,0.33,1,4,6,"… To elaborate on these points and help resolve the posited electronic and steric effects, we performed DFT calculations by determining the Mayer bond order. The results show that …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201801779","https://scholar.google.com/scholar?q=related:q1uE3KunsF8J:scholar.google.com/&scioq=source:chemcatchem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
