Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
14,"B Noverges Pedro, M Medio‐Simón…","Influence of the Ligand of Palladium(0) Complexes on the Rate of the Oxidative Addition of Aryl and Activated Alkyl Bromides: Csp2−Br versus Csp3−Br Reactivity …",2017,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201700041","https://scholar.google.com/scholar?cites=18001298942342970749&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 11:35:46","","10.1002/cctc.201700041","","",,,,,14,1.75,5,3,8,"… DFT calculations, which propose a S N 2-type mechanism from the bis-ligated Pd 0 (PPh 3 ) 2 . The oxidative addition … PPh 3 , in agreement with the DFT calculations, which support a …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201700041","https://scholar.google.com/scholar?q=related:fb33WQN20fkJ:scholar.google.com/&scioq=source:chemcatchem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
112,"K Vikse, T Naka, JS McIndoe, M Besora…","Oxidative additions of aryl halides to palladium proceed through the monoligated complex",2013,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201300723","https://scholar.google.com/scholar?cites=6721659523582951579&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 11:35:46","","10.1002/cctc.201300723","","",,,,,112,9.33,22,5,12,"… To further confirm the suitability of 1 as a substitute for triphenylphosphine in our experiments, we performed DFT calculations to compare the steric and electronic effects of 1 on OA of a …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.201300723","https://scholar.google.com/scholar?q=related:m4BITLkhSF0J:scholar.google.com/&scioq=source:chemcatchem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"E Jacobs, ST Keaveney","Experimental and Computational Studies towards Chemoselective C− F over C− Cl Functionalisation: Reversible Oxidative Addition is the Key",2021,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202001462","https://scholar.google.com/scholar?cites=9889593429897006904&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 11:35:46","","10.1002/cctc.202001462","","",,,,,10,2.50,5,2,4,"… Thus, in our DFT studies, 3-centered oxidative addition transition states were considered, which is consistent with that frequently reported for Ni catalysed oxidative addition of C(sp 2 ) …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202001462","https://scholar.google.com/scholar?q=related:OE8MwtPkPokJ:scholar.google.com/&scioq=source:chemcatchem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"C Shan, Q He, S Liu, X Luo, R Li, R Bai…","N─ N Bond Oxidative Addition‐Promoted Diaziridinone Activation: A Mechanistic Study",2025,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202401501","",4,"2025-05-07 11:35:46","","10.1002/cctc.202401501","","",,,,,0,0.00,0,7,1,"… oxidative addition activation mode of di-tertbutyldiaziridinone have been investigated by DFT … The theoretical calculations show that the initial step is the oxidative addition of CI bond …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202401501","https://scholar.google.com/scholar?q=related:S5KfoTiU8dkJ:scholar.google.com/&scioq=source:chemcatchem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"MV Jiménez, MI Bartolomé, JJ Pérez‐Torrente…","Mechanistic studies on the catalytic oxidative amination of alkenes by rhodium (I) complexes with hemilabile phosphines",2013,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201200510","https://scholar.google.com/scholar?cites=10131289364247948670&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 11:35:46","","10.1002/cctc.201200510","","",,,,,16,1.33,4,4,12,"… by a series of DFT calculations including the transition states of … a dihydride intermediate by NH oxidative addition is a highly … key steps of the proposed mechanism by DFT calculations. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201200510","https://scholar.google.com/scholar?q=related:fi2xuP-RmYwJ:scholar.google.com/&scioq=source:chemcatchem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"Y Qiao, J Zhao, J Chang, D Wei","Insights into the Oxidative Palladium‐Catalyzed Regioselective Synthesis of 3‐Arylindoles from N− Ts‐Anilines and Styrenes: A Computational Study",2019,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201801531","https://scholar.google.com/scholar?cites=10055532733144775218&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 11:35:46","","10.1002/cctc.201801531","","",,,,,37,6.17,9,4,6,"… Currently, density functional theory (DFT) investigation is the preferred choice for characterization of reaction mechanisms, stereoselectivity and regioselectivity for transition-metal-…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201801531","https://scholar.google.com/scholar?q=related:Mjpoir5tjIsJ:scholar.google.com/&scioq=source:chemcatchem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"TY Zou, QW Zhang","Oxidation State‐Based Selectivity Tuning in Transition Metal Catalysis",2024,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202301423","",7,"2025-05-07 11:35:46","","10.1002/cctc.202301423","","",,,,,0,0.00,0,2,1,"… DFT … 0), DFT calculations were conducted to distinguish between two possible mechanisms. It was found that the formation of η 3 -allyl palladium complex, as result of oxidation addition, …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202301423","https://scholar.google.com/scholar?q=related:2UtAqL9EuXgJ:scholar.google.com/&scioq=source:chemcatchem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"DP Lubov, AA Bryliakova, DG Samsonenko…","Palladium‐Aminopyridine Catalyzed C− H Oxygenation: Probing the Nature of Metal Based Oxidant",2021,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202101345","https://scholar.google.com/scholar?cites=854382768594464648&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 11:35:46","","10.1002/cctc.202101345","","",,,,,8,2.00,2,4,4,"… Indeed, DFT calculations predict that without solvent (i. e. in the gas phase), the triflate … and DFT data presented herewith, our vision of the active species and oxidation mechanism …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202101345","https://scholar.google.com/scholar?q=related:iK9J8Jlg2wsJ:scholar.google.com/&scioq=source:chemcatchem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
79,"J Cheng, M Sulpizi, J VandeVondele, M Sprik","Hole Localization and Thermochemistry of Oxidative Dehydrogenation of Aqueous Rutile TiO2(110)",2012,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201100498","https://scholar.google.com/scholar?cites=11504741964108149912&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 11:35:46","","10.1002/cctc.201100498","","",,,,,79,6.08,20,4,13,"… density functional theory (DFT) methods.3, 4 The focus in these calculations was on electro-oxidation. … , which have utilized advanced DFT techniques.7–10 Here we make the link to …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.201100498","https://scholar.google.com/scholar?q=related:mDQyk9wNqZ8J:scholar.google.com/&scioq=source:chemcatchem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
117,"Y Wang, D Wei, W Zhang","Recent Advances on Computational Investigations of N‐Heterocyclic Carbene Catalyzed Cycloaddition/Annulation Reactions: Mechanism and Origin of Selectivities",2018,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201701119","https://scholar.google.com/scholar?cites=10646295360239833696&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 11:35:46","","10.1002/cctc.201701119","","",,,,,117,16.71,39,3,7,"The developments of theoretical studies on NHC‐catalyzed [n+2] (n=2, 3, 4) and other cycloaddition/annulation reactions have been summarized in this review. The detailed …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.201701119","https://scholar.google.com/scholar?q=related:YBL8QDk9v5MJ:scholar.google.com/&scioq=source:chemcatchem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
