Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
26,"N Hoffmann","Combining photoredox and metal catalysis",2015,"ChemCatChem","academia.edu","https://www.academia.edu/download/45097172/Combining_Photoredox_and_Metal_Catalysis20160426-28789-1su8u64.pdf","https://scholar.google.com/scholar?cites=12363107917207812090&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 12:43:34","PDF","","","",,,,,26,2.60,26,1,10,"… a photoredox catalytic system. For example, the classical Sonogashira reaction has been performed in this way.[13] The use of photoredox … In conclusion, implementation of photoredox …","https://www.academia.edu/download/45097172/Combining_Photoredox_and_Metal_Catalysis20160426-28789-1su8u64.pdf","https://scholar.google.com/scholar?q=related:-rf97CWVkqsJ:scholar.google.com/&scioq=source:chemcatchem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"A Gualandi, A Nenov, M Marchini…","Tailored coumarin dyes for photoredox catalysis: Calculation, synthesis, and electronic properties",2021,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202001690","https://scholar.google.com/scholar?cites=3406039891189656837&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 12:43:34","","10.1002/cctc.202001690","","",,,,,17,4.25,4,4,4,"… , new photoredox coumarins catalysts were accessed through catalyst design and investigations carried out with combined experimental studies and density functional theory (DFT) …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202001690","https://scholar.google.com/scholar?q=related:BW0rLTyvRC8J:scholar.google.com/&scioq=source:chemcatchem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
38,"MJP Mandigma, J Kaur, JP Barham","Organophotocatalytic mechanisms: simplicity or naïvety? Diverting reactive pathways by modifications of catalyst structure, redox states and substrate preassemblies",2023,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202201542","https://scholar.google.com/scholar?cites=15695459997537882413&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 12:43:34","","10.1002/cctc.202201542","","",,,,,38,19.00,13,3,2,"… paradigms constitute a subset of photocatalysis called photoredox catalysis (PRC). The … catalyst and substrate were examined using density functional theory (DFT) calculations at an …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202201542?saml_referrer=","https://scholar.google.com/scholar?q=related:LVGZq7V50dkJ:scholar.google.com/&scioq=source:chemcatchem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"S Cao, S Hong","Visible light‐induced enantioselective radical reactions catalyzed by redox‐active chiral Lewis acids",2024,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202301606","https://scholar.google.com/scholar?cites=11819279457842227056&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 12:43:34","","10.1002/cctc.202301606","","",,,,,2,2.00,1,2,1,"… and density functional theory (DFT) calculations support a mechanism involving photoredox … in the reaction: it acts both as the photoredox catalyst and the chiral Lewis acid catalyst. In …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202301606","https://scholar.google.com/scholar?q=related:cOfBsQuEBqQJ:scholar.google.com/&scioq=source:chemcatchem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"T Yasui, Y Yamamoto","Cobalt/Photoredox Cooperative Catalysis‐Enabled Cycloaddition Reactions of 1, 6‐Diynes and Related Compounds",2024,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202400488","https://scholar.google.com/scholar?cites=2565691267474909013&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 12:43:34","","10.1002/cctc.202400488","","",,,,,2,2.00,1,2,1,"… Recently, Co/photoredox cooperative catalysis has emerged as a powerful tool that enables … This Concept highlights the recent advances in Co/photoredox cooperative‐catalysis‐…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202400488","https://scholar.google.com/scholar?q=related:VecpOZ0qmyMJ:scholar.google.com/&scioq=source:chemcatchem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"DA Corbin, C Cremer, KO Puffer, BS Newell…","Effects of the Chalcogenide Identity in N‐Aryl Phenochalcogenazine Photoredox Catalysts",2022,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202200485","https://scholar.google.com/scholar?cites=14539115959775261820&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 12:43:34","","10.1002/cctc.202200485","","",,,,,11,3.67,2,5,3,"… on catalysis, density functional theory (DFT) was employed. … Importantly, analysis of the DFT predicted PC structures reveals … This disagreement between DFT and the experimentally …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202200485","https://scholar.google.com/scholar?q=related:fPSdEu9QxckJ:scholar.google.com/&scioq=source:chemcatchem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
29,"GJ Barbante, TD Ashton, EH Doeven…","Photoredox Catalysis of Intramolecular Cyclizations with a Reusable Silica‐Bound Ruthenium Complex",2015,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201500304","https://scholar.google.com/scholar?cites=10068199098592256255&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 12:43:34","","10.1002/cctc.201500304","","",,,,,29,2.90,7,4,10,"… DFT calculations support the proposed mechanism and experimental observations. The … In conclusion, the utility of a readily prepared heterogeneous photoredox catalysis as a mild and …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201500304","https://scholar.google.com/scholar?q=related:_-B_j7xtuYsJ:scholar.google.com/&scioq=source:chemcatchem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"S De Kreijger, M Gillard, B Elias…","Spectroscopic Techniques to Unravel Mechanistic Details in Light‐Induced Transformations and Photoredox Catalysis",2024,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202301100","https://scholar.google.com/scholar?cites=12335583469339932631&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 12:43:34","","10.1002/cctc.202301100","","",,,,,11,11.00,3,4,1,"… In this concept article, a special emphasis is placed on spectroscopic techniques that are used, or could be used, for light‐induced transformations and photoredox catalysis applications…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202301100","https://scholar.google.com/scholar?q=related:1_cvA8_LMKsJ:scholar.google.com/&scioq=source:chemcatchem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"RH Li, S Wang, ZW Zhao, Y Geng, XL Wang…","Springboard Role for Iridium Photocatalyst: Theoretical Insight of C(sp3)−N Cross‐Coupling by Photoredox‐Mediated Iridium/Copper Dual Catalysis versus Single …",2022,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202101737","https://scholar.google.com/scholar?cites=12358728104508209203&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 12:43:34","","10.1002/cctc.202101737","","",,,,,9,3.00,2,6,3,"… density functional theory (DFT) calculations to reveal the essential reason why the light-mediated dual catalysis is more efficient and broad-spectrum according to the following ideas: i) …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202101737","https://scholar.google.com/scholar?q=related:MzjZULsFg6sJ:scholar.google.com/&scioq=source:chemcatchem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"AA Volkov, DI Bugaenko, AV Karchava","Transition metal and photocatalyst free arylation via photoexcitable electron donor acceptor complexes: mediation and catalysis",2024,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202301526","https://scholar.google.com/scholar?cites=4133700327309869942&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 12:43:34","","10.1002/cctc.202301526","","",,,,,6,6.00,2,3,1,"… However, transition metal-based or organic photoredox catalysts are often used to ensure … Density functional theory calculations support the proposed mechanism via EDA complex …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202301526","https://scholar.google.com/scholar?q=related:doM44YvaXTkJ:scholar.google.com/&scioq=source:chemcatchem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
