Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
20,"R Kong, T Fu, R Yang, D Chen, D Liang…","4‐Nitroanisole Facilitates Proton Reduction: Visible Light‐Induced Oxidative Aryltrifluoromethylation of Alkenes with Hydrogen Evolution",2021,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202100304?casa_token=XZhvDAcbdR4AAAAA:QlfbLDgMqFgnT5ux2LX9oJGDFLVuuEXCJ6ogGpXMW5GH7D2P3ExR7DnkIqxFbG9jcJzDIjTTvw63Zi8","https://scholar.google.com/scholar?cites=8430113304582933039&as_sdt=2005&sciodt=0,5&hl=en",24,"2025-05-07 12:48:54","","10.1002/cctc.202100304","","",,,,,20,5.00,3,6,4,"… Net-oxidative 4 or -reductive transformations 5 could be achieved as well by incorporating a … Density functional theory (DFT) calculations 30 revealed that HFIP and p-NA are hydrogen-…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202100304?casa_token=j9BEJsoWheIAAAAA:emlM5v0NBsl33_FkkYGcmo9yl0ylhAaGtOBDdi0wPOUnL9IcBeB_kvDzTndVHdDAe16hnUKbXN6NpiM","https://scholar.google.com/scholar?q=related:L8r1x2LH_XQJ:scholar.google.com/&scioq=source:chemcatchem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"M Reboli, M Durandetti","A Comprehensive Review of Intramolecular Hydrosilylation of Alkynes and Alkenes",2025,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202402136?casa_token=A6XaB18oWJYAAAAA:QU5ppGuMgDMQEN_r0VZulV5sDFNiC8jSrAwR05sTvdWtLHF7-2uBTWDMTw2xV8BaQYfKd1bYgVdES0w","",205,"2025-05-07 12:48:54","","10.1002/cctc.202402136","","",,,,,0,0.00,0,2,1,"… migratory insertion; and finally, the reductive elimination. Following the migratory insertion step… Mechanistic studies and DFT calculations indicate that the process proceeds via a 5-endo-…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202402136?casa_token=VlE2uXfnRdoAAAAA:4wyoHC2deadZcGJWCAw8H3dJeQcavx2dFOki1HdECOiK36yFd9PsHKejEsCtKrcAkSW2ShEakPklQFQ","https://scholar.google.com/scholar?q=related:KdEIDinljv0J:scholar.google.com/&scioq=source:chemcatchem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
63,"K Zhou, H Liu, H Shu, S Xiao, D Guo, Y Liu…","A comprehensive study on the reductive amination of 5‐hydroxymethylfurfural into 2, 5‐bisaminomethylfuran over Raney Ni through DFT calculations",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201900304?casa_token=YjnnV-5lWwcAAAAA:mtSxT6mGBHqiuYAjg_-Z44rS3M3slhVB66w60Fe_coD96PGrw0ilra9pEN5cQ4miR9V-dQsCTaxufR4","https://scholar.google.com/scholar?cites=12247402103959520627&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 12:48:54","","10.1002/cctc.201900304","","",,,,,63,10.50,9,7,6,"… DFT calculations were conducted to support our speculation that Ni can harmonize NH 3 and H 2 on its surface most suitably for the reductive … have carried out DFT calculations on the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201900304?casa_token=9zOp47RBhPoAAAAA:s56s9l68fqEWn9vyX7cXGfdd8rntNJiTDTuvVIc644M0UrojXSOnkCQb4hVrXLW_bCiiMJJXX-5YHWQ","https://scholar.google.com/scholar?q=related:cwXh81KD96kJ:scholar.google.com/&scioq=source:chemcatchem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"F Casas, M Trincado, R Rodriguez‐Lugo…","A Diaminopropane Diolefin Ru (0) Complex Catalyzes Hydrogenation and Dehydrogenation Reactions",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201901739?casa_token=JxHxvVoVzCYAAAAA:LlNBVdlOT0JiY7zbOMv61ygRiqSVmKy4b_jStwTiiNUqj_4G4RlKy549pYPkGnTuWWXnZNA4-R-KeV8","https://scholar.google.com/scholar?cites=12951338021035116848&as_sdt=2005&sciodt=0,5&hl=en",248,"2025-05-07 12:48:54","","10.1002/cctc.201901739","","",,,,,14,2.33,4,4,6,"… catalytic cycle, but recent findings supported by DFT calculations indicate that they may be … , which consists in a straightforward initial reductive amination of dibenzosuberenone. H NMR …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201901739?casa_token=wqQjHH3h3HAAAAAA:ShVlIPAhSfysqkAjtWSquWBYvBRyDDRZygw_UyClCzEZhgk69sopmTidcslvPXKUuePnTrCk1wQUUNc","https://scholar.google.com/scholar?q=related:MAnPnU9lvLMJ:scholar.google.com/&scioq=source:chemcatchem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"M Obermeier, V Caliskanyuerek, R Lomlu…","A Dinuclear Re Complex as a Multi Talent–Photocatalysis and Electrocatalysis combined with Spectroscopy",2023,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202300658","https://scholar.google.com/scholar?cites=13083711209785696840&as_sdt=2005&sciodt=0,5&hl=en",238,"2025-05-07 12:48:54","","10.1002/cctc.202300658","","",,,,,1,0.50,0,4,2,"… However, this result aligns with the thermodynamically unfavorable reductive quenching of … IR-spectroelectrochemical studies in combination with DFT calculations. Their findings are …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202300658","https://scholar.google.com/scholar?q=related:SKISWwaukrUJ:scholar.google.com/&scioq=source:chemcatchem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
38,"EH Kwan, H Ogawa, M Yamashita","A highly active PBP–iridium catalyst for the dehydrogenation of dimethylamine–borane: catalytic performance and mechanism",2017,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201700384?casa_token=VJgtGzleNZIAAAAA:lDybc1L4V27-X4XFbOv492T09jUnNgnxtQpsRnjDv4rlxZyxHpLGwmkO_eLilGNqAqWjum6OfJIrnjI","https://scholar.google.com/scholar?cites=14659258744311191206&as_sdt=2005&sciodt=0,5&hl=en",153,"2025-05-07 12:48:54","","10.1002/cctc.201700384","","",,,,,38,4.75,13,3,8,"… ) and is supported by frequency calculations by using DFT methods (see Figure S30). The two … A signal for dihydride 6, which could be generated by reductive elimination of H 2 from 10, …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201700384?casa_token=PvpATflKIOQAAAAA:QSORvHC4LQEF_fXCcyrV2rNgWTslaqbirIIvRfWk2GdJuOF0XMXu7OwMLlbI5I5dfYdFEIt0TjOXSyA","https://scholar.google.com/scholar?q=related:phY17SgmcMsJ:scholar.google.com/&scioq=source:chemcatchem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"T Tian, S Uei, Z Li, Y Nishihara","A Highly Efficient Cross‐Coupling Mode via the Release of Small Molecules: Transition Metal‐Catalyzed Unimolecular Fragment Coupling (UFC)",2024,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202401190?casa_token=nga_I1DshtUAAAAA:VC4Xs2xzSaR5hl7IPhJjgEzr5EG0xIO0yRy1vzSSycZaOV53LUhqClT_6-5jxPBDQNaE5JGivrPU2uM","https://scholar.google.com/scholar?cites=13828751423431058039&as_sdt=2005&sciodt=0,5&hl=en",117,"2025-05-07 12:48:54","","10.1002/cctc.202401190","","",,,,,4,4.00,1,4,1,"… the final product via subsequent reductive elimination, which … then released through facile reductive elimination, along with … of mechanistic experiments and DFT calculations, the same …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202401190?casa_token=_yWygCpjdmoAAAAA:CWIZyQuWCXPoeJ5_lvsi9MP4hUeeRENPgqyxONtE9-hHBkF4wYM7GPZTnJPz0ZwotNOcLXzG8xo7-GE","https://scholar.google.com/scholar?q=related:dyLJ2CaY6b8J:scholar.google.com/&scioq=source:chemcatchem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"SE Jenny, JM Serviano, A Nova…","A Hydride Migration Mechanism for the Mo‐Catalyzed Z‐2‐Selective Isomerization of Terminal Alkenes",2023,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202301052?casa_token=WRnaiUyYPz0AAAAA:qUBJMOwVMCs3tg_-M7c8fr7b7Mw031KdtKprrtFpvTVS5N1WU-CgweEvVnsy2FFbTKXblrS02WOHeQ0","https://scholar.google.com/scholar?cites=9590611054659739360&as_sdt=2005&sciodt=0,5&hl=en",45,"2025-05-07 12:48:54","","10.1002/cctc.202301052","","",,,,,3,1.50,1,4,2,"… 2A) product forms via reductive elimination to a Mo(0) … stereochemistry needed for reductive elimination, achieving 2… Based on DFT analysis, we propose positional isomerization …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202301052?casa_token=kJwTvMEkRUgAAAAA:KBJeXWPmxvpitIWJx4USLq0oftuGwJ_u1Wn5FMIoa-9Jjb-Y4ucoU3NLl2EYKvH5ZAQm1YQZKttVucA","https://scholar.google.com/scholar?q=related:4J7t4_CxGIUJ:scholar.google.com/&scioq=source:chemcatchem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"G Yang, B Schäffner, M Blug, EJM Hensen…","A Mechanistic Study of Ni‐catalyzed Carbon Dioxide Coupling with Ethylene towards the Manufacture of Acrylic Acid",2014,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201301051?casa_token=oWG2lKf-TjAAAAAA:EXU8KlHBx0m2ezm4RY5lxwyM-TsMHbLw4lx5LEJj5NvpYvEPbXG9j2Ml6PJP0rR_7cvzo0-xK3mjbbY","https://scholar.google.com/scholar?cites=14941170733578330333&as_sdt=2005&sciodt=0,5&hl=en",26,"2025-05-07 12:48:54","","10.1002/cctc.201301051","","",,,,,31,2.82,6,5,11,"… by means of density functional theory calculations. The … Together with the following reductive elimination step to form … , 31 In this work, we performed DFT calculations to investigate the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.201301051?casa_token=JyRd4px_Il4AAAAA:EghYB6ebRhKlXFtkz_fwMEic1VL4qb3eM7hcTBTs4u2_l4Z7clYvrE_hEo8pEAiVRDVgfSRN8RVvXCI","https://scholar.google.com/scholar?q=related:3SBm156zWc8J:scholar.google.com/&scioq=source:chemcatchem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"L Neerbye Berntsen, A Nova","A Mechanistic Study of the Cu‐catalyzed N‐arylation of Hydantoin with Aryl(TMP)iodonium Salts",2023,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202301057","https://scholar.google.com/scholar?cites=12603039890566736708&as_sdt=2005&sciodt=0,5&hl=en",56,"2025-05-07 12:48:54","","10.1002/cctc.202301057","","",,,,,1,0.50,1,2,2,"… In this work, the mechanism of this reaction has been studied by DFT … In their study, a combination of DFT calculations and … is formed by reductive elimination of a Cu(III)-species. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202301057","https://scholar.google.com/scholar?q=related:ROtOtwH-5q4J:scholar.google.com/&scioq=source:chemcatchem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
