Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
91,"MA Ortuño, A Lledós, F Maseras, G Ujaque","The transmetalation process in Suzuki–Miyaura reactions: calculations indicate lower barrier via boronate intermediate",2014,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201402326","https://scholar.google.com/scholar?cites=5199434308877731137&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 13:13:43","","10.1002/cctc.201402326","","",,,,,91,8.27,23,4,11,"… Herein we report DFT calculations with the M06 functional performed on realistic model systems, including a combination of explicit solvent molecules along with a continuum method. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201402326","https://scholar.google.com/scholar?q=related:QcWixfQZKEgJ:scholar.google.com/&scioq=source:chemcatchem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"J Zhang, C Shan, K Lv, L Zhu, Y Li, T Liu…","Mechanistic Insight into Palladium‐Catalyzed Carbocyclization‐Functionalization of Bisallene: A Computational Study",2019,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201801934","https://scholar.google.com/scholar?cites=7146245819332338108&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 13:13:43","","10.1002/cctc.201801934","","",,,,,21,3.50,3,7,6,"… Therefore, density functional theory (DFT) calculations were … for the reactions were also clarified by our DFT calculations. … , we speculate that if transmetalation takes place before allene …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201801934","https://scholar.google.com/scholar?q=related:vKHs0rWQLGMJ:scholar.google.com/&scioq=source:chemcatchem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"S Zhao, Y Sun, S Li, D Zhao","trans‐Selective Element–Element′ Addition to Alkynes",2024,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202400913","https://scholar.google.com/scholar?cites=17614214915637463862&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 13:13:43","","10.1002/cctc.202400913","","",,,,,1,1.00,0,4,1,"… Subsequent transmetalation with 17 gives trans-addition product 44a along with regeneration of Int-… Based on detailed DFT calculations, they proposed a novel mechanism involving the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202400913","https://scholar.google.com/scholar?q=related:Nkv1QyRDcvQJ:scholar.google.com/&scioq=source:chemcatchem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"Y Qiao, J Zhao, J Chang, D Wei","Insights into the Oxidative Palladium‐Catalyzed Regioselective Synthesis of 3‐Arylindoles from N− Ts‐Anilines and Styrenes: A Computational Study",2019,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201801531","https://scholar.google.com/scholar?cites=10055532733144775218&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 13:13:43","","10.1002/cctc.201801531","","",,,,,37,6.17,9,4,6,"… Currently, density functional theory (DFT) investigation is the preferred choice for … 2-M7C/3-M7C, which can then undergo transmetalation and C−N bond formation followed by β-H …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.201801531","https://scholar.google.com/scholar?q=related:Mjpoir5tjIsJ:scholar.google.com/&scioq=source:chemcatchem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"Y Su, ZC Cao","Metal‐Catalyzed Enantioselective Cleavage of Aromatic C− O Bonds",2024,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202301566","https://scholar.google.com/scholar?cites=7631218568186619867&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 13:13:43","","10.1002/cctc.202301566","","",,,,,4,4.00,2,2,1,"… [29] DFT … the transmetalation steps from aza-nickelacycle intermediates E and F encountered high energy barriers of 24.1 and 21.6 kcal/mol, respectively. Therefore, the transmetalation …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202301566","https://scholar.google.com/scholar?q=related:2-cgGNuI52kJ:scholar.google.com/&scioq=source:chemcatchem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"D Hackenberger, B Song, MF Grünberg…","Bimetallic Cu/Pd Catalysts with Bridging Aminopyrimidinyl Phosphines for Decarboxylative Cross‐Coupling Reactions at Moderate Temperature",2015,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201500769","https://scholar.google.com/scholar?cites=673981938629872571&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 13:13:43","","10.1002/cctc.201500769","","",,,,,23,2.30,6,4,10,"… DFT studies have previously revealed that for activated carboxylic acids, the transmetalation … the two metals and, thus, facilitate the transmetalation step. However, it is unlikely to …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.201500769","https://scholar.google.com/scholar?q=related:uwsQlQB3WgkJ:scholar.google.com/&scioq=source:chemcatchem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"K Jaiswal, K Groutchik, D Bawari…","An “On‐Demand”, Selective Dehydrogenative Borylation or Hydroboration of Terminal Alkynes Using Zn2+‐based Catalyst",2022,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202200004","https://scholar.google.com/scholar?cites=14532717774804384186&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 13:13:43","","10.1002/cctc.202200004","","",,,,,18,6.00,5,4,3,"… Classical methods to synthesize organoboranes include the transmetalation from … borylation reaction (Scheme 4a) density functional theory (DFT) calculations were performed in the gas …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202200004","https://scholar.google.com/scholar?q=related:unk4jNGVrskJ:scholar.google.com/&scioq=source:chemcatchem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"X Luo, K Zhong, Y Lan","Mechanism of Palladium‐Catalyzed Spiroannulation of Naphthols with Alkynes: A Density Functional Theory Study",2020,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202000613","https://scholar.google.com/scholar?cites=14978945199142174033&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 13:13:43","","10.1002/cctc.202000613","","",,,,,8,1.60,3,3,5,"Pd‐catalyzed spiroannulation of bromophenylnaphthalenols with acetylenes to achieve asymmetric dearomatization is a powerful way to construct chiral spiro‐compounds. DFT …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202000613","https://scholar.google.com/scholar?q=related:UX3p-Evn388J:scholar.google.com/&scioq=source:chemcatchem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"E Jacobs, ST Keaveney","Experimental and Computational Studies towards Chemoselective C− F over C− Cl Functionalisation: Reversible Oxidative Addition is the Key",2021,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202001462","https://scholar.google.com/scholar?cites=9889593429897006904&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 13:13:43","","10.1002/cctc.202001462","","",,,,,10,2.50,5,2,4,"… present, we turned to Density Functional Theory (DFT) calculations. All calculations … transmetalation at metal-halide intermediates, and suggests that the barrier for direct transmetalation …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cctc.202001462","https://scholar.google.com/scholar?q=related:OE8MwtPkPokJ:scholar.google.com/&scioq=source:chemcatchem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
142,"J Kleimark, A Hedström, PF Larsson…","Mechanistic Investigation of Iron‐Catalyzed Coupling Reactions",2009,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.200900061","https://scholar.google.com/scholar?cites=14048740887479660650&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 13:13:43","","10.1002/cctc.200900061","","",,,,,142,8.88,36,4,16,"… the development of fast and accurate density functional theory (DFT) methods within the last decade, it … We assume that transmetalation occurs through a four-center TS, in analogy with …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.200900061","https://scholar.google.com/scholar?q=related:ajC7W2cn98IJ:scholar.google.com/&scioq=source:chemcatchem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
