Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
5,"CD Smith, DJ France","2-Alkenyl Furans from a Palladium-Catalyzed Cyclization and Coupling of Ene-Yne-Ketones.",2014,"ChemCatChem","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=18673880&AN=94727695&h=DZVHTI65TzCrUD05LAGKberZQSeGGmEIWKvMCQf8pU6TUqM9eVqkHpYQOApyOWtPjRgemzzxUH6Y7pVfj2BA6Q%3D%3D&crl=c","https://scholar.google.com/scholar?cites=3195021189328760842&as_sdt=2005&sciodt=0,5&hl=en",89,"2025-05-07 15:40:16","","","","",,,,,5,0.45,3,2,11,"… of the reaction mechanism, extensive DFT calculations were performed. The mechanism … by a migratory insertion, β-hydride elimination, and finally catalyst regeneration (Scheme 5). …","","https://scholar.google.com/scholar?q=related:CnDJ_9f-ViwJ:scholar.google.com/&scioq=source:chemcatchem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
38,"J Jiang, Z Liang, X Xiong, X Zhou, H Ji","A carbazolyl porphyrin‐based conjugated microporous polymer for metal‐free photocatalytic aerobic oxidation reactions",2020,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202000199","https://scholar.google.com/scholar?cites=16530231509680623465&as_sdt=2005&sciodt=0,5&hl=en",255,"2025-05-07 15:40:16","","10.1002/cctc.202000199","","",,,,,38,7.60,8,5,5,"… Nonlocal density functional theory (NLDFT) pore-size distribution analysis shows the … intermediate (III),33 which further underwent elimination of ammonia under hole-assisted to give …","","https://scholar.google.com/scholar?q=related:aY97JfotZ-UJ:scholar.google.com/&scioq=source:chemcatchem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"M Reboli, M Durandetti","A Comprehensive Review of Intramolecular Hydrosilylation of Alkynes and Alkenes",2025,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202402136","",181,"2025-05-07 15:40:16","","10.1002/cctc.202402136","","",,,,,0,0.00,0,2,1,"… The addition of norbornene as a mediator facilates the β-hydride elimination, further … Mechanistic studies and DFT calculations indicate that the process proceeds via a 5-endo-trig …","https://chemistry-europe.onlinelibrary.wiley.com/doi/am-pdf/10.1002/cctc.202402136","https://scholar.google.com/scholar?q=related:KdEIDinljv0J:scholar.google.com/&scioq=source:chemcatchem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"G Dhimba, A Muller, K Lammertsma","A Computational Study of the MoO2(acac)2 Catalyzed Epoxidation of Ethylene with Hydrogen Peroxide and t‐Butyl Hydroperoxide",2023,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202201031","https://scholar.google.com/scholar?cites=16367212613492749343&as_sdt=2005&sciodt=0,5&hl=en",121,"2025-05-07 15:40:16","","10.1002/cctc.202201031","","",,,,,4,2.00,1,3,2,"… oxide reveals different mechanisms based on density functional theory calculations. H 2 O 2 … Moreover, the geometry obtained was not prearranged for elimination of a water molecule …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202201031","https://scholar.google.com/scholar?q=related:HzSHnicFJOMJ:scholar.google.com/&scioq=source:chemcatchem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"F Casas, M Trincado, R Rodriguez‐Lugo…","A Diaminopropane Diolefin Ru (0) Complex Catalyzes Hydrogenation and Dehydrogenation Reactions",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201901739","https://scholar.google.com/scholar?cites=12951338021035116848&as_sdt=2005&sciodt=0,5&hl=en",252,"2025-05-07 15:40:16","","10.1002/cctc.201901739","","",,,,,14,2.33,4,4,6,"… catalytic cycle, but recent findings supported by DFT calculations indicate that they may be … and a hydride ligand resulting from a formal elimination of 2 equivalents of H 2 and migration …","","https://scholar.google.com/scholar?q=related:MAnPnU9lvLMJ:scholar.google.com/&scioq=source:chemcatchem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"S Rana, B Pandey, A Dey, R Haque…","A Doubly Biomimetic Synthetic Transformation: Catalytic Decarbonylation and Halogenation at Room Temperature by Vanadium Pentoxide",2016,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201600843","https://scholar.google.com/scholar?cites=8886736386844792215&as_sdt=2005&sciodt=0,5&hl=en",178,"2025-05-07 15:40:16","","10.1002/cctc.201600843","","",,,,,13,1.44,3,5,9,"… deformylation reactions with the elimination of formate.3 In … DFT study to probe the mechanism. Based on our experimental observations, a mechanistic scheme was adapted for the DFT …","https://www.researchgate.net/profile/Bhawana-Pandey-5/publication/306423578_A_Doubly_Biomimetic_Synthetic_Transformation_Catalytic_Decarbonylation_and_Halogenation_at_RT_by_Vanadium_Pentoxide/links/5cff5d8c92851c874c5da0a0/A-Doubly-Biomimetic-Synthetic-Transformation-Catalytic-Decarbonylation-and-Halogenation-at-RT-by-Vanadium-Pentoxide.pdf","https://scholar.google.com/scholar?q=related:lxVs7qgHVHsJ:scholar.google.com/&scioq=source:chemcatchem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"T Himiyama, M Waki, D Esquivel, A Onoda…","A Heterogeneous Hydrogen‐Evolution Catalyst Based on a Mesoporous Organosilica with a Diiron Catalytic Center Modelling [FeFe]‐Hydrogenase",2018,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201801257","https://scholar.google.com/scholar?cites=3393906467508921564&as_sdt=2005&sciodt=0,5&hl=en",184,"2025-05-07 15:40:16","","10.1002/cctc.201801257","","",,,,,10,1.43,2,5,7,"… FeFe1 was immobilized without elimination of the CO ligands … ), density functional theory (DFT) pore diameters (D DFT ), … –5.7 nm, although the S BET , D DFT , and V t-plot gradually …","","https://scholar.google.com/scholar?q=related:3CTFVPOTGS8J:scholar.google.com/&scioq=source:chemcatchem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"SE Jenny, JM Serviano, A Nova…","A Hydride Migration Mechanism for the Mo‐Catalyzed Z‐2‐Selective Isomerization of Terminal Alkenes",2023,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202301052","https://scholar.google.com/scholar?cites=9590611054659739360&as_sdt=2005&sciodt=0,5&hl=en",31,"2025-05-07 15:40:16","","10.1002/cctc.202301052","","",,,,,3,1.50,1,4,2,"… -determining β-H elimination. In contrast, Holland and coworkers 2 used DFT to propose Co(I) … Based on DFT analysis, we propose positional isomerization to form Z product is achieved …","https://chemistry-europe.onlinelibrary.wiley.com/doi/am-pdf/10.1002/cctc.202301052","https://scholar.google.com/scholar?q=related:4J7t4_CxGIUJ:scholar.google.com/&scioq=source:chemcatchem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"G Yang, B Schäffner, M Blug, EJM Hensen…","A Mechanistic Study of Ni‐catalyzed Carbon Dioxide Coupling with Ethylene towards the Manufacture of Acrylic Acid",2014,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201301051","https://scholar.google.com/scholar?cites=14941170733578330333&as_sdt=2005&sciodt=0,5&hl=en",36,"2025-05-07 15:40:16","","10.1002/cctc.201301051","","",,,,,31,2.82,6,5,11,"… , 30, 31 In this work, we performed DFT calculations to investigate the coupling … DFT-computed energetics of the CH 3 OM-assisted proton transfer and the non-assisted β-H elimination …","","https://scholar.google.com/scholar?q=related:3SBm156zWc8J:scholar.google.com/&scioq=source:chemcatchem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"L Neerbye Berntsen, A Nova","A Mechanistic Study of the Cu‐catalyzed N‐arylation of Hydantoin with Aryl(TMP)iodonium Salts",2023,"ChemCatChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202301057","https://scholar.google.com/scholar?cites=12603039890566736708&as_sdt=2005&sciodt=0,5&hl=en",162,"2025-05-07 15:40:16","","10.1002/cctc.202301057","","",,,,,1,0.50,1,2,2,"… In this work, the mechanism of this reaction has been studied by DFT … In their study, a combination of DFT calculations and … is formed by reductive elimination of a Cu(III)-species. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cctc.202301057","https://scholar.google.com/scholar?q=related:ROtOtwH-5q4J:scholar.google.com/&scioq=source:chemcatchem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
