Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"K Ohashi, K Nagita, H Yamamoto, ...","C−C Coupling in CO2 Electroreduction on Single Cu‐Modified Covalent Triazine Frameworks: A Static and Dynamic Density Functional Theory Study",2024,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.202300693","https://scholar.google.com/scholar?cites=485702089635169601&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 18:48:19","","10.1002/celc.202300693","","",,,,,3,3.00,1,4,1,"… investigate the activation energies for C… density functional theory (DFT). We then performed detailed analyses of the elementary step of the C−C bond formation, as well as the activation …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.202300693","https://scholar.google.com/scholar?q=related:QYVeJ3qPvQYJ:scholar.google.com/&scioq=source:chemelectrochem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"B Qin, Q Zhang, Y Li, G Yang, H Yu, ...","Mechanistic Insights into the Electrochemical Reduction of CO2 on Cyclo[18]carbon using Density Functional Theory Calculations",2020,"ChemElectroChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.202000180","https://scholar.google.com/scholar?cites=16407627076372635782&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 18:48:19","","10.1002/celc.202000180","","",,,,,23,4.60,4,6,5,"… of C n on ECRR by means of density functional theory (DFT) calculations. Although the … effectively reduce the free energy required and activation barrier for the formation of reaction …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.202000180","https://scholar.google.com/scholar?q=related:hqBFBuWZs-MJ:scholar.google.com/&scioq=source:chemelectrochem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"T Matthews, TH Dolla, SP Mbokazi, ...","Pd/fMC− NiO Synergistic, Promotional Effect and Cooperation Induced Electrocatalysis towards Ethylene Glycol Electrooxidation: Experimental Approach and DFT …",2024,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.202300564","https://scholar.google.com/scholar?cites=4995475758967073811&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 18:48:19","","10.1002/celc.202300564","","",,,,,1,1.00,0,4,1,"… 1), but this route is very intricate due high activation energy required for the C−C cleavage. The product formed depends mainly on the metal electrode and the related overpotential. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.202300564","https://scholar.google.com/scholar?q=related:E6xOUbx-U0UJ:scholar.google.com/&scioq=source:chemelectrochem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"P Villo, M Lill, Z Alsaman, A Soto Kronberg, ...","Electroreductive Deoxygenative C− H and C− C Bond Formation from Non‐Derivatized Alcohols Fueled by Anodic Borohydride Oxidation",2023,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.202300420","https://scholar.google.com/scholar?cites=9869670932475287741&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 18:48:19","","10.1002/celc.202300420","","",,,,,6,3.00,1,5,2,"… carboxylation we turned to density functional theory calculations (DFT) and cyclic … π-activated alcohols to furnish alkanes and arylacetic acids. Mechanistic investigations and DFT …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.202300420","https://scholar.google.com/scholar?q=related:vRgw3Gsd-IgJ:scholar.google.com/&scioq=source:chemelectrochem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"A Facchin, M Zerbetto, A Gennaro, A Vittadini, ...","Oxygen Reduction Reaction at Single‐Site Catalysts: A Combined Electrochemical Scanning Tunnelling Microscopy and DFT Investigation on Iron Octaethylporphyrin …",2021,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.202100543","https://scholar.google.com/scholar?cites=4216270693574643092&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 18:48:19","","10.1002/celc.202100543","","",,,,,20,5.00,4,5,4,"… III ClOEP molecule must lose the chloride ion to be activated. To check whether the chloride ion is … by means of DFT calculations on the supported porphyrin. We consider the process: …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.202100543","https://scholar.google.com/scholar?q=related:lA1oZ9szgzoJ:scholar.google.com/&scioq=source:chemelectrochem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
36,"Y Singh, S Back, Y Jung","Activating Transition Metal Dichalcogenides by Substitutional Nitrogen‐Doping for Potential ORR Electrocatalysts",2018,"ChemElectroChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.201801003","https://scholar.google.com/scholar?cites=6073280571637502915&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 18:48:19","","10.1002/celc.201801003","","",,,,,36,5.14,12,3,7,"… Our density functional theory (DFT) computations reveal that N-/P-doping at a single S/Se vacancy is energetically more favourable in metal-rich conditions. Free energy calculations …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/celc.201801003","https://scholar.google.com/scholar?q=related:wxO8lYCgSFQJ:scholar.google.com/&scioq=source:chemelectrochem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"H Zhao, H Zhu, Y Feng, Q Zhao, B Suo, ...","Highly Selective Electrocatalytic CO2 Reduction to Methanol on Iridium Dioxide with CO* Spectators",2020,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.202001463","https://scholar.google.com/scholar?cites=5373982856564486275&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 18:48:19","","10.1002/celc.202001463","","",,,,,12,2.40,2,6,5,"… model has been assessed using density functional theory (DFT) calculations. The CO * … to CH 3 OH by CH 3 O * , or the OCHO * activated to H 2 COO * . The limiting steps of CH 4 …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.202001463","https://scholar.google.com/scholar?q=related:g7CQeu84lEoJ:scholar.google.com/&scioq=source:chemelectrochem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
64,"OV Klymenko, O Buriez, E Labbé, DP Zhan, ...","Uncovering the missing link between molecular electrochemistry and electrocatalysis: Mechanism of the reduction of benzyl chloride at silver cathodes",2014,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.201300101","https://scholar.google.com/scholar?cites=14094151992525827249&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 18:48:19","","10.1002/celc.201300101","","",,,,,64,5.82,13,5,11,"… , in which the activation of electroactive substrates exclusively … (SERS) and density functional theory (DFT) analysis, allow us … catalysis and electrochemical activation by showing that the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.201300101","https://scholar.google.com/scholar?q=related:sazdLJB8mMMJ:scholar.google.com/&scioq=source:chemelectrochem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"L Li, Z Wu, J Zhang, Y Zhao, G Shao","Watermelon Peel‐Derived Nitrogen‐Doped Porous Carbon as a Superior Oxygen Reduction Electrocatalyst for Zinc‐Air Batteries",2021,"ChemElectroChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.202101339","https://scholar.google.com/scholar?cites=3908977368141209939&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 18:48:19","","10.1002/celc.202101339","","",,,,,18,4.50,4,5,4,"… activated by KOH to get the watermelon peel activated carbon (WPAC) with porous structure. The pore-forming mechanism of KOH activation … studied with density functional theory (DFT) …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.202101339","https://scholar.google.com/scholar?q=related:UyEZpzR6PzYJ:scholar.google.com/&scioq=source:chemelectrochem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"C Walter, AK Singh, T Sontheimer, A Indra, ...","Insights into the Single Atom and Support Interaction in Electrocatalytic Oxygen Evolution Reaction",2024,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.202400159","",10,"2025-05-07 18:48:19","","10.1002/celc.202400159","","",,,,,0,0.00,0,5,1,"… Spectroscopic characterizations and density functional theory (DFT) calculations provide a … The spectroscopic and DFT calculations showed that Ir 1 in two anchoring sites activates …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.202400159","https://scholar.google.com/scholar?q=related:I4GVvpKQQfEJ:scholar.google.com/&scioq=source:chemelectrochem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
