Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
79,"J Tory, B Setterfield‐Price, RAW Dryfe…","(M=Cr, Mo, W) Complexes as Efficient Catalysts for Electrochemical Reduction of CO2 at a Gold Electrode",2015,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.201402282","https://scholar.google.com/scholar?cites=9268800859857955715&as_sdt=2005&sciodt=0,5&hl=en",297,"2025-05-07 13:48:39","M(CO)4(2,2′‐bipyridine)","10.1002/celc.201402282","","",,,,,79,7.90,20,4,10,"… Mark Whiteley (the University of Manchester) for the DFT calculations and the preparation of the starting tetracarbonyl complexes, respectively. JT and FH acknowledge the University of …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/celc.201402282","https://scholar.google.com/scholar?q=related:gyurGUZloYAJ:scholar.google.com/&scioq=source:chemelectrochem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"W Qian, H Zhang, H Xiao, L Zhang, S Chen…","2D Meso/Microporous Platelet Carbon Derived from Metal‐Organic frameworks and Its Application in High‐Performance Li‐S Batteries",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.201900585","https://scholar.google.com/scholar?cites=7178661940506961941&as_sdt=2005&sciodt=0,5&hl=en",255,"2025-05-07 13:48:39","","10.1002/celc.201900585","","",,,,,7,1.17,1,6,6,"… The pore size distributions were evaluated via the density functional theory (DFT). The electrical conductivity of rGO and acetylene black were determined using a four point probe …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/celc.201900585","https://scholar.google.com/scholar?q=related:FaiILgC7n2MJ:scholar.google.com/&scioq=source:chemelectrochem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"BM Szyja","2‐Electron Reduction of CO2 by Graphene Supported Ru Complexes – on the Role of Electron Donation.",2018,"ChemElectroChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.201800407?casa_token=9JoVfueDnU0AAAAA:H844JgO-nNhotvZQ9G4nl-jJLuP5byTXYFeWwOIaAjvvvJ9zWJxp97IkLX9MjP5ya1qoSn-8ktsCTUE","https://scholar.google.com/scholar?cites=5244780421340615853&as_sdt=2005&sciodt=0,5&hl=en",344,"2025-05-07 13:48:39","","10.1002/celc.201800407","","",,,,,11,1.57,11,1,7,"This work presents the theoretical activity of the graphene supported Ru‐CNC pincer complexes, Ru‐porphyrin in the electrocatalytic CO 2 hydrogenation to FA, reduction to CO. The …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/celc.201800407?casa_token=8OVjG2P9DnsAAAAA:n3EO2nIO_izaSZMmiZ3iKXecgZvmvfbjn-O4jLa18pDhXH99Zppz8u94T3PiyznH1pyzZ6B0mof1S_Q","https://scholar.google.com/scholar?q=related:rVTuUgE0yUgJ:scholar.google.com/&scioq=source:chemelectrochem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"S Li, C Li, T Yang, W Wang, J Lu, W Fan…","3,3‐Diethylene Di‐Sulfite (DES) as a High‐Voltage Electrolyte Additive for 4.5 V LiNi0.8Co0.1Mn0.1O2/Graphite Batteries with Enhanced Performances",2021,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.202100091?casa_token=cRObw9fC6PYAAAAA:wPwlDGMZ8F4siw0pBd_pUd-sIJq6D7AEHaWICAwbY--vU6DQjXwjZ355nJCVbfvxXE_CsWQDl1f9dOs","https://scholar.google.com/scholar?cites=3493010060249778341&as_sdt=2005&sciodt=0,5&hl=en",180,"2025-05-07 13:48:39","","10.1002/celc.202100091","","",,,,,18,4.50,3,7,4,"… In order to guide the optimization of the electrolyte formulation, DFT in Gaussian 09 program package was applied to calculate the highest occupied molecular orbit (HOMO) and lowest …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/celc.202100091?casa_token=jwbhQebuvgsAAAAA:enhfG6HjOZlQmqtak0H1u7qo3jZ9qjKHkcaC2ptL3Q3sttclbeHfzfVUPNS7iagoKkR_H79pXW0IOX8","https://scholar.google.com/scholar?q=related:pcgNniSqeTAJ:scholar.google.com/&scioq=source:chemelectrochem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"W Jiang, L Dong, S Liu, W Zhang, B Ai…","A carbon mixed selenium sulfide separator coating for lithium‐sulfur battery life enhancement",2023,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.202200679","https://scholar.google.com/scholar?cites=9856467271849814187&as_sdt=2005&sciodt=0,5&hl=en",513,"2025-05-07 13:48:39","","10.1002/celc.202200679","","",,,,,4,2.00,1,6,2,"… According to density functional theory (DFT) calculations, the interactions between … DFT calculations showed that the adsorption energy of SeS 2 for Li 2 S 6 was −1.83 eV. In addition, …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.202200679","https://scholar.google.com/scholar?q=related:qyjfDsM0yYgJ:scholar.google.com/&scioq=source:chemelectrochem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"X Chen, H Yu","A Computational Review on Localized High‐Concentration Electrolytes in Lithium Batteries",2024,"ChemElectroChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.202400444","https://scholar.google.com/scholar?cites=7494690293755239709&as_sdt=2005&sciodt=0,5&hl=en",236,"2025-05-07 13:48:39","","10.1002/celc.202400444","","",,,,,1,1.00,1,2,1,"… Utilizing DFT calculations, the HOMO and LUMO levels of the MA solvent in this … oxidation resistance of MA, making it a more suitable solvent for high-voltage applications. The DFT …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/celc.202400444","https://scholar.google.com/scholar?q=related:HV3ZFB19AmgJ:scholar.google.com/&scioq=source:chemelectrochem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"S Xie, C Liu, R Song, Y Ji, Z Xiao, C Huo…","A Facile and Environmental‐Friendly Approach to Synthesize S‐Doped Fe/Ni Layered Double Hydroxide Catalyst with High Oxygen Evolution Reaction Efficiency in …",2022,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.202200217?casa_token=6fN4ALD7OfEAAAAA:Cb_F_SSYLz405ZMrBEswAvL75hwKC7Lqf99LoI1OKWarN415IyW2gAqNuv3KJITbl9SyA-3F3tw63-U","https://scholar.google.com/scholar?cites=15054064523882801373&as_sdt=2005&sciodt=0,5&hl=en",90,"2025-05-07 13:48:39","","10.1002/celc.202200217","","",,,,,6,2.00,1,7,3,"… The introduction of sulfur makes the catalyst more hydrophilic and changes the adsorption energy of the OER intermediates that is performed by density functional theory (DFT). This …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/celc.202200217?casa_token=7lNGj2A0KZ8AAAAA:NBvqosaSmZmsSS2ChSK-wH_h2K-X6704B-7rWOrUTxj4RIvnPqoqm4MxBG0gEuczZGIZDolI6JoYzZk","https://scholar.google.com/scholar?q=related:3SjYs-zH6tAJ:scholar.google.com/&scioq=source:chemelectrochem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
86,"GM Martins, B Shirinfar, T Hardwick…","A green approach: vicinal oxidative electrochemical alkene difunctionalization",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.201801466?casa_token=FBg7azRoBowAAAAA:JKzIZR1LR8eF6kmqfj6ZUkurFTtHsvkJdPc1lEKpXHKoZI-qxyOr5nhCmEVpcg4pXFTjrDqYV5PmsiQ","https://scholar.google.com/scholar?cites=2872387983456526303&as_sdt=2005&sciodt=0,5&hl=en",42,"2025-05-07 13:48:39","","10.1002/celc.201801466","","",,,,,86,14.33,22,4,6,"… oxidation and subsequent addition to olefins in an intramolecular cyclisation reaction (Scheme 38). Several reaction conditions were evaluated, such as different electrode species, flow…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/celc.201801466?casa_token=0A6Kktn1aKIAAAAA:lqRd45IZff6EfB139qehHmB5ZWVwz_FWVuC_VsbRlmgGCL1_gOUYODsx7rKmyOCvCq6TupNfAZ6eK-I","https://scholar.google.com/scholar?q=related:398GA6fF3CcJ:scholar.google.com/&scioq=source:chemelectrochem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
51,"M Waqas, C Tan, W Lv, S Ali, B Boateng…","A highly‐efficient composite separator with strong ligand interaction for high‐temperature lithium‐ion batteries",2018,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.201800800?casa_token=N4L5DitAjRIAAAAA:ONkip0r1UmjSPE_y3sACHognHTaesVkf6yE2CrvNwLBDsj3mJIeJC-m0ELpn9j1xKGoeAlDOkBzy8ng","https://scholar.google.com/scholar?cites=565612092542581850&as_sdt=2005&sciodt=0,5&hl=en",310,"2025-05-07 13:48:39","","10.1002/celc.201800800","","",,,,,51,7.29,9,6,7,"… The atomic configurations and adsorption energy values between PVDF-HFP and TiO 2 particles were calculated through density functional theory (DFT) within the Perdew–Burke–…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/celc.201800800?casa_token=OBCe20VRK1oAAAAA:Q-sBvL49AhoEu7pLBUlHiGDs_iOm3xjr2CARjwCl6YnstxvbZT-6wbMemZ2WisJ5tdPUTlb4Po5lIRo","https://scholar.google.com/scholar?q=related:WnyqkDN12QcJ:scholar.google.com/&scioq=source:chemelectrochem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"L Zhang, X Zuo, T Zhu, W Lei, D Xie, J Liu…","A New Fluorinated Sultone as Multifunctional Electrolyte Additive for High‐Performance LiCoO2/Graphite Cell",2021,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.202100352?casa_token=4KchAAnVOc0AAAAA:xvWucFphQgkSb9Lc3ePOMT6bE2Fg2pMxUTuV7UKli34a5OnFUNzmD4N8khmnBiS6zcTvgoczvl-Apik","https://scholar.google.com/scholar?cites=11672844191640846065&as_sdt=2005&sciodt=0,5&hl=en",371,"2025-05-07 13:48:39","","10.1002/celc.202100352","","",,,,,4,1.00,1,7,4,"… levels aiming to predict its oxidative and reductive properties. All the simulated computations were conducted via the non-local DFT (density-functional theory) with the B3LYP function (…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.202100352?casa_token=h5weHmqJI40AAAAA:7_Gwr-3_o5qVc3bZa3z9Mf1FUNl0PT_24U0qzfoabjOnJZLrweRkENZAr7XAQgHBIgMDt0sD8V7ntv0","https://scholar.google.com/scholar?q=related:8f47afJF_qEJ:scholar.google.com/&scioq=source:chemelectrochem+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
