Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
64,"OV Klymenko, O Buriez, E Labbé, DP Zhan, ...","Uncovering the missing link between molecular electrochemistry and electrocatalysis: Mechanism of the reduction of benzyl chloride at silver cathodes",2014,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.201300101","https://scholar.google.com/scholar?cites=14094151992525827249&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 18:46:42","","10.1002/celc.201300101","","",,,,,64,5.82,13,5,11,"… (SERS) and density functional theory (DFT) analysis, … reductive corrosion of noble cathodes as reported by Simonet and co-workers than to electrocatalysis.23 SERS evidence and DFT …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.201300101","https://scholar.google.com/scholar?q=related:sazdLJB8mMMJ:scholar.google.com/&scioq=source:chemelectrochem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"P Villo, M Lill, Z Alsaman, A Soto Kronberg, ...","Electroreductive Deoxygenative C− H and C− C Bond Formation from Non‐Derivatized Alcohols Fueled by Anodic Borohydride Oxidation",2023,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.202300420","https://scholar.google.com/scholar?cites=9869670932475287741&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 18:46:42","","10.1002/celc.202300420","","",,,,,6,3.00,1,5,2,"… Experimental and theoretical studies indicate that the reductive C−… we turned to density functional theory calculations (DFT) and cyclic … As such, the combined DFT and voltammetry data …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.202300420","https://scholar.google.com/scholar?q=related:vRgw3Gsd-IgJ:scholar.google.com/&scioq=source:chemelectrochem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
57,"H Yin, X Cao, C Lei, W Chen, B Huang","Insights into electroreductive dehalogenation mechanisms of chlorinated environmental pollutants",2020,"ChemElectroChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.202000067","https://scholar.google.com/scholar?cites=7084222947749298302&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 18:46:42","","10.1002/celc.202000067","","",,,,,57,11.40,11,5,5,"… electrochemistry for the reductive dehalogenation of organic chlorides has been another central topic for decades. Recently, by combination of the density functional theory (DFT) and …","https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10.1002/celc.202000067","https://scholar.google.com/scholar?q=related:foBEtjw3UGIJ:scholar.google.com/&scioq=source:chemelectrochem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"X Yu, TL Roemmele, RT Boeré","Synthesis, Electronic Structures, and Electrochemistry of 3‐Triarylphosphoraniminato‐1, 3, 5‐trithia‐2, 4, 6, 8‐tetrazocines: Detection of Trithiatetrazocinyl Radical …",2018,"ChemElectroChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.201701191","https://scholar.google.com/scholar?cites=8582301784758195483&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 18:46:42","","10.1002/celc.201701191","","",,,,,3,0.43,1,3,7,"… using hybrid density functional theory (DFT) calculations at the … Nevertheless, these DFT-computed structures provide an … Representative spectra from the reductive electrolysis of 5 a …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/celc.201701191","https://scholar.google.com/scholar?q=related:G5W2kwB2GncJ:scholar.google.com/&scioq=source:chemelectrochem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Michiyuki, L Ackermann","Electrochemical Preparation and Transformation of Sulfonium Salts",2025,"ChemElectroChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.202400711","",5,"2025-05-07 18:46:42","","10.1002/celc.202400711","","",,,,,0,0.00,0,2,1,"… Finally, radical rebound followed by reductive elimination via … Density functional theory (DFT) calculations supported the … 4 (15.2 kcal/mol) based on DFT calculations, thereby shifting the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.202400711","https://scholar.google.com/scholar?q=related:reDH6-2qBfUJ:scholar.google.com/&scioq=source:chemelectrochem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"BK Bijaya, CP Lingden, T Pokhrel, M Paudel, ...","Cathodic electrolysis: electroreductive organic synthesis",2023,"…","orca.cardiff.ac.uk","https://orca.cardiff.ac.uk/id/eprint/163343/","https://scholar.google.com/scholar?cites=17078013742082107117&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 18:46:42","","","","",,,,,3,1.50,1,5,2,"… Reductive electrocarboxylation reactions to access various valuable chemicals are one of the important applications of cathodic reductive … The outcome of control experiments and DFT …","https://orca.cardiff.ac.uk/id/eprint/163343/1/ChemElectroChem%20-%202023%20-%20K%20-%20Cathodic%20Electrolysis%20Electroreductive%20Organic%20Synthesis.pdf","https://scholar.google.com/scholar?q=related:7SYL5gNLAe0J:scholar.google.com/&scioq=source:chemelectrochem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"K Koshiba, K Yamauchi, K Sakai","Ligand‐Based PCET Reduction in a Heteroleptic Ni (bpy)(dithiolene) Electrocatalyst Giving Rise to Higher Metal Basicity Required for Hydrogen Evolution",2019,"ChemElectroChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.201900400","https://scholar.google.com/scholar?cites=1530462864814369544&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 18:46:42","","10.1002/celc.201900400","","",,,,,26,4.33,9,3,6,"… Our DFT calculations reveal that the first and second reductions are correlated with the … The natural hydrogenase13-15 or nitrogenase16,17 enzymes, contributing to the reductive …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.201900400","https://scholar.google.com/scholar?q=related:COsv591LPRUJ:scholar.google.com/&scioq=source:chemelectrochem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
267,"Y Yamada, CH Chiang, K Sodeyama, ...","Corrosion prevention mechanism of aluminum metal in superconcentrated electrolytes",2015,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.201500235","https://scholar.google.com/scholar?cites=769201189020016953&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 18:46:42","","10.1002/celc.201500235","","",,,,,267,26.70,67,4,10,"… equilibrium trajectories obtained with DFT-MD simulations. … all AN molecules over 100,000 DFT-MD steps (corresponding … graphite electrode through the reductive decomposition of the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/celc.201500235","https://scholar.google.com/scholar?q=related:OaFY8GfArAoJ:scholar.google.com/&scioq=source:chemelectrochem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"N Matsuoka, H Kamine, Y Natsume, ...","Moderately Concentrated Acetonitrile‐Containing Electrolytes With High Ionic Conductivity for Durability‐Oriented Lithium‐Ion Batteries",2021,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.202100927","https://scholar.google.com/scholar?cites=890330017660570497&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 18:46:42","","10.1002/celc.202100927","","",,,,,18,4.50,5,4,4,"… to suppress the reductive decomposition of nonaqueous … The purpose of this work is to suppress the reductive … computational software based on density functional theory. A mixture of …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.202100927","https://scholar.google.com/scholar?q=related:gYuGE28WWwwJ:scholar.google.com/&scioq=source:chemelectrochem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"D Alwast, J Schnaidt, K Hancock, G Yetis, ...","Effect of Li+ and Mg2+ on the Electrochemical Decomposition of the Ionic Liquid 1‐Butyl‐1‐ methylpyrrolidinium bis(trifluoromethanesulfonyl)imide and Related …",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.201900371","https://scholar.google.com/scholar?cites=6902867629936794252&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 18:46:42","","10.1002/celc.201900371","","",,,,,20,3.33,4,5,6,"… density functional theory based molecular dynamics simulations. They calculated that for highly concentrated electrolytes TFSI − anions accept the reductive … of possible reductive …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.201900371","https://scholar.google.com/scholar?q=related:jNrsVYnpy18J:scholar.google.com/&scioq=source:chemelectrochem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
