Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
33,"Y García‐Rodeja, FM Bickelhaupt, ...","Understanding the Oxidative Addition of σ‐Bonds to Group 13 Compounds",2016,"… –A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201602505","https://scholar.google.com/scholar?cites=5193060725681815080&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-26 22:27:10","","10.1002/chem.201602505","","",,,,,33,3.67,11,3,9,"… Here, we have carried out a density functional theory (DFT) study focusing on the reactivity trends emerging from the oxidative additions of the simplest molecules bearing a H−X bond (…","https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10.1002/chem.201602505","https://scholar.google.com/scholar?q=related:KP5LSzd1EUgJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"T Mondal, S De, B Maity, D Koley","Exploring the Oxidative‐Addition Pathways of Phenyl Chloride in the Presence of PdII Abnormal N‐Heterocyclic Carbene Complexes: A DFT Study",2016,"Chemistry–A European …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201602735","https://scholar.google.com/scholar?cites=2096725440012890596&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-26 22:27:10","","10.1002/chem.201602735","","",,,,,26,2.89,7,4,9,"… DFT calculations to investigate the oxidative addition … catalytic species that undergoes the oxidative addition step? Specifically, … 2) Does the oxidative addition step follow the Pd II /Pd IV …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201602735","https://scholar.google.com/scholar?q=related:5DF-w60QGR0J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"JJ Cabrera‐Trujillo, I Fernández","Rationalizing the AlI‐Promoted Oxidative Addition of C−C Versus C−H Bonds in Arenes",2020,"Chemistry–A European …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202000921","https://scholar.google.com/scholar?cites=1697785596126962195&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-26 22:27:10","","10.1002/chem.202000921","","",,,,,17,3.40,9,2,5,"… The factors controlling the oxidative addition of C−C and C−H bonds in arenes mediated by Al I have been computationally explored by means of Density Functional Theory calculations…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202000921","https://scholar.google.com/scholar?q=related:EyLsIQG_jxcJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"M Nakagaki, A Baceiredo, T Kato, ...","Reversible Oxidative Addition/Reductive Elimination of a Si− H Bond with Base‐Stabilized Silylenes: A Theoretical Insight",2018,"Chemistry–A European …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201801369","https://scholar.google.com/scholar?cites=5202633411178873840&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-26 22:27:10","","10.1002/chem.201801369","","",,,,,9,1.29,2,4,7,"Although oxidative addition (OA) and reductive elimination (RE) are exceedingly important processes in organometallic chemistry, such processes are still extremely rare for main‐…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201801369","https://scholar.google.com/scholar?q=related:8EPl0YV3M0gJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"T Shimbayashi, K Okamoto, ...","Generation of Stable Ruthenium (IV) Ketimido Complexes by Oxidative Addition of Oxime Esters to Ruthenium (II): Reactivity Studies Based on Electronic Properties of …",2017,"Chemistry–A European …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201704102","https://scholar.google.com/scholar?cites=6078912444088286747&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-26 22:27:10","","10.1002/chem.201704102","","",,,,,19,2.38,6,3,8,"… oxidative addition of oxime esters to Ru II precursors (Scheme 2; M=Ru). X-ray crystallographic analysis and DFT … a deeper mechanistic insight into the oxidative addition. We found that …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201704102","https://scholar.google.com/scholar?q=related:G36VEqmiXFQJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"V Kremláček, E Kertész, M Erben, ...","Oxidative Addition‐Reductive Elimination Supported by a Ligand‐Element Cooperation at the Arsinidene and Stibinidene Center",2025,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202404751","",6,"2025-04-26 22:27:10","","10.1002/chem.202404751","","",,,,,0,0.00,0,4,1,"… Our DFT calculations reveal that in all the investigated reactions the OA occurs with a negligible activation barrier. In most cases, the OA steps are also favored thermodynamically, and …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202404751","https://scholar.google.com/scholar?q=related:yg4kymAY18MJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"OV Zenkina, O Gidron, LJW Shimon, ...","Mechanistic Aspects of Aryl–Halide Oxidative Addition, Coordination Chemistry, and Ring‐Walking by Palladium",2015,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201501580","https://scholar.google.com/scholar?cites=6320847408565688902&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-26 22:27:10","","10.1002/chem.201501580","","",,,,,12,1.20,3,4,10,"… DFT calculations show that the reaction with palladium may proceed through a dissociation–oxidative addition … center, which is lost during the oxidative addition as the Chalide …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201501580","https://scholar.google.com/scholar?q=related:RpoBkzopuFcJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
80,"BUW Maes, S Verbeeck, T Verhelst, ...","Oxidative Addition of Haloheteroarenes to Palladium(0): Concerted versus SNAr‐Type Mechanism",2015,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201406210","https://scholar.google.com/scholar?cites=6587176436651324768&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-26 22:27:10","","10.1002/chem.201406210","","",,,,,80,8.00,20,4,10,"… DFT calculations for both ArX and HetX, oxidative addition … due to the fact that previous DFT studies have not taken into … findings, we decided to perform DFT16a calculations for 2-PyX …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201406210","https://scholar.google.com/scholar?q=related:YPVsmxFaalsJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
38,"A Kurbangalieva, D Carmichael, KK Hii, ...","Oxidative addition to palladium (0) diphosphine complexes: observations of mechanistic complexity with iodobenzene as reactant",2014,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201301937","https://scholar.google.com/scholar?cites=17707938864079999707&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-26 22:27:10","","10.1002/chem.201301937","","",,,,,38,3.45,10,4,11,"… DFT calculations were carried out to further test the feasibility of C 6 D 6 involvement in the oxidative addition … palladium complex after oxidative addition clarifies the participation of the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201301937","https://scholar.google.com/scholar?q=related:25LSgZM8v_UJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"E Marelli, J Monot, B Martin‐Vaca, ...","Base‐Triggered Oxidative Addition to Gold",2023,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202301091","",10,"2025-04-26 22:27:10","","10.1002/chem.202301091","","",,,,,0,0.00,0,4,2,"… In order to gain further insight into such chelation-assisted oxidative additions to gold, DFT calculations were carried out. In this study, we intended in particular to assess the electron …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202301091","https://scholar.google.com/scholar?q=related:FzYb1unoRlUJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
