Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
42,"D Munz, T Strassner","On the mechanism of the palladium bis (NHC) complex catalyzed CH functionalization of propane: experiment and DFT calculations",2014,"Chemistry–A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201403910","https://scholar.google.com/scholar?cites=7461458727936494978&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 23:30:05","","10.1002/chem.201403910","","",,,,,42,3.82,21,2,11,"… The combined experimental and computational (DFT) results favor a mechanism with CH activation by palladium(II) and oxidation by bromine to palladium(IV). It is proposed that the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201403910","https://scholar.google.com/scholar?q=related:go3kOC5tjGcJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
68,"D Katayev, E Larionov, M Nakanishi…","Palladium–N‐Heterocyclic Carbene (NHC)‐Catalyzed Asymmetric Synthesis of Indolines through Regiodivergent C(sp3)H Activation: Scope and DFT Study",2014,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201403985","https://scholar.google.com/scholar?cites=3530296522737635470&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 23:30:05","","10.1002/chem.201403985","","",,,,,68,6.18,17,4,11,"… In the second part of this article, we describe a DFT study to probe the CMD step of this transformation and analyze the reactivity of methyl versus methylene groups for the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10.1002/chem.201403985","https://scholar.google.com/scholar?q=related:jtCSrfsh_jAJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"J Saha, S Banerjee, S Malo, AK Das…","Thermally Activated Geometrical Regioselective E→Z Isomerization‐Enabled Cascade Sequences of Conjugated Dienals: Experimental and DFT Studies",2023,"Chemistry–A European …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202302335","https://scholar.google.com/scholar?cites=15687589043287385051&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 23:30:05","","10.1002/chem.202302335","","",,,,,6,3.00,1,5,2,"… be activated under … Density functional theory (DFT) studies have been employed to understand the viability of geometrical regioselective alkene isomerization under thermal activation …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202302335","https://scholar.google.com/scholar?q=related:22N0Ux6DtdkJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"S Tobisch","Mechanistic exploration of intramolecular aminodiene hydroamination/cyclisation mediated by constrained geometry organoactinide complexes: a DFT study",2010,"Chemistry–A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.200902356","https://scholar.google.com/scholar?cites=18356046082998327519&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 23:30:05","","10.1002/chem.200902356","","",,,,,21,1.40,21,1,15,"… all three DFT methods converge to the same mechanistic picture. Precatalyst activation: The … Ensuing intramolecular proton transfer is connected with a free energy of activation of 14.9 …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.200902356","https://scholar.google.com/scholar?q=related:39jQcajGvf4J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"T Hansen, X Sun, M Dalla Tiezza…","C(spn)−X (n=1–3) Bond Activation by Palladium",2022,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202103953","https://scholar.google.com/scholar?cites=17118306513530884657&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 23:30:05","","10.1002/chem.202103953","","",,,,,10,3.33,3,4,3,"… The reaction barrier for C(sp n )−X bond activation (n = 1–3) systematically decreases along … analyses based on relativistic DFT. This reactivity trend is found for all bond types (C−H, C−…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202103953","https://scholar.google.com/scholar?q=related:MZJDzxNxkO0J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"L Rout, BB Parida, JC Florent…","Metal‐Free Activation of a C (sp)− H Bond of Aryl Acetylenes",2016,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201603003","https://scholar.google.com/scholar?cites=16407282774073362621&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 23:30:05","","10.1002/chem.201603003","","",,,,,19,2.11,5,4,9,"… by C(sp)−H bond activation of aromatic acetylenes with cotarnine at room temperature. A DFT-based … Carbon–carbon bond formation by C−H activation is an important strategy for the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201603003","https://scholar.google.com/scholar?q=related:vUgH5sBgsuMJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
101,"GJ Cheng, P Chen, TY Sun, X Zhang…","A Combined IM‐MS/DFT Study on [Pd (MPAA)]‐Catalyzed Enantioselective C H Activation: Relay of Chirality through a Rigid Framework",2015,"… –A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201501123","https://scholar.google.com/scholar?cites=15831780197967615351&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 23:30:05","","10.1002/chem.201501123","","",,,,,101,10.10,20,5,10,"… Herein, we report a combined MS/DFT study to address two questions: 1) Can the CH bond be activated without an external base at outer-sphere? 2) What is the origin of …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201501123","https://scholar.google.com/scholar?q=related:d1XsrTXItdsJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"J Garrec, M Cordier, G Frison…","Palladium‐Catalyzed C8‐Arylation of Naphthalenes through C− H Activation: A Combined Experimental and Computational Study",2019,"Chemistry–A European …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201903500","https://scholar.google.com/scholar?cites=16293571657588191823&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 23:30:05","","10.1002/chem.201903500","","",,,,,21,3.50,5,4,6,"… of 1-amidonaphthalenes based on a C−H activation strategy. This … reaction was explained thanks to DFT calculations. Indeed, we … Further explorations of C−H activation reactions with …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201903500","https://scholar.google.com/scholar?q=related:T7LqdBhlHuIJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
29,"E Gońka, L Yang, R Steinbock…","π‐Extended Polyaromatic Hydrocarbons by Sustainable Alkyne Annulations through Double C− H/N− H Activation",2019,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201905023","https://scholar.google.com/scholar?cites=8879352047180637847&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 23:30:05","","10.1002/chem.201905023","","",,,,,29,4.83,7,4,6,"… To investigate further the electronic structure of the DPPs 3, we performed computational DFT … Moreover, our TD-DFT calculations, performed at the same level of theory, highlighted an …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201905023","https://scholar.google.com/scholar?q=related:l-bWX6TLOXsJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"P Gupta, M Diefenbach…","Copper‐Mediated Selective Hydroxylation of a Non‐activated C− H Bond in Steroids: A DFT Study of Schönecker's Reaction",2017,"… –A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201604829","https://scholar.google.com/scholar?cites=221453378433859635&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 23:30:05","","10.1002/chem.201604829","","",,,,,30,3.75,10,3,8,"… density functional theory (DFT) study addressing the origin of the remarkable selectivity of Schönecker's reaction is reported. The applied BLYP-D3/def2-TZVP(SDD) level of DFT is … C−H …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201604829","https://scholar.google.com/scholar?q=related:M0Dco6zCEgMJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
