Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
5,"H Zhang, R Zhang, S Hu, K Yang, C Sun…","Electroreduction of CO2 on Cu, Fe, or Ni‐doped Diamane Sheets: A DFT Study",2024,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202303995","https://scholar.google.com/scholar?cites=2156806742652044187&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 23:35:45","","10.1002/chem.202303995","","",,,,,5,5.00,1,6,1,"… for CO 2 RR using density functional theory (DFT… CO 2 RR versus hydrogen evolution reaction (HER) on pristine and element-doped diamane. Finally, we reveal the optimized CO 2 RR …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202303995","https://scholar.google.com/scholar?q=related:m0PxIE6E7h0J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"X Zeng, L Liao, Q Yu, M Wang…","Theoretical Prediction of Electrocatalytic Reduction of CO2 Using a 2D Catalyst Composed of 3 d Transition Metal and Hexaamine Dipyrazino Quinoxaline",2023,"Chemistry–A European …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202302232","https://scholar.google.com/scholar?cites=9595923323436043068&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 23:35:45","","10.1002/chem.202302232","","",,,,,3,1.50,1,5,2,"… in CO 2 reduction reaction (CO 2 RR) via spin-polarisation density functional theory. The findings show that TM-HADQ single layers possess excellent CO 2 RR activity. Thus, it is …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.202302232","https://scholar.google.com/scholar?q=related:PItK2WuRK4UJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"N Sikdar","Electrochemical CO2 Reduction Reaction: Comprehensive Strategic Approaches to Catalyst Design for Selective Liquid Products Formation",2024,"Chemistry–A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202402477","https://scholar.google.com/scholar?cites=13255912813949175836&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 23:35:45","","10.1002/chem.202402477","","",,,,,2,2.00,2,1,1,"… for HER with CO2RR. Consequently, designing suitable catalysts that are active for CO2RR while … [106] This complex, as demonstrated through DFT calculations and in situ Raman …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.202402477","https://scholar.google.com/scholar?q=related:HEj9sHh29rcJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"L Liu, X Wu, F Wang, L Zhang, X Wang…","Dual‐Site Metal Catalysts for Electrocatalytic CO2 Reduction Reaction",2023,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202300583","https://scholar.google.com/scholar?cites=14897636043915189547&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 23:35:45","","10.1002/chem.202300583","","",,,,,10,5.00,2,6,2,"… for CO 2 RR; and finally, we also introduce several in situ detection techniques commonly used in CO 2 RR (… According to DFT calculations, NPs promoted CO 2 RR by making the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202300583","https://scholar.google.com/scholar?q=related:K92eBg0Jv84J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"X Ma, Y Shen, S Yao, M Shu, R Si…","Self‐Supported Nanoporous Au3Cu Electrode with Enriched Gold on Surface for Efficient Electrochemical Reduction of CO2",2020,"Chemistry–A European …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201904619","https://scholar.google.com/scholar?cites=12494979826759218860&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 23:35:45","","10.1002/chem.201904619","","",,,,,23,4.60,4,6,5,"… (CO 2 RR),8 which is attractive for mitigating warming gas emissions and realizing resource utilization. The CO 2 RR … Density functional theory reveals that the nanoporous Au 3 Cu has …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201904619","https://scholar.google.com/scholar?q=related:rLangfMVZ60J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"Y Wang, C Wang, Y Wei, F Wei, L Kong…","Efficient and Selective Electroreduction of CO2 to HCOOH over Bismuth‐Based Bromide Perovskites in Acidic Electrolytes",2022,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202201832","https://scholar.google.com/scholar?cites=18395720904369043677&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 23:35:45","","10.1002/chem.202201832","","",,,,,23,7.67,4,6,3,"… CO 2 RR in the potential range studied here (Figure S10 and S13), the difference in CO 2 RR … formic acid production, Density functional theory (DFT) calculations were performed to …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202201832","https://scholar.google.com/scholar?q=related:3fgkpLK6Sv8J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"BY Xia, Y Zhong, Z Sun, Y Su","Structural Reconstruction of Copper‐Based Catalysts in CO2 Electroreduction Reaction: A Comprehensive Review",,"Chemistry–A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202500770","",7,"2025-05-06 23:35:45","","10.1002/chem.202500770","","",,,,,0,0.00,0,4,,"… governing the structural reconstruction in CO2RR, encompassing both thermodynamic and … DFT calculations demonstrate the migration energy barriers of individual metal atoms on …","","https://scholar.google.com/scholar?q=related:GoCNfcwQ3zUJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"X Liu, Z Wang, G Feng, Y Sun, X Zhang…","Coordination Engineering of Heteronuclear Fe− Mo Dual‐Atom Catalyst for Promoted Electrocatalytic Nitrogen Fixation: A DFT Study",2024,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202303148","https://scholar.google.com/scholar?cites=1025811051657020764&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 23:35:45","","10.1002/chem.202303148","","",,,,,12,12.00,2,6,1,"… The stability, reaction paths, activity, and selectivity of 12 different FeMoN 6−a X a DACs have been systematically studied using density functional theory. Of these, four DACs (FeMoN 5 …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202303148","https://scholar.google.com/scholar?q=related:XMWvbLdpPA4J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Y Kuang, G Chen, DH Mudiyanselage…","Engineering Interfacial Molecular Interactions on Ag Hollow Fibre Gas Diffusion Electrodes for High Efficiency in CO2 Conversion to CO",2024,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202403251","",9,"2025-05-06 23:35:45","","10.1002/chem.202403251","","",,,,,0,0.00,0,4,1,"… This work showed that the surfactant additive increased the CO2RR activity towards CO while … Besides, the density functional theory (DFT) calculation revealed that the modification of …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202403251","https://scholar.google.com/scholar?q=related:XXcc8TZEDcMJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"M Xu, T Deng, LX Liu, X Han","Enrichment Strategies for Efficient CO2 Electroreduction in Acidic Electrolytes",2023,"Chemistry–A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202302382","https://scholar.google.com/scholar?cites=6874475244944446860&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 23:35:45","","10.1002/chem.202302382","","",,,,,5,2.50,1,4,2,"… reaction (CO 2 RR). In this review, the key technique challenges of acidic CO 2 RR are first … DFT calculation of CO 2 RR on bimetallic X−Cu (111). (a) Two-dimensional C 2+ activity (…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.202302382","https://scholar.google.com/scholar?q=related:jFUhENAKZ18J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
