Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
34,"T Stoll, M Gennari, I Serrano, J Fortage…","+ as a Highly Efficient Catalyst for Visible‐Light‐Driven Hydrogen Production in Pure Water: Comparison with Other Rhodium Catalysts",2013,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201202555","https://scholar.google.com/scholar?cites=15270119075016407663&as_sdt=2005&sciodt=0,5&hl=en",618,"2025-05-06 23:41:23","RhIII(dmbpy)2Cl2","10.1002/chem.201202555","","",,,,,34,2.83,7,5,12,"… We report a very efficient homogeneous system for the visible… also performed with other known rhodium catalysts, or with an … DFT calculations are currently underway to analyze the most …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201202555","https://scholar.google.com/scholar?q=related:b_pE6GRc6tMJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
57,"L Orian, A Bisello, S Santi, A Ceccon…","103Rh NMR Chemical Shifts in Organometallic Complexes: A Combined Experimental and Density Functional Study",2004,"… –A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.200305671","https://scholar.google.com/scholar?cites=11622168065142189327&as_sdt=2005&sciodt=0,5&hl=en",462,"2025-05-06 23:41:23","","10.1002/chem.200305671","","",,,,,57,2.71,11,5,21,"… The importance of rhodium complexes in homogeneous catalysis is widely documented.1 Rhodium … Instead, density functional theory (DFT)11 has proven to be very successful for the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10.1002/chem.200305671","https://scholar.google.com/scholar?q=related:D22wQkc8SqEJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
49,"D Marchione, MA Izquierdo, G Bistoni…","13C NMR Spectroscopy of N‐Heterocyclic Carbenes Can Selectively Probe σ Donation in Gold(I) Complexes",2017,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201605502","https://scholar.google.com/scholar?cites=13765222779035161827&as_sdt=2005&sciodt=0,5&hl=en",282,"2025-05-06 23:41:23","","10.1002/chem.201605502","","",,,,,49,6.13,12,4,8,"… It finds widespread application in homogeneous catalysis, in … towards a more rational design of new catalysts.3-5 … were calculated using density functional theory (DFT), including …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201605502","https://scholar.google.com/scholar?q=related:45SBri_lB78J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"X Yang, K Li, G Wang, X Li, P Zhou…","2D Catalysts for CO2 Photoreduction: Discussing Structure Efficiency Strategies and Prospects for Scaled Production Based on Current Progress",2022,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202201881","https://scholar.google.com/scholar?cites=17858780580579247643&as_sdt=2005&sciodt=0,5&hl=en",883,"2025-05-06 23:41:23","","10.1002/chem.202201881","","",,,,,13,4.33,2,6,3,"… S−S or Se−Se bonds by density functional theory (DFT) calculations, other 2D materials, … them ideal catalysts for CO 2 photoreduction. Notably, the homogeneous catalyst usually …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202201881","https://scholar.google.com/scholar?q=related:GwYSc1Ei1_cJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
43,"J Luxa, V Mazánek, M Pumera, P Lazar…","2H→ 1T phase engineering of layered tantalum disulfides in electrocatalysis: oxygen reduction reaction",2017,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201701494","https://scholar.google.com/scholar?cites=13679908932251335151&as_sdt=2005&sciodt=0,5&hl=en",457,"2025-05-06 23:41:23","","10.1002/chem.201701494","","",,,,,43,5.38,9,5,8,"… with DFT calculations. The findings herein revealed that 1T TaS 2 surpasses the catalytic … the elemental composition and homogeneity. The EDS analysis (Figure 2) revealed the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201701494","https://scholar.google.com/scholar?q=related:77mI0rHM2L0J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
58,"MH Habicht, F Wossidlo, T Bens…","2‐(Trimethylsilyl)‐λ3‐Phosphinine: Synthesis, Coordination Chemistry, and Reactivity",2018,"… –A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201704539","https://scholar.google.com/scholar?cites=16670608816343058770&as_sdt=2005&sciodt=0,5&hl=en",532,"2025-05-06 23:41:23","","10.1002/chem.201704539","","",,,,,58,8.29,15,4,7,"… fields, for example, in homogeneous catalysis, luminescent molecular materials, phosphorus-… We further performed theoretical calculations on the DFT level to gain insight into the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201704539","https://scholar.google.com/scholar?q=related:Uomfz2TmWecJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
91,"Y Zhang, Y Zhang, YL Sun, X Du, JY Shi…","4‐(N,N‐Dimethylamino)pyridine‐Embedded Nanoporous Conjugated Polymer as a Highly Active Heterogeneous Organocatalyst",2012,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201103028","https://scholar.google.com/scholar?cites=5740513143577814935&as_sdt=2005&sciodt=0,5&hl=en",444,"2025-05-06 23:41:23","","10.1002/chem.201103028","","",,,,,91,7.00,15,6,13,"… -NCP, as calculated by using nonlocal density functional theory (NLDFT), is shown in Figure … possesses highly concentrated and homogeneously distributed catalytic sites, as well as …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201103028","https://scholar.google.com/scholar?q=related:l6dqH0pmqk8J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"A Madabeni, M Bortoli, PA Nogara…","50 Years of Organoselenium Chemistry, Biochemistry and Reactivity: Mechanistic Understanding, Successful and Controversial Stories",2024,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202403003","https://scholar.google.com/scholar?cites=10246604699065481898&as_sdt=2005&sciodt=0,5&hl=en",665,"2025-05-06 23:41:23","","10.1002/chem.202403003","","",,,,,6,6.00,2,4,1,"… The peroxidatic part of the catalytic cycle is highlighted in … representative catalytic pocket as obtained by DFT calculations… invoked in the analogous homogeneous catalytic cycle. This …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202403003","https://scholar.google.com/scholar?q=related:qnqlWa9AM44J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"JD Feng, WD Zhang, Y Liu, WK Han…","A 3D Covalent Organic Framework with In‐situ Formed Pd Nanoparticles for Efficient Electrochemical Oxygen Reduction",2023,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202302201","https://scholar.google.com/scholar?cites=10418705861523992982&as_sdt=2005&sciodt=0,5&hl=en",906,"2025-05-06 23:41:23","","10.1002/chem.202302201","","",,,,,8,4.00,2,5,2,"… homogeneous dispersion and uniform size of Pd NPs, the catalyst reached a half-wave potential of 0.906 V, providing a new idea for cathode catalysts … density functional theory (NLDFT) …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202302201","https://scholar.google.com/scholar?q=related:lvFqx8etlpAJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
51,"RRR Prasad, DM Dawson, PA Cox…","A Bifunctional MOF catalyst containing metal–phosphine and Lewis acidic active sites",2018,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201803094","https://scholar.google.com/scholar?cites=4730611549560982303&as_sdt=2005&sciodt=0,5&hl=en",218,"2025-05-06 23:41:23","","10.1002/chem.201803094","","",,,,,51,7.29,13,4,7,"… A model structure (Figure 4) optimised using periodic density functional theory (DFT) code … hydrogenation catalysis.14 Most studies in this area have focused on homogeneous catalysts …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201803094","https://scholar.google.com/scholar?q=related:H0vx9SOCpkEJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
