Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
20,"I Urruzuno, O Mugica, G Zanella, S Vera…","α‐Branched Ketone Dienolates: Base‐Catalysed Generation and Regio‐and Enantioselective Addition Reactions",2019,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201901694","https://scholar.google.com/scholar?cites=14733132587512461682&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 03:00:29","","10.1002/chem.201901694","","",,,,,20,3.33,4,5,6,"… In order to shed light on the most favourable arrangement of the substrate and the catalyst during the transition state, we undertook DFT calculations on the model reaction between the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201901694","https://scholar.google.com/scholar?q=related:cnlpYweadswJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"M Heshmat, T Privalov","Theory‐Based Extension of the Catalyst Scope in the Base‐Catalyzed Hydrogenation of Ketones: RCOOH‐Catalyzed Hydrogenation of Carbonyl Compounds with H2 …",2017,"Chemistry–A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201702149","https://scholar.google.com/scholar?cites=6162943377646043630&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 03:00:29","","10.1002/chem.201702149","","",,,,,4,0.50,2,2,8,"… with DFT, in this article we computationally test a new concept of the heterolytic H 2 cleavage, promising a one-step hydrogenation of the C=O bond in carbonyl compounds (ketones/…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201702149","https://scholar.google.com/scholar?q=related:7kFwa1ksh1UJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
195,"DGI Petra, JNH Reek, JW Handgraaf…","Chiral Induction Effects in Ruthenium(II) Amino Alcohol Catalysed Asymmetric Transfer Hydrogenation of Ketones: An Experimental and Theoretical Approach",2000,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/1521-3765(20000804)6:15%3C2818::AID-CHEM2818%3E3.0.CO;2-Q","https://scholar.google.com/scholar?cites=2720967850913064887&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 03:00:29","","10.1002/1521-3765(20000804)6:15%3C2818::AID-CHEM2818%3E3.0.CO;2-Q","","",,,,,195,7.80,49,4,25,"… outcome of transfer hydrogenation reactions that are catalysed … hydrogenation was examined at the density functional theory … of the steric interactions between the ketone and the ligand …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/1521-3765%2820000804%296%3A15%3C2818%3A%3AAID-CHEM2818%3E3.0.CO%3B2-Q","https://scholar.google.com/scholar?q=related:t2fuFtjRwiUJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
59,"W Baratta, S Baldino, MJ Calhorda…","CNN pincer ruthenium catalysts for hydrogenation and transfer hydrogenation of ketones: Experimental and computational studies",2014,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201402229","https://scholar.google.com/scholar?cites=9246495955122738719&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 03:00:29","","10.1002/chem.201402229","","",,,,,59,5.36,15,4,11,"… ” in TH and HY processes involving ketones. In that case, the stabilization of the species was validated by NMR spectroscopic studies in solution and DFT calculations,14a, 18 whereas …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201402229","https://scholar.google.com/scholar?q=related:H1YtxhQnUoAJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"H Jayaprakash, P Coburger, M Wörle…","Recyclable Mn (I) Catalysts for Base‐Free Asymmetric Hydrogenation: Mechanistic, DFT and Catalytic Studies",2022,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202201522","https://scholar.google.com/scholar?cites=5894463855306830820&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 03:00:29","","10.1002/chem.202201522","","",,,,,11,3.67,3,4,3,"… Mechanistic and DFT studies on a series of recyclable Mn(I) complexes disclosed six vital … loading: 0.4-1 mol%) performs base-free transfer hydrogenation of alkyl ketones ketones with …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.202201522","https://scholar.google.com/scholar?q=related:5HPxbKVXzVEJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
241,"X Wu, J Liu, D Di Tommaso, JA Iggo…","A multilateral mechanistic study into asymmetric transfer hydrogenation in water",2008,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.200800559","https://scholar.google.com/scholar?cites=8736780664236395000&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 03:00:29","","10.1002/chem.200800559","","",,,,,241,14.18,48,5,17,"… Asymmetric transfer hydrogenation of ketones, as an efficient … 3b Recently we found that the ATH of aromatic ketones is … In addition, we have carried out DFT calculations in order to …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.200800559","https://scholar.google.com/scholar?q=related:-MlPhLlHP3kJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
137,"SJM Nordin, P Roth, T Tarnai…","Remote Dipole Effects as a Means to Accelerate [Ru (amino alcohol)]‐Catalyzed Transfer Hydrogenation of Ketones",2001,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/1521-3765(20010401)7:7%3C1431::AID-CHEM1431%3E3.0.CO;2-L","https://scholar.google.com/scholar?cites=18406595846179481992&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 03:00:29","","10.1002/1521-3765(20010401)7:7%3C1431::AID-CHEM1431%3E3.0.CO;2-L","","",,,,,137,5.71,34,4,24,"… for the asymmetric transfer hydrogenation reaction of aromatic ketones has been developed. By … By employing DFT, density functional theory, we have been able to present a possible …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/1521-3765%2820010401%297%3A7%3C1431%3A%3AAID-CHEM1431%3E3.0.CO%3B2-L","https://scholar.google.com/scholar?q=related:iGm1V2Zdcf8J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
71,"J Wettergren, E Buitrago, P Ryberg…","Mechanistic Investigations into the Asymmetric Transfer Hydrogenation of Ketones Catalyzed by Pseudo‐Dipeptide Ruthenium Complexes",2009,"… –A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.200802496","https://scholar.google.com/scholar?cites=18307048251253000845&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 03:00:29","","10.1002/chem.200802496","","",,,,,71,4.44,18,4,16,"… enantioselective hydrogenation of unactivated ketones was … hydrogenation with molecular hydrogen is the use of transfer … with the results obtained from DFT calculations, we proposed …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.200802496","https://scholar.google.com/scholar?q=related:jQrfvWOzD_4J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
53,"T Privalov","On the Possibility of Conversion of Alcohols to Ketones and Aldehydes by Phosphinoboranes R2PBR′R′′: A Computational Study",2009,"Chemistry–A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.200802320","https://scholar.google.com/scholar?cites=8463370874499884361&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 03:00:29","","10.1002/chem.200802320","","",,,,,53,3.31,53,1,16,"… Though the DFT study of the potential surface of the H 2 … for the hydrogenation of aldehydes and possibly ketones that … ′R′′] with alcohols and aldehydes/ketones, respectively. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.200802320","https://scholar.google.com/scholar?q=related:SeXzMPjuc3UJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"ID Alshakova, HC Foy, T Dudding…","Ligand Effect in Alkali‐Metal‐Catalyzed Transfer Hydrogenation of Ketones",2019,"Chemistry–A European …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201902240","https://scholar.google.com/scholar?cites=10574057224471388000&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 03:00:29","","10.1002/chem.201902240","","",,,,,6,1.00,2,4,6,"… alkali-metal-base-catalyzed transfer hydrogenation of ketones. Kinetic, labelling, and competition experiments, as well as DFT calculations suggested that the reaction proceeds through …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201902240","https://scholar.google.com/scholar?q=related:YB9FmwWZvpIJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
