Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
4,"P Frisch, T Szilvási, S Inoue","Facile Access to Dative, Single, and Double Silicon−Metal Bonds Through M−Cl Insertion Reactions of Base‐Stabilized SiII Cations",2020,"Chemistry–A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202000866","https://scholar.google.com/scholar?cites=14266920769959870135&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 23:17:39","","10.1002/chem.202000866","","",,,,,4,0.80,1,3,5,"… complex 2, we performed DFT calculations at the B97-D/def2-… After the coordination, the insertion reaction of the low-valent … hypothesized, that the insertion/migration reaction from 2′ …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202000866","https://scholar.google.com/scholar?q=related:t74Z1NlI_sUJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"X Zhang, S Tobisch, KC Hultzsch","σ‐Insertive Mechanism versus Concerted Non‐insertive Mechanism in the Intramolecular Hydroamination of Aminoalkenes Catalyzed by Phenoxyamine Magnesium …",2015,"Chemistry–A European …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201406468","https://scholar.google.com/scholar?cites=4824226697541353448&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 23:17:39","","10.1002/chem.201406468","","",,,,,22,2.20,7,3,10,"… DFT reveals that a proton-assisted concerted NC/CH … The DFT predicted total barrier of 23.1 kcal mol −1 (relative to … proceeds via a reversible migratory insertion step followed by rate…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201406468","https://scholar.google.com/scholar?q=related:6H_oHp8Y80IJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
44,"S Tobisch","Does a Concerted Non‐Insertive Mechanism Prevail over a σ‐Insertive Mechanism in Catalytic Cyclohydroamination by Magnesium Tris (oxazolinyl) phenylborate …",2011,"Chemistry–A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201101490","https://scholar.google.com/scholar?cites=7901153044480785947&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 23:17:39","","10.1002/chem.201101490","","",,,,,44,3.14,44,1,14,"… mechanism, we employed the DFT method as an established and … The employed DFT methodology (TPSS functional in … Moreover, the validity of the TPSS DFT method to reliably …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201101490","https://scholar.google.com/scholar?q=related:G_5F9NSIpm0J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"H Zou, ZL Wang, G Huang","Mechanism and Origins of the Chemo‐and Regioselectivities in Nickel‐Catalyzed Intermolecular Cycloadditions of Benzocyclobutenones with 1, 3‐Dienes",2017,"Chemistry–A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201702316","https://scholar.google.com/scholar?cites=1919407923209014144&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 23:17:39","","10.1002/chem.201702316","","",,,,,15,1.88,5,3,8,"… manuscript, Li and co-workers reported a DFT study on the same reaction.11 However, … migratory insertion into the Ni−C1 bond (Scheme 5), and the energies of the migratory insertion …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201702316","https://scholar.google.com/scholar?q=related:gIvxMVYboxoJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"TT Liu, J Chen, BT Guan, Z Lin…","Distance‐Triggered Distinct Aryl Migrations on Azidodiboranes",2023,"Chemistry–A European …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202203676","https://scholar.google.com/scholar?cites=16512100373927509849&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 23:17:39","","10.1002/chem.202203676","","",,,,,5,2.50,1,5,2,"… homolateral aryl migration and subsequent [3+2] cycloaddition. Density functional theory (DFT) … Based on the experimental results and DFT calculations (see below), we proposed two …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202203676","https://scholar.google.com/scholar?q=related:WT-LI87DJuUJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
39,"M Kono, S Harada, T Nemoto","Chemoselective intramolecular formal insertion reaction of Rh–nitrenes into an amide bond over C− H insertion",2019,"Chemistry–A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201805878","https://scholar.google.com/scholar?cites=11227832478760531000&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 23:17:39","","10.1002/chem.201805878","","",,,,,39,6.50,13,3,6,"… insertion into amide C−N and sulfonamide S−N bonds. Experimental and theoretical analyses based on density functional theory … [1,2] acyl group migration, which is thermodynamically …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201805878","https://scholar.google.com/scholar?q=related:OHQd3iZG0ZsJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
45,"M Zhang, G Huang","Mechanism and Selectivity of RuII‐ and RhIII‐Catalyzed Oxidative Spiroannulation of Naphthols and Phenols with Alkynes through a C−H Activation …",2016,"Chemistry–A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201600884","https://scholar.google.com/scholar?cites=11597982566094513104&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 23:17:39","","10.1002/chem.201600884","","",,,,,45,5.00,23,2,9,"… via transition state TS3 b, which is consistent with the previous DFT study on the migratory insertion of alkyne 1 into the Ru−C bond.12c To rationalize the selectivity, the distortion/…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201600884","https://scholar.google.com/scholar?q=related:0KM887FP9KAJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
90,"T Zhou, W Guo, Y Xia","RhV‐Nitrenoid as a Key Intermediate in RhIII‐Catalyzed Heterocyclization by CH Activation: A Computational Perspective on the Cycloaddition of Benzamide and …",2015,"Chemistry–A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201500558","https://scholar.google.com/scholar?cites=7729656194743973538&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 23:17:39","","10.1002/chem.201500558","","",,,,,90,9.00,30,3,10,"… , which take advantage of the facile migratory insertion of unsaturated molecules into the RhC … ,15 in the current report a comprehensive DFT study was carried out to better understand …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201500558","https://scholar.google.com/scholar?q=related:oracC1tBRWsJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"T Eisner, A Kostenko, F Hanusch…","Room‐Temperature‐Observable Interconversion Between Si (IV) and Si (II) via Reversible Intramolecular Insertion Into an Aromatic C− C Bond",2022,"Chemistry–A European …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202202330","https://scholar.google.com/scholar?cites=2119463385623834152&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 23:17:39","","10.1002/chem.202202330","","",,,,,17,5.67,4,4,3,"… DFT calculations show a small reaction barrier … migration of a TMS from the BTTPS substituent to the oxygen atom, forming a transient disilene 6’’. A similar, but much slower migration …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.202202330","https://scholar.google.com/scholar?q=related:KC6ORrjYaR0J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"L Castro, G Therukauff, A Vantomme…","A theoretical outlook on the stereoselectivity origins of isoselective zirconocene propylene polymerization catalysts",2018,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201801438","https://scholar.google.com/scholar?cites=10190715112351603521&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 23:17:39","","10.1002/chem.201801438","","",,,,,14,2.00,4,4,7,"… with the sole operating chain migratory insertion mechanism. The thermochemical data … a DFT theoretical model competent for the quantitative description of propylene insertion …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201801438","https://scholar.google.com/scholar?q=related:QRvs5maxbI0J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
